date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,469.9,471.75,464.3,468.6,468.0,468.45,467.91,902225,4221.64,9860,233601,25.89
2020-01-02,467.85,469.6,456.0,459.35,459.2,468.6,462.04,1474570,6813.08,31749,315543,21.4
2020-01-03,457.95,457.95,447.0,452.6,451.0,459.35,450.93,1890542,8524.99,34091,413996,21.9
2020-01-06,450.0,451.9,440.25,447.1,445.85,452.6,445.91,1673703,7463.19,29728,646662,38.64
2020-01-07,450.0,454.35,443.0,448.1,445.45,447.1,447.43,1309468,5858.93,17621,361849,27.63
2020-01-08,443.8,449.4,438.5,448.25,446.95,448.1,443.72,1186784,5265.94,16232,298646,25.16
2020-01-09,450.65,463.7,450.65,462.3,462.0,448.25,457.87,1127745,5163.66,16362,273835,24.28
2020-01-10,462.05,471.5,459.65,470.4,471.05,462.3,466.68,1177820,5496.66,18991,305212,25.91
2020-01-13,471.0,471.65,464.1,468.55,469.0,470.4,468.26,1067092,4996.81,21302,323174,30.29
2020-01-14,468.1,474.45,465.7,471.7,472.1,468.55,470.5,911176,4287.06,12451,401510,44.07
2020-01-15,470.95,489.95,468.2,484.2,489.95,471.7,478.14,1222665,5846.0,21994,349191,28.56
2020-01-16,488.0,493.4,484.55,488.35,488.1,484.2,488.73,1423802,6958.54,21843,454105,31.89
2020-01-17,490.0,499.5,481.85,485.1,485.05,488.35,492.39,2613095,12866.61,50760,567109,21.7
2020-01-20,485.5,486.9,468.65,470.25,469.5,485.1,473.64,1227450,5813.68,11796,625595,50.97
2020-01-21,467.85,470.35,458.75,461.4,461.8,470.25,462.26,1139830,5269.0,15261,376033,32.99
2020-01-22,462.5,468.5,455.45,464.55,464.1,461.4,463.62,1201196,5569.03,18856,242777,20.21
2020-01-23,464.1,469.5,459.5,464.4,463.05,464.55,465.36,1172659,5457.04,19176,522380,44.55
2020-01-24,464.4,473.8,462.7,468.9,467.7,464.4,469.14,1446483,6786.08,22885,632437,43.72
2020-01-27,468.9,476.85,462.85,465.1,465.15,468.9,471.36,1354540,6384.77,33087,354960,26.21
2020-01-28,465.5,474.9,452.4,461.75,464.0,465.1,465.22,1440700,6702.35,28329,308223,21.39
2020-01-29,464.0,471.5,461.8,469.85,468.75,461.75,467.08,989238,4620.56,15140,334846,33.85
2020-01-30,468.25,475.8,463.6,469.5,468.1,469.85,469.25,1629705,7647.35,20146,616308,37.82
2020-01-31,471.0,473.35,465.0,467.05,466.0,469.5,468.06,843524,3948.23,22536,272095,32.26
2020-02-03,457.0,473.8,454.6,471.3,470.45,463.95,466.33,1694927,7903.92,43816,427874,25.24
2020-02-04,472.0,480.85,450.0,455.25,459.5,471.3,465.32,2614003,12163.58,66262,647619,24.77
2020-02-05,456.15,483.0,456.15,463.05,461.95,455.25,470.02,4906286,23060.76,98374,1055986,21.52
2020-02-06,464.0,481.0,463.0,473.85,473.75,463.05,475.66,2689597,12793.39,39449,838255,31.17
2020-02-07,476.2,479.95,464.75,466.2,465.15,473.85,469.96,1261340,5927.73,22488,345584,27.4
2020-02-10,466.2,467.8,454.5,456.2,455.0,466.2,459.78,862786,3966.89,15158,228738,26.51
2020-02-11,458.9,461.65,449.4,451.0,450.8,456.2,456.42,1022942,4668.9,11833,212225,20.75
2020-02-12,454.8,455.2,444.4,448.05,449.35,451.0,448.29,899763,4033.52,18375,192845,21.43
2020-02-13,450.85,451.5,441.6,444.8,444.45,448.05,446.05,895235,3993.18,15489,287807,32.15
