date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,561.16,565.47,557.03,564.27,589.0,584.5,585.76,751433.1613574454,4222.2,10631,103653,14.38
2020-01-02,565.47,572.86,560.39,571.18,595.0,588.25,592.92,1447183.8731166138,8230.92,28402,408803,29.45
2020-01-03,567.39,569.98,563.36,566.67,591.4,595.45,590.82,1109155.8656148652,6286.08,25690,469433,44.12
2020-01-06,564.99,564.99,555.4,561.11,583.45,590.75,583.91,1269976.4293302116,7113.26,27212,472989,38.83
2020-01-07,561.11,579.38,559.29,570.8,595.0,584.95,597.23,4427665.356953348,25365.78,48776,498229,11.73
2020-01-08,561.88,578.42,560.77,576.36,601.0,595.05,594.8,2179683.3544784794,12436.37,37085,563726,26.96
2020-01-09,577.46,589.84,573.87,579.91,604.55,600.85,606.79,2913990.5112677393,16961.1,43182,783655,28.04
2020-01-10,582.26,583.7,570.8,575.83,602.9,604.55,601.46,2003340.133834701,11558.2,26710,722423,37.59
2020-01-13,579.38,581.06,565.95,567.82,593.2,600.3,594.76,2267407.7371427263,12936.0,31145,930907,42.8
2020-01-14,569.02,570.65,555.59,559.77,585.2,591.95,585.3,3035465.465997667,17042.41,57129,1506322,51.73
2020-01-15,560.2,565.47,550.41,561.92,585.45,583.55,581.18,3564559.762229175,19872.2,41504,1558819,45.59
2020-01-16,563.17,567.68,558.38,564.13,587.1,585.8,586.8,1777778.9360985695,10006.76,27873,583492,34.22
2020-01-17,565.91,573.0,562.02,565.23,587.5,588.1,592.23,1890827.4545657358,10741.66,38673,637490,35.15
2020-01-20,565.95,566.77,556.89,560.77,585.5,589.25,585.28,2528949.3903004765,14198.15,35711,1609411,66.34
2020-01-21,559.05,559.05,548.88,554.15,578.0,584.6,577.88,4992988.220920038,27677.55,55347,3325848,69.44
2020-01-22,559.09,559.09,530.85,540.01,560.45,577.7,565.54,7770474.217690408,42154.12,109927,1590779,21.34
2020-01-23,537.18,541.54,518.28,520.1,540.5,562.95,549.04,4726508.298731396,24892.93,92824,1997359,44.05
2020-01-24,518.95,541.49,518.95,521.16,544.9,542.2,552.65,8478183.31747013,44945.03,104732,1349896,16.6
2020-01-27,523.17,527.68,513.2,515.35,538.0,543.3,542.33,4467595.802106453,23241.7,81562,1563623,36.49
2020-01-28,516.31,525.67,511.47,515.07,537.0,537.25,541.1,4214162.626154166,21873.51,71834,750500,18.57
2020-01-29,521.73,523.65,515.16,520.05,541.8,536.95,541.81,2275091.921442221,11824.22,36513,626751,28.72
2020-01-30,519.86,528.88,517.13,521.97,543.0,542.15,544.53,3664000.675532686,19138.34,75088,1196363,34.04
2020-01-31,525.14,526.62,503.6,505.09,526.8,544.15,532.04,4524436.456664266,23090.5,77148,1479279,34.08
2020-02-03,486.1,496.41,484.42,492.38,513.9,503.65,511.82,3140254.3463960644,15417.36,56906,1042686,34.61
2020-02-04,495.88,504.51,494.01,501.3,522.0,513.3,521.13,2348909.5046823383,11741.96,33985,896400,39.78
2020-02-05,503.7,520.2,500.29,515.55,537.0,522.6,535.66,3237025.4461069824,16632.83,47677,673937,21.7
2020-02-06,515.16,522.98,511.85,514.97,536.9,537.45,538.96,2139318.191532281,11060.14,34289,700819,34.15
2020-02-07,517.03,532.81,516.36,520.96,544.0,536.85,547.92,5944579.215068549,31244.01,78896,1001687,17.57
2020-02-10,547.06,555.98,533.05,550.7,569.0,543.1,569.02,16004519.188568486,87356.59,189528,1722842,11.22
2020-02-11,550.99,560.97,546.67,553.15,578.45,574.1,578.32,5314038.25725077,29479.36,89680,1454136,28.53
2020-02-12,554.87,559.24,547.2,550.51,572.9,576.65,577.15,3416261.572927819,18913.27,53561,1247595,38.07
2020-02-13,548.69,559.14,539.96,555.16,580.2,573.9,576.16,3025509.6987937363,16721.39,44932,1225882,42.24
2020-02-14,555.98,576.89,554.54,567.54,593.0,578.75,591.5,6477489.019987636,36752.51,76319,1804031,29.03
2020-02-17,568.83,575.35,567.06,570.75,595.2,591.65,595.31,2521153.6597087495,14396.95,38912,835341,34.54
2020-02-18,567.87,567.87,550.61,561.35,584.85,595.0,583.12,3098618.3897093856,17332.23,53231,1363623,45.88
2020-02-19,565.86,569.65,557.61,561.35,585.0,585.2,584.98,2964407.350379414,16634.5,34916,1163934,40.93
2020-02-20,562.12,571.95,557.03,560.53,585.5,585.2,589.63,1879594.6386890498,10631.0,29158,472917,26.23
2020-02-24,563.03,566.67,546.86,549.89,575.0,584.35,580.25,2059216.4863334943,11461.58,34800,642994,32.55
2020-02-25,549.93,554.11,539.19,543.27,569.4,573.25,567.11,3036235.86515617,16516.99,34684,987253,33.9
2020-02-26,542.74,546.58,533.34,540.05,561.55,566.35,561.44,3007703.991585031,16198.1,50161,1137980,39.44
2020-02-27,538.66,538.66,526.48,528.4,550.5,563.0,553.4,1738962.911379077,9231.26,34742,385524,23.11
2020-02-28,520.87,524.32,493.05,498.52,524.9,550.85,527.53,3100919.1622977704,15691.7,49412,1107045,37.22
2020-03-02,505.52,519.53,488.83,493.39,512.65,519.7,528.91,1988647.297921382,10089.52,29665,524224,27.48
