date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,62.76,63.43,62.04,62.15,699.25,708.6,702.18,844885.4051143836,527.34,3510,42741,56.91
2020-01-02,62.46,63.24,62.12,62.76,705.55,699.2,707.55,1154293.8457058656,725.97,6163,76513,74.57
2020-01-03,62.59,63.07,62.14,62.44,704.0,706.1,703.61,1022657.727342017,639.6,8559,61821,68.01
2020-01-06,62.4,62.4,60.87,62.21,701.0,702.4,696.57,754356.7456430658,467.08,2979,39357,58.69
2020-01-07,61.87,62.6,61.31,61.64,690.9,699.85,695.05,1285446.214553464,794.17,6926,73134,64.01
2020-01-08,61.33,63.11,61.04,62.45,704.0,693.4,699.82,1729382.020617547,1075.78,10164,106489,69.27
2020-01-09,62.93,64.18,62.65,63.62,715.5,702.6,713.35,1669295.8307037519,1058.49,10655,87621,59.05
2020-01-10,63.64,66.22,63.64,65.32,740.0,715.75,733.86,3552543.947455164,2317.39,11964,171546,54.32
2020-01-13,65.9,66.64,65.04,65.37,739.0,734.85,738.11,1591569.6584299435,1044.22,7324,99197,70.12
2020-01-14,65.78,65.96,64.0,65.43,737.6,735.4,730.36,1017448.9825507632,660.53,10994,51103,56.5
2020-01-15,65.56,67.09,65.0,65.72,740.0,736.1,747.18,2232132.767866674,1482.5,8657,134153,67.61
2020-01-16,65.87,66.84,64.85,66.23,752.0,739.3,740.16,801077.9489218508,527.05,6260,42459,59.63
2020-01-17,66.35,67.91,66.35,66.82,751.0,745.1,756.03,2139342.860656604,1437.69,12646,125589,66.04
2020-01-20,66.76,68.53,66.27,67.68,762.65,751.7,760.18,2075004.174995306,1402.11,9421,119738,64.92
2020-01-21,67.82,70.4,67.72,70.05,786.2,761.45,781.33,4740385.259613555,3292.26,23086,264580,62.79
2020-01-22,70.65,71.47,69.07,70.63,794.05,788.1,794.71,3885116.1148829134,2744.49,15193,210062,60.83
2020-01-23,70.8,75.82,70.32,74.37,840.0,794.55,818.66,7197000.302997897,5237.24,24091,355738,55.61
2020-01-24,74.4,75.9,74.4,75.53,849.0,836.65,849.05,2632047.3679519733,1986.44,14175,148180,63.34
2020-01-27,75.37,77.33,75.11,75.41,846.0,849.7,859.43,2476268.7737306072,1891.71,14557,136226,61.89
2020-01-28,74.78,75.37,72.0,73.94,827.0,848.35,828.88,1458999.7909998442,1074.96,14307,53058,40.91
2020-01-29,74.08,74.65,69.66,71.83,813.0,831.8,805.41,1885475.614523914,1349.85,10954,69793,41.64
2020-01-30,72.0,72.8,66.67,67.08,757.0,808.1,766.4,3479756.5202426095,2370.58,18756,147510,47.69
2020-01-31,67.29,69.29,66.34,68.19,771.85,754.6,761.83,2902137.0978621766,1965.27,14218,129263,50.11
2020-02-03,67.56,71.29,67.55,70.8,801.85,765.45,782.67,1763953.2360463229,1227.19,11765,82833,52.83
2020-02-04,71.91,73.78,71.4,73.27,826.6,796.45,811.88,4458145.541853343,3217.32,12205,314694,79.41
2020-02-05,72.62,73.42,70.67,71.53,801.9,824.25,806.88,2011227.9887715082,1442.5,9308,120576,67.45
2020-02-06,71.13,71.92,68.55,69.0,780.0,804.75,783.19,3370125.3798737773,2346.19,8899,238093,79.48
2020-02-07,69.33,75.56,69.33,74.96,838.4,776.25,827.86,16685465.814530011,12278.4,43622,475390,32.05
2020-02-10,74.96,76.71,72.27,73.79,827.05,843.25,837.84,3566865.1831339244,2656.4,18647,138447,43.67
2020-02-11,74.29,75.46,71.56,71.98,808.1,830.1,817.02,2400983.84901555,1743.69,10678,91828,43.03
2020-02-12,71.64,72.89,71.38,72.42,811.25,809.75,812.11,1528108.471891146,1103.1,7209,62346,45.9
2020-02-13,72.67,74.48,71.52,73.42,823.2,814.7,825.83,1815478.1845213615,1332.69,7360,73367,45.46
2020-02-14,73.69,74.2,72.45,72.84,816.8,825.95,825.25,815252.9347468613,598.04,5716,35295,48.7
2020-02-17,73.32,73.32,71.11,71.59,806.5,819.45,806.78,901079.0989206757,646.2,4430,43559,54.38
2020-02-18,71.64,73.04,69.43,71.84,802.0,805.35,796.86,1135618.8643808516,804.38,8249,47400,46.96
2020-02-19,72.52,72.87,70.51,70.95,802.0,808.15,804.3,3320287.92971124,2373.8,14649,218383,73.99
2020-02-20,71.28,74.37,71.12,72.8,820.0,798.15,820.21,2782212.217787086,2028.44,17237,149742,60.55
2020-02-24,72.43,72.89,71.56,71.9,810.5,819.05,809.85,2551452.448546913,1836.71,22556,161567,71.24
