date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,152.8,155.15,151.45,154.6,154.8,152.45,153.58,14266524,21911.05,67844,3734478,26.18
2020-01-02,155.3,159.85,155.3,159.45,159.45,154.6,157.86,17137897,27054.21,88006,3700905,21.59
2020-01-03,158.4,160.9,156.7,157.75,157.4,159.45,158.62,12108687,19206.29,52394,1996014,16.48
2020-01-06,156.9,157.7,150.05,150.55,150.7,157.75,153.36,11218355,17203.94,53420,2599202,23.17
2020-01-07,152.8,156.8,152.55,156.0,156.05,150.55,155.33,24417974,37927.44,104963,4710731,19.29
2020-01-08,153.25,158.2,152.45,157.35,156.9,156.0,155.89,18095375,28209.18,66403,4116481,22.75
2020-01-09,159.4,160.2,157.4,158.15,158.05,157.35,158.58,11725302,18593.53,54557,3298864,28.13
2020-01-10,159.5,163.3,157.6,159.95,159.65,158.15,161.07,20995863,33819.06,92376,4045202,19.27
2020-01-13,160.5,161.45,158.25,160.45,160.35,159.95,160.16,9331492,14945.43,41829,1253599,13.43
2020-01-14,161.4,166.1,161.0,165.0,165.05,160.45,164.45,19728091,32443.0,92637,3697220,18.74
2020-01-15,165.0,165.45,161.8,164.65,164.15,165.0,163.98,11633598,19076.48,52909,1832623,15.75
2020-01-16,162.9,163.7,160.4,162.25,162.5,164.65,161.85,11990967,19407.44,49793,2104389,17.55
2020-01-17,162.7,162.7,159.0,159.5,159.35,162.25,160.67,9518702,15293.51,42760,2497054,26.23
2020-01-20,159.35,159.9,156.2,156.9,157.15,159.5,157.29,7944434,12495.85,36352,1976444,24.88
2020-01-21,157.0,158.4,153.55,153.9,154.05,156.9,155.5,10481008,16298.27,46124,2619852,25.0
2020-01-22,155.85,158.25,152.8,153.2,153.55,153.9,155.56,15503961,24117.86,81461,3661641,23.62
2020-01-23,153.6,155.4,152.35,154.15,154.1,153.2,154.03,12087029,18617.89,63288,4785385,39.59
2020-01-24,155.0,157.1,153.75,155.9,155.8,154.15,155.88,8012015,12489.28,41537,1992658,24.87
2020-01-27,153.4,153.4,148.1,148.85,148.35,155.9,150.55,13357039,20109.32,76627,3586024,26.85
