date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2020-01-01,123.25,124.32,123.1,123.85,247.65,245.8,247.76,2827732.0,3502.93,14240,288194,20.38
2020-01-02,123.3,124.95,123.18,124.15,248.35,247.7,248.39,2887932.0,3586.71,19476,592368,41.02
2020-01-03,124.75,126.35,123.68,125.55,251.0,248.3,250.99,6762808.0,8486.89,38677,801622,23.71
2020-01-06,125.5,127.22,125.08,126.08,251.95,251.1,252.4,9133390.0,11526.37,42374,1618322,35.44
2020-01-07,126.62,128.18,125.1,127.6,255.0,252.15,254.01,8805574.0,11183.3,39798,1499975,34.07
2020-01-08,127.0,128.07,126.28,127.4,254.6,255.2,254.57,5588820.0,7113.76,33853,975070,34.89
2020-01-09,127.12,128.25,126.32,126.82,255.0,254.8,254.33,4990046.0,6345.52,28366,885016,35.47
2020-01-10,126.98,127.6,125.5,125.88,251.95,253.65,253.15,4113154.0,5206.22,31607,827981,40.26
2020-01-13,127.0,128.95,126.42,127.4,255.3,251.75,255.37,13927198.0,17782.62,56180,2651477,38.08
2020-01-14,128.43,129.18,127.28,128.6,256.0,254.8,256.53,14593554.0,18718.5,62567,2040677,27.97
2020-01-15,127.0,128.0,123.3,124.12,248.2,257.2,248.86,20280902.0,25235.42,82450,2235509,22.05
2020-01-16,124.0,126.3,123.5,125.22,250.3,248.25,250.14,17623672.0,22041.92,63303,4702404,53.36
2020-01-17,126.0,126.95,124.82,125.55,250.85,250.45,251.84,8281636.0,10428.22,38092,1785570,43.12
2020-01-20,125.4,125.4,123.6,124.0,248.2,251.1,248.48,3817166.0,4742.51,19877,541644,28.38
2020-01-21,123.95,124.1,123.0,123.55,246.85,248.0,247.13,3015884.0,3726.61,26134,599581,39.76
2020-01-22,124.3,125.98,122.7,122.92,246.4,247.1,247.89,6800848.0,8429.48,51607,1348075,39.64
2020-01-23,123.22,124.55,122.68,124.35,248.95,245.85,247.73,3393088.0,4202.83,30500,741567,43.71
