date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
2021-07-23,116.0,138.9,115.0,126.0,125.3,76.0,124.12,694895290,862527.47,2428917,420490932,60.51
2021-07-26,126.35,143.75,125.3,140.65,138.05,126.0,134.63,249723854,336203.24,1034160,56416984,22.59
2021-07-27,141.7,147.8,127.75,132.9,130.65,140.65,141.09,240341900,339096.84,1075475,49747283,20.7
2021-07-28,131.0,135.0,123.55,131.2,133.0,132.9,127.9,159793731,204370.13,627048,30085262,18.83
2021-07-29,134.95,144.0,132.2,141.55,142.25,131.2,137.73,117973089,162487.97,489222,23022932,19.52
2021-07-30,142.6,142.7,131.0,133.5,134.45,141.55,136.46,88312522,120514.94,348520,18563149,21.02
2021-08-02,135.75,140.75,135.15,139.7,138.45,133.5,138.14,66909732,92426.38,295910,16165382,24.16
2021-08-03,137.0,140.8,137.0,139.4,138.5,139.7,139.04,46610001,64805.75,189764,10292725,22.08
2021-08-04,139.8,141.0,135.25,138.4,137.1,139.4,138.08,41134419,56800.17,175364,9984413,24.27
2021-08-05,138.75,138.9,132.0,134.95,135.3,138.4,134.49,38437134,51695.57,178897,7825860,20.36
2021-08-06,135.5,136.2,130.1,131.35,131.75,134.95,132.41,31975356,42337.43,146049,9971829,31.19
2021-08-09,132.4,133.55,127.25,130.6,130.7,131.35,130.01,41358299,53768.09,202310,10338747,25.0
2021-08-10,131.0,131.45,122.1,125.2,125.0,130.6,126.82,43164004,54739.96,223169,10836655,25.11
2021-08-11,123.0,138.75,123.0,135.65,136.9,125.2,131.58,111702781,146977.64,387786,22430014,20.08
2021-08-12,135.65,137.4,132.05,135.45,134.25,135.65,134.71,51256670,69049.61,177700,6334352,12.36
2021-08-13,133.85,139.75,132.1,137.35,138.25,135.45,135.44,33674300,45609.28,133386,6472587,19.22
2021-08-16,136.4,136.9,132.25,134.95,132.8,137.35,135.26,20305361,27464.22,115022,4885242,24.06
2021-08-17,132.8,134.35,130.6,132.5,132.3,134.95,133.16,15815187,21059.23,68974,5614131,35.5
2021-08-18,134.5,136.8,133.3,134.95,134.5,132.5,135.32,22566920,30536.69,106963,4810347,21.32
2021-08-20,134.95,141.45,133.0,139.3,137.45,134.95,138.54,53789580,74518.23,230402,17328381,32.22
2021-08-23,137.8,137.8,124.75,127.25,128.15,139.3,129.97,68470861,88992.92,320725,25948763,37.9
2021-08-24,127.25,127.95,120.5,125.0,124.65,127.25,123.88,56713556,70256.17,275805,27172159,47.91
