SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026,GS,23-Apr-2026,102.99,102.0,104.0, 102.00,104.0,104.0,102.19,1113.0,1.14,12.0, 1096, 98.47
20MICRONS,EQ,23-Apr-2026,178.38,178.9,185.5, 176.81,180.62,180.77,181.19,146714.0,265.84,2039.0, 77360, 52.73
21STCENMGM,EQ,23-Apr-2026,34.38,35.06,35.06, 35.06,35.06,35.06,35.06,1284.0,0.45,13.0, 1284, 100.00
360ONE,EQ,23-Apr-2026,1054.9,1049.0,1057.0, 1033.80,1048.5,1052.25,1049.14,1335631.0,14012.64,31262.0, 668775, 50.07
3BBLACKBIO,EQ,23-Apr-2026,1355.15,1341.0,1359.65, 1261.30,1304.0,1291.8,1314.75,8436.0,110.91,1210.0, 4874, 57.78
3IINFOLTD,EQ,23-Apr-2026,17.86,17.86,17.86, 17.48,17.61,17.6,17.62,559932.0,98.67,923.0, 374785, 66.93
3MINDIA,EQ,23-Apr-2026,32550.0,32800.0,33260.0, 32485.00,33090.0,33135.0,32909.58,4350.0,1431.57,2215.0, 1900, 43.68
3PLAND,EQ,23-Apr-2026,36.29,36.27,36.27, 35.20,36.0,35.68,35.45,3821.0,1.35,120.0, 2674, 69.98
5PAISA,EQ,23-Apr-2026,338.54,335.15,362.39, 331.35,334.5,336.59,349.5,166953.0,583.51,4704.0, 54379, 32.57
610GS2031,GS,23-Apr-2026,101.0,99.0,101.0, 99.00,101.0,99.25,99.16,2800.0,2.78,5.0, 2800, 100.00
633GS2035,GS,23-Apr-2026,97.5,97.5,97.5, 97.00,97.0,97.0,97.01,103.0,0.1,2.0, 103, 100.00
63MOONS,EQ,23-Apr-2026,711.1,710.0,726.0, 691.20,695.0,694.45,705.09,116439.0,821.0,4073.0, 50286, 43.19
648GS2035,GS,23-Apr-2026,97.5,97.25,98.5, 97.25,98.5,98.5,97.62,602.0,0.59,9.0, 602, 100.00
664GS2027,GS,23-Apr-2026,101.46,101.46,101.46, 101.46,101.46,101.46,101.46,200.0,0.2,3.0, 200, 100.00
664GS2035,GS,23-Apr-2026,99.0,95.31,95.52, 95.31,95.35,95.35,95.34,14228.0,13.57,8.0, 14228, 100.00
667GS2035,GS,23-Apr-2026,99.56,98.91,98.91, 98.91,98.91,98.91,98.91,80.0,0.08,1.0, 80, 100.00
668GS2033,GS,23-Apr-2026,96.8,99.8,99.8, 99.80,99.8,99.8,99.8,50.0,0.05,1.0, 50, 100.00
668GS2040,GS,23-Apr-2026,98.25,98.37,98.37, 97.00,97.0,97.0,97.0,298.0,0.29,3.0, 298, 100.00
675GS2029,GS,23-Apr-2026,100.36,100.36,101.0, 100.36,101.0,101.0,100.68,400.0,0.4,4.0, 200, 50.00
676GS2061,GS,23-Apr-2026,94.25,93.9,93.9, 91.82,92.0,92.0,91.99,21896.0,20.14,7.0, 21895, 100.00
679GS2031,GS,23-Apr-2026,98.78,98.78,100.0, 98.78,100.0,100.0,99.39,200.0,0.2,2.0, 100, 50.00
679GS2034,GS,23-Apr-2026,99.74,99.8,100.0, 99.80,100.0,100.0,99.95,20100.0,20.09,8.0, 20100, 100.00
679GS2034A,GS,23-Apr-2026,97.51,96.0,96.0, 96.00,96.0,96.0,96.0,100.0,0.1,1.0, 100, 100.00
68GS2060,GS,23-Apr-2026,94.25,95.95,95.95, 93.40,95.95,95.95,93.44,962.0,0.9,16.0, 961, 99.90
690GS2065,GS,23-Apr-2026,91.85,91.85,91.85, 91.45,91.72,91.71,91.64,231861.0,212.49,69.0, 231861, 100.00
692GS2039,GS,23-Apr-2026,99.0,100.6,100.6, 99.00,99.0,99.0,99.23,70.0,0.07,2.0, 70, 100.00
695GS2061,GS,23-Apr-2026,94.99,94.95,94.95, 94.80,94.8,94.8,94.8,2000.0,1.9,5.0, 2000, 100.00
697GR2034,GS,23-Apr-2026,95.0,98.61,98.61, 98.61,98.61,98.61,98.61,10.0,0.01,1.0, 10, 100.00
699GS2051,GS,23-Apr-2026,96.97,96.9,96.9, 96.90,96.9,96.9,96.9,7000.0,6.78,2.0, 7000, 100.00
706GS2028,GS,23-Apr-2026,104.38,100.71,107.7, 100.71,101.8,101.5,101.5,88379.0,89.7,25.0, 88279, 99.89
706GS2046,GS,23-Apr-2026,98.5,98.5,98.5, 98.50,98.5,98.5,98.5,1511.0,1.49,5.0, 1511, 100.00
709GS2054,GS,23-Apr-2026,97.79,99.25,99.25, 97.00,97.0,97.0,97.01,501.0,0.49,3.0, 501, 100.00
709GS2074,GS,23-Apr-2026,97.33,97.94,97.94, 96.50,96.97,96.97,96.92,35399.0,34.31,26.0, 31399, 88.70
710GS2029,GS,23-Apr-2026,102.1,101.76,102.2, 101.40,102.2,101.42,101.42,10050.0,10.19,5.0, 10050, 100.00
716GS2050,GS,23-Apr-2026,101.0,100.01,102.1, 96.00,99.99,99.99,99.42,11408.0,11.34,26.0, 10408, 91.23
717GS2030,GS,23-Apr-2026,102.7,103.2,103.2, 103.20,103.2,103.2,103.2,400.0,0.41,1.0, 400, 100.00
718GS2033,GS,23-Apr-2026,102.24,103.5,103.85, 102.50,102.5,103.04,103.24,19574.0,20.21,11.0, 19574, 100.00
718GS2037,GS,23-Apr-2026,103.8,103.9,103.9, 103.70,103.7,103.7,103.77,15000.0,15.57,11.0, 15000, 100.00
719GS2060,GS,23-Apr-2026,99.0,95.0,95.25, 95.00,95.25,95.25,95.0,5270.0,5.01,6.0, 5270, 100.00
723GS2039,GS,23-Apr-2026,102.5,102.5,102.5, 102.50,102.5,102.5,102.5,1800.0,1.85,1.0, 1800, 100.00
724GS2055,GS,23-Apr-2026,98.8,98.67,98.95, 98.45,98.6,98.6,98.61,83863.0,82.7,22.0, 78863, 94.04
725GS2063,GS,23-Apr-2026,99.17,99.35,99.35, 98.61,98.9,98.91,98.93,152298.0,150.67,66.0, 136698, 89.76
726GS2032,GS,23-Apr-2026,102.7,103.25,103.4, 103.00,103.25,103.25,103.25,7381.0,7.62,9.0, 7331, 99.32
726GS2033,GS,23-Apr-2026,104.0,102.55,103.15, 102.55,103.15,102.75,102.75,7998.0,8.22,5.0, 5499, 68.75
732GS2030,GS,23-Apr-2026,105.28,104.75,104.75, 104.75,104.75,104.75,104.75,18000.0,18.86,2.0, 18000, 100.00
733GS2026,GS,23-Apr-2026,104.34,104.4,104.4, 104.40,104.4,104.4,104.4,5000.0,5.22,1.0, 5000, 100.00
734GS2064,GS,23-Apr-2026,97.45,97.43,97.43, 96.95,96.95,97.02,97.08,329605.0,319.97,231.0, 313668, 95.16
737GS2028,GS,23-Apr-2026,102.35,102.4,102.4, 101.99,102.05,102.05,102.03,22531.0,22.99,26.0, 22531, 100.00
738GS2027,GS,23-Apr-2026,103.85,103.8,103.98, 103.80,103.98,103.91,103.83,116427.0,120.88,25.0, 116427, 100.00
73GS2053,GS,23-Apr-2026,99.85,99.6,99.72, 99.60,99.72,99.72,99.69,325.0,0.32,6.0, 261, 80.31
743GS2076,GS,23-Apr-2026,102.0,102.0,102.0, 102.00,102.0,102.0,102.0,907.0,0.93,2.0, 907, 100.00
746GS2073,GS,23-Apr-2026,102.51,102.5,103.5, 102.50,103.5,103.5,102.78,346.0,0.36,3.0, 296, 85.55
74GS2035,GS,23-Apr-2026,103.8,100.34,100.34, 100.34,100.34,100.34,100.34,200.0,0.2,2.0, 200, 100.00
74GS2062,GS,23-Apr-2026,101.14,98.61,100.49, 98.61,100.49,100.49,100.45,498.0,0.5,10.0, 498, 100.00
754GS2036,GS,23-Apr-2026,107.23,107.23,107.5, 107.00,107.08,107.06,107.11,718325.0,769.41,305.0, 718275, 99.99
757GS2033,GS,23-Apr-2026,102.96,105.0,105.0, 105.00,105.0,105.0,105.0,15.0,0.02,1.0, 15, 100.00
763GS2059,GS,23-Apr-2026,107.7,102.6,102.6, 102.60,102.6,102.6,102.6,1059.0,1.09,3.0, 1059, 100.00
828GS2027,GS,23-Apr-2026,144.0,136.8,136.8, 136.80,136.8,136.8,136.8,1.0,0.0,1.0, 1, 100.00
883GS2041,GS,23-Apr-2026,120.0,114.6,114.6, 114.60,114.6,114.6,114.6,1.0,0.0,1.0, 1, 100.00
897GS2030,GS,23-Apr-2026,110.05,110.05,113.6, 110.00,110.5,110.5,110.08,1023.0,1.13,7.0, 1001, 97.85
92GS2030,GS,23-Apr-2026,110.35,112.2,112.2, 110.50,111.0,111.0,111.13,6293.0,6.99,11.0, 6293, 100.00
A2ZINFRA,BE,23-Apr-2026,17.06,17.0,17.2, 16.82,17.1,17.06,17.02,101585.0,17.29,139.0, -, -
AAATECH,EQ,23-Apr-2026,99.42,100.0,100.0, 98.42,99.6,99.21,99.17,14401.0,14.28,267.0, 11228, 77.97
AADHARHFC,EQ,23-Apr-2026,489.5,485.0,495.5, 484.05,489.0,488.55,490.82,110220.0,540.98,5465.0, 51294, 46.54
AAKASH,BE,23-Apr-2026,8.12,8.2,8.24, 8.10,8.18,8.14,8.15,73079.0,5.95,247.0, -, -
AARADHYA,SM,23-Apr-2026,100.7,105.0,105.0, 105.00,105.0,105.0,105.0,9600.0,10.08,8.0, 9600, 100.00
AAREYDRUGS,EQ,23-Apr-2026,86.17,86.0,90.0, 85.02,89.01,89.88,88.56,285806.0,253.1,1487.0, 207541, 72.62
AARNAV,EQ,23-Apr-2026,23.98,23.75,24.1, 23.72,23.73,23.8,23.79,7080.0,1.68,115.0, 5222, 73.76
AARON,EQ,23-Apr-2026,142.23,141.85,142.79, 139.81,141.4,141.01,140.93,9644.0,13.59,323.0, 6465, 67.04
AARTECH,EQ,23-Apr-2026,50.75,51.88,51.88, 49.50,49.5,50.55,50.46,43841.0,22.12,595.0, 23340, 53.24
AARTIDRUGS,EQ,23-Apr-2026,366.95,368.95,379.0, 367.25,371.5,371.95,374.8,252315.0,945.69,8168.0, 115619, 45.82
AARTIIND,EQ,23-Apr-2026,470.4,468.0,480.2, 463.60,466.2,465.9,469.19,1134203.0,5321.61,32966.0, 442461, 39.01
AARTIPHARM,EQ,23-Apr-2026,693.95,691.55,703.9, 685.05,691.0,688.55,694.79,115389.0,801.71,7804.0, 51825, 44.91
AARTISURF,EQ,23-Apr-2026,399.95,399.95,426.9, 395.00,400.0,402.15,407.28,33273.0,135.52,1496.0, 16536, 49.70
AARTISURF,P1,23-Apr-2026,240.0,288.0,288.0, 252.00,252.0,252.0,274.08,3.0,0.01,3.0, 2, 66.67
AARVI,EQ,23-Apr-2026,130.81,131.0,133.79, 128.90,133.79,132.62,130.96,12073.0,15.81,508.0, 7617, 63.09
AATMAJ,SM,23-Apr-2026,20.7,20.7,20.7, 19.70,19.7,19.7,20.45,8000.0,1.64,4.0, 6000, 75.00
