date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,21350.7,21820.9,21348.85,21721.95, 21750.00,21304.7,21641.04,773,167.29,445, 461, 59.64
02-Jan-2020,21621.35,21643.65,21311.0,21381.15, 21375.00,21721.95,21487.04,868,186.51,540, 537, 61.87
03-Jan-2020,21521.55,21521.55,21251.0,21335.85, 21276.10,21381.15,21396.74,963,206.05,610, 492, 51.09
06-Jan-2020,21550.0,21550.0,20855.0,21089.7, 21151.00,21335.85,21005.6,1829,384.19,1050, 1087, 59.43
07-Jan-2020,21300.0,21876.0,21025.0,21660.4, 21850.00,21089.7,21387.66,6441,1377.58,1302, 5158, 80.08
08-Jan-2020,21499.95,21575.75,21161.0,21238.05, 21259.00,21660.4,21300.25,1952,415.78,523, 1492, 76.43
09-Jan-2020,21400.0,21550.0,21240.0,21272.2, 21242.00,21238.05,21294.19,2331,496.37,888, 1679, 72.03
10-Jan-2020,21377.3,21525.0,21242.0,21432.5, 21473.90,21272.2,21411.01,671,143.67,376, 415, 61.85
13-Jan-2020,21435.0,21649.95,21300.1,21521.85, 21570.00,21432.5,21480.17,1391,298.79,546, 959, 68.94
14-Jan-2020,21535.0,22000.0,21500.0,21931.5, 22000.00,21521.85,21823.94,1311,286.11,763, 750, 57.21
15-Jan-2020,22000.0,22600.0,21857.0,22067.95, 22112.00,21931.5,22120.55,1350,298.63,717, 565, 41.85
16-Jan-2020,22235.0,22400.0,22160.0,22320.45, 22300.00,22067.95,22302.97,941,209.87,436, 597, 63.44
17-Jan-2020,22304.95,22510.0,22301.05,22346.9, 22330.00,22320.45,22424.93,1614,361.94,458, 1196, 74.10
20-Jan-2020,22500.0,22600.0,22026.0,22273.9, 22202.00,22346.9,22334.87,2271,507.22,703, 1394, 61.38
21-Jan-2020,22004.6,22302.3,21999.95,22119.65, 22051.05,22273.9,22025.34,4571,1006.78,520, 4123, 90.20
22-Jan-2020,22115.0,22310.0,22065.15,22258.95, 22310.00,22119.65,22209.81,966,214.55,418, 809, 83.75
23-Jan-2020,22399.85,22458.75,22250.0,22409.7, 22427.00,22258.95,22386.21,671,150.21,385, 480, 71.54
24-Jan-2020,22495.0,22600.0,22078.0,22338.45,22101.0,22409.7,22382.75,2026,453.47,604, 1333, 65.79
27-Jan-2020,22201.0,23500.0,22200.0,22306.45, 22344.00,22338.45,22363.76,2517,562.9,444, 2013, 79.98
28-Jan-2020,22480.0,22484.95,22215.0,22264.65, 22405.00,22306.45,22307.43,1484,331.04,364, 1307, 88.07
29-Jan-2020,22587.95,22587.95,22055.15,22185.85, 22250.00,22264.65,22224.37,979,217.58,692, 464, 47.40
30-Jan-2020,22350.0,22498.85,22100.0,22132.3, 22105.00,22185.85,22290.67,736,164.06,453, 430, 58.42
31-Jan-2020,22290.2,24139.9,21888.0,22981.25, 22900.00,22132.3,23168.6,27244,6312.05,9341, 7805, 28.65
01-Feb-2020,22990.0,23338.95,22055.3,22261.6,22420.0,22981.25,22899.48,5917,1354.96,1951, 3458, 58.44
03-Feb-2020,22240.0,23199.95,22000.0,22637.05, 22718.50,22261.6,22759.2,3896,886.7,2066, 2178, 55.90
04-Feb-2020,22800.0,23661.0,22731.6,23090.0, 23350.00,22637.05,23196.03,8496,1970.74,2583, 5938, 69.89
05-Feb-2020,23485.0,24100.0,22900.65,23082.7, 23200.00,23090.0,23712.88,13062,3097.38,4903, 5692, 43.58
06-Feb-2020,23340.0,23900.0,23105.0,23427.7, 23401.00,23082.7,23474.48,3664,860.1,1546, 1585, 43.26
07-Feb-2020,23500.0,24219.6,23125.05,24064.95, 24000.00,23427.7,23808.14,6160,1466.58,2026, 4029, 65.41
10-Feb-2020,24064.95,24769.0,24000.0,24662.45, 24700.00,24064.95,24509.98,9061,2220.85,2793, 5691, 62.81
11-Feb-2020,24789.9,25200.0,22435.0,23099.05, 23250.00,24662.45,23862.27,32169,7676.25,9261, 14106, 43.85
12-Feb-2020,23333.0,23333.0,22200.0,22379.95, 22360.00,23099.05,22626.31,12598,2850.46,4277, 7642, 60.66
13-Feb-2020,22519.75,22882.0,22427.1,22678.4, 22650.00,22379.95,22654.47,2844,644.29,1340, 1418, 49.86
14-Feb-2020,22760.0,22900.0,22207.0,22299.95, 22260.70,22678.4,22608.56,3653,825.89,1114, 2401, 65.73
17-Feb-2020,22305.0,22749.0,22200.0,22233.1, 22210.00,22299.95,22344.78,2131,476.17,1007, 1180, 55.37
18-Feb-2020,22350.0,22350.0,22001.0,22095.35, 22100.00,22233.1,22097.11,3707,819.14,842, 2740, 73.91
19-Feb-2020,22100.0,22299.9,21740.1,21821.0, 21760.00,22095.35,21950.06,3241,711.4,1421, 2049, 63.22
20-Feb-2020,21920.0,21986.5,21602.65,21683.4, 21635.00,21821.0,21784.33,2057,448.1,842, 1445, 70.25
24-Feb-2020,21744.0,21744.25,20902.0,21287.5, 21200.00,21683.4,21261.81,5741,1220.64,1950, 4465, 77.77
25-Feb-2020,21180.0,21350.0,20800.0,20881.25, 20815.00,21287.5,21034.44,2249,473.06,1050, 1397, 62.12
26-Feb-2020,20815.0,21100.0,20700.0,20771.6, 20868.00,20881.25,20925.39,3205,670.66,1112, 2102, 65.59
27-Feb-2020,20950.0,20950.0,20350.0,20565.15, 20540.00,20771.6,20587.77,2476,509.75,1081, 1479, 59.73
28-Feb-2020,20350.0,20999.7,20300.0,20575.25, 20551.00,20565.15,20699.61,4602,952.6,2465, 1871, 40.66
02-Mar-2020,20805.0,20995.0,20000.0,20131.65, 20100.00,20575.25,20489.82,3958,810.99,1484, 1928, 48.71
03-Mar-2020,20470.0,20995.0,20312.0,20632.95, 20636.00,20131.65,20663.5,7108,1468.76,2360, 3048, 42.88
04-Mar-2020,20790.0,22599.0,20430.15,22335.75, 22140.00,20632.95,21901.56,39991,8758.65,16719, 8547, 21.37
05-Mar-2020,22777.0,24349.9,22500.0,22885.45, 22774.00,22335.75,23481.04,51972,12203.57,21851, 9570, 18.41
06-Mar-2020,22380.0,23638.85,21717.9,22601.85, 22480.00,22885.45,22929.9,19947,4573.83,10073, 5525, 27.70
09-Mar-2020,22000.0,22749.0,20975.0,21038.45, 20975.00,22601.85,21355.1,20648,4409.4,8740, 8701, 42.14
11-Mar-2020,21190.0,21285.15,20600.0,20683.35, 20621.00,21038.45,20940.89,7387,1546.9,3833, 2902, 39.29
12-Mar-2020,20000.0,20000.0,18550.0,19057.8, 19101.00,20683.35,19039.13,28300,5388.07,7779, 18705, 66.10
13-Mar-2020,18000.0,20050.0,17800.0,19682.35, 19900.00,19057.8,19208.37,14994,2880.1,6810, 5982, 39.90
16-Mar-2020,19200.0,19500.0,18520.0,18654.55, 18655.00,19682.35,18842.9,7405,1395.32,3958, 3195, 43.15
17-Mar-2020,19100.0,19100.0,18000.0,18070.95, 18058.00,18654.55,18503.29,5774,1068.38,3027, 2562, 44.37
18-Mar-2020,18249.0,18551.85,17425.05,17539.25, 17550.00,18070.95,17925.01,8048,1442.61,3744, 3942, 48.98
19-Mar-2020,17000.0,17546.85,16317.95,16931.15, 16750.00,17539.25,16842.21,12132,2043.3,5961, 5258, 43.34
20-Mar-2020,17000.0,17500.0,16900.0,17366.3, 17396.00,16931.15,17195.68,6448,1108.78,2754, 3538, 54.87
23-Mar-2020,16300.0,16600.0,15701.0,15887.25, 15818.00,17366.3,16039.03,14420,2312.83,4040, 10948, 75.92
24-Mar-2020,16350.0,16600.0,15890.0,16017.5, 16017.50,15887.25,16289.75,6269,1021.2,3331, 3711, 59.20
25-Mar-2020,16019.0,16989.9,15700.0,16861.35, 16850.00,16017.5,16117.75,10888,1754.9,3258, 8084, 74.25
26-Mar-2020,16860.0,18200.0,16450.0,17939.85, 17999.00,16861.35,17762.33,8775,1558.64,4618, 3612, 41.16
27-Mar-2020,18500.0,18500.0,17416.05,17648.6, 17650.00,17939.85,18290.79,13810,2525.96,2129, 11629, 84.21
30-Mar-2020,17210.0,17490.0,17000.0,17436.35, 17480.00,17648.6,17325.74,2764,478.88,1422, 1402, 50.72
31-Mar-2020,17799.9,19400.0,17764.9,18827.95,19080.05,17436.35,18512.77,6663,1233.51,3088, 3492, 52.41
01-Apr-2020,19080.05,19080.05,18100.0,18469.55,18350.0,18827.95,18448.34,2822,520.61,1802, 1300, 46.07
03-Apr-2020,18410.0,18650.0,17175.0,17490.1, 17400.05,18469.55,17514.14,7588,1328.97,3561, 3359, 44.27
07-Apr-2020,18500.0,18940.0,18000.0,18755.7, 18916.00,17490.1,18489.43,9694,1792.37,4092, 4222, 43.55
08-Apr-2020,18950.0,19170.0,18155.05,18318.2, 18270.00,18755.7,18497.46,9926,1836.06,4453, 4258, 42.90
09-Apr-2020,18620.0,19450.0,18260.1,18941.85, 18809.10,18318.2,18862.71,7065,1332.65,3855, 2444, 34.59
13-Apr-2020,19640.0,19700.0,18650.4,18766.75, 18750.00,18941.85,19070.39,8169,1557.86,3074,5191,68.37
15-Apr-2020,18800.0,18997.2,18482.05,18872.8, 18900.00,18766.75,18818.46,19066,3587.93,3398, 16073, 84.30
16-Apr-2020,18885.0,19840.0,18800.0,19605.15, 19400.00,18872.8,19509.08,10316,2012.56,4892, 5413, 52.47
17-Apr-2020,19999.0,19999.0,19393.45,19700.3, 19990.00,19605.15,19671.61,8832,1737.4,1637, 7006, 79.33
20-Apr-2020,19651.0,19997.0,19354.05,19861.05, 19870.00,19700.3,19719.92,4219,831.98,2050, 2354, 55.80
21-Apr-2020,19799.95,19854.95,19254.95,19409.35,19260.3,19861.05,19510.31,6149,1199.69,2435, 4708, 76.57
22-Apr-2020,19510.0,19649.95,18661.0,18719.5,18700.0,19409.35,18977.1,10555,2003.03,3386, 8062, 76.38
23-Apr-2020,18819.0,18999.0,18601.0,18778.75,18799.95,18719.5,18878.83,1951,368.33,919, 884, 45.31
24-Apr-2020,18690.0,19199.9,18301.05,19130.45,19175.0,18778.75,18992.32,12604,2393.79,2323, 10600, 84.10
27-Apr-2020,19401.0,19560.3,19150.0,19505.15, 19510.00,19130.45,19389.03,5023,973.91,1342, 4178, 83.18
28-Apr-2020,19799.0,19799.0,18811.0,19297.95, 19335.00,19505.15,19354.01,1370,265.15,871, 608, 44.38
29-Apr-2020,19489.0,19594.0,19000.0,19544.6,19400.0,19297.95,19450.59,3547,689.91,1724, 1817, 51.23
30-Apr-2020,19559.15,19957.0,19200.3,19400.2,19255.0,19544.6,19761.21,5403,1067.7,2613, 3461, 64.06
04-May-2020,19110.05,19240.0,18737.6,18828.5, 18805.00,19400.2,18876.09,2584,487.76,1356, 1612, 62.38
