date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
06-Jan-2020,1321.95,1340.0,1275.0,1287.0, 1285.00,1322.25,1293.36,31293,404.73,2997, 16769, 53.59
07-Jan-2020,1298.0,1315.0,1289.0,1306.75, 1299.95,1287.0,1302.89,27246,354.99,2127, 10635, 39.03
08-Jan-2020,1300.0,1318.0,1285.05,1310.7, 1307.40,1306.75,1300.71,16798,218.49,2054, 7900, 47.03
09-Jan-2020,1319.0,1339.0,1285.0,1322.1, 1337.40,1310.7,1313.47,49113,645.08,2834, 18860, 38.40
10-Jan-2020,1337.4,1405.8,1331.5,1372.4, 1378.00,1322.1,1378.65,147240,2029.92,10878, 36074, 24.50
13-Jan-2020,1379.4,1411.0,1370.1,1376.85, 1379.00,1372.4,1385.82,37463,519.17,3647, 20961, 55.95
14-Jan-2020,1372.0,1411.0,1362.0,1369.2, 1369.00,1376.85,1387.62,96552,1339.77,5496, 66834, 69.22
15-Jan-2020,1373.8,1373.8,1315.0,1327.05, 1328.55,1369.2,1332.88,89843,1197.5,12396, 56439, 62.82
16-Jan-2020,1332.0,1345.0,1295.1,1306.35, 1300.05,1327.05,1317.07,68577,903.2,9011, 42670, 62.22
17-Jan-2020,1307.15,1314.75,1292.05,1302.75, 1309.00,1306.35,1304.24,35098,457.76,4454, 16783, 47.82
20-Jan-2020,1303.0,1316.0,1280.0,1290.6, 1287.85,1302.75,1300.32,38416,499.53,3317, 15986, 41.61
21-Jan-2020,1290.0,1319.45,1286.0,1310.15, 1311.00,1290.6,1309.98,37591,492.43,2047, 24250, 64.51
22-Jan-2020,1315.0,1315.35,1295.0,1303.3, 1304.55,1310.15,1304.81,14625,190.83,1351, 8076, 55.22
23-Jan-2020,1309.0,1320.0,1302.0,1316.4, 1319.00,1303.3,1312.24,13495,177.09,1082, 8123, 60.19
24-Jan-2020,1318.0,1364.85,1301.45,1329.05,1321.0,1316.4,1333.31,198401,2645.31,5750, 101758, 51.29
27-Jan-2020,1312.0,1360.0,1312.0,1339.6, 1345.00,1329.05,1343.68,45579,612.44,3895, 17902, 39.28
28-Jan-2020,1340.85,1352.0,1324.0,1329.75, 1336.00,1339.6,1338.42,18818,251.86,2073, 5033, 26.75
29-Jan-2020,1331.0,1355.15,1331.0,1342.25, 1341.70,1329.75,1343.88,17111,229.95,1338, 7252, 42.38
30-Jan-2020,1323.0,1346.85,1323.0,1331.75, 1332.00,1342.25,1330.92,22645,301.39,2198, 12356, 54.56
31-Jan-2020,1349.0,1349.0,1295.0,1310.7, 1304.95,1331.75,1323.19,16129,213.42,2299, 7881, 48.86
01-Feb-2020,1313.0,1328.55,1266.0,1281.25,1270.0,1310.7,1301.81,20836,271.25,1960, 10670, 51.21
03-Feb-2020,1282.0,1315.0,1282.0,1292.3, 1298.00,1281.25,1295.48,20304,263.03,3495, 8773, 43.21
04-Feb-2020,1301.0,1324.0,1293.8,1311.3, 1310.05,1292.3,1308.75,21892,286.51,1867, 8094, 36.97
05-Feb-2020,1318.0,1348.0,1313.95,1338.5, 1335.00,1311.3,1335.42,38870,519.08,3713, 15193, 39.09
06-Feb-2020,1339.7,1360.95,1324.3,1339.45, 1334.95,1338.5,1341.17,25507,342.09,2070, 8232, 32.27
07-Feb-2020,1333.0,1340.0,1316.0,1328.95, 1332.00,1339.45,1326.21,35789,474.64,1913, 18121, 50.63
10-Feb-2020,1332.0,1379.0,1317.0,1341.95, 1340.00,1328.95,1360.73,186488,2537.6,8704, 27684, 14.84
11-Feb-2020,1349.0,1365.0,1322.0,1334.2, 1328.00,1341.95,1344.06,45537,612.04,3611, 14536, 31.92
12-Feb-2020,1339.8,1344.0,1255.2,1274.45, 1267.00,1334.2,1292.92,290668,3758.11,16576, 60864, 20.94
13-Feb-2020,1273.0,1278.15,1226.15,1268.65, 1270.00,1274.45,1244.8,208984,2601.43,12735, 79926, 38.25
14-Feb-2020,1268.85,1280.0,1229.35,1233.1, 1230.00,1268.65,1244.36,56198,699.31,4186, 28006, 49.83
17-Feb-2020,1254.0,1254.0,1213.0,1223.5, 1221.05,1233.1,1223.44,85129,1041.51,5258, 57155, 67.14
18-Feb-2020,1220.5,1227.0,1200.7,1205.1, 1203.00,1223.5,1208.18,41542,501.9,3432, 19469, 46.87
19-Feb-2020,1210.0,1229.0,1202.0,1209.75, 1213.00,1205.1,1218.09,40075,488.15,2924, 14269, 35.61
20-Feb-2020,1213.9,1246.9,1213.35,1230.9, 1228.65,1209.75,1232.06,48608,598.88,4641, 20858, 42.91
24-Feb-2020,1225.0,1225.0,1190.0,1191.95, 1192.00,1230.9,1201.45,44916,539.64,4395, 30551, 68.02
25-Feb-2020,1192.0,1217.9,1192.0,1200.2, 1202.00,1191.95,1203.69,24401,293.71,1956, 12680, 51.97
26-Feb-2020,1195.0,1212.35,1190.0,1201.4, 1200.00,1200.2,1202.29,25367,304.99,2002, 9992, 39.39
27-Feb-2020,1198.0,1203.0,1189.0,1198.6, 1198.00,1201.4,1197.17,40112,480.21,2688, 29530, 73.62
28-Feb-2020,1188.0,1195.0,1175.0,1185.0, 1185.10,1198.6,1186.63,39171,464.82,2436, 28335, 72.34
02-Mar-2020,1185.0,1198.9,1182.05,1190.2, 1190.00,1185.0,1190.99,99510,1185.16,2500, 85037, 85.46
03-Mar-2020,1199.0,1204.85,1154.0,1161.0, 1162.00,1190.2,1166.04,45482,530.34,3437, 26170, 57.54
04-Mar-2020,1168.95,1178.65,1150.0,1157.15, 1155.00,1161.0,1157.64,41444,479.77,4791, 28061, 67.71
05-Mar-2020,1167.8,1185.0,1160.0,1180.55, 1182.00,1157.15,1176.4,27103,318.84,2360, 15760, 58.15
06-Mar-2020,1168.0,1221.0,1155.0,1191.9, 1220.00,1180.55,1169.71,36939,432.08,2225, 25383, 68.72
09-Mar-2020,1180.0,1192.75,1096.7,1129.85, 1130.00,1191.9,1145.85,81699,936.15,9472, 58576, 71.70
11-Mar-2020,1130.0,1143.0,1096.5,1109.45, 1110.05,1129.85,1110.05,55300,613.86,5344, 37131, 67.14
12-Mar-2020,1087.95,1087.95,1000.0,1038.6, 1040.00,1109.45,1024.93,57759,591.99,5968, 32303, 55.93
13-Mar-2020,1008.7,1029.95,830.9,1006.8, 1020.00,1038.6,995.55,113247,1127.43,9113, 76038, 67.14
16-Mar-2020,1000.0,1018.45,947.0,963.85, 970.00,1006.8,959.39,492097,4721.14,7345, 464608, 94.41
17-Mar-2020,980.0,980.0,920.0,948.8, 940.00,963.85,946.83,48674,460.86,8810, 21444, 44.06
18-Mar-2020,974.0,974.0,899.3,905.1, 907.00,948.8,915.96,32597,298.57,3746, 15185, 46.58
19-Mar-2020,880.0,925.0,835.0,895.9, 901.95,905.1,846.16,280603,2374.34,5218, 246173, 87.73
20-Mar-2020,898.5,969.95,851.05,949.55, 950.00,895.9,916.25,42124,385.96,4482, 18008, 42.75
23-Mar-2020,825.0,999.0,805.0,863.05, 881.00,949.55,836.05,58987,493.16,4831, 36007, 61.04
24-Mar-2020,900.0,900.0,821.2,830.15, 830.00,863.05,840.91,34599,290.95,2929, 19949, 57.66
25-Mar-2020,801.0,850.0,801.0,834.55, 826.00,830.15,830.65,58627,486.99,6063, 35140, 59.94
26-Mar-2020,835.7,870.2,829.55,861.3, 860.00,834.55,857.96,29477,252.9,2814, 14412, 48.89
27-Mar-2020,915.15,915.15,835.0,852.5, 850.95,861.3,860.57,34666,298.32,3979, 16290, 46.99
30-Mar-2020,839.55,889.0,826.0,881.4, 880.00,852.5,848.32,30325,257.25,4139, 14633, 48.25
