date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
24-Aug-2023,907.95,934.0,892.05,895.15, 895.80,890.4,909.75,1134578,10321.84,37263, 578211, 50.96
25-Aug-2023,895.15,898.85,865.0,874.55, 872.10,895.15,879.53,983333,8648.71,35611, 507581, 51.62
28-Aug-2023,895.0,899.0,860.0,864.95, 866.00,874.55,873.78,995290,8696.68,32281, 480607, 48.29
29-Aug-2023,869.1,875.1,852.6,857.15, 856.00,864.95,863.11,1218219,10514.56,32322, 553098, 45.40
30-Aug-2023,861.85,864.85,840.0,841.7, 842.10,857.15,849.86,857053,7283.72,26966, 459596, 53.63
31-Aug-2023,820.0,830.75,800.1,811.95, 812.00,841.7,818.32,1636383,13390.8,48876, 750240, 45.85
01-Sep-2023,803.85,835.85,791.05,824.9, 824.60,811.95,817.05,1204025,9837.53,38962, 406833, 33.79
04-Sep-2023,830.0,834.9,815.0,817.6, 815.90,824.9,821.59,825805,6784.73,26358, 437602, 52.99
05-Sep-2023,821.65,825.85,811.5,813.45, 813.00,817.6,817.29,684436,5593.85,25455, 362766, 53.00
06-Sep-2023,815.05,859.45,809.0,855.95, 853.00,813.45,835.89,8646350,72273.86,113875, 4342781, 50.23
07-Sep-2023,858.9,858.9,833.1,839.4, 836.00,855.95,846.62,6099751,51641.62,78843, 3417637, 56.03
08-Sep-2023,843.8,846.0,831.0,833.0, 835.00,839.4,839.13,937304,7865.23,25814, 336413, 35.89
11-Sep-2023,843.4,877.0,838.0,874.9, 874.80,833.0,856.55,6691473,57315.89,98345, 3517811, 52.57
12-Sep-2023,880.0,888.75,834.2,852.3, 849.65,874.9,860.7,5946118,51178.3,87912, 2973464, 50.01
13-Sep-2023,852.3,854.9,832.0,836.9, 837.40,852.3,840.67,703403,5913.32,24446, 270589, 38.47
14-Sep-2023,840.9,855.1,835.0,851.75, 849.90,836.9,845.56,4528205,38288.67,60858, 2358059, 52.07
15-Sep-2023,853.2,859.9,839.05,846.1, 840.05,851.75,847.63,7152425,60626.36,80190, 4188635, 58.56
18-Sep-2023,873.85,873.85,846.2,855.1, 854.15,846.1,855.94,6408916,54856.71,78911, 3190183, 49.78
20-Sep-2023,859.0,860.0,843.95,855.2, 856.90,855.1,852.29,4608210,39275.38,60967, 2407538, 52.24
21-Sep-2023,853.5,857.0,844.65,847.35, 848.00,855.2,851.42,771656,6570.02,18783, 308487, 39.98
22-Sep-2023,855.0,858.0,835.0,839.1, 838.00,847.35,844.66,543417,4590.04,15581, 213808, 39.35
25-Sep-2023,838.0,844.0,827.6,830.4, 829.00,839.1,834.6,404295,3374.26,16695, 165300, 40.89
26-Sep-2023,825.0,837.25,811.65,817.85, 817.00,830.4,824.75,584558,4821.13,24000, 278535, 47.65
27-Sep-2023,822.6,822.75,812.55,816.2, 816.40,817.85,817.68,443309,3624.86,15224, 224168, 50.57
28-Sep-2023,817.0,839.65,816.4,830.5, 823.00,816.2,828.79,861650,7141.3,29394, 399101, 46.32
29-Sep-2023,825.05,825.9,807.2,810.25, 811.80,830.5,813.79,1106739,9006.5,36014, 508590, 45.95
03-Oct-2023,815.9,816.8,806.7,807.75, 808.60,810.25,810.07,506021,4099.13,21880, 296980, 58.69
04-Oct-2023,807.7,826.95,801.05,808.1, 806.95,807.75,814.39,711980,5798.26,23436, 205877, 28.92
05-Oct-2023,812.5,815.5,805.3,807.7, 807.10,808.1,810.12,252701,2047.18,12203, 104311, 41.28
06-Oct-2023,810.35,815.9,804.5,806.0, 806.30,807.7,808.9,265517,2147.77,10586, 115724, 43.58
09-Oct-2023,806.0,806.0,772.4,778.9, 775.70,806.0,784.82,559255,4389.16,25509, 269400, 48.17
10-Oct-2023,778.0,790.3,777.15,786.0, 788.50,778.9,785.3,360806,2833.4,13335, 138308, 38.33
11-Oct-2023,792.0,807.0,791.2,798.2, 801.00,786.0,798.62,655215,5232.65,17275, 340382, 51.95
12-Oct-2023,801.1,806.95,792.0,793.7, 792.55,798.2,797.02,230980,1840.96,11180, 102432, 44.35
13-Oct-2023,792.85,793.7,783.0,785.2, 787.00,793.7,786.97,269417,2120.24,16917, 135266, 50.21
16-Oct-2023,786.0,786.65,773.0,774.75, 774.40,785.2,777.08,312993,2432.21,16769, 180281, 57.60
17-Oct-2023,778.0,787.0,771.0,774.9,773.5,774.75,779.69,351835,2743.21,15793, 162605, 46.22
18-Oct-2023,775.0,779.45,762.15,764.9, 766.00,774.9,769.35,346049,2662.34,14519, 182108, 52.62
19-Oct-2023,764.9,765.9,755.55,759.4,761.0,764.9,759.45,356701,2708.98,16400, 188153, 52.75
20-Oct-2023,760.95,776.95,759.4,764.35, 762.75,759.4,765.84,516923,3958.83,21690, 172705, 33.41
23-Oct-2023,768.7,768.7,734.05,735.8, 740.00,764.35,745.59,485683,3621.19,24240, 249310, 51.33
