date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,209.0,210.45,206.65,207.85, 207.55,208.35,208.21,1553127,3233.77,10641, 238996, 15.39
02-Jan-2020,208.0,213.2,207.5,211.2, 210.90,207.85,210.76,2991937,6305.94,19649, 497418, 16.63
03-Jan-2020,210.25,212.35,205.8,208.3, 208.35,211.2,208.83,2512421,5246.74,14792, 497223, 19.79
06-Jan-2020,207.75,207.75,197.75,199.55, 199.35,208.3,200.83,4353179,8742.54,25330, 715111, 16.43
07-Jan-2020,200.55,205.7,200.55,204.05, 202.95,199.55,203.44,2966120,6034.38,17757, 421095, 14.20
08-Jan-2020,201.0,203.55,194.55,201.5, 200.50,204.05,199.39,5762654,11490.29,35823, 422064, 7.32
09-Jan-2020,201.9,208.9,201.9,208.0, 208.00,201.5,205.9,3496063,7198.31,20369, 626207, 17.91
10-Jan-2020,208.0,213.0,205.9,209.1, 210.50,208.0,208.64,2769132,5777.5,16595, 459379, 16.59
13-Jan-2020,210.65,216.25,209.6,213.6, 212.60,209.1,213.6,3527267,7534.32,20596, 381541, 10.82
14-Jan-2020,213.45,215.5,211.85,214.35, 213.05,213.6,213.78,1775182,3795.06,10469, 237545, 13.38
15-Jan-2020,214.5,218.0,212.5,216.6, 218.00,214.35,215.4,1982079,4269.38,11161, 370145, 18.67
16-Jan-2020,217.7,222.5,217.0,220.0, 219.50,216.6,220.12,4280379,9421.8,27655, 404320, 9.45
17-Jan-2020,216.0,229.25,213.7,228.4, 227.75,220.0,222.44,10810744,24047.53,48991, 3122170, 28.88
20-Jan-2020,229.55,232.25,224.15,226.55, 225.95,228.4,227.45,4546367,10340.66,31281, 359424, 7.91
21-Jan-2020,224.35,227.0,220.5,224.25, 223.65,226.55,224.05,2813526,6303.69,19279, 212413, 7.55
22-Jan-2020,224.8,228.0,221.15,225.9, 225.40,224.25,225.51,2939366,6628.59,19573, 292711, 9.96
