date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,169.35,174.75,168.1,174.75, 174.75,166.45,173.41,5417952,9395.12,35158, 1451570, 26.79
02-Jan-2020,179.15,183.45,177.55,183.45, 183.45,174.75,181.19,3087009,5593.24,23173, 1096256, 35.51
03-Jan-2020,187.8,192.6,183.0,192.6, 192.60,183.45,190.64,3670040,6996.43,23947, 924520, 25.19
06-Jan-2020,200.0,202.2,185.55,200.6, 202.20,192.6,197.8,9497209,18785.2,73862, 1902495, 20.03
07-Jan-2020,208.0,210.6,203.0,210.6, 210.60,200.6,209.46,2126797,4454.8,15650, 853105, 40.11
08-Jan-2020,215.8,221.1,214.45,221.1, 221.10,210.6,219.86,1181338,2597.32,7085, 573389, 48.54
09-Jan-2020,232.15,232.15,232.15,232.15, 232.15,221.1,232.15,273048,633.88,1276, 273048, 100.00
10-Jan-2020,243.75,243.75,220.55,220.55, 220.55,232.15,234.78,3337546,7835.77,24049, 1746735, 52.34
13-Jan-2020,209.55,209.55,209.55,209.55, 209.55,220.55,209.55,118786,248.92,1642, 118786, 100.00
14-Jan-2020,199.1,199.1,199.1,199.1, 199.10,209.55,199.1,80682,160.64,1425, 80681, 100.00
15-Jan-2020,189.15,189.15,189.15,189.15, 189.15,199.1,189.15,52323,98.97,1191, 52323, 100.00
16-Jan-2020,179.7,179.7,179.7,179.7, 179.70,189.15,179.7,60474,108.67,2210, 60464, 99.98
17-Jan-2020,175.1,188.65,172.3,188.65, 188.65,179.7,182.15,6703516,12210.71,40912, 2325592, 34.69
20-Jan-2020,198.05,198.05,185.0,198.05, 198.05,188.65,194.95,2840614,5537.84,28053, 1215463, 42.79
21-Jan-2020,199.0,207.0,192.0,202.25, 200.20,198.05,202.04,3506909,7085.35,39015, 1169586, 33.35
22-Jan-2020,204.0,208.95,194.55,197.65, 197.60,202.25,201.43,1754417,3533.89,21152, 665134, 37.91
23-Jan-2020,199.2,199.9,190.0,192.2, 191.55,197.65,193.32,1336193,2583.08,17717, 547532, 40.98
24-Jan-2020,187.5,194.9,182.6,190.25,189.25,192.2,187.05,2518115,4710.2,28679, 797019, 31.65
27-Jan-2020,189.0,194.1,186.5,190.75, 190.70,190.25,191.97,881601,1692.42,9913, 379144, 43.01
28-Jan-2020,191.5,196.5,186.1,187.65, 189.95,190.75,190.82,957274,1826.68,11900, 391718, 40.92
29-Jan-2020,188.0,191.0,185.05,186.3, 186.05,187.65,186.72,631830,1179.78,10351, 306694, 48.54
30-Jan-2020,186.9,187.9,177.65,180.45, 180.60,186.3,180.7,1024133,1850.6,13500, 538599, 52.59
31-Jan-2020,182.5,189.45,176.85,189.45, 189.45,180.45,185.93,862006,1602.73,10219, 413449, 47.96
03-Feb-2020,186.85,196.15,186.0,196.15, 196.15,186.85,192.36,1171000,2252.51,15053, 613992, 52.43
04-Feb-2020,201.9,205.95,190.1,198.0, 198.20,196.15,199.47,3984199,7947.37,57318, 1277550, 32.07
05-Feb-2020,196.0,203.8,190.8,193.25, 192.40,198.0,195.82,1320812,2586.48,19187, 486174, 36.81
06-Feb-2020,193.0,202.9,190.5,202.9, 202.90,193.25,199.76,2711020,5415.43,19713, 1006549, 37.13
07-Feb-2020,208.95,213.0,206.25,213.0, 213.00,202.9,212.15,2674856,5674.67,13050, 903427, 33.77
10-Feb-2020,219.9,221.65,207.0,213.35, 212.50,213.0,214.46,2063806,4426.13,26793, 890875, 43.17
