date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,61.8,64.3,61.55,63.9, 63.70,61.8,63.25,16415397,10382.71,35031, 2861554, 17.43
02-Jan-2020,64.0,64.85,63.4,64.45, 64.25,63.9,64.19,10996418,7058.18,26941, 2394735, 21.78
03-Jan-2020,64.4,64.95,62.7,63.25, 63.20,64.45,63.88,8114232,5183.3,18570, 1734020, 21.37
06-Jan-2020,63.0,63.25,59.5,60.1, 60.10,63.25,60.73,9700870,5891.09,19296, 1964761, 20.25
07-Jan-2020,60.35,61.75,59.65,61.0, 60.60,60.1,60.89,8704020,5299.84,18340, 1543625, 17.73
08-Jan-2020,60.4,60.55,58.0,59.85, 59.55,61.0,59.63,11149419,6648.68,21635, 2476373, 22.21
09-Jan-2020,60.35,61.6,60.1,61.15, 60.90,59.85,60.87,9268945,5641.69,17962, 1958821, 21.13
10-Jan-2020,61.25,62.5,60.95,61.2, 61.15,61.15,61.67,6911234,4261.94,16153, 1483697, 21.47
13-Jan-2020,61.3,62.7,60.75,62.3, 62.25,61.2,61.86,11404017,7054.1,15823, 2370788, 20.79
14-Jan-2020,62.4,63.25,62.1,62.45, 62.25,62.3,62.72,5833027,3658.42,14382, 1241081, 21.28
15-Jan-2020,62.2,64.05,61.7,63.3, 63.15,62.45,63.22,9760457,6170.29,18975, 1509151, 15.46
16-Jan-2020,63.1,65.25,62.8,64.95, 64.60,63.3,64.24,8761628,5628.87,17843, 1748706, 19.96
17-Jan-2020,64.5,65.95,64.2,64.6, 64.40,64.95,64.97,8843288,5745.3,24948, 1526857, 17.27
20-Jan-2020,64.6,65.2,62.95,63.35, 63.00,64.6,63.86,6195478,3956.37,12128, 1540281, 24.86
21-Jan-2020,62.9,63.55,62.4,62.75, 62.65,63.35,62.98,4651073,2929.06,11527, 693800, 14.92
22-Jan-2020,62.9,63.4,62.25,62.5, 62.55,62.75,62.76,3354431,2105.14,9138, 470637, 14.03
23-Jan-2020,62.6,63.7,62.3,63.35, 63.15,62.5,63.16,4473067,2825.22,11974, 829996, 18.56
24-Jan-2020,63.2,64.45,62.55,63.55,63.6,63.35,63.66,5429840,3456.85,15573, 947497, 17.45
27-Jan-2020,63.35,65.25,62.7,64.7, 64.30,63.55,64.18,8398543,5389.8,19422, 2441086, 29.07
28-Jan-2020,64.65,65.4,63.55,63.8, 63.90,64.7,64.53,7444387,4803.92,20371, 947960, 12.73
29-Jan-2020,64.1,65.1,63.85,64.05, 63.90,63.8,64.44,5907232,3806.62,12018, 825352, 13.97
30-Jan-2020,64.15,64.15,62.2,62.7, 62.45,64.05,63.05,4508995,2843.11,9981, 747023, 16.57
31-Jan-2020,62.8,63.2,60.5,61.05, 61.00,62.7,61.62,5754033,3545.63,11499, 1675949, 29.13
03-Feb-2020,60.0,60.05,58.3,59.0, 59.00,59.85,59.02,6340354,3742.02,12971, 1316687, 20.77
04-Feb-2020,59.05,60.7,59.05,60.45, 60.45,59.0,60.22,5643410,3398.42,10899, 1135433, 20.12
05-Feb-2020,60.6,62.65,60.5,62.0, 61.90,60.45,61.48,4945952,3040.53,16839, 1151805, 23.29
06-Feb-2020,62.3,62.35,60.5,60.8, 60.60,62.0,61.27,10491714,6428.39,32478, 2075994, 19.79
07-Feb-2020,60.7,61.8,60.2,60.85, 60.75,60.8,61.02,4877776,2976.24,10460, 611734, 12.54
10-Feb-2020,61.0,61.0,59.2,59.9, 59.70,60.85,59.9,6218372,3724.8,17927, 1615007, 25.97
11-Feb-2020,59.8,61.0,59.5,60.15, 60.10,59.9,60.12,5724445,3441.78,17046, 1500235, 26.21
12-Feb-2020,60.15,61.1,59.8,60.45, 60.45,60.15,60.36,4788293,2890.34,17631, 760136, 15.87
13-Feb-2020,60.6,61.15,59.6,60.1, 60.05,60.45,60.55,6296965,3812.99,11298, 997870, 15.85
14-Feb-2020,60.25,60.5,58.9,59.6, 59.35,60.1,59.59,7427284,4426.08,10606, 1872831, 25.22
17-Feb-2020,59.3,59.45,56.55,57.55, 56.80,59.6,58.32,4879254,2845.7,11523, 984290, 20.17
18-Feb-2020,56.1,57.0,55.25,56.75, 56.55,57.55,56.36,9016531,5081.9,16258, 1025093, 11.37
19-Feb-2020,57.25,59.1,56.45,58.45, 58.30,56.75,57.72,7146637,4124.81,11967, 1410877, 19.74
20-Feb-2020,58.25,58.9,57.2,57.65, 57.45,58.45,58.05,4518689,2623.04,9164, 574743, 12.72
24-Feb-2020,57.0,57.75,55.8,56.05, 55.90,57.65,56.83,2857286,1623.75,8385, 552113, 19.32
25-Feb-2020,56.1,57.1,55.7,56.05, 56.00,56.05,56.33,4336908,2443.16,8916, 706047, 16.28
26-Feb-2020,55.55,56.15,53.8,54.45, 54.30,56.05,54.95,9107030,5004.47,12907, 1942086, 21.33
27-Feb-2020,54.5,54.7,52.4,52.8, 52.95,54.45,53.06,6132453,3253.59,10466, 1141854, 18.62
28-Feb-2020,51.0,51.7,46.5,47.3, 47.60,52.8,48.58,12816929,6226.8,23633, 2914482, 22.74
02-Mar-2020,49.2,50.05,46.45,47.05, 46.75,47.3,48.68,9497793,4623.18,21981, 1483814, 15.62
03-Mar-2020,48.05,49.65,47.75,48.9, 48.60,47.05,48.62,7774434,3780.24,13967, 1130562, 14.54
04-Mar-2020,48.5,48.9,46.0,47.65, 47.30,48.9,47.46,9510975,4514.03,14337, 802606, 8.44
05-Mar-2020,47.5,48.3,46.35,46.75, 46.50,47.65,47.23,9256866,4372.47,20637, 1628127, 17.59
06-Mar-2020,43.0,44.6,42.15,44.1, 44.00,46.75,44.03,5363133,2361.55,11002, 616110, 11.49
