date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
13-Jan-2021,367.3,369.9,355.1,363.8, 362.90,365.9,364.89,1171644,4275.27,10711, 803045, 68.54
14-Jan-2021,364.6,364.6,353.0,361.1, 361.05,363.8,360.17,949106,3418.39,9433, 778467, 82.02
15-Jan-2021,360.5,368.0,357.35,359.95,359.3,361.1,362.19,1026453,3717.67,10294, 805132, 78.44
18-Jan-2021,362.0,362.1,341.0,352.25, 346.80,359.95,349.98,956310,3346.86,14198, 612127, 64.01
19-Jan-2021,349.95,360.85,349.3,358.7, 358.00,352.25,357.71,903527,3232.0,11493, 669837, 74.14
20-Jan-2021,358.25,364.4,356.45,362.4, 362.10,358.7,361.56,791203,2860.7,9593, 537801, 67.97
21-Jan-2021,365.0,365.6,354.0,356.75, 358.00,362.4,360.78,1014163,3658.87,7635, 801006, 78.98
22-Jan-2021,356.75,365.0,348.5,363.6, 363.50,356.75,359.33,929784,3340.96,13909, 588930, 63.34
25-Jan-2021,369.45,389.0,368.0,377.65, 376.40,363.6,379.5,2678649,10165.42,27114, 1539736, 57.48
27-Jan-2021,375.0,385.0,371.75,380.1, 379.30,377.65,380.78,1432418,5454.32,11690, 916807, 64.00
28-Jan-2021,377.95,382.2,363.4,379.3, 380.00,380.1,379.05,1133260,4295.66,9864, 741179, 65.40
29-Jan-2021,382.3,389.4,377.75,381.05, 380.10,379.3,382.48,1112580,4255.43,11598, 760326, 68.34
01-Feb-2021,385.25,391.2,381.05,389.1, 386.35,381.05,386.88,2008106,7768.87,16941, 1075548, 53.56
02-Feb-2021,392.0,406.95,387.2,401.1, 401.10,389.1,399.29,1676396,6693.64,23631, 726958, 43.36
03-Feb-2021,405.8,413.15,382.15,389.65, 395.80,401.1,399.4,1325312,5293.34,19086, 606563, 45.77
04-Feb-2021,395.8,400.0,386.0,388.05, 390.20,389.65,393.02,652627,2564.96,11492, 379519, 58.15
05-Feb-2021,391.0,395.35,379.0,382.05, 381.00,388.05,385.4,441742,1702.49,9175, 250982, 56.82
08-Feb-2021,385.75,388.65,380.55,382.7, 381.95,382.05,383.76,968925,3718.3,9766, 767389, 79.20
09-Feb-2021,384.0,385.45,380.15,382.85, 382.80,382.7,382.86,825573,3160.76,11263, 617937, 74.85
10-Feb-2021,384.9,384.9,376.2,382.3,381.0,382.85,382.38,786555,3007.62,10128, 599103, 76.17
11-Feb-2021,384.25,390.0,377.15,379.2,379.1,382.3,382.97,909606,3483.53,7679, 698940, 76.84
12-Feb-2021,381.5,383.4,378.25,382.55,381.0,379.2,382.13,1219553,4660.29,11604, 907013, 74.37
15-Feb-2021,387.0,435.0,386.1,426.95, 434.80,382.55,418.87,4704910,19707.47,56817, 1834791, 39.00
16-Feb-2021,441.0,508.9,437.0,497.0, 503.00,426.95,481.39,9004169,43345.51,134094, 2553130, 28.35
17-Feb-2021,521.0,542.8,497.2,509.95, 500.00,497.0,528.11,5856367,30927.79,84416, 1884990, 32.19
18-Feb-2021,515.0,538.0,506.6,509.6,513.0,509.95,515.94,3727434,19231.21,53615, 1690324, 45.35
19-Feb-2021,513.0,519.9,458.65,497.65,501.4,509.6,490.72,2497892,12257.66,49090, 868546, 34.77
22-Feb-2021,502.5,510.2,490.0,497.95,492.7,497.65,498.73,1714429,8550.35,25533, 719195, 41.95
23-Feb-2021,507.0,508.45,478.0,486.0, 485.80,497.95,491.22,899932,4420.61,25515, 374408, 41.60
24-Feb-2021,490.0,509.05,474.1,500.15, 498.75,486.0,494.28,847307,4188.11,18685, 327573, 38.66
25-Feb-2021,504.0,508.25,495.1,500.4, 500.00,500.15,502.91,1189419,5981.73,15800, 683728, 57.48
