date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,804.0,809.85,792.0,797.7, 792.00,803.1,798.55,89721,716.47,7416, 43292, 48.25
02-Jan-2020,793.5,801.05,793.05,795.9, 796.00,797.7,797.51,63607,507.27,3923, 31773, 49.95
03-Jan-2020,796.8,802.5,792.0,797.95, 794.00,795.9,796.66,90898,724.15,6087, 45380, 49.92
06-Jan-2020,793.0,800.15,786.25,791.5, 792.55,797.95,791.1,113478,897.73,8550, 69956, 61.65
07-Jan-2020,792.0,808.05,788.0,800.7, 799.75,791.5,796.24,2846702,22666.61,31900, 2569187, 90.25
08-Jan-2020,794.0,845.95,790.5,835.9, 837.80,800.7,822.79,2468402,20309.83,53227, 1618619, 65.57
09-Jan-2020,843.75,851.0,826.35,836.35, 828.00,835.9,841.87,1015164,8546.34,27396, 733167, 72.22
10-Jan-2020,833.9,841.5,821.0,824.65, 822.15,836.35,834.48,302585,2525.0,12193, 211179, 69.79
13-Jan-2020,830.0,843.0,825.2,838.5, 839.50,824.65,838.64,232878,1953.02,7359, 169367, 72.73
14-Jan-2020,841.0,850.0,837.0,847.6, 848.30,838.5,842.11,330755,2785.31,10448, 214760, 64.93
15-Jan-2020,850.05,864.95,844.05,857.45, 853.00,847.6,856.29,522094,4470.65,15762, 327734, 62.77
16-Jan-2020,859.4,884.7,859.4,877.45, 878.35,857.45,870.88,592539,5160.32,13300, 392585, 66.25
17-Jan-2020,883.0,888.5,865.55,877.75, 875.25,877.45,879.96,353839,3113.63,16456, 209114, 59.10
20-Jan-2020,884.0,892.0,875.0,885.9, 888.95,877.75,883.83,448322,3962.39,9027, 358109, 79.88
21-Jan-2020,884.0,892.0,875.5,888.35, 889.95,885.9,886.91,255520,2266.24,7539, 151551, 59.31
22-Jan-2020,892.15,899.4,882.25,887.05, 885.00,888.35,887.93,255835,2271.64,12494, 153865, 60.14
23-Jan-2020,911.0,1008.0,911.0,974.55, 976.00,887.05,971.23,4978519,48352.71,129369, 1948181, 39.13
24-Jan-2020,980.0,1097.9,972.0,1070.7,1094.0,974.55,1036.06,4188396,43394.49,135331, 1201116, 28.68
27-Jan-2020,1080.0,1105.0,999.0,1022.05, 1010.00,1070.7,1059.93,2719116,28820.7,118500, 1121697, 41.25
28-Jan-2020,1009.8,1050.0,1005.0,1043.8, 1050.00,1022.05,1032.83,829489,8567.25,47175, 264015, 31.83
29-Jan-2020,1060.0,1069.0,1033.0,1046.65, 1041.00,1043.8,1048.71,284068,2979.06,16915, 76368, 26.88
