date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,754.9,759.95,747.2,748.7, 748.75,754.1,751.81,4917748,36972.21,80824, 988375, 20.10
02-Jan-2020,750.0,759.0,747.6,756.95, 756.00,748.7,753.82,5156046,38867.39,88337, 1572942, 30.51
03-Jan-2020,753.15,756.25,740.5,742.95, 742.40,756.95,746.33,8489729,63361.65,139161, 3834757, 45.17
06-Jan-2020,739.45,739.6,721.7,723.25, 722.00,742.95,728.66,6356198,46315.02,117943, 2157855, 33.95
07-Jan-2020,728.0,738.0,721.05,725.75, 726.95,723.25,728.4,9103360,66309.07,123724, 2595354, 28.51
08-Jan-2020,715.25,725.75,709.1,724.5, 723.50,725.75,719.43,8973215,64556.44,139364, 2228579, 24.84
09-Jan-2020,733.55,745.0,731.0,742.85, 740.80,724.5,740.73,7559853,55998.31,92453, 3069651, 40.60
10-Jan-2020,743.0,751.8,734.8,740.05, 739.50,742.85,742.36,8550490,63475.53,108489, 3281100, 38.37
13-Jan-2020,740.0,746.75,735.35,737.4, 737.80,740.05,740.28,6423758,47553.5,91988, 2693541, 41.93
14-Jan-2020,740.0,751.4,734.2,747.9, 746.05,737.4,742.83,7237665,53763.79,140321, 3010798, 41.60
15-Jan-2020,747.05,749.0,738.0,746.3, 745.25,747.9,742.81,7911661,58768.64,121234, 3813166, 48.20
16-Jan-2020,746.5,750.4,735.1,737.3, 737.40,746.3,741.2,6487613,48086.4,83509, 2181756, 33.63
17-Jan-2020,734.85,742.45,730.85,739.9, 737.70,737.3,738.36,7678864,56697.34,117330, 3270942, 42.60
20-Jan-2020,742.95,746.2,725.0,727.2, 727.10,739.9,732.55,10677371,78216.98,115171, 5483317, 51.35
21-Jan-2020,726.35,729.6,716.05,717.6, 717.45,727.2,722.46,8242803,59550.91,104303, 2591331, 31.44
22-Jan-2020,717.0,722.75,706.6,712.6, 709.30,717.6,712.36,13321307,94895.38,164845, 5397469, 40.52
23-Jan-2020,725.05,737.55,719.4,723.0, 723.90,712.6,727.22,20643257,150121.24,254963, 6571333, 31.83
24-Jan-2020,723.4,741.7,720.4,737.4,739.0,723.0,732.15,9541490,69858.18,116304, 2443824, 25.61
27-Jan-2020,732.45,748.45,731.0,740.25, 738.70,737.4,741.74,9170435,68020.81,131972, 3482697, 37.98
28-Jan-2020,738.4,746.5,735.0,737.15, 735.40,740.25,741.62,7836737,58118.49,107517, 3282526, 41.89
29-Jan-2020,740.0,745.5,733.55,735.25, 735.50,737.15,739.59,7985274,59058.5,120322, 3587763, 44.93
30-Jan-2020,735.75,736.4,727.3,730.9, 730.90,735.25,731.04,6041343,44164.43,97869, 2511072, 41.56
31-Jan-2020,734.7,737.25,725.2,729.3, 731.00,730.9,730.38,8345819,60956.3,92273, 3294169, 39.47
03-Feb-2020,704.7,712.8,695.55,708.95, 707.95,705.45,704.27,11594991,81660.04,420772, 4334502, 37.38
