date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,3183.0,3193.75,3142.1,3150.1, 3151.00,3185.0,3169.79,320021,10143.99,16092, 55953, 17.48
02-Jan-2020,3154.95,3172.5,3112.05,3121.0, 3121.75,3150.1,3129.6,452413,14158.7,25354, 145229, 32.10
03-Jan-2020,3125.5,3128.25,3065.0,3072.05, 3067.00,3121.0,3090.34,424311,13112.63,27302, 162278, 38.25
06-Jan-2020,3070.0,3071.6,3028.05,3037.65, 3033.00,3072.05,3039.65,355754,10813.66,23989, 155173, 43.62
07-Jan-2020,3045.5,3072.0,3030.1,3037.95, 3045.00,3037.65,3043.08,225535,6863.21,15131, 68131, 30.21
08-Jan-2020,3000.0,3073.4,3000.0,3059.25, 3057.00,3037.95,3048.93,393614,12001.0,26250, 115005, 29.22
09-Jan-2020,3076.0,3110.0,3066.05,3085.7, 3090.00,3059.25,3091.02,333029,10294.0,31766, 134815, 40.48
10-Jan-2020,3098.0,3117.0,3085.75,3101.2, 3102.00,3085.7,3099.26,455081,14104.12,28270, 231586, 50.89
13-Jan-2020,3106.0,3119.95,3080.2,3094.05, 3085.00,3101.2,3099.6,154993,4804.16,10523, 42957, 27.72
14-Jan-2020,3091.1,3118.0,3074.0,3101.6, 3107.00,3094.05,3100.6,278534,8636.22,19552, 134847, 48.41
15-Jan-2020,3101.0,3138.0,3092.0,3123.55, 3126.50,3101.6,3118.48,553613,17264.33,21233, 332617, 60.08
16-Jan-2020,3129.8,3150.0,3101.5,3112.1, 3104.55,3123.55,3121.91,287553,8977.15,15600, 144677, 50.31
17-Jan-2020,3112.0,3138.0,3098.0,3118.1, 3110.50,3112.1,3122.27,272072,8494.82,17769, 91976, 33.81
20-Jan-2020,3130.0,3144.65,3083.15,3103.7, 3103.55,3118.1,3109.0,365554,11365.06,21352, 195882, 53.58
21-Jan-2020,3096.0,3119.0,3085.5,3097.05, 3093.00,3103.7,3102.26,215722,6692.27,15113, 101065, 46.85
22-Jan-2020,3105.0,3110.0,3070.1,3076.4, 3074.85,3097.05,3082.74,269339,8303.03,18843, 153323, 56.93
23-Jan-2020,3072.0,3089.95,3051.1,3065.2, 3068.00,3076.4,3069.47,256329,7867.94,16401, 133683, 52.15
24-Jan-2020,3068.0,3092.95,3064.0,3074.15,3082.4,3065.2,3078.46,209961,6463.56,16960, 105882, 50.43
27-Jan-2020,3069.8,3122.95,3044.05,3082.6, 3079.25,3074.15,3085.34,308445,9516.56,18096, 101408, 32.88
28-Jan-2020,3089.8,3109.6,3048.0,3060.9, 3050.40,3082.6,3075.44,239986,7380.63,26462, 120743, 50.31
29-Jan-2020,3079.0,3099.0,3060.0,3091.85, 3094.75,3060.9,3087.32,243945,7531.36,24785, 122741, 50.32
30-Jan-2020,3108.5,3185.0,3041.1,3145.5, 3142.00,3091.85,3128.47,2400831,75109.32,119163, 261288, 10.88
31-Jan-2020,3150.0,3239.95,3150.0,3180.05, 3182.00,3145.5,3206.66,1141144,36592.57,67911, 346247, 30.34
03-Feb-2020,3143.0,3315.15,3115.1,3284.5, 3282.80,3143.3,3240.95,921166,29854.5,70132, 337351, 36.62
04-Feb-2020,3270.0,3313.0,3151.0,3162.8, 3160.90,3284.5,3221.67,1546450,49821.58,86685, 389230, 25.17
05-Feb-2020,3185.0,3220.9,3150.0,3161.5, 3158.00,3162.8,3180.32,646723,20567.84,40416, 188254, 29.11
06-Feb-2020,3170.0,3211.0,3141.4,3149.8, 3148.00,3161.5,3174.12,514236,16322.48,31289, 176470, 34.32
07-Feb-2020,3164.8,3189.0,3106.6,3134.85, 3135.00,3149.8,3147.6,454698,14312.09,25566, 144260, 31.73
10-Feb-2020,3138.0,3150.85,3091.7,3103.3, 3100.00,3134.85,3118.05,386072,12037.91,19938, 126810, 32.85
11-Feb-2020,3125.0,3150.0,3100.0,3145.45, 3150.00,3103.3,3142.0,274244,8616.75,21710, 101621, 37.05
12-Feb-2020,3164.7,3184.65,3136.85,3146.3, 3158.90,3145.45,3161.63,345354,10918.8,23469, 153819, 44.54
13-Feb-2020,3149.0,3172.2,3120.4,3136.4, 3130.15,3146.3,3144.13,268031,8427.23,16457, 94954, 35.43
14-Feb-2020,3145.0,3205.0,3136.8,3146.4, 3152.60,3136.4,3171.77,381580,12102.82,30267, 114100, 29.90
17-Feb-2020,3152.55,3159.45,3070.0,3075.6, 3071.95,3146.4,3100.65,269986,8371.33,19486, 56914, 21.08
18-Feb-2020,3064.7,3090.55,3033.5,3082.5, 3086.00,3075.6,3064.56,337054,10329.21,20730, 94666, 28.09
19-Feb-2020,3092.0,3111.95,3072.4,3090.9, 3091.00,3082.5,3093.6,220584,6823.98,14082, 42764, 19.39
20-Feb-2020,3091.0,3100.05,3057.65,3065.5, 3059.00,3090.9,3077.45,256115,7881.81,25529, 112002, 43.73
24-Feb-2020,3077.0,3084.65,2970.05,2980.5, 2978.00,3065.5,3017.17,499562,15072.65,36970, 202528, 40.54
25-Feb-2020,2992.0,3007.0,2931.0,2947.4, 2955.00,2980.5,2958.41,527499,15605.56,41447, 190397, 36.09
26-Feb-2020,2937.0,2974.0,2920.0,2946.6, 2935.00,2947.4,2941.94,445577,13108.63,25379, 211410, 47.45
