date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,4237.8,4252.0,4221.0,4231.3, 4231.00,4234.75,4235.35,407042,17239.65,22951, 97702, 24.00
02-Jan-2020,4240.0,4295.75,4235.0,4246.05, 4243.80,4231.3,4268.23,863844,36870.85,59073, 237293, 27.47
03-Jan-2020,4220.0,4234.8,4173.0,4193.45, 4181.05,4246.05,4205.07,1176850,49487.34,68524, 316090, 26.86
06-Jan-2020,4164.0,4204.0,3983.8,3996.7, 4004.00,4193.45,4052.84,2866735,116184.24,146938, 656087, 22.89
07-Jan-2020,4055.0,4092.0,3996.2,4007.65, 4005.90,3996.7,4033.65,2149042,86684.9,105478, 339049, 15.78
08-Jan-2020,3950.0,4060.35,3950.0,4049.95, 4051.00,4007.65,4015.94,1630576,65482.99,76621, 267927, 16.43
09-Jan-2020,4105.9,4148.0,4080.0,4124.2, 4114.00,4049.95,4120.37,1419388,58484.02,82128, 347917, 24.51
10-Jan-2020,4130.1,4185.9,4118.0,4144.85, 4146.05,4124.2,4151.07,1106624,45936.78,58883, 204100, 18.44
13-Jan-2020,4168.0,4182.25,4146.0,4164.5, 4169.00,4144.85,4162.02,645152,26851.33,40230, 180828, 28.03
14-Jan-2020,4170.0,4202.4,4150.45,4193.0, 4190.00,4164.5,4180.44,703434,29406.6,48016, 204883, 29.13
15-Jan-2020,4189.95,4220.0,4170.05,4207.25, 4206.50,4193.0,4198.64,616976,25904.58,36316, 110078, 17.84
16-Jan-2020,4190.0,4229.95,4188.0,4220.25, 4217.15,4207.25,4216.72,578728,24403.35,36690, 168519, 29.12
17-Jan-2020,4217.0,4242.0,4202.0,4231.75, 4224.15,4220.25,4228.96,671129,28381.81,51074, 274110, 40.84
20-Jan-2020,4229.0,4252.95,4125.15,4152.6, 4159.00,4231.75,4183.88,848639,35506.06,56580, 316838, 37.33
21-Jan-2020,4149.95,4186.1,4117.05,4138.6, 4135.00,4152.6,4146.68,897922,37233.94,62449, 331038, 36.87
22-Jan-2020,4186.0,4186.5,4123.35,4142.2, 4143.00,4138.6,4151.36,797901,33123.72,42630, 303026, 37.98
23-Jan-2020,4123.0,4163.85,4085.0,4125.8, 4142.00,4142.2,4119.44,1154522,47559.82,72036, 447597, 38.77
24-Jan-2020,4120.0,4205.65,4111.0,4194.5,4194.0,4125.8,4169.87,864892,36064.86,50580, 228676, 26.44
27-Jan-2020,4174.0,4208.0,4154.0,4164.35, 4163.05,4194.5,4178.59,782155,32683.03,57501, 231390, 29.58
28-Jan-2020,4150.15,4249.0,4150.15,4213.0, 4215.95,4164.35,4214.47,1052764,44368.4,72991, 243165, 23.10
29-Jan-2020,4244.9,4444.0,4215.1,4419.0, 4426.20,4213.0,4330.9,4581413,198416.41,243602, 577267, 12.60
30-Jan-2020,4464.0,4485.0,4344.85,4364.3, 4358.00,4419.0,4412.12,3577774,157855.7,232582, 926105, 25.88
31-Jan-2020,4370.0,4420.1,4333.8,4365.9, 4380.10,4364.3,4379.25,1736927,76064.34,122885, 421672, 24.28
03-Feb-2020,4250.2,4376.9,4250.2,4359.35, 4376.00,4276.05,4330.01,1094181,47378.13,72837, 228216, 20.86
04-Feb-2020,4387.95,4550.0,4377.15,4519.25, 4515.95,4359.35,4477.9,1958323,87691.74,100939, 543455, 27.75
05-Feb-2020,4515.0,4539.95,4477.65,4528.2, 4525.00,4519.25,4514.55,1285631,58040.44,81306, 386237, 30.04
06-Feb-2020,4528.2,4677.85,4525.0,4666.35, 4664.00,4528.2,4611.99,1846477,85159.4,88608, 551792, 29.88
07-Feb-2020,4663.95,4686.9,4626.1,4654.3, 4650.75,4666.35,4652.96,950326,44218.29,59173, 221894, 23.35
10-Feb-2020,4660.0,4734.0,4640.0,4721.75, 4729.60,4654.3,4689.91,1160879,54444.18,75800, 258284, 22.25
11-Feb-2020,4737.0,4785.0,4736.0,4749.35, 4755.00,4721.75,4761.55,1167429,55587.75,80205, 359595, 30.80
12-Feb-2020,4770.0,4782.2,4722.0,4768.7, 4780.00,4749.35,4757.6,882964,42007.93,64391, 243877, 27.62
13-Feb-2020,4766.0,4800.6,4735.0,4795.35, 4795.40,4768.7,4769.46,681039,32481.91,42984, 153277, 22.51
14-Feb-2020,4800.0,4815.0,4768.0,4781.75, 4785.00,4795.35,4796.55,731118,35068.47,54945, 203996, 27.90
17-Feb-2020,4781.75,4798.0,4750.05,4776.65, 4779.00,4781.75,4773.35,716484,34200.29,63968, 217791, 30.40
18-Feb-2020,4769.4,4771.95,4701.6,4758.0, 4770.00,4776.65,4736.24,728611,34508.73,58153, 202955, 27.86
19-Feb-2020,4785.0,4887.0,4780.1,4878.05, 4878.00,4758.0,4846.31,1172049,56801.15,69005, 368370, 31.43
20-Feb-2020,4867.9,4923.4,4853.75,4880.45, 4888.00,4878.05,4890.77,1634643,79946.6,60050, 911636, 55.77
24-Feb-2020,4840.0,4876.0,4751.2,4803.95, 4816.00,4880.45,4825.83,1263389,60968.98,99717, 541649, 42.87
25-Feb-2020,4849.9,4849.9,4784.0,4825.95, 4830.10,4803.95,4815.79,959309,46198.27,77006, 308294, 32.14
26-Feb-2020,4815.0,4837.75,4767.25,4810.0, 4814.55,4825.95,4809.42,851346,40944.81,67774, 306017, 35.95
27-Feb-2020,4815.0,4815.0,4712.1,4759.8, 4763.50,4810.0,4758.84,1174870,55910.22,82651, 403142, 34.31
28-Feb-2020,4640.0,4640.0,4311.75,4465.85, 4500.00,4759.8,4480.74,4941410,221411.92,260097, 1870622, 37.86
02-Mar-2020,4600.0,4617.95,4305.65,4360.75, 4364.00,4465.85,4474.58,2238216,100150.7,134008, 461424, 20.62
03-Mar-2020,4400.0,4474.95,4320.05,4454.1, 4462.90,4360.75,4409.57,2023503,89227.73,135928, 437689, 21.63
04-Mar-2020,4466.0,4496.8,4225.0,4286.4, 4279.90,4454.1,4332.34,2472991,107138.35,172801, 835138, 33.77
05-Mar-2020,4310.0,4367.55,4273.15,4330.7, 4334.00,4286.4,4326.24,1833295,79312.69,120742, 606080, 33.06
06-Mar-2020,4125.0,4238.0,4036.5,4225.85, 4238.00,4330.7,4145.84,3312238,137320.22,224893, 1151789, 34.77
09-Mar-2020,4070.0,4127.5,3945.15,4026.8, 4040.00,4225.85,4040.71,3545633,143268.81,217420, 1427708, 40.27
11-Mar-2020,4014.0,4118.9,3985.0,4030.65, 4039.00,4026.8,4054.56,2793788,113275.95,167473, 758153, 27.14
12-Mar-2020,3860.0,3869.95,3628.1,3734.35, 3729.00,4030.65,3744.89,5272622,197453.92,291600, 2539533, 48.16
13-Mar-2020,3440.0,4043.5,3281.05,3952.55, 3965.00,3734.35,3793.89,4849922,184000.64,253223, 2003075, 41.30
16-Mar-2020,3833.45,3833.45,3600.0,3672.25, 3658.30,3952.55,3677.79,3140526,115502.05,248180, 1295515, 41.25
17-Mar-2020,3702.1,3734.7,3402.0,3444.85, 3448.95,3672.25,3589.58,2558616,91843.67,169664, 852393, 33.31
