date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,102.25,102.7,101.3,101.9, 102.00,101.9,101.93,12896434,13145.09,27102, 1106315, 8.58
02-Jan-2020,102.1,104.85,101.75,104.45, 104.45,101.9,103.29,18704405,19319.88,42432, 2480926, 13.26
03-Jan-2020,103.95,103.95,100.1,100.85, 101.25,104.45,101.93,24439056,24910.66,55406, 4308223, 17.63
06-Jan-2020,99.95,99.95,95.35,95.8, 95.80,100.85,96.72,30549236,29548.53,70780, 6614515, 21.65
07-Jan-2020,97.6,98.15,94.75,96.15, 96.00,95.8,96.44,31124816,30015.34,67721, 3647586, 11.72
08-Jan-2020,94.0,95.8,93.5,95.3, 95.10,96.15,94.82,26770478,25384.88,55321, 1786923, 6.67
09-Jan-2020,97.25,98.0,96.55,97.3, 97.20,95.3,97.38,21511429,20947.33,48279, 2901560, 13.49
10-Jan-2020,97.75,98.95,96.65,97.05, 96.85,97.3,97.73,22583687,22071.0,53013, 1650105, 7.31
13-Jan-2020,97.4,98.1,97.0,97.55, 97.60,97.05,97.53,15182504,14807.28,31193, 1017380, 6.70
14-Jan-2020,97.9,98.7,96.45,97.8, 97.90,97.55,97.76,14721468,14392.29,34354, 1324821, 9.00
15-Jan-2020,97.6,98.3,96.3,98.0, 98.05,97.8,97.42,17552783,17100.37,38423, 1518831, 8.65
16-Jan-2020,98.0,99.0,97.35,97.65, 97.55,98.0,98.15,15395112,15110.12,33619, 1228641, 7.98
17-Jan-2020,96.0,98.25,95.1,97.35, 97.30,97.65,97.24,16846301,16381.14,35375, 1034536, 6.14
20-Jan-2020,97.85,97.85,94.3,94.7, 94.50,97.35,95.72,20296585,19427.22,47021, 3718882, 18.32
21-Jan-2020,94.7,95.7,94.1,94.75, 94.80,94.7,94.88,16440135,15598.98,39772, 1650652, 10.04
22-Jan-2020,95.5,95.75,93.5,94.3, 94.40,94.75,94.37,16534303,15604.13,39152, 2658379, 16.08
23-Jan-2020,94.2,96.25,94.0,94.9, 95.25,94.3,95.31,17790397,16956.14,39161, 2147682, 12.07
24-Jan-2020,95.0,96.55,94.85,95.6,95.45,94.9,95.76,21508398,20596.65,50269, 3401519, 15.81
27-Jan-2020,93.25,93.9,92.0,92.35, 92.60,95.6,92.72,44570494,41323.78,104988, 10107367, 22.68
28-Jan-2020,92.65,93.75,92.25,93.2, 93.55,92.35,92.88,23833458,22135.52,45729, 5710628, 23.96
29-Jan-2020,93.75,94.2,93.35,93.7, 93.65,93.2,93.72,14424795,13518.91,27058, 1626579, 11.28
30-Jan-2020,93.5,93.55,92.0,93.1, 93.00,93.7,92.73,18403471,17065.25,36972, 3284501, 17.85
