date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,15399.65,15539.7,15250.0,15284.8, 15264.00,15374.6,15387.91,10221,1572.8,3184, 2178, 21.31
02-Jan-2020,15320.95,15450.0,15200.0,15411.85, 15433.00,15284.8,15334.39,12982,1990.71,3988, 4379, 33.73
03-Jan-2020,15385.0,15463.9,15130.0,15172.9, 15161.10,15411.85,15251.9,12150,1853.11,3928, 4317, 35.53
06-Jan-2020,15149.95,15170.0,14760.1,14818.8, 14782.25,15172.9,14894.96,10161,1513.48,3494, 3708, 36.49
07-Jan-2020,14850.05,14999.95,14697.8,14828.0, 14890.00,14818.8,14858.49,12015,1785.25,4027, 3291, 27.39
08-Jan-2020,14742.0,14745.2,14505.7,14527.4, 14530.00,14828.0,14593.7,10878,1587.5,3921, 2875, 26.43
09-Jan-2020,14710.0,14935.0,14610.0,14879.9, 14880.20,14527.4,14779.03,10637,1572.05,4323, 3762, 35.37
10-Jan-2020,14881.0,15084.5,14733.5,14857.1, 14870.00,14879.9,14903.49,12854,1915.69,3933, 3642, 28.33
13-Jan-2020,14925.0,14940.0,14752.55,14791.3, 14782.00,14857.1,14832.37,6553,971.97,2438, 2276, 34.73
14-Jan-2020,14834.0,15199.0,14743.55,15133.3, 15159.90,14791.3,15059.71,16359,2463.62,5743, 5027, 30.73
15-Jan-2020,15130.15,15250.0,14802.0,14959.65, 14950.00,15133.3,14918.95,12863,1919.02,4937, 4369, 33.97
16-Jan-2020,15040.0,15079.1,14802.0,14825.25, 14851.20,14959.65,14917.01,14103,2103.75,4478, 7166, 50.81
17-Jan-2020,14915.0,15449.95,14858.7,15387.15, 15400.00,14825.25,15280.59,33609,5135.65,8590, 10564, 31.43
20-Jan-2020,15480.0,15550.0,14920.0,14970.35, 14999.95,15387.15,15193.23,17559,2667.78,5758, 5207, 29.65
21-Jan-2020,14929.95,15130.0,14890.0,14935.5, 14926.10,14970.35,15009.74,14888,2234.65,4248, 4411, 29.63
22-Jan-2020,14979.95,15087.85,14601.0,14662.55, 14650.00,14935.5,14777.81,15276,2257.46,4626, 4641, 30.38
23-Jan-2020,14709.0,15200.0,14652.0,14973.75, 14960.00,14662.55,14927.97,21615,3226.68,5800, 6186, 28.62
24-Jan-2020,15049.9,15241.95,14926.7,15022.45,15011.0,14973.75,15097.07,10465,1579.91,3773, 3358, 32.09
27-Jan-2020,14939.9,15098.65,14840.0,14881.85, 14870.00,15022.45,14963.94,6658,996.3,2877, 1911, 28.70
28-Jan-2020,14893.0,15050.0,14650.15,14689.55, 14682.10,14881.85,14820.48,19596,2904.22,5445, 11464, 58.50
29-Jan-2020,14690.0,14886.95,14665.45,14737.55, 14707.20,14689.55,14775.74,14115,2085.6,4942, 4585, 32.48
30-Jan-2020,14667.0,14700.0,14155.0,14239.95, 14205.00,14737.55,14331.1,29296,4198.44,9095, 9856, 33.64
31-Jan-2020,14349.9,14350.0,13840.0,13885.7, 13875.00,14239.95,14045.51,24677,3466.01,8079, 8039, 32.58
03-Feb-2020,13600.0,13896.95,13502.8,13619.5, 13613.95,13630.65,13705.17,13218,1811.55,4729, 3901, 29.51
04-Feb-2020,13720.0,14100.0,13651.0,14013.25, 14000.00,13619.5,13886.37,16428,2281.25,5789, 5139, 31.28
05-Feb-2020,14125.0,14440.0,13555.0,13793.7, 13790.00,14013.25,13957.96,73277,10227.98,20708, 9325, 12.73
06-Feb-2020,13879.0,14198.8,13822.5,14111.15, 14111.15,13793.7,14056.95,21721,3053.31,7559, 6663, 30.68
07-Feb-2020,14199.25,14250.0,13912.65,14194.05, 14205.05,14111.15,14090.76,20872,2941.02,7059, 6345, 30.40
10-Feb-2020,14194.05,14214.7,13975.0,14082.65, 14110.00,14194.05,14075.71,8908,1253.86,2801, 2368, 26.58
11-Feb-2020,14180.0,14255.0,14105.0,14199.5, 14200.90,14082.65,14163.11,14836,2101.24,3912, 8249, 55.60
12-Feb-2020,14259.0,14442.1,14110.95,14379.5, 14370.45,14199.5,14287.61,12694,1813.67,4887, 4464, 35.17
13-Feb-2020,14379.5,14723.95,14258.8,14682.95, 14636.30,14379.5,14551.82,15744,2291.04,5063, 4499, 28.58
14-Feb-2020,14700.95,14770.0,14530.0,14615.1, 14574.35,14682.95,14653.23,12034,1763.37,3407, 5355, 44.50
17-Feb-2020,14600.0,14950.0,14600.0,14870.5, 14910.00,14615.1,14786.62,14321,2117.59,4459, 5411, 37.78
18-Feb-2020,14870.6,14899.0,14435.0,14552.9, 14600.00,14870.5,14633.47,20019,2929.48,4942, 7976, 39.84
19-Feb-2020,14680.0,14777.65,14400.0,14621.75, 14548.05,14552.9,14576.03,10379,1512.85,3089, 1883, 18.14
20-Feb-2020,14512.05,14649.8,14431.2,14552.95, 14520.00,14621.75,14550.82,13302,1935.55,3186, 5988, 45.02
24-Feb-2020,14434.6,14540.5,14001.0,14059.45, 14040.00,14552.95,14283.44,11390,1626.88,3374, 4841, 42.50
25-Feb-2020,14100.0,14100.0,13770.05,13796.85, 13799.95,14059.45,13851.74,8883,1230.45,3522, 2834, 31.90
26-Feb-2020,13750.0,13834.75,13222.05,13290.65, 13265.85,13796.85,13486.71,14261,1923.34,4940, 5287, 37.07
27-Feb-2020,13280.0,13289.0,12818.0,13169.1, 13066.70,13290.65,13058.46,23014,3005.27,6777, 6253, 27.17
