date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,492.0,493.9,488.5,491.65, 491.20,491.55,491.53,2383296,11714.58,27812, 305674, 12.83
02-Jan-2020,491.2,491.7,486.45,487.55, 486.85,491.65,488.33,3212483,15687.41,37044, 932646, 29.03
03-Jan-2020,483.9,486.75,472.85,483.5, 482.50,487.55,481.4,11327770,54532.23,115581, 3142382, 27.74
06-Jan-2020,475.0,480.0,465.15,469.15, 467.90,483.5,471.45,7666317,36143.13,87316, 1545870, 20.16
07-Jan-2020,467.9,474.75,459.85,461.0, 462.05,469.15,466.44,11727294,54701.0,102152, 1740580, 14.84
08-Jan-2020,450.0,464.4,448.55,459.9, 461.85,461.0,454.3,12371538,56204.31,125543, 3052989, 24.68
09-Jan-2020,472.15,474.4,465.45,470.55, 469.45,459.9,469.71,6499656,30529.63,72429, 1472897, 22.66
10-Jan-2020,473.8,474.7,466.4,470.25, 468.95,470.55,470.47,4354249,20485.59,52559, 1091719, 25.07
13-Jan-2020,471.0,476.25,469.0,470.75, 470.60,470.25,472.45,3669419,17336.08,63579, 1288011, 35.10
14-Jan-2020,473.9,478.75,472.1,473.35, 473.20,470.75,475.1,3608358,17143.16,58729, 859355, 23.82
15-Jan-2020,472.5,472.95,463.2,467.95, 468.00,473.35,467.29,4978259,23263.04,73439, 1914146, 38.45
16-Jan-2020,468.0,469.5,460.15,461.8, 461.10,467.95,464.12,3185275,14783.35,36396, 1062020, 33.34
17-Jan-2020,462.0,465.25,452.0,453.9, 453.80,461.8,457.56,5566299,25469.25,72875, 1801885, 32.37
20-Jan-2020,454.95,466.7,451.6,457.15, 457.45,453.9,460.31,5840651,26884.93,66156, 873187, 14.95
21-Jan-2020,457.6,466.5,455.05,463.85, 463.50,457.15,461.24,4199420,19369.24,53623, 893373, 21.27
22-Jan-2020,465.2,466.45,454.1,455.45, 456.90,463.85,459.47,3730432,17140.11,57996, 992051, 26.59
23-Jan-2020,459.5,471.8,457.0,469.0, 467.95,455.45,465.62,5565676,25915.08,63045, 957728, 17.21
24-Jan-2020,469.25,473.2,464.7,466.1,466.0,469.0,469.4,3935630,18473.85,46520, 842885, 21.42
27-Jan-2020,466.5,471.8,463.0,467.75, 465.00,466.1,468.52,4414483,20682.56,40353, 1303577, 29.53
28-Jan-2020,469.1,482.25,467.6,480.95, 479.40,467.75,477.96,7608831,36366.82,99810, 2270707, 29.84
29-Jan-2020,483.95,486.9,476.65,479.05, 478.65,480.95,482.26,7132327,34396.42,78973, 2178212, 30.54
30-Jan-2020,480.05,484.5,465.15,469.65, 468.30,479.05,474.57,5445938,25844.84,61298, 1745339, 32.05
31-Jan-2020,470.0,472.6,456.05,456.95, 456.50,469.65,460.69,6946475,32001.8,85472, 2777452, 39.98
03-Feb-2020,446.25,463.5,442.45,460.3, 462.00,443.5,457.07,9401450,42971.23,139973, 4287119, 45.60
04-Feb-2020,465.0,481.1,462.0,478.5, 480.30,460.3,471.58,7841910,36981.06,108529, 3206670, 40.89
05-Feb-2020,480.0,507.95,478.0,501.7, 501.55,478.5,497.22,15117047,75165.49,198766, 4574074, 30.26
06-Feb-2020,503.3,510.0,492.2,495.05, 494.80,501.7,500.87,11233977,56267.28,110973, 5042880, 44.89
07-Feb-2020,494.8,495.6,486.0,491.4, 490.00,495.05,490.13,4511015,22109.95,58655, 1235169, 27.38
10-Feb-2020,492.0,495.55,483.35,485.45, 484.20,491.4,488.65,4424196,21618.92,51575, 1254621, 28.36
11-Feb-2020,490.8,493.95,480.05,481.0, 481.20,485.45,487.58,3971655,19365.13,55023, 1045893, 26.33
12-Feb-2020,483.0,485.7,473.9,474.75, 475.50,481.0,478.09,3774602,18045.94,40963, 1603316, 42.48
13-Feb-2020,477.7,478.5,468.0,469.0, 469.00,474.75,472.59,4041500,19099.7,49208, 1401294, 34.67
14-Feb-2020,471.0,484.5,469.9,476.45, 477.05,469.0,479.02,11521788,55191.64,123779, 2991231, 25.96
17-Feb-2020,478.45,478.45,460.0,461.65, 461.75,476.45,465.84,4512992,21023.36,49885, 900744, 19.96
18-Feb-2020,461.75,472.5,456.0,470.75, 472.30,461.65,465.74,5970296,27806.19,58625, 897210, 15.03
19-Feb-2020,473.5,481.0,469.5,475.55, 475.15,470.75,474.97,5393417,25617.32,80298, 1061689, 19.68
20-Feb-2020,474.85,480.0,470.55,471.75, 471.00,475.55,474.78,4376060,20776.72,56196, 1458274, 33.32
24-Feb-2020,471.0,475.7,463.0,464.65, 465.00,471.75,470.3,6191443,29118.37,65359, 2646034, 42.74
25-Feb-2020,469.8,470.55,454.9,456.75, 457.60,464.65,462.21,5522023,25523.27,58236, 1234799, 22.36
26-Feb-2020,457.6,459.55,443.2,448.8, 447.25,456.75,451.55,7245545,32717.15,71413, 2576965, 35.57
27-Feb-2020,446.85,449.65,438.5,444.05, 445.10,448.8,444.37,6089162,27058.48,77816, 2318971, 38.08
28-Feb-2020,438.9,438.9,420.5,426.35, 422.70,444.05,430.0,6099513,26227.9,67659, 1975201, 32.38
02-Mar-2020,432.0,441.85,406.5,412.35, 410.95,426.35,426.08,7812190,33286.3,79514, 2071689, 26.52
03-Mar-2020,415.1,427.15,413.5,425.0, 424.40,412.35,420.22,5707796,23985.41,78776, 1723240, 30.19
04-Mar-2020,422.1,428.7,405.4,418.7, 413.80,425.0,421.2,7728757,32553.29,79179, 3292904, 42.61
05-Mar-2020,418.65,429.15,417.05,418.4, 419.00,418.7,421.75,5725414,24147.16,88699, 2090563, 36.51
06-Mar-2020,400.2,409.85,398.0,403.1, 400.80,418.4,402.63,7881457,31733.33,115190, 3625826, 46.00
09-Mar-2020,413.9,454.4,405.8,423.85, 425.05,403.1,433.87,39795397,172660.39,350328, 7841228, 19.70
11-Mar-2020,423.35,423.35,401.05,404.4, 402.00,423.85,409.2,14748108,60349.72,135692, 3731287, 25.30
12-Mar-2020,391.3,392.55,330.55,344.3, 375.00,404.4,355.7,17598240,62596.94,193966, 5443288, 30.93
13-Mar-2020,337.8,396.7,275.45,376.05, 377.50,344.3,360.7,25412132,91662.06,213766, 12797807, 50.36
16-Mar-2020,350.0,387.25,349.7,364.65, 364.45,376.05,373.77,16657490,62260.96,199910, 5140536, 30.86
17-Mar-2020,365.0,385.65,354.0,357.2, 356.00,364.65,370.72,9824972,36423.22,126964, 3157418, 32.14
18-Mar-2020,363.95,366.05,328.2,332.55, 332.40,357.2,339.92,10209326,34703.99,125887, 2927786, 28.68
19-Mar-2020,311.0,320.0,285.4,300.25, 297.30,332.55,304.21,13717542,41729.81,178819, 4007558, 29.21
20-Mar-2020,305.0,323.0,298.6,317.85, 322.00,300.25,311.77,10196662,31789.67,113727, 3371043, 33.06
23-Mar-2020,285.0,298.0,262.3,269.35, 273.00,317.85,280.75,9348723,26246.12,141357, 4093137, 43.78
24-Mar-2020,277.7,283.0,252.0,262.85, 268.00,269.35,262.99,9767226,25687.21,167585, 3977191, 40.72
25-Mar-2020,252.6,276.95,252.6,273.75, 272.85,262.85,267.6,7459922,19962.38,126120, 2876676, 38.56
26-Mar-2020,275.0,286.4,268.5,282.3, 281.95,273.75,280.35,6314142,17701.72,100178, 2025637, 32.08
27-Mar-2020,290.0,304.0,274.2,278.75, 278.95,282.3,286.45,6077944,17410.51,88760, 1818936, 29.93
30-Mar-2020,269.0,289.5,269.0,274.75, 276.70,278.75,280.6,6833088,19173.7,100466, 1697871, 24.85
31-Mar-2020,284.0,329.7,280.0,316.9,312.0,274.75,305.81,16545602,50598.5,229911, 2349683, 14.20
01-Apr-2020,312.0,315.9,293.5,302.95,302.95,316.9,301.14,12598826,37939.91,177314, 2839904, 22.54
03-Apr-2020,301.0,326.0,287.15,317.15, 317.00,302.95,308.87,14320952,44233.64,210442, 3081533, 21.52
07-Apr-2020,327.0,359.3,319.5,351.1, 350.00,317.15,337.43,10592595,35742.8,139654, 2859809, 27.00
08-Apr-2020,350.0,364.2,340.25,342.3, 345.00,351.1,351.83,9178263,32292.09,131453, 1852700, 20.19
09-Apr-2020,345.15,356.65,339.25,344.9, 347.00,342.3,347.7,7927095,27562.42,116211, 1927164, 24.31
13-Apr-2020,345.0,354.55,336.2,350.1, 347.55,344.9,345.41,4954412,17113.03,80471,1058014,24.44
15-Apr-2020,354.5,370.35,351.1,353.85, 354.50,350.1,360.4,6299482,22703.58,102749, 1880887, 29.86
16-Apr-2020,354.5,365.0,349.55,355.4, 355.75,353.85,356.87,5915878,21112.04,99113, 1984842, 33.55
17-Apr-2020,366.0,366.0,354.2,360.1, 361.00,355.4,359.62,4420519,15897.17,80183, 1398281, 31.63
20-Apr-2020,362.15,372.9,361.2,368.4, 367.90,360.1,367.93,6210492,22850.57,81956, 1566020, 25.22
21-Apr-2020,366.75,369.45,353.1,355.25,357.2,368.4,359.17,5141703,18467.35,86030, 1294787, 25.18
22-Apr-2020,357.2,360.0,337.15,356.7,356.5,355.25,348.29,7126124,24819.33,137790, 2192274, 30.76
23-Apr-2020,356.85,362.9,352.5,355.15,358.2,356.7,357.67,4171129,14918.96,89914, 1453358, 34.84
24-Apr-2020,352.0,356.65,347.0,350.45,350.55,355.15,350.6,3456210,12117.47,54033, 1199656, 34.71
27-Apr-2020,353.2,365.6,352.3,355.4, 355.40,350.45,359.11,4951298,17780.43,70933, 1737208, 35.09
28-Apr-2020,359.8,374.85,354.2,359.1, 355.00,355.4,364.5,11100227,40460.87,126059, 4157323, 37.45
29-Apr-2020,360.0,365.0,355.05,360.75,359.95,359.1,360.26,5824380,20983.0,83100, 1592777, 27.35
30-Apr-2020,364.25,373.4,358.0,370.0,371.85,360.75,364.56,8008429,29195.2,121982, 2931349, 36.60
04-May-2020,362.0,362.0,341.55,347.9, 347.70,370.0,349.45,7255215,25353.68,93402, 3003685, 41.40
05-May-2020,354.0,364.2,345.25,347.05, 347.00,347.9,354.71,13178660,46746.66,128029, 4496252, 34.12
06-May-2020,321.25,346.45,312.35,343.8, 342.50,347.05,331.45,20680651,68546.09,267165, 4044922, 19.56
07-May-2020,342.0,342.0,328.2,329.55, 329.20,343.8,332.33,8550734,28416.95,139483, 2010497, 23.51
08-May-2020,333.0,336.3,321.2,324.75, 324.00,329.55,325.76,8499703,27688.95,159990, 3014917, 35.47
11-May-2020,326.0,330.35,311.3,314.8, 314.50,324.75,317.37,10688017,33920.45,166412, 4545040, 42.52
12-May-2020,310.5,319.8,308.6,312.5, 312.35,314.8,312.73,8311620,25993.02,133538, 2392528, 28.79
13-May-2020,324.0,324.4,312.75,316.55,316.0,312.5,317.73,7620987,24213.79,118103, 2791093, 36.62
14-May-2020,313.45,316.35,307.25,309.7,309.05,316.55,311.11,4832186,15033.52,80087, 1461060, 30.24
15-May-2020,313.0,324.35,311.1,318.2,317.8,309.7,319.61,13883667,44373.58,169504, 2411054, 17.37
18-May-2020,320.55,321.5,291.85,294.05, 295.05,318.2,302.56,10189450,30829.36,131992, 2902706, 28.49
19-May-2020,301.5,304.4,291.8,293.3,294.15,294.05,296.81,6022950,17876.56,84226, 1406765, 23.36
20-May-2020,294.0,311.4,292.05,308.9, 310.00,293.3,305.21,8671114,26464.78,116181, 1573578, 18.15
21-May-2020,310.0,316.0,301.6,313.2,312.35,308.9,310.06,7465658,23148.0,95861, 965228, 12.93
22-May-2020,311.0,324.0,307.25,315.2,313.5,313.2,316.49,8539075,27025.73,115053, 2072938, 24.28
26-May-2020,315.0,320.9,312.05,313.15, 313.00,315.2,316.73,6106561,19341.37,85801, 1921897, 31.47
27-May-2020,316.8,331.4,312.75,329.45,329.0,313.15,323.11,9065338,29290.92,113770, 1675627, 18.48
28-May-2020,333.9,334.35,320.3,326.45,329.0,329.45,325.41,9276773,30187.41,103847, 2445241, 26.36
29-May-2020,328.0,347.15,326.0,342.8, 340.35,326.45,337.16,13361361,45049.8,170008, 4076863, 30.51
01-Jun-2020,344.3,356.7,340.1,346.3, 345.95,342.8,349.3,10211763,35669.22,134195, 2817801, 27.59
02-Jun-2020,348.0,348.0,337.3,341.6,341.5,346.3,341.52,6319742,21583.21,89031, 1776748, 28.11
03-Jun-2020,344.0,353.95,339.2,349.05,347.9,341.6,348.18,10084092,35111.09,118120, 1896628, 18.81
