date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,3044.7,3053.0,3027.4,3039.65, 3037.90,3027.8,3040.96,110561,3362.12,6813, 20175, 18.25
02-Jan-2020,3047.0,3065.0,3043.05,3053.4, 3055.25,3039.65,3054.17,138428,4227.82,10506, 42417, 30.64
03-Jan-2020,3045.0,3060.0,3025.65,3038.8, 3042.80,3053.4,3038.95,168305,5114.7,16811, 73037, 43.40
06-Jan-2020,3030.0,3032.15,2995.05,3022.05, 3021.00,3038.8,3011.36,181158,5455.33,20640, 76390, 42.17
07-Jan-2020,3033.9,3054.0,3028.0,3036.6, 3038.00,3022.05,3040.6,159307,4843.89,17764, 45327, 28.45
08-Jan-2020,3020.0,3038.7,2995.0,3023.6, 3025.00,3036.6,3024.5,194024,5868.25,15951, 119899, 61.80
09-Jan-2020,3047.2,3049.0,2995.1,3001.1, 3004.80,3023.6,3011.6,434270,13078.48,34570, 272671, 62.79
10-Jan-2020,3014.95,3015.0,2978.05,2989.75, 2987.25,3001.1,2995.09,526254,15761.8,39992, 295048, 56.07
13-Jan-2020,2995.0,3056.25,2987.3,3045.1, 3048.00,2989.75,3031.99,420792,12758.37,22588, 156655, 37.23
14-Jan-2020,3058.0,3119.0,3037.15,3105.15, 3115.00,3045.1,3093.78,653300,20211.66,33507, 241067, 36.90
15-Jan-2020,3120.0,3133.95,3092.9,3114.2, 3110.05,3105.15,3111.61,438959,13658.68,25891, 212008, 48.30
16-Jan-2020,3116.0,3160.0,3115.0,3150.25, 3151.00,3114.2,3142.69,768872,24163.27,32613, 527618, 68.62
17-Jan-2020,3155.0,3169.0,3114.35,3124.45, 3120.00,3150.25,3137.84,294064,9227.26,30506, 122671, 41.72
20-Jan-2020,3143.0,3143.0,3104.4,3110.45, 3114.00,3124.45,3119.26,203111,6335.57,16022, 112229, 55.26
21-Jan-2020,3100.0,3130.0,3077.25,3111.25, 3120.30,3110.45,3104.76,220943,6859.76,22663, 117330, 53.10
22-Jan-2020,3125.5,3138.7,3088.9,3106.35, 3105.30,3111.25,3109.82,248578,7730.32,21668, 134492, 54.10
23-Jan-2020,3103.85,3122.9,3068.1,3112.95, 3122.90,3106.35,3099.79,203032,6293.56,16287, 110268, 54.31
24-Jan-2020,3113.15,3212.95,3112.05,3192.5,3188.85,3112.95,3174.26,580192,18416.78,36417, 265896, 45.83
27-Jan-2020,3187.0,3210.0,3155.0,3174.2, 3173.00,3192.5,3191.63,322446,10291.28,19792, 150878, 46.79
28-Jan-2020,3182.9,3209.9,3136.5,3181.25, 3181.00,3174.2,3184.76,292577,9317.87,33361, 102640, 35.08
29-Jan-2020,3200.0,3245.5,3190.05,3214.2, 3204.10,3181.25,3226.31,434882,14030.66,44335, 147135, 33.83
30-Jan-2020,3208.95,3234.7,3192.45,3210.7, 3205.00,3214.2,3212.48,337850,10853.37,36131, 197868, 58.57
31-Jan-2020,3242.7,3274.6,3186.85,3200.7, 3190.65,3210.7,3238.56,468850,15183.98,39519, 251520, 53.65
03-Feb-2020,3097.6,3249.0,3092.35,3230.05, 3236.10,3097.6,3215.67,657504,21143.16,50502, 316821, 48.19
04-Feb-2020,3235.0,3300.0,3188.0,3232.5, 3247.00,3230.05,3242.09,511585,16586.05,47607, 193181, 37.76
05-Feb-2020,3269.8,3318.0,3243.7,3255.95, 3260.00,3232.5,3280.04,423733,13898.59,38960, 145509, 34.34
06-Feb-2020,3260.35,3293.0,3236.35,3252.2, 3248.50,3255.95,3261.23,410631,13391.63,23811, 257081, 62.61
07-Feb-2020,3256.0,3296.0,3237.1,3251.4, 3249.95,3252.2,3262.66,450061,14683.98,29339, 191895, 42.64
10-Feb-2020,3270.0,3280.0,3125.0,3155.6, 3155.00,3251.4,3170.27,969115,30723.54,71499, 314287, 32.43
11-Feb-2020,3179.95,3198.8,3124.2,3134.7, 3133.00,3155.6,3151.45,507516,15994.09,37010, 215991, 42.56
12-Feb-2020,3124.2,3209.0,3124.2,3136.8, 3134.70,3134.7,3164.92,669153,21178.15,39756, 284213, 42.47
13-Feb-2020,3132.0,3143.65,3105.2,3135.2, 3129.65,3136.8,3122.24,319421,9973.1,25248, 139546, 43.69
14-Feb-2020,3116.0,3159.0,3090.3,3096.65, 3095.00,3135.2,3117.43,270506,8432.84,22403, 120539, 44.56
17-Feb-2020,3095.0,3112.3,3072.05,3084.1, 3087.25,3096.65,3092.32,224912,6955.01,33675, 106793, 47.48
18-Feb-2020,3080.0,3080.0,3020.0,3066.45, 3075.00,3084.1,3045.67,453173,13802.17,38857, 215404, 47.53
19-Feb-2020,3082.1,3111.0,3040.0,3082.25, 3088.10,3066.45,3074.66,462922,14233.28,38284, 195693, 42.27
20-Feb-2020,3079.8,3123.45,3052.25,3059.4, 3060.00,3082.25,3084.21,270720,8349.57,16903, 98417, 36.35
24-Feb-2020,3059.0,3065.0,3005.0,3036.2, 3026.00,3059.4,3042.64,427352,13002.79,34505, 252960, 59.19
25-Feb-2020,3040.0,3078.0,3018.0,3033.55, 3025.10,3036.2,3042.96,350415,10662.99,19502, 169297, 48.31
26-Feb-2020,3025.1,3069.9,3016.7,3041.35, 3037.00,3033.55,3045.94,366302,11157.33,23858, 156408, 42.70
27-Feb-2020,3036.95,3100.0,2960.0,3026.05, 3099.95,3041.35,3004.91,652385,19603.58,56424, 354655, 54.36
28-Feb-2020,2983.0,3020.0,2917.0,2970.2, 2962.00,3026.05,2957.7,619510,18323.26,58671, 288978, 46.65
02-Mar-2020,2995.0,3053.95,2925.0,2949.1, 2975.00,2970.2,2985.44,348147,10393.71,29275, 123691, 35.53
03-Mar-2020,2970.0,3045.5,2965.0,3026.5, 3041.95,2949.1,3008.76,399770,12028.12,39729, 157584, 39.42
04-Mar-2020,3048.0,3080.0,3028.0,3063.05, 3063.15,3026.5,3053.61,368498,11252.49,32046, 128308, 34.82
05-Mar-2020,3082.6,3165.0,3076.1,3127.15, 3124.35,3063.05,3134.19,720100,22569.33,58065, 256911, 35.68
06-Mar-2020,3084.9,3100.0,3013.25,3081.4, 3077.75,3127.15,3061.07,593374,18163.62,48018, 291349, 49.10
09-Mar-2020,3045.0,3061.8,2968.5,2996.5, 2999.85,3081.4,3000.29,607257,18219.5,58705, 312279, 51.42
11-Mar-2020,2982.2,3065.9,2944.1,3048.3, 3059.90,2996.5,3010.07,534597,16091.72,46397, 276315, 51.69
12-Mar-2020,2945.0,2968.95,2785.05,2810.65, 2813.75,3048.3,2851.32,774263,22076.74,76812, 328906, 42.48
13-Mar-2020,2700.0,3049.9,2410.0,2763.6, 2758.80,2810.65,2776.04,1108162,30763.04,101419, 561016, 50.63
16-Mar-2020,2704.8,2744.65,2602.05,2709.0, 2700.50,2763.6,2694.51,791034,21314.51,84360, 451900, 57.13
17-Mar-2020,2720.0,2795.75,2669.05,2686.0, 2704.95,2709.0,2719.11,567266,15424.6,57590, 271225, 47.81
18-Mar-2020,2728.0,2744.95,2480.0,2501.95, 2522.00,2686.0,2592.57,649481,16838.25,72279, 330463, 50.88
19-Mar-2020,2389.0,2404.0,2260.0,2318.15, 2318.20,2501.95,2329.17,786857,18327.21,86364, 349735, 44.45
20-Mar-2020,2341.3,2500.9,2294.25,2467.8, 2455.80,2318.15,2419.68,742455,17965.05,53814, 308955, 41.61
23-Mar-2020,2300.0,2422.4,2100.0,2137.85, 2156.90,2467.8,2242.19,613493,13755.69,62494, 344902, 56.22
24-Mar-2020,2117.0,2450.0,2111.9,2364.7, 2390.00,2137.85,2346.89,929170,21806.62,109412, 326277, 35.11
25-Mar-2020,2364.6,2511.6,2317.1,2451.4, 2436.20,2364.7,2443.65,1249005,30521.32,72843, 875483, 70.09
26-Mar-2020,2471.55,2668.8,2417.3,2588.45, 2600.00,2451.4,2524.18,944116,23831.19,70894, 413779, 43.83
27-Mar-2020,2690.0,2708.95,2505.0,2529.25, 2540.00,2588.45,2594.13,472582,12259.39,50330, 156307, 33.08
30-Mar-2020,2465.25,2579.35,2442.75,2473.75, 2468.65,2529.25,2525.5,701815,17724.31,63092, 323494, 46.09
31-Mar-2020,2579.95,2710.0,2490.0,2688.95,2687.2,2473.75,2620.17,734769,19252.19,71062, 260436, 35.44
01-Apr-2020,2700.0,2780.0,2505.0,2564.85,2563.55,2688.95,2620.38,1167150,30583.75,106869, 344762, 29.54
03-Apr-2020,2588.95,2610.0,2475.0,2563.25, 2572.00,2564.85,2533.94,726903,18419.31,80839, 185637, 25.54
07-Apr-2020,2640.15,2878.7,2640.15,2834.5, 2835.00,2563.25,2777.98,1062855,29525.95,101614, 293256, 27.59
08-Apr-2020,2829.0,2990.0,2759.0,2775.55, 2787.50,2834.5,2860.64,1037961,29692.33,81563, 264668, 25.50
09-Apr-2020,2850.0,2850.0,2732.9,2801.7, 2803.90,2775.55,2793.35,893108,24947.67,67598, 277605, 31.08
13-Apr-2020,2800.0,2800.0,2697.35,2706.15, 2711.00,2801.7,2733.67,501533,13710.25,55682,151060,34.11
15-Apr-2020,2772.0,2908.5,2754.7,2837.35, 2847.90,2706.15,2840.91,1011691,28741.24,93489, 275435, 27.23
16-Apr-2020,2837.5,2893.95,2815.0,2836.8, 2835.00,2837.35,2859.28,675907,19326.08,66034, 230599, 34.12
17-Apr-2020,2884.0,2895.0,2802.2,2832.15, 2831.00,2836.8,2846.41,705271,20074.9,55520, 226560, 32.12
20-Apr-2020,2860.1,2864.8,2801.0,2833.0, 2825.00,2832.15,2843.53,667917,18992.41,95055, 370810, 55.52
21-Apr-2020,2779.9,2906.35,2733.15,2863.25,2860.0,2833.0,2857.8,1129799,32287.34,96324, 435291, 38.53
22-Apr-2020,2863.0,2969.7,2827.45,2952.65,2959.9,2863.25,2906.72,737395,21433.98,87508, 263239, 35.70
23-Apr-2020,2960.0,3245.0,2918.0,2947.4,2960.0,2952.65,3084.47,3426363,105685.05,196182, 524507, 15.31
24-Apr-2020,2980.0,3122.9,2956.0,3062.15,3051.0,2947.4,3037.54,2613797,79395.14,155984, 352275, 13.48
27-Apr-2020,3075.85,3290.0,3070.0,3242.05, 3277.00,3062.15,3181.03,1993378,63409.95,132910, 487111, 24.44
28-Apr-2020,3277.0,3289.85,3160.0,3193.95, 3196.00,3242.05,3199.76,1379063,44126.7,105036, 181591, 13.17
29-Apr-2020,3187.8,3238.75,3150.0,3156.8,3160.0,3193.95,3193.72,1177520,37606.73,77776, 245165, 20.82
30-Apr-2020,3195.0,3205.0,3150.0,3165.75,3160.5,3156.8,3173.64,1021592,32421.66,71096, 360124, 35.25
04-May-2020,3109.0,3160.0,3056.0,3092.95, 3096.00,3165.75,3109.95,591353,18390.79,45069, 188902, 31.94
05-May-2020,3107.0,3126.0,2970.5,2978.75, 2981.00,3092.95,3029.81,905266,27427.88,61619, 268070, 29.61
06-May-2020,2950.0,3065.0,2907.65,2987.7, 2990.00,2978.75,2988.69,995972,29766.54,73252, 194460, 19.52
07-May-2020,2977.7,2980.0,2867.0,2915.35, 2911.00,2987.7,2908.74,994651,28931.82,74503, 243522, 24.48
08-May-2020,2945.0,3037.0,2923.45,2994.65, 2985.00,2915.35,2986.46,1102857,32936.42,67049, 312535, 28.34
11-May-2020,3029.0,3083.4,2991.85,3053.95, 3060.00,2994.65,3049.5,1095855,33418.14,83127, 423385, 38.64
12-May-2020,3048.95,3123.2,3031.3,3107.3, 3115.00,3053.95,3088.23,1329390,41054.56,98174, 386285, 29.06
13-May-2020,3180.0,3188.0,3057.5,3079.55,3083.0,3107.3,3110.14,850975,26466.55,66994, 205796, 24.18
14-May-2020,3065.0,3138.0,3031.7,3118.7,3105.15,3079.55,3108.28,777257,24159.29,50696, 169859, 21.85
15-May-2020,3146.9,3196.0,3115.0,3125.65,3127.0,3118.7,3151.01,870248,27421.63,68953, 201649, 23.17
18-May-2020,3110.0,3165.0,3098.1,3109.55, 3105.00,3125.65,3129.62,730350,22857.21,57553, 186699, 25.56
19-May-2020,3130.2,3147.9,3086.05,3104.0,3100.0,3109.55,3109.62,537217,16705.42,48204, 147483, 27.45
20-May-2020,3110.6,3159.0,3106.85,3127.85, 3118.00,3104.0,3137.14,439150,13776.77,61420, 145512, 33.13
21-May-2020,3120.1,3157.0,3099.0,3110.95,3108.0,3127.85,3123.02,574325,17936.27,50121, 257519, 44.84
22-May-2020,3104.0,3184.2,3080.0,3167.1,3180.0,3110.95,3141.12,630580,19807.3,45955, 271948, 43.13
26-May-2020,3200.0,3244.0,3141.0,3163.85, 3166.00,3167.1,3195.02,718134,22944.5,45691, 151170, 21.05
27-May-2020,3170.0,3238.95,3141.0,3220.3,3218.9,3163.85,3186.32,739328,23557.33,56923, 312690, 42.29
28-May-2020,3217.5,3363.25,3189.35,3323.25,3314.05,3220.3,3307.97,1453514,48081.76,79917, 544160, 37.44
29-May-2020,3289.9,3417.0,3289.9,3378.85, 3381.00,3323.25,3371.84,1658714,55929.22,96223, 799935, 48.23
01-Jun-2020,3416.0,3470.0,3401.0,3434.85, 3418.00,3378.85,3429.02,883460,30294.04,78262, 340110, 38.50
02-Jun-2020,3434.9,3480.0,3400.0,3451.0,3451.75,3434.85,3456.09,786444,27180.2,49161, 267559, 34.02
03-Jun-2020,3601.0,3708.0,3471.2,3510.3,3511.0,3451.0,3617.58,3415126,123544.79,188028, 1005496, 29.44
04-Jun-2020,3510.0,3555.0,3422.0,3450.35,3458.0,3510.3,3467.36,1309771,45414.45,90761, 321846, 24.57
05-Jun-2020,3475.0,3497.95,3402.2,3466.7, 3457.10,3450.35,3444.18,1200548,41349.01,69534, 344946, 28.73
08-Jun-2020,3486.0,3513.25,3410.0,3426.8, 3421.00,3466.7,3444.96,768759,26483.43,53639, 324269, 42.18
09-Jun-2020,3434.9,3469.9,3409.0,3415.7, 3410.40,3426.8,3441.97,567611,19536.98,40011, 258587, 45.56
10-Jun-2020,3420.9,3447.6,3357.4,3377.0, 3377.05,3415.7,3391.85,628261,21309.7,39501, 259750, 41.34
