date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,222.1,223.35,219.8,221.65, 221.90,221.35,221.54,4215881,9339.68,24499, 193125, 4.58
02-Jan-2020,222.4,229.8,220.95,228.85, 229.25,221.65,225.8,7033453,15881.71,35737, 1188607, 16.90
03-Jan-2020,227.8,228.5,220.65,221.65, 221.50,228.85,223.46,6646941,14853.07,35653, 969064, 14.58
06-Jan-2020,220.55,220.75,205.6,207.45, 207.85,221.65,210.29,13650687,28705.82,71832, 1762413, 12.91
07-Jan-2020,213.4,214.3,204.7,208.05, 208.00,207.45,209.05,14222549,29732.26,79067, 1084549, 7.63
08-Jan-2020,202.5,209.4,200.45,207.8, 207.60,208.05,204.16,15141394,30913.21,75985, 534203, 3.53
09-Jan-2020,213.6,215.75,210.75,213.45, 213.00,207.8,213.45,8668763,18503.56,44068, 780084, 9.00
10-Jan-2020,214.1,218.6,212.2,214.15, 214.05,213.45,215.32,9320962,20069.82,49817, 385700, 4.14
13-Jan-2020,215.0,216.8,213.6,216.15, 216.55,214.15,215.45,5888640,12687.06,32350, 292563, 4.97
14-Jan-2020,216.2,218.05,214.1,215.55, 215.20,216.15,216.27,5884894,12727.0,29612, 864043, 14.68
15-Jan-2020,213.05,219.4,209.05,218.15, 218.25,215.55,214.1,11669551,24984.78,61034, 468940, 4.02
16-Jan-2020,218.7,222.8,215.5,219.1, 219.50,218.15,219.46,8313124,18243.74,46282, 730935, 8.79
17-Jan-2020,216.1,223.7,215.8,221.6, 221.90,219.1,221.09,8369664,18504.66,42193, 514429, 6.15
20-Jan-2020,222.25,223.65,216.65,218.85, 218.55,221.6,219.1,5635312,12347.02,34536, 284703, 5.05
21-Jan-2020,217.3,221.3,216.0,219.15, 217.90,218.85,219.19,6067583,13299.24,35740, 439055, 7.24
22-Jan-2020,220.35,221.5,216.6,218.9, 218.45,219.15,218.88,4521588,9896.63,29725, 183903, 4.07
23-Jan-2020,219.05,226.75,217.1,220.7, 220.70,218.9,221.82,13910267,30855.91,78535, 753003, 5.41
24-Jan-2020,221.9,224.2,217.5,218.8,218.3,220.7,220.47,7294499,16081.89,46576, 579928, 7.95
27-Jan-2020,215.9,217.15,208.95,210.35, 210.10,218.8,213.68,6494563,13877.29,42327, 1277008, 19.66
28-Jan-2020,211.0,211.95,202.65,203.6, 204.20,210.35,206.92,10799426,22346.0,55347, 3177425, 29.42
29-Jan-2020,205.85,207.9,203.55,204.1, 203.90,203.6,205.66,5800555,11929.2,33655, 858214, 14.80
30-Jan-2020,203.5,204.7,200.15,202.25, 201.55,204.1,202.22,7099653,14356.85,40022, 992133, 13.97
31-Jan-2020,204.0,205.35,200.4,202.65, 202.35,202.25,202.67,7014346,14216.04,37824, 577718, 8.24
03-Feb-2020,192.0,193.95,186.0,186.95, 187.30,192.05,189.79,10159075,19280.7,48265, 2105244, 20.72
04-Feb-2020,190.0,192.65,184.8,185.7, 184.95,186.95,188.54,10704318,20182.31,50469, 2816184, 26.31
05-Feb-2020,186.0,188.0,182.9,184.0, 184.40,185.7,185.16,10154236,18801.22,50977, 2403437, 23.67
06-Feb-2020,185.15,194.4,184.1,189.55, 189.00,184.0,189.42,16772311,31769.56,76699, 2855145, 17.02
07-Feb-2020,189.95,193.15,186.9,190.0, 189.10,189.55,190.39,11219507,21361.03,60923, 1147318, 10.23
10-Feb-2020,189.95,191.8,185.95,187.15, 187.30,190.0,188.18,6623990,12465.19,39885, 766276, 11.57
11-Feb-2020,188.9,191.45,186.65,187.6, 187.65,187.15,189.22,6490881,12282.21,36751, 476243, 7.34
12-Feb-2020,188.95,189.75,182.85,184.7, 184.95,187.6,185.49,7932797,14714.43,41694, 752801, 9.49
13-Feb-2020,185.5,187.55,182.6,183.0, 182.95,184.7,184.51,8338787,15386.16,39038, 666440, 7.99
14-Feb-2020,183.3,185.5,179.55,180.3, 180.00,183.0,182.01,8605375,15662.54,42975, 795289, 9.24
17-Feb-2020,180.8,181.3,174.2,174.8, 174.55,180.3,176.48,6859158,12105.21,37887, 552858, 8.06
18-Feb-2020,175.0,175.0,167.55,172.8, 172.70,174.8,170.76,9137114,15602.93,51018, 842440, 9.22
19-Feb-2020,174.4,176.35,171.5,173.65, 173.20,172.8,173.49,6706914,11635.72,33370, 670265, 9.99
20-Feb-2020,173.4,177.4,171.15,172.65, 172.80,173.65,174.33,7289494,12707.64,35918, 557798, 7.65
24-Feb-2020,171.0,171.7,164.45,165.55, 164.90,172.65,168.49,5910514,9958.82,35310, 793715, 13.43
25-Feb-2020,166.55,166.65,162.35,162.9, 162.80,165.55,163.95,7344060,12040.23,38646, 553614, 7.54
26-Feb-2020,161.5,163.1,159.1,159.9, 159.60,162.9,160.92,6950126,11184.32,36045, 561327, 8.08
27-Feb-2020,159.4,160.45,154.25,155.55, 154.95,159.9,156.16,8498519,13271.68,37077, 801558, 9.43
28-Feb-2020,150.0,150.7,140.15,143.7, 142.30,155.55,146.99,9479531,13933.89,41822, 1295488, 13.67
02-Mar-2020,146.3,147.9,136.2,138.15, 138.15,143.7,143.53,10112716,14514.81,48301, 740844, 7.33
03-Mar-2020,139.75,143.5,137.8,141.75, 142.20,138.15,140.11,12866011,18026.85,51449, 692016, 5.38
04-Mar-2020,142.0,142.2,135.2,138.9, 138.40,141.75,138.64,10602835,14699.42,45543, 576709, 5.44
05-Mar-2020,139.75,143.35,133.95,139.1, 138.60,138.9,139.04,14180230,19716.62,58268, 900184, 6.35
06-Mar-2020,130.0,132.7,127.4,130.5, 130.00,139.1,130.86,8274049,10827.49,38425, 597108, 7.22
09-Mar-2020,125.0,127.85,120.0,121.65, 121.00,130.5,124.31,9425292,11716.84,42899, 708484, 7.52
11-Mar-2020,121.65,123.8,115.3,116.65, 115.60,121.65,120.23,10041511,12072.87,50628, 755632, 7.53
12-Mar-2020,108.0,109.7,97.05,98.5, 98.30,116.65,102.36,15182766,15541.41,68321, 1641970, 10.81
13-Mar-2020,89.2,109.4,82.0,107.4, 107.30,98.5,98.51,18446393,18170.72,95175, 1398802, 7.58
16-Mar-2020,99.7,102.8,97.5,99.65, 99.50,107.4,99.91,11979773,11969.34,64649, 1444778, 12.06
17-Mar-2020,100.6,104.9,98.0,99.2, 99.25,99.65,101.45,12132213,12308.47,54850, 1752394, 14.44
18-Mar-2020,101.5,101.8,92.5,95.85, 95.50,99.2,96.43,12246334,11809.26,54353, 1272479, 10.39
19-Mar-2020,90.65,104.95,89.7,99.05, 98.35,95.85,99.34,16989456,16876.85,86050, 2202709, 12.97
20-Mar-2020,99.8,102.95,95.45,96.25, 95.90,99.05,98.39,20401525,20073.14,86229, 4474177, 21.93
23-Mar-2020,91.5,91.5,75.0,76.1, 77.10,96.25,82.02,6549130,5371.5,53401, 2256825, 34.46
24-Mar-2020,79.25,83.0,73.65,80.4, 81.10,76.1,78.6,11485068,9027.44,57781, 2866590, 24.96
25-Mar-2020,77.5,86.7,77.0,83.65, 83.70,80.4,82.04,7825483,6420.41,39681, 1328647, 16.98
26-Mar-2020,84.0,91.45,82.9,87.4, 87.30,83.65,87.69,9925410,8703.29,59591, 1278998, 12.89
27-Mar-2020,90.45,95.5,87.7,90.05, 90.45,87.4,90.91,12354848,11231.36,76487, 1597639, 12.93
30-Mar-2020,89.0,89.55,84.7,86.85, 87.15,90.05,87.47,5776266,5052.37,36194, 407677, 7.06
31-Mar-2020,90.0,92.15,86.8,90.5,91.5,86.85,88.87,6564255,5833.81,32723, 797814, 12.15
01-Apr-2020,91.5,91.95,88.25,90.2,90.05,90.5,90.0,6274718,5647.01,31498, 499421, 7.96
03-Apr-2020,88.0,88.9,83.5,84.15, 84.30,90.2,85.48,5510785,4710.89,33792, 897948, 16.29
07-Apr-2020,87.15,88.0,83.2,86.8, 86.50,84.15,86.05,7387687,6357.17,35915, 977037, 13.23
08-Apr-2020,85.2,92.75,84.3,87.4, 87.05,86.8,88.56,8434667,7469.86,39656, 494872, 5.87
09-Apr-2020,88.4,93.0,86.6,91.8, 91.30,87.4,89.85,11219835,10081.5,47414, 1257622, 11.21
13-Apr-2020,90.95,91.3,86.65,88.3, 88.00,91.8,88.39,6855898,6059.95,32635,910975,14.8
15-Apr-2020,88.95,92.0,85.85,86.45, 86.90,88.3,89.51,11008091,9852.87,42670, 1432946, 13.02
16-Apr-2020,87.0,87.6,84.8,85.85, 86.00,86.45,86.11,11292993,9723.92,39843, 2049288, 18.15
