date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,459.7,460.8,457.55,459.8, 459.00,458.4,459.73,495678,2278.8,9069, 278581, 56.20
02-Jan-2020,459.8,462.2,458.0,459.95, 460.10,459.8,460.36,502422,2312.94,13149, 233847, 46.54
03-Jan-2020,459.0,460.7,453.55,455.6, 457.00,459.95,456.53,1376230,6282.91,21527, 769172, 55.89
06-Jan-2020,454.0,456.45,445.7,448.0, 449.00,455.6,450.66,1415568,6379.33,27837, 650530, 45.96
07-Jan-2020,450.3,456.0,449.15,453.5, 452.75,448.0,453.29,966767,4382.24,35195, 469532, 48.57
08-Jan-2020,449.8,457.95,446.6,456.65, 456.65,453.5,454.11,1291151,5863.25,23634, 760848, 58.93
09-Jan-2020,459.15,464.0,457.75,460.7, 460.75,456.65,461.08,1811623,8353.0,55758, 1352659, 74.67
10-Jan-2020,463.0,469.0,459.9,466.85, 469.00,460.7,464.84,1037751,4823.88,23980, 622187, 59.96
13-Jan-2020,469.75,479.45,469.5,478.7, 477.75,466.85,475.94,2755979,13116.72,33278, 1032435, 37.46
14-Jan-2020,480.95,483.65,477.55,482.65, 483.30,478.7,480.89,1804874,8679.41,34719, 1036665, 57.44
15-Jan-2020,481.95,492.1,480.25,490.55, 489.80,482.65,486.42,1346372,6549.09,32937, 668866, 49.68
16-Jan-2020,491.75,494.4,485.35,487.6, 487.70,490.55,488.66,2012701,9835.24,31692, 1212119, 60.22
17-Jan-2020,488.0,491.95,486.7,489.65, 488.25,487.6,488.79,1015739,4964.79,24510, 628832, 61.91
20-Jan-2020,489.65,492.7,484.55,486.05, 485.20,489.65,488.6,1406615,6872.67,23304, 452797, 32.19
21-Jan-2020,485.4,488.35,480.45,487.0, 487.50,486.05,485.29,788507,3826.53,22632, 350651, 44.47
22-Jan-2020,489.2,494.0,486.25,486.8, 487.00,487.0,489.6,1140015,5581.47,23053, 424116, 37.20
23-Jan-2020,486.7,492.0,482.75,489.8, 492.00,486.8,486.21,798731,3883.51,21899, 421048, 52.71
24-Jan-2020,490.05,501.9,490.0,500.5,500.15,489.8,498.56,2564212,12784.08,45098, 851071, 33.19
