date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1845.0,1849.6,1815.9,1818.85, 1819.10,1845.8,1828.29,157063,2871.57,5547, 66204, 42.15
02-Jan-2020,1820.5,1833.8,1820.5,1825.9, 1826.85,1818.85,1826.28,102841,1878.17,6957, 23397, 22.75
03-Jan-2020,1817.0,1847.85,1817.0,1834.8, 1838.90,1825.9,1836.42,281177,5163.6,16587, 72159, 25.66
06-Jan-2020,1828.3,1845.0,1800.0,1838.35, 1836.00,1834.8,1828.35,500000,9141.73,19639, 311924, 62.38
07-Jan-2020,1838.0,1851.75,1832.6,1843.9, 1846.85,1838.35,1844.29,302472,5578.45,14478, 88520, 29.27
08-Jan-2020,1822.0,1846.0,1822.0,1833.95, 1835.00,1843.9,1835.7,147762,2712.46,14100, 51664, 34.96
09-Jan-2020,1845.0,1855.0,1826.65,1843.4, 1841.10,1833.95,1844.61,221553,4086.79,12432, 87115, 39.32
10-Jan-2020,1843.95,1884.5,1841.0,1866.3, 1867.10,1843.4,1871.25,499335,9343.82,24317, 119268, 23.89
13-Jan-2020,1870.2,1881.8,1860.0,1878.85, 1875.50,1866.3,1873.05,208532,3905.91,15661, 85353, 40.93
14-Jan-2020,1878.5,1887.0,1857.0,1873.65, 1875.00,1878.85,1873.5,328250,6149.77,23517, 153786, 46.85
15-Jan-2020,1878.6,1878.6,1852.05,1866.25, 1869.00,1873.65,1860.68,277859,5170.07,24347, 154409, 55.57
16-Jan-2020,1870.0,1902.1,1869.1,1899.0, 1899.45,1866.25,1891.96,381703,7221.65,24124, 148575, 38.92
17-Jan-2020,1899.45,1913.85,1892.05,1903.35, 1908.00,1899.0,1905.78,362279,6904.23,29293, 95394, 26.33
20-Jan-2020,1905.0,1926.4,1887.1,1892.0, 1890.10,1903.35,1908.69,420979,8035.18,23923, 184097, 43.73
21-Jan-2020,1892.0,1900.9,1868.0,1870.8, 1868.00,1892.0,1880.3,393410,7397.28,22592, 276299, 70.23
22-Jan-2020,1872.1,1890.65,1843.95,1855.15, 1855.00,1870.8,1862.68,460611,8579.69,17818, 249951, 54.27
23-Jan-2020,1855.0,1902.4,1853.0,1897.45, 1895.20,1855.15,1884.38,294035,5540.72,17381, 133011, 45.24
24-Jan-2020,1896.5,1914.7,1885.1,1910.5,1912.4,1897.45,1906.95,200949,3831.99,12999, 42557, 21.18
27-Jan-2020,1910.0,1935.0,1893.7,1918.35, 1914.10,1910.5,1921.28,434503,8348.01,17637, 122798, 28.26
28-Jan-2020,1918.35,1951.8,1903.15,1946.75, 1945.00,1918.35,1932.24,527383,10190.28,25979, 269277, 51.06
29-Jan-2020,1956.0,1994.4,1936.05,1961.3, 1959.00,1946.75,1970.88,829522,16348.9,33765, 221431, 26.69
