date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1849.7,1867.0,1820.0,1828.5, 1829.00,1838.35,1842.05,429407,7909.88,18482, 140343, 32.68
02-Jan-2020,1831.0,1854.85,1815.0,1824.2, 1826.95,1828.5,1834.58,459356,8427.26,26025, 182999, 39.84
03-Jan-2020,1827.0,1853.0,1827.0,1843.55, 1839.60,1824.2,1841.76,394268,7261.46,26515, 132906, 33.71
06-Jan-2020,1827.0,1829.0,1780.0,1789.9, 1787.00,1843.55,1800.69,398623,7177.97,25358, 171592, 43.05
07-Jan-2020,1805.0,1837.5,1805.0,1815.75, 1810.00,1789.9,1821.45,459172,8363.57,39558, 183101, 39.88
08-Jan-2020,1793.0,1837.05,1785.1,1829.05, 1831.00,1815.75,1817.1,352087,6397.77,28612, 125667, 35.69
09-Jan-2020,1850.0,1904.0,1826.6,1880.55, 1877.00,1829.05,1868.92,1572364,29386.3,61358, 590970, 37.58
10-Jan-2020,1886.0,1897.9,1865.1,1876.95, 1872.00,1880.55,1884.51,697206,13138.93,46291, 310373, 44.52
13-Jan-2020,1925.0,1940.15,1880.0,1914.65, 1910.30,1876.95,1909.07,2138099,40817.89,90914, 564734, 26.41
14-Jan-2020,1902.0,1940.0,1892.15,1930.75, 1929.00,1914.65,1925.05,1407288,27090.99,67768, 692391, 49.20
15-Jan-2020,1938.0,1946.0,1920.05,1933.55, 1930.00,1930.75,1931.4,551142,10644.74,32613, 266123, 48.29
16-Jan-2020,1938.7,1951.45,1922.0,1946.05, 1948.00,1933.55,1940.89,521815,10127.87,22111, 227581, 43.61
17-Jan-2020,1948.0,2000.0,1932.4,1990.55, 1997.15,1946.05,1975.75,887334,17531.48,36370, 357062, 40.24
20-Jan-2020,2000.0,2004.45,1927.0,1936.65, 1928.00,1990.55,1966.78,467366,9192.06,21887, 219298, 46.92
21-Jan-2020,1930.0,1959.55,1901.9,1912.35, 1912.00,1936.65,1932.83,321554,6215.09,18327, 113062, 35.16
22-Jan-2020,1930.0,1932.0,1907.6,1914.7, 1910.00,1912.35,1916.81,283551,5435.13,31359, 116070, 40.93
23-Jan-2020,1920.0,1929.05,1910.1,1924.7, 1926.00,1914.7,1920.47,203734,3912.65,13214, 78034, 38.30
24-Jan-2020,1927.05,1961.1,1918.15,1948.6,1941.0,1924.7,1946.23,404536,7873.19,22581, 188533, 46.60
27-Jan-2020,1945.5,1961.5,1928.1,1951.5, 1939.00,1948.6,1946.42,306182,5959.6,14705, 106031, 34.63
28-Jan-2020,1944.7,1958.0,1922.2,1930.45, 1931.00,1951.5,1939.65,198741,3854.87,20208, 99335, 49.98
29-Jan-2020,1932.0,1984.25,1928.0,1974.65, 1973.85,1930.45,1965.06,481606,9463.82,32525, 221444, 45.98
30-Jan-2020,1977.8,2064.0,1977.8,2051.3, 2050.50,1974.65,2027.2,1640477,33255.79,71002, 712168, 43.41
31-Jan-2020,2064.05,2145.05,2061.0,2133.95, 2133.00,2051.3,2112.97,1572997,33236.98,76545, 402028, 25.56
03-Feb-2020,2084.0,2157.7,2081.0,2131.65, 2137.00,2072.05,2135.35,730661,15602.19,58450, 273220, 37.39
04-Feb-2020,2145.0,2172.9,2112.0,2155.3, 2155.65,2131.65,2140.88,601931,12886.64,34077, 257338, 42.75
05-Feb-2020,2160.0,2274.0,2160.0,2248.9, 2246.20,2155.3,2229.06,1100397,24528.55,54884, 326277, 29.65
06-Feb-2020,2255.0,2360.0,2255.0,2294.35, 2288.35,2248.9,2322.98,1760624,40898.9,83237, 790445, 44.90
07-Feb-2020,2295.0,2330.0,2270.0,2287.2, 2281.50,2294.35,2293.51,917281,21037.98,81688, 531767, 57.97
10-Feb-2020,2287.2,2537.45,2287.2,2483.65, 2480.85,2287.2,2426.25,2504235,60758.88,95386, 861640, 34.41
11-Feb-2020,2480.0,2480.0,2381.0,2394.5, 2405.00,2483.65,2414.49,1890047,45635.0,90400, 764244, 40.44
12-Feb-2020,2390.0,2526.0,2380.0,2482.15, 2469.80,2394.5,2487.59,2099102,52216.98,104563, 608622, 28.99
13-Feb-2020,2478.0,2560.0,2442.8,2544.15, 2539.60,2482.15,2520.84,2369901,59741.5,121230, 571038, 24.10
14-Feb-2020,2440.0,2499.0,2373.0,2408.35, 2380.20,2544.15,2434.07,4717819,114834.92,180133, 1695144, 35.93
17-Feb-2020,2354.5,2379.3,2330.05,2339.45, 2336.00,2408.35,2354.47,3097697,72934.31,120935, 1248897, 40.32
18-Feb-2020,2334.95,2384.6,2305.05,2364.9, 2365.50,2339.45,2346.67,2017080,47334.26,99027, 694531, 34.43
19-Feb-2020,2385.0,2437.0,2372.1,2424.5, 2430.00,2364.9,2409.36,1759543,42393.69,82230, 558563, 31.74
20-Feb-2020,2433.0,2485.0,2430.0,2462.65, 2458.00,2424.5,2464.82,1359803,33516.7,51278, 496356, 36.50
24-Feb-2020,2448.8,2448.8,2370.0,2389.7, 2389.75,2462.65,2412.07,651480,15714.14,46383, 285251, 43.79
