date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,2880.0,2888.5,2860.2,2879.4, 2885.00,2874.55,2875.64,154779,4450.88,7138, 13871, 8.96
02-Jan-2020,2883.8,2892.4,2860.2,2864.9, 2869.00,2879.4,2870.42,298831,8577.69,19727, 132540, 44.35
03-Jan-2020,2864.9,2897.0,2852.05,2883.9, 2887.00,2864.9,2881.03,344678,9930.29,23970, 100853, 29.26
06-Jan-2020,2871.0,2897.8,2854.2,2878.85, 2885.00,2883.9,2873.7,357737,10280.3,22787, 184714, 51.63
07-Jan-2020,2890.0,2910.0,2871.05,2884.2, 2880.00,2878.85,2895.86,357635,10356.6,21604, 121253, 33.90
08-Jan-2020,2875.0,2905.0,2866.0,2897.25, 2900.00,2884.2,2893.97,279023,8074.85,21788, 105265, 37.73
09-Jan-2020,2911.6,2936.6,2901.0,2920.5, 2915.00,2897.25,2921.3,375496,10969.36,29664, 133368, 35.52
10-Jan-2020,2930.0,3008.0,2925.15,2933.0, 2936.60,2920.5,2961.69,1127147,33382.58,57640, 273064, 24.23
13-Jan-2020,2932.9,2966.5,2915.7,2954.7, 2954.90,2933.0,2952.69,441864,13046.89,24760, 157399, 35.62
14-Jan-2020,2954.8,2968.8,2932.0,2947.8, 2950.00,2954.7,2946.17,357170,10522.85,33063, 195859, 54.84
15-Jan-2020,2946.15,2946.5,2900.0,2918.65, 2914.40,2947.8,2915.13,384867,11219.38,33128, 191280, 49.70
16-Jan-2020,2928.0,2951.5,2921.65,2937.45, 2942.00,2918.65,2938.96,383462,11269.8,29472, 201846, 52.64
17-Jan-2020,2944.4,3049.0,2940.0,3034.35, 3026.80,2937.45,3003.67,1117117,33554.53,61079, 404258, 36.19
20-Jan-2020,3043.0,3080.0,3032.05,3059.6, 3062.20,3034.35,3058.92,874713,26756.75,52713, 354451, 40.52
21-Jan-2020,3055.55,3079.8,3035.85,3060.45, 3052.00,3059.6,3061.54,570786,17474.85,26841, 221598, 38.82
22-Jan-2020,3060.55,3105.05,3047.4,3062.05, 3055.55,3060.45,3082.31,559798,17254.74,37334, 147303, 26.31
23-Jan-2020,3055.3,3078.7,3024.0,3038.15, 3032.10,3062.05,3048.34,426168,12991.04,34732, 155106, 36.40
24-Jan-2020,3044.0,3047.05,3025.2,3031.4,3029.45,3038.15,3036.05,272729,8280.19,19235, 74185, 27.20
27-Jan-2020,3029.0,3209.0,2997.5,3188.75, 3200.00,3031.4,3140.57,4139808,130013.46,193880, 673805, 16.28
28-Jan-2020,3190.0,3249.95,3157.75,3189.15, 3183.00,3188.75,3213.02,2302269,73972.34,114855, 472279, 20.51
29-Jan-2020,3189.15,3201.85,3099.2,3148.25, 3145.15,3189.15,3158.74,1389203,43881.32,75148, 249460, 17.96
30-Jan-2020,3152.3,3170.0,3118.55,3154.85, 3154.00,3148.25,3145.5,673260,21177.38,47764, 243522, 36.17
31-Jan-2020,3155.25,3191.85,3102.1,3114.5, 3110.00,3154.85,3145.55,668235,21019.7,44460, 288666, 43.20
03-Feb-2020,3124.0,3173.0,3117.15,3144.15, 3142.00,3123.05,3148.21,515242,16220.88,38130, 220813, 42.86
04-Feb-2020,3154.0,3277.6,3152.05,3241.85, 3232.10,3144.15,3224.55,1029957,33211.47,69865, 506682, 49.19
05-Feb-2020,3235.0,3250.0,3121.7,3133.35, 3142.00,3241.85,3164.69,956229,30261.71,71527, 472081, 49.37
06-Feb-2020,3167.6,3176.8,3136.6,3158.95, 3165.00,3133.35,3157.35,492532,15550.98,32435, 214432, 43.54
07-Feb-2020,3159.85,3185.0,3137.0,3166.7, 3166.70,3158.95,3168.41,535233,16958.36,36690, 219324, 40.98
10-Feb-2020,3166.45,3173.25,3113.0,3149.1, 3161.00,3166.7,3142.88,295595,9290.2,19929, 112799, 38.16
11-Feb-2020,3159.9,3205.95,3135.0,3191.2, 3185.40,3149.1,3182.67,612104,19481.23,31726, 224212, 36.63
12-Feb-2020,3172.15,3213.6,3164.05,3195.7, 3201.25,3191.2,3188.17,568633,18128.99,53036, 226453, 39.82
13-Feb-2020,3222.75,3336.9,3197.1,3324.6, 3322.00,3195.7,3280.8,1716864,56326.87,73213, 513153, 29.89
14-Feb-2020,3305.2,3333.0,3277.0,3304.3, 3302.30,3324.6,3303.26,706686,23343.68,40510, 215348, 30.47
17-Feb-2020,3325.8,3342.05,3287.2,3295.55, 3290.00,3304.3,3315.96,640661,21244.05,45499, 243129, 37.95
18-Feb-2020,3288.0,3288.0,3233.25,3251.35, 3253.00,3295.55,3251.28,697366,22673.3,24980, 372834, 53.46
19-Feb-2020,3258.0,3298.8,3258.0,3278.15, 3289.30,3251.35,3281.81,301821,9905.2,20211, 101855, 33.75
20-Feb-2020,3289.3,3364.95,3240.05,3255.3, 3257.00,3278.15,3311.31,924466,30611.98,78087, 359529, 38.89
24-Feb-2020,3257.0,3257.0,3166.35,3176.3, 3175.00,3255.3,3207.71,628617,20164.22,40963, 246204, 39.17
25-Feb-2020,3182.0,3182.3,3056.35,3086.9, 3091.50,3176.3,3104.66,1001027,31078.53,57389, 426343, 42.59
26-Feb-2020,3097.0,3115.5,3060.3,3075.35, 3066.00,3086.9,3087.53,762169,23532.19,49957, 289193, 37.94
27-Feb-2020,3094.0,3094.0,3029.1,3067.05, 3064.00,3075.35,3060.97,935416,28632.79,60580, 469682, 50.21
28-Feb-2020,3030.0,3088.5,2905.25,2927.1, 2920.00,3067.05,3010.32,1659956,49970.06,86934, 591574, 35.64
02-Mar-2020,2961.0,2997.25,2876.0,2905.55, 2894.50,2927.1,2949.45,888866,26216.7,53996, 387453, 43.59
03-Mar-2020,2940.0,3078.0,2931.25,3043.7, 3065.00,2905.55,3008.68,1056080,31774.09,69684, 246376, 23.33
04-Mar-2020,3065.0,3186.75,3036.0,3171.35, 3169.75,3043.7,3128.01,1832722,57327.71,92804, 647909, 35.35
05-Mar-2020,3171.0,3231.95,3166.2,3184.45, 3172.90,3171.35,3203.53,1045742,33500.69,61143, 331549, 31.70
06-Mar-2020,3085.2,3206.45,3085.2,3170.95, 3157.00,3184.45,3166.49,1125892,35651.22,81919, 341288, 30.31
09-Mar-2020,3158.75,3189.0,3026.05,3061.25, 3063.00,3170.95,3088.95,998533,30844.19,81225, 472939, 47.36
11-Mar-2020,3070.0,3083.9,2983.0,3000.6, 3005.90,3061.25,3030.13,1169141,35426.53,69892, 637721, 54.55
12-Mar-2020,2948.0,2982.5,2803.55,2850.4, 2882.00,3000.6,2886.92,778179,22465.39,59263, 277048, 35.60
13-Mar-2020,2729.95,3135.4,2610.0,2885.1, 2920.00,2850.4,2885.51,986034,28452.07,83997, 404085, 40.98
16-Mar-2020,2790.0,2980.95,2760.0,2826.95, 2825.00,2885.1,2868.77,943080,27054.77,69102, 357448, 37.90
17-Mar-2020,2830.0,2904.0,2757.75,2781.2, 2765.00,2826.95,2848.44,936854,26685.76,57661, 462191, 49.33
18-Mar-2020,2801.8,2801.8,2621.05,2668.45, 2680.90,2781.2,2686.27,873524,23465.2,75729, 390553, 44.71
19-Mar-2020,2608.0,2679.9,2495.05,2623.95, 2619.75,2668.45,2597.1,967602,25129.6,102422, 431387, 44.58
20-Mar-2020,2641.0,2949.0,2641.0,2897.25, 2879.80,2623.95,2826.55,1554571,43940.72,117736, 679434, 43.71
23-Mar-2020,2680.25,3047.0,2680.25,2768.4, 2775.00,2897.25,2796.88,963236,26940.51,59218, 602528, 62.55
24-Mar-2020,2850.0,2960.0,2801.1,2857.95, 2880.00,2768.4,2870.76,1068118,30663.09,92301, 527403, 49.38
25-Mar-2020,2827.25,2948.9,2795.7,2922.0, 2917.00,2857.95,2868.2,819410,23502.31,77692, 448422, 54.72
26-Mar-2020,2975.2,3066.55,2879.25,2948.55, 2940.00,2922.0,2969.21,638995,18973.13,64439, 224101, 35.07
27-Mar-2020,2952.8,3046.95,2846.1,2916.5, 2917.50,2948.55,2931.59,801588,23499.24,75582, 239694, 29.90
30-Mar-2020,2879.6,3050.0,2811.0,2994.25, 2990.10,2916.5,2988.1,1150459,34376.85,74922, 466633, 40.56
31-Mar-2020,3050.0,3152.0,3032.05,3120.75,3119.0,2994.25,3105.31,1002756,31138.64,84109, 316911, 31.60
01-Apr-2020,3119.95,3144.0,3066.0,3095.0,3102.0,3120.75,3097.23,711048,22022.8,67620, 269221, 37.86
03-Apr-2020,3085.0,3218.85,3025.1,3146.8, 3146.85,3095.0,3143.89,1173674,36899.05,95189, 314667, 26.81
07-Apr-2020,3250.0,3615.6,3210.0,3583.2, 3599.95,3146.8,3476.74,2367583,82314.77,141819, 616684, 26.05
08-Apr-2020,3525.0,3765.0,3471.0,3683.0, 3697.80,3583.2,3674.62,2522297,92684.83,178903, 760362, 30.15
09-Apr-2020,3740.0,3810.0,3593.2,3621.55, 3603.50,3683.0,3711.74,1960953,72785.5,124240, 516310, 26.33
13-Apr-2020,3694.0,3856.0,3607.2,3746.6, 3759.90,3621.55,3777.99,2322394,87739.78,151314,409702,18.82
15-Apr-2020,3825.0,3893.6,3776.0,3807.6, 3805.40,3746.6,3843.63,1725113,66306.97,123319, 439005, 25.45
16-Apr-2020,3806.4,3890.0,3780.0,3860.65, 3848.95,3807.6,3846.7,1465944,56390.47,104152, 385432, 26.29
17-Apr-2020,3970.0,3997.9,3823.6,3929.55, 3940.00,3860.65,3912.23,1814922,71003.93,157976, 468553, 25.82
20-Apr-2020,3923.55,3924.95,3810.3,3844.75, 3840.00,3929.55,3864.09,1498802,57915.08,127048, 685412, 45.73
21-Apr-2020,3835.0,4047.8,3822.05,4016.4,4013.0,3844.75,3984.59,2847875,113476.09,181920, 675857, 23.73
22-Apr-2020,3989.95,4094.3,3961.25,4056.8,4046.25,4016.4,4051.83,1783452,72262.51,128246, 389950, 21.86
23-Apr-2020,4031.0,4086.0,4009.25,4027.1,4030.0,4056.8,4053.61,1025657,41576.17,63488, 267580, 26.09
24-Apr-2020,4010.0,4049.6,3970.1,4002.8,4000.0,4027.1,4005.08,1266284,50715.65,79023, 551020, 43.51
27-Apr-2020,4002.8,4065.1,3955.05,3980.3, 3979.00,4002.8,3994.42,1124910,44933.62,86091, 355508, 31.60
28-Apr-2020,4030.0,4036.2,3892.05,3949.75, 3943.60,3980.3,3940.58,861168,33934.98,63912, 269818, 31.33
29-Apr-2020,3949.75,3970.0,3872.55,3880.7,3882.0,3949.75,3898.07,1039646,40526.18,74163, 490880, 47.22
30-Apr-2020,3933.1,4093.75,3895.05,3936.3,3931.0,3880.7,3971.25,2178034,86495.27,155606, 543308, 24.94
04-May-2020,3850.0,4006.0,3848.2,3939.0, 3920.00,3936.3,3956.37,1415492,56002.07,108637, 369185, 26.08
05-May-2020,3980.0,3986.35,3806.0,3833.9, 3837.00,3939.0,3883.68,795735,30903.81,54333, 211040, 26.52
06-May-2020,3851.0,3880.0,3805.05,3852.5, 3835.00,3833.9,3843.5,955938,36741.44,80211, 314516, 32.90
07-May-2020,3908.9,3936.55,3818.55,3837.65, 3825.00,3852.5,3889.66,916303,35641.1,55074, 177339, 19.35
08-May-2020,3900.1,4132.2,3900.1,3984.0, 3978.00,3837.65,3995.52,2003475,80049.17,126008, 291662, 14.56
11-May-2020,3977.8,3977.8,3848.05,3862.0, 3866.00,3984.0,3888.11,1194988,46462.4,82622, 218023, 18.24
12-May-2020,3863.2,3909.6,3759.15,3773.4, 3785.00,3862.0,3803.85,1078501,41024.51,75735, 365072, 33.85
13-May-2020,3849.0,3849.0,3735.1,3779.6,3785.55,3773.4,3779.41,878436,33199.68,58314, 106446, 12.12
14-May-2020,3790.0,3819.95,3718.6,3732.0,3732.05,3779.6,3764.85,897141,33775.99,59431, 297028, 33.11
15-May-2020,3746.0,3778.9,3717.05,3735.1,3730.0,3732.0,3752.45,899387,33749.05,72346, 349790, 38.89
