date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,22515.25,22594.75,22001.0,22075.8, 22090.00,22515.25,22214.67,108648,24135.8,24089, 12325, 11.34
02-Jan-2020,22090.0,22341.85,21471.1,21600.85, 21568.45,22075.8,21781.96,228582,49789.65,49509, 24910, 10.90
03-Jan-2020,21650.0,21665.95,21110.0,21189.25, 21210.00,21600.85,21241.25,157297,33411.85,39542, 36689, 23.32
06-Jan-2020,21100.0,21100.0,20739.5,20860.45, 20882.05,21189.25,20909.91,125871,26319.51,32455, 22638, 17.99
07-Jan-2020,20950.0,21349.8,20713.8,20803.8, 20800.00,20860.45,20900.8,137152,28665.87,33833, 27076, 19.74
08-Jan-2020,20700.0,20700.0,19800.1,19892.2, 19900.00,20803.8,20147.16,289286,58282.9,63714, 97132, 33.58
09-Jan-2020,20238.0,20500.0,19860.0,20328.9, 20328.10,19892.2,20169.93,259287,52298.0,67037, 53071, 20.47
10-Jan-2020,20330.0,20740.0,20250.2,20432.75, 20385.55,20328.9,20505.68,216926,44482.15,46942, 29600, 13.65
13-Jan-2020,20600.0,20600.1,20063.2,20280.0, 20295.00,20432.75,20249.03,132092,26747.35,34819, 20332, 15.39
14-Jan-2020,20270.0,20579.3,20255.0,20489.7, 20464.75,20280.0,20460.0,116226,23779.84,29367, 18005, 15.49
15-Jan-2020,20440.0,20650.0,20300.0,20624.8, 20620.00,20489.7,20503.26,107956,22134.5,28993, 22281, 20.64
16-Jan-2020,20699.0,21600.0,20650.0,21536.25, 21509.05,20624.8,21309.89,292195,62266.44,67657, 73997, 25.32
17-Jan-2020,21509.05,21770.0,21103.55,21292.2, 21292.25,21536.25,21443.15,183485,39344.96,40136, 25705, 14.01
20-Jan-2020,21380.0,21549.9,21005.0,21365.1, 21360.00,21292.2,21288.29,100593,21414.53,28635, 8569, 8.52
21-Jan-2020,21358.0,21475.0,20970.3,21056.55, 21005.00,21365.1,21173.14,103236,21858.3,24458, 13675, 13.25
22-Jan-2020,21160.0,21280.0,20944.0,21100.0, 21070.00,21056.55,21113.22,78681,16612.09,22313, 8834, 11.23
23-Jan-2020,21070.0,21196.0,20780.5,20915.75, 20905.00,21100.0,20926.22,105958,22173.0,23020, 18127, 17.11
24-Jan-2020,20980.0,21175.0,20800.0,20930.8,20900.0,20915.75,21026.49,77075,16206.17,18834, 13926, 18.07
27-Jan-2020,20850.0,21160.8,20775.0,21095.2, 21091.00,20930.8,21047.34,97108,20438.65,20882, 33628, 34.63
28-Jan-2020,21227.0,21227.0,20875.0,21086.65, 21086.65,21095.2,21078.18,97277,20504.22,31697, 29390, 30.21
29-Jan-2020,21236.0,21236.0,20100.0,20192.25, 20136.00,21086.65,20455.68,286925,58692.46,63311, 117838, 41.07
30-Jan-2020,20200.0,20580.0,20200.0,20340.3, 20300.00,20192.25,20399.11,138559,28264.8,33188, 17997, 12.99
31-Jan-2020,20450.0,20641.7,20211.0,20289.3, 20240.00,20340.3,20375.7,102123,20808.28,23667, 17497, 17.13
03-Feb-2020,19547.3,20375.6,19511.65,19883.45, 20000.00,20059.25,19910.48,148637,29594.34,41404, 27504, 18.50
04-Feb-2020,20000.0,20139.95,19450.0,19512.65, 19523.00,19883.45,19685.51,150092,29546.38,38791, 41502, 27.65
05-Feb-2020,19712.0,19800.0,19356.1,19487.05, 19500.00,19512.65,19572.19,128333,25117.57,29504, 31674, 24.68
06-Feb-2020,19625.0,20641.6,19261.0,20391.2, 20530.00,19487.05,20053.3,394575,79125.29,88628, 83061, 21.05
07-Feb-2020,20500.0,20516.95,19666.7,19736.3, 19750.00,20391.2,19858.03,222415,44167.25,60419, 59472, 26.74
10-Feb-2020,19855.0,19855.0,18790.0,19057.25, 19070.00,19736.3,19117.42,243747,46598.14,58239, 64218, 26.35
11-Feb-2020,19250.0,19368.95,18945.0,19009.25, 18975.05,19057.25,19171.48,129553,24837.23,29666, 24594, 18.98
