date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,121.4,121.8,119.75,121.2, 120.95,121.05,120.69,4704499,5677.9,26255, 951936, 20.23
02-Jan-2020,121.5,123.95,120.65,123.55, 123.40,121.2,122.6,6747917,8273.16,34471, 2318282, 34.36
03-Jan-2020,123.7,128.8,123.7,125.65, 125.50,123.55,126.53,21625485,27361.98,86172, 8294359, 38.35
06-Jan-2020,125.0,126.25,122.85,124.35, 124.35,125.65,124.0,7719845,9572.76,38654, 3034674, 39.31
07-Jan-2020,124.9,126.05,123.85,124.45, 124.20,124.35,124.98,9298669,11621.58,43688, 3979351, 42.79
08-Jan-2020,123.1,124.5,122.75,123.9, 124.20,124.45,123.63,3457429,4274.3,20471, 833860, 24.12
09-Jan-2020,124.4,125.4,123.2,123.7, 123.45,123.9,123.93,4143512,5134.88,27825, 1051579, 25.38
10-Jan-2020,125.1,127.75,124.25,125.35, 125.40,123.7,126.24,11336495,14311.57,68109, 3491075, 30.80
13-Jan-2020,125.9,129.4,124.9,128.9, 129.00,125.35,127.26,10746361,13675.79,69790, 5588992, 52.01
14-Jan-2020,129.5,132.8,128.45,130.05, 130.10,128.9,130.54,19261286,25143.13,86099, 7945175, 41.25
15-Jan-2020,130.35,132.05,128.75,131.65, 131.90,130.05,130.25,13068269,17021.42,71515, 5324365, 40.74
16-Jan-2020,132.95,133.35,128.35,128.75, 129.00,131.65,130.35,14849195,19356.25,66301, 5446536, 36.68
17-Jan-2020,126.9,127.4,122.75,126.35, 126.00,128.75,126.11,16704967,21066.23,102742, 6676413, 39.97
20-Jan-2020,126.0,129.05,124.55,127.8, 128.00,126.35,127.24,13405397,17056.53,71786, 5620726, 41.93
21-Jan-2020,128.35,129.55,126.3,126.75, 127.20,127.8,128.0,10092350,12917.93,61759, 3215305, 31.86
22-Jan-2020,127.2,127.9,125.5,125.9, 126.05,126.75,126.33,5781553,7303.73,53536, 2540656, 43.94
23-Jan-2020,125.7,130.7,125.2,129.65, 129.45,125.9,128.6,13600475,17490.01,56848, 3904954, 28.71
24-Jan-2020,129.85,131.7,129.15,129.5,129.5,129.65,130.44,10451848,13633.66,54500, 3980044, 38.08
27-Jan-2020,129.0,129.5,126.1,126.75, 126.65,129.5,127.46,5511979,7025.68,31089, 1794573, 32.56
28-Jan-2020,127.0,127.45,125.2,126.15, 126.00,126.75,126.5,6610020,8361.89,33774, 2706703, 40.95
29-Jan-2020,127.7,128.85,125.6,126.25, 126.20,126.15,126.93,11151054,14153.51,49865, 4603231, 41.28
30-Jan-2020,126.25,126.75,123.0,123.35, 123.45,126.25,124.6,7496704,9340.92,39463, 3318468, 44.27
31-Jan-2020,124.05,124.4,119.4,120.45, 120.40,123.35,120.99,15391445,18621.67,54824, 8042384, 52.25
03-Feb-2020,115.1,119.5,114.0,114.5, 114.65,117.7,116.77,10387760,12130.24,51897, 3892471, 37.47
04-Feb-2020,115.2,119.25,115.2,118.9, 118.85,114.5,117.61,11712985,13775.33,57219, 5148549, 43.96
05-Feb-2020,119.3,121.5,118.0,120.95, 121.05,118.9,120.3,11811317,14209.23,67358, 5580837, 47.25
06-Feb-2020,121.45,124.4,121.4,123.7, 124.00,120.95,122.94,8213253,10097.08,44815, 3583169, 43.63
07-Feb-2020,124.0,124.6,122.15,123.0, 124.10,123.7,123.24,9212683,11354.11,41802, 5052969, 54.85
10-Feb-2020,124.1,124.35,119.25,121.8, 121.90,123.0,121.37,19527401,23700.3,70207, 5746439, 29.43
11-Feb-2020,123.45,129.85,123.2,129.15, 129.00,121.8,127.85,31055734,39705.42,139720, 8006685, 25.78
12-Feb-2020,129.7,131.0,127.5,130.35, 130.30,129.15,129.33,14667961,18969.59,58880, 5317195, 36.25
13-Feb-2020,130.0,132.5,129.4,130.3, 130.00,130.35,131.14,24687804,32374.63,71701, 15772677, 63.89
14-Feb-2020,130.0,131.5,121.95,122.55, 123.15,130.3,125.69,28720617,36098.21,93353, 12931601, 45.03
17-Feb-2020,122.0,122.0,117.15,118.0, 118.00,122.55,118.82,19407061,23058.97,75114, 4730586, 24.38
18-Feb-2020,118.0,119.75,116.75,119.45, 119.75,118.0,118.63,14994097,17787.7,83031, 5368021, 35.80
19-Feb-2020,120.0,120.9,118.75,119.85, 119.80,119.45,119.87,6127331,7344.69,34237, 1756222, 28.66
20-Feb-2020,118.9,121.0,118.5,119.3, 119.40,119.85,119.83,7262737,8702.84,56231, 2951340, 40.64
24-Feb-2020,118.5,119.3,116.3,116.8, 117.00,119.3,117.63,6213574,7308.89,47785, 2961859, 47.67
25-Feb-2020,118.4,118.6,113.45,114.0, 114.50,116.8,115.01,11422206,13136.87,77124, 4447075, 38.93
26-Feb-2020,114.0,114.1,107.6,108.05, 108.15,114.0,109.93,18072839,19867.48,91833, 7234470, 40.03
27-Feb-2020,108.0,108.45,105.15,107.35, 106.55,108.05,106.7,15078256,16088.28,90768, 4852472, 32.18
28-Feb-2020,102.0,108.5,102.0,104.4, 103.65,107.35,106.11,26486046,28103.69,108859, 10869083, 41.04
02-Mar-2020,106.0,107.35,98.7,99.65, 99.80,104.4,102.92,19521525,20091.9,96557, 7853381, 40.23
03-Mar-2020,100.9,103.8,99.5,103.2, 103.30,99.65,101.57,15840274,16089.6,72925, 5902165, 37.26
04-Mar-2020,103.95,106.9,102.4,106.05, 105.70,103.2,105.16,20572842,21633.69,91109, 7874363, 38.28
05-Mar-2020,109.85,111.25,105.9,106.8, 106.95,106.05,107.59,19248671,20708.82,69783, 5393507, 28.02
06-Mar-2020,104.0,108.7,102.05,107.8, 107.70,106.8,106.61,15462296,16484.01,66461, 5688034, 36.79
09-Mar-2020,103.6,104.85,99.5,100.45, 99.65,107.8,101.18,16914812,17114.4,84744, 7894877, 46.67
11-Mar-2020,96.65,97.55,90.0,90.5, 90.20,100.45,92.78,49463841,45893.5,199566, 21086374, 42.63
12-Mar-2020,85.0,88.8,79.1,79.95, 79.55,90.5,82.41,35475068,29235.75,137300, 14608366, 41.18
