date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,746.8,747.4,738.6,742.5, 742.70,743.65,742.83,685313,5090.74,11402, 47464, 6.93
02-Jan-2020,742.0,768.5,741.0,766.35, 765.30,742.5,759.06,2413731,18321.55,35565, 415238, 17.20
03-Jan-2020,769.95,769.95,751.5,756.65, 756.45,766.35,759.61,1411458,10721.52,24417, 283619, 20.09
06-Jan-2020,755.4,755.8,735.0,737.0, 735.00,756.65,741.97,957541,7104.66,18763, 200062, 20.89
07-Jan-2020,738.2,756.0,735.5,742.3, 742.30,737.0,743.67,1104012,8210.25,19977, 150669, 13.65
08-Jan-2020,735.4,749.9,733.6,742.65, 742.70,742.3,743.64,1312487,9760.18,20705, 198427, 15.12
09-Jan-2020,752.95,761.3,750.05,757.3, 755.20,742.65,756.4,1471931,11133.76,27280, 541953, 36.82
10-Jan-2020,756.8,766.5,751.0,756.25, 755.40,757.3,758.37,1261460,9566.53,22582, 320599, 25.41
13-Jan-2020,757.0,765.0,757.0,759.6, 761.40,756.25,761.58,832679,6341.52,13743, 165586, 19.89
14-Jan-2020,762.8,767.9,753.1,759.9, 759.90,759.6,760.6,1186220,9022.35,24735, 287194, 24.21
15-Jan-2020,758.0,769.0,747.5,766.4, 767.90,759.9,756.72,1516061,11472.34,22328, 487311, 32.14
16-Jan-2020,767.35,771.0,753.1,756.05, 755.90,766.4,760.86,1037376,7892.99,20850, 245865, 23.70
17-Jan-2020,715.0,772.0,711.0,768.25, 767.90,756.05,757.21,4918914,37246.49,77808, 875366, 17.80
20-Jan-2020,767.6,777.5,762.45,772.8, 772.40,768.25,771.14,1575278,12147.53,27949, 263802, 16.75
21-Jan-2020,779.0,781.1,763.45,771.65, 770.00,772.8,770.36,1661273,12797.71,26036, 419972, 25.28
22-Jan-2020,770.85,799.0,767.1,792.9, 792.00,771.65,787.36,3081732,24264.3,48288, 570777, 18.52
23-Jan-2020,785.0,811.95,783.0,808.9, 809.60,792.9,802.94,2587185,20773.44,42901, 447300, 17.29
24-Jan-2020,808.0,824.4,795.95,822.0,821.55,808.9,816.24,1925862,15719.67,33434, 326181, 16.94
27-Jan-2020,815.0,836.9,810.0,813.1, 811.35,822.0,824.3,2808890,23153.79,46281, 619977, 22.07
28-Jan-2020,817.5,823.85,797.25,808.9, 810.00,813.1,813.6,1783600,14511.3,39452, 429487, 24.08
29-Jan-2020,814.0,822.85,800.0,802.3, 804.20,808.9,814.83,1833108,14936.7,30512, 654094, 35.68
30-Jan-2020,809.0,809.0,787.25,791.25, 791.00,802.3,794.77,1325227,10532.46,25394, 408912, 30.86
31-Jan-2020,793.1,797.95,775.55,778.9, 777.50,791.25,783.81,1299292,10184.04,24847, 359229, 27.65
03-Feb-2020,759.0,783.0,750.25,780.4, 777.00,759.4,768.16,1534961,11790.94,45570, 500173, 32.59
04-Feb-2020,780.05,796.35,780.05,793.7, 792.80,780.4,790.2,1071567,8467.52,20505, 126966, 11.85
05-Feb-2020,793.7,802.1,788.05,799.9, 798.45,793.7,795.11,1058399,8415.39,29763, 325804, 30.78
06-Feb-2020,802.4,806.65,793.3,801.0, 799.50,799.9,800.9,1217580,9751.58,31723, 339473, 27.88
07-Feb-2020,801.0,803.6,785.55,787.65, 786.50,801.0,793.05,1082529,8584.99,17016, 283669, 26.20
10-Feb-2020,787.0,789.7,752.0,757.55, 753.85,787.65,766.09,4243828,32511.36,65425, 1020588, 24.05
11-Feb-2020,760.0,769.0,754.1,759.3, 758.80,757.55,760.05,3381311,25699.54,84051, 1461027, 43.21
12-Feb-2020,762.1,774.45,754.5,755.35, 755.40,759.3,763.38,1845607,14089.0,31588, 540885, 29.31
13-Feb-2020,755.35,764.95,745.3,752.25, 754.50,755.35,755.03,1877016,14171.98,27887, 646259, 34.43
14-Feb-2020,754.5,770.85,737.1,743.05, 741.05,752.25,753.99,3399473,25631.59,54660, 511041, 15.03
17-Feb-2020,743.0,750.0,733.5,737.4, 737.30,743.05,740.78,1516432,11233.36,26980, 416833, 27.49
18-Feb-2020,737.35,741.2,715.55,723.9, 723.55,737.4,723.96,1750918,12675.91,28809, 480559, 27.45
19-Feb-2020,730.0,759.75,726.3,757.15, 755.80,723.9,746.77,2067868,15442.28,40522, 304053, 14.70
20-Feb-2020,750.0,767.8,745.9,751.3, 750.75,757.15,757.1,2128575,16115.52,34299, 550299, 25.85
24-Feb-2020,748.0,748.0,722.2,724.9, 723.55,751.3,733.18,2357961,17288.21,56686, 1105399, 46.88
25-Feb-2020,727.0,732.9,715.1,720.4, 720.45,724.9,722.86,2272073,16423.95,34787, 724786, 31.90
26-Feb-2020,718.0,722.2,700.0,702.8, 700.00,720.4,707.06,2841126,20088.54,39543, 1019337, 35.88
27-Feb-2020,702.8,717.5,686.0,712.85, 710.40,702.8,699.48,3350636,23436.88,58319, 840705, 25.09
28-Feb-2020,687.0,707.5,684.0,687.2, 686.00,712.85,695.44,4389931,30529.49,61459, 1963047, 44.72
02-Mar-2020,701.0,701.5,657.3,668.45, 669.00,687.2,685.47,2245349,15391.19,38861, 601034, 26.77
03-Mar-2020,671.0,704.6,671.0,700.05, 702.50,668.45,687.49,3350249,23032.54,39033, 1231087, 36.75
04-Mar-2020,702.5,708.8,682.0,689.5, 689.00,700.05,692.35,2842415,19679.5,41222, 999253, 35.16
05-Mar-2020,692.8,695.5,678.0,680.3, 681.00,689.5,684.11,2162532,14794.09,28350, 649139, 30.02
06-Mar-2020,650.0,670.9,645.0,665.05, 663.30,680.3,661.76,1694832,11215.64,34451, 737807, 43.53
09-Mar-2020,648.0,654.0,625.3,634.6, 635.00,665.05,636.89,2775879,17679.39,70846, 1313766, 47.33
11-Mar-2020,635.0,640.5,616.0,625.25, 625.10,634.6,625.74,2989772,18708.29,69478, 1317808, 44.08
12-Mar-2020,609.75,610.0,555.0,559.85, 564.90,625.25,572.46,4760006,27249.12,69235, 2027342, 42.59
13-Mar-2020,537.6,631.65,505.0,604.95, 607.00,559.85,582.69,6184972,36039.46,111301, 3173310, 51.31
16-Mar-2020,580.0,599.5,559.0,576.9, 575.00,604.95,581.23,2976559,17300.74,55018, 1190993, 40.01
17-Mar-2020,571.3,585.65,553.25,555.65, 556.35,576.9,566.76,2995383,16976.66,63189, 1260491, 42.08
18-Mar-2020,568.0,568.0,492.4,527.05, 541.00,555.65,528.72,6838559,36156.8,149220, 3009471, 44.01
19-Mar-2020,481.0,518.8,481.0,491.05, 492.00,527.05,501.97,3899814,19576.08,70440, 1757980, 45.08
20-Mar-2020,495.0,564.7,488.05,529.4, 543.55,491.05,520.89,3034742,15807.53,52836, 1290585, 42.53
23-Mar-2020,481.3,500.0,397.05,433.25, 435.95,529.4,427.73,4474891,19140.27,81529, 2627236, 58.71
24-Mar-2020,436.0,457.9,393.0,400.1, 400.00,433.25,417.65,2985330,12468.19,68144, 1085669, 36.37
25-Mar-2020,390.0,458.7,385.05,451.35, 442.00,400.1,429.57,4196785,18028.3,66420, 1312249, 31.27
26-Mar-2020,439.95,484.0,423.95,471.4, 468.00,451.35,456.98,3960528,18098.96,64466, 1396695, 35.27
27-Mar-2020,472.05,493.8,446.85,460.9, 463.00,471.4,469.73,2020718,9491.98,42770, 423251, 20.95
30-Mar-2020,448.0,476.5,438.2,450.5, 453.90,460.9,457.54,1991654,9112.69,37910, 559016, 28.07
31-Mar-2020,463.4,479.75,453.6,476.1,478.0,450.5,468.99,1801288,8447.91,37049, 664232, 36.88
01-Apr-2020,477.9,484.3,452.6,476.15,469.0,476.1,469.46,2120320,9954.1,44212, 670634, 31.63
03-Apr-2020,473.5,477.7,451.2,454.7, 453.10,476.15,465.79,1470237,6848.25,47308, 290777, 19.78
07-Apr-2020,478.0,522.9,463.0,518.55, 522.90,454.7,491.22,2632290,12930.32,67176, 991708, 37.67
08-Apr-2020,512.5,532.5,500.4,512.6, 510.00,518.55,514.38,2402047,12355.63,55365, 569592, 23.71
09-Apr-2020,529.0,547.45,513.0,530.55, 529.00,512.6,530.48,2490529,13211.7,46551, 851959, 34.21
13-Apr-2020,530.55,561.0,510.0,544.5, 548.00,530.55,538.23,3263002,17562.3,45541,1250810,40.42
15-Apr-2020,558.9,572.85,530.15,535.4, 535.10,544.5,552.9,2125336,11750.96,52698, 485808, 22.86
16-Apr-2020,530.0,557.0,523.05,543.75, 545.75,535.4,543.67,3595017,19545.01,62193, 2014607, 56.04
17-Apr-2020,560.0,563.0,533.35,545.55, 543.00,543.75,548.17,2730995,14970.55,49581, 741070, 27.14
20-Apr-2020,548.25,552.9,519.4,521.65, 522.25,545.55,534.7,3106055,16608.2,52201, 637851, 20.54
21-Apr-2020,514.85,517.3,503.5,509.55,510.95,521.65,509.69,2588715,13194.32,41680, 1177166, 45.47
22-Apr-2020,511.0,513.3,502.45,510.4,509.45,509.55,508.34,2324747,11817.72,33837, 1060968, 45.64
23-Apr-2020,515.0,517.85,498.7,500.45,500.8,510.4,505.86,2040914,10324.16,44023, 612351, 30.00
24-Apr-2020,492.0,501.9,484.75,499.05,499.0,500.45,494.3,2550107,12605.24,43835, 725773, 28.46
27-Apr-2020,504.9,510.7,492.3,498.25, 498.00,499.05,500.54,1758839,8803.63,34544, 293347, 16.68
28-Apr-2020,506.95,511.5,493.8,497.45, 496.85,498.25,501.37,2120094,10629.49,37021, 474646, 22.39
29-Apr-2020,500.0,504.9,495.55,501.95,499.55,497.45,501.11,1399170,7011.42,28971, 546786, 39.08
30-Apr-2020,505.0,515.0,501.3,504.9,507.95,501.95,508.46,6535679,33231.3,107773, 3178157, 48.63
04-May-2020,493.0,494.95,476.35,479.05, 480.15,504.9,483.47,3307728,15991.94,52771, 1360403, 41.13
05-May-2020,485.0,487.8,469.25,471.45, 472.25,479.05,476.19,1729054,8233.66,40015, 529416, 30.62
06-May-2020,475.0,486.0,469.2,482.4, 485.00,471.45,477.8,1889011,9025.72,40703, 524496, 27.77
07-May-2020,482.4,491.95,476.4,485.2, 482.35,482.4,483.7,1737010,8401.98,36748, 455196, 26.21
08-May-2020,489.8,492.8,482.75,486.3, 485.30,485.2,486.86,1445957,7039.72,23496, 282564, 19.54
11-May-2020,489.2,512.5,484.75,504.45, 506.20,486.3,500.59,3897466,19510.39,79292, 1253530, 32.16
12-May-2020,502.7,521.0,492.1,517.95, 517.80,504.45,506.22,3110556,15746.12,56896, 587821, 18.90
13-May-2020,550.0,550.0,519.05,522.95,523.0,517.95,527.3,2701200,14243.41,58643, 717819, 26.57
14-May-2020,518.0,528.6,508.25,511.4,510.5,522.95,515.1,1932695,9955.37,31747, 369383, 19.11
15-May-2020,514.25,519.85,509.9,517.85,515.35,511.4,514.66,1378960,7097.02,26237, 206220, 14.95
18-May-2020,515.5,515.5,494.1,495.8, 496.10,517.85,501.79,2667966,13387.63,33182, 973861, 36.50
19-May-2020,498.2,521.0,495.05,511.85,515.0,495.8,511.52,3286809,16812.53,39537, 1461917, 44.48
20-May-2020,511.0,538.95,507.0,536.85, 536.55,511.85,527.26,2851359,15034.19,51359, 531537, 18.64
21-May-2020,536.85,536.95,521.55,526.95,525.95,536.85,527.41,1998009,10537.77,38415, 495214, 24.79
22-May-2020,523.9,534.95,513.1,532.35,530.05,526.95,525.43,1745301,9170.41,30088, 252507, 14.47
26-May-2020,535.0,544.4,527.85,532.65, 534.95,532.35,538.79,3988184,21487.95,42432, 2023189, 50.73
27-May-2020,535.0,569.6,529.05,566.65,567.5,532.65,553.29,4735287,26199.8,73948, 824296, 17.41
28-May-2020,568.0,581.65,557.25,576.5,575.0,566.65,571.34,3317882,18956.44,54912, 767016, 23.12
29-May-2020,590.3,602.0,577.0,589.2, 585.00,576.5,590.16,5956568,35153.28,91864, 1520323, 25.52
01-Jun-2020,592.5,600.0,580.05,583.5, 580.05,589.2,591.74,2553932,15112.66,60177, 699933, 27.41
02-Jun-2020,583.0,601.35,575.55,596.35,596.0,583.5,591.35,2670475,15791.73,46214, 314641, 11.78
03-Jun-2020,600.55,610.0,592.35,597.8,595.0,596.35,600.86,2426418,14579.44,46834, 609374, 25.11
04-Jun-2020,597.0,611.0,582.85,605.1,605.0,597.8,595.49,1644045,9790.2,35797, 257075, 15.64
05-Jun-2020,611.6,630.7,609.5,627.15, 630.00,605.1,621.98,3133694,19490.93,87437, 348685, 11.13
08-Jun-2020,635.0,644.4,613.75,617.15, 616.40,627.15,630.27,2746758,17311.88,40890, 608846, 22.17
09-Jun-2020,623.1,635.8,606.7,611.9, 610.85,617.15,623.0,2082895,12976.52,42317, 470047, 22.57
10-Jun-2020,612.0,626.0,610.1,614.75, 617.10,611.9,618.05,1790630,11066.91,35542, 215322, 12.02
11-Jun-2020,618.0,626.0,582.55,590.6, 594.30,614.75,609.59,2497985,15227.49,52415, 333017, 13.33
12-Jun-2020,568.2,606.2,568.2,601.95, 602.80,590.6,592.83,2102241,12462.65,36932, 329851, 15.69
15-Jun-2020,610.0,610.85,577.1,581.9,584.5,601.95,584.68,2915600,17046.79,44400, 1070729, 36.72
16-Jun-2020,598.0,604.5,580.2,589.1, 589.10,581.9,593.95,1808264,10740.21,35409, 202552, 11.20
17-Jun-2020,587.1,597.7,580.8,583.85,582.7,589.1,590.5,1157292,6833.86,23601, 145914, 12.61
18-Jun-2020,583.0,602.85,578.3,598.1,599.45,583.85,594.09,1801699,10703.7,33039, 400164, 22.21
19-Jun-2020,598.0,603.7,593.55,601.25, 596.65,598.1,600.05,2619830,15720.23,52791, 1223461, 46.70
22-Jun-2020,603.9,628.85,587.0,617.6, 621.00,601.25,608.58,5878056,35772.68,94161, 1565659, 26.64
23-Jun-2020,622.6,634.35,613.05,622.35, 625.50,617.6,622.61,3182056,19811.9,55387, 762624, 23.97
24-Jun-2020,626.0,633.45,598.5,613.65,616.3,622.35,616.97,2442387,15068.74,50664, 712594, 29.18
25-Jun-2020,610.95,626.55,604.05,607.45, 607.45,613.65,615.03,2089589,12851.5,39387, 378183, 18.10
26-Jun-2020,612.9,626.35,610.0,616.15, 615.90,607.45,619.3,1760688,10903.88,29212, 242953, 13.80
29-Jun-2020,613.75,624.45,598.5,619.25, 621.10,616.15,611.4,2010341,12291.14,35235, 572776, 28.49
30-Jun-2020,625.25,628.75,611.3,619.7, 617.05,619.25,620.99,1629140,10116.77,33197, 394248, 24.20
01-Jul-2020,619.8,625.95,612.15,614.35, 614.05,619.7,618.56,1397405,8643.82,22152, 324154, 23.20
02-Jul-2020,614.95,631.55,614.95,617.95, 617.25,614.35,622.37,2502223,15573.12,40013, 291238, 11.64
03-Jul-2020,623.8,630.0,613.5,628.15, 629.90,617.95,623.62,2066551,12887.49,34768, 626986, 30.34
06-Jul-2020,633.0,653.4,629.1,641.15, 642.35,628.15,644.05,4059725,26146.58,68958, 771901, 19.01
07-Jul-2020,641.15,642.9,621.3,623.65, 622.75,641.15,627.14,2156495,13524.16,47827, 490450, 22.74
08-Jul-2020,628.0,631.85,605.3,608.5,609.9,623.65,617.4,2391585,14765.62,41520, 819409, 34.26
09-Jul-2020,612.0,622.75,609.95,616.65, 618.90,608.5,616.23,1625411,10016.32,32235, 278828, 17.15
10-Jul-2020,616.65,619.9,597.1,611.45,611.0,616.65,608.13,2693900,16382.39,44973, 330507, 12.27
13-Jul-2020,614.4,617.95,607.55,611.75, 611.85,611.45,613.13,1715549,10518.54,28398, 358250, 20.88
14-Jul-2020,612.45,613.85,593.85,596.7,597.6,611.75,603.15,1751163,10562.21,35099, 585721, 33.45
15-Jul-2020,602.45,607.0,586.35,588.9,591.0,596.7,596.32,1913825,11412.55,46792, 544793, 28.47
16-Jul-2020,592.0,593.0,580.0,583.05, 582.00,588.9,583.59,1509705,8810.56,39914, 554753, 36.75
17-Jul-2020,584.5,595.4,583.0,592.1, 594.00,583.05,590.12,2172029,12817.49,47112, 1027503, 47.31
20-Jul-2020,598.0,611.4,593.35,603.15, 600.50,592.1,604.22,2286607,13816.18,81763, 599227, 26.21
21-Jul-2020,605.0,616.5,601.9,603.1, 604.80,603.15,609.57,1942569,11841.33,39976, 410978, 21.16
22-Jul-2020,607.0,612.0,594.0,601.8, 601.65,603.1,604.47,1742700,10534.04,31972, 332349, 19.07
23-Jul-2020,605.3,611.8,597.0,598.25, 598.50,601.8,602.09,1206960,7267.02,30139, 348667, 28.89
24-Jul-2020,596.8,596.8,581.6,582.7,582.65,598.25,586.22,1250674,7331.69,28405, 385524, 30.83
27-Jul-2020,585.0,585.0,568.45,570.8,570.55,582.7,573.89,2216687,12721.43,41844, 641579, 28.94
28-Jul-2020,572.8,597.95,565.0,596.25,597.0,570.8,579.21,5603716,32457.11,82007, 2807292, 50.10
29-Jul-2020,600.0,621.85,599.35,616.3, 614.30,596.25,614.43,6086161,37394.95,79335, 1415420, 23.26
30-Jul-2020,614.15,625.1,601.15,602.95, 602.00,616.3,613.23,2509512,15388.98,47762, 408666, 16.28
31-Jul-2020,606.35,636.9,602.0,633.05,633.0,602.95,623.89,4750804,29639.81,71736, 870550, 18.32
03-Aug-2020,630.0,642.75,621.65,633.5,633.4,633.05,634.14,2546157,16146.26,39217, 421072, 16.54
04-Aug-2020,635.4,639.75,622.2,624.65,626.8,633.5,628.89,2062493,12970.74,40625, 562769, 27.29
05-Aug-2020,624.7,643.6,621.7,633.45,633.2,624.65,635.99,2496920,15880.24,41664, 267054, 10.70
06-Aug-2020,636.0,646.5,629.0,634.2,635.9,633.45,638.48,2303382,14706.66,43786, 419427, 18.21
07-Aug-2020,634.0,641.9,628.25,636.55,636.95,634.2,635.2,2226682,14143.91,50488, 554744, 24.91
10-Aug-2020,640.0,643.35,627.7,634.05, 632.15,636.55,634.92,1925213,12223.62,35754, 435197, 22.61
11-Aug-2020,635.0,640.95,619.05,624.25,624.0,634.05,628.86,2061530,12964.09,48002, 489254, 23.73
12-Aug-2020,620.0,629.0,615.1,626.15,627.35,624.25,623.72,2142592,13363.86,32949, 845531, 39.46
13-Aug-2020,631.8,638.0,621.5,631.85, 627.10,626.15,629.17,3037090,19108.44,48289, 749539, 24.68
14-Aug-2020,632.0,639.8,623.45,628.95, 628.00,631.85,630.96,2840764,17923.97,42117, 763501, 26.88
17-Aug-2020,630.15,634.0,610.7,625.35, 625.00,628.95,621.23,4308934,26768.31,54667, 2219504, 51.51
18-Aug-2020,621.0,678.5,621.0,667.1,666.0,625.35,666.22,15465826,103035.92,220495, 1153097, 7.46
19-Aug-2020,667.95,672.0,660.45,664.85,664.0,667.1,665.69,3245005,21601.64,56456, 474438, 14.62
20-Aug-2020,660.15,675.0,655.05,665.6,662.1,664.85,666.33,3015031,20090.04,45903, 650223, 21.57
21-Aug-2020,674.7,683.0,668.9,677.35, 677.30,665.6,678.48,3993293,27093.56,54573, 1360681, 34.07
24-Aug-2020,680.4,693.5,666.2,671.55,670.25,677.35,682.67,3821144,26085.85,52589, 694028, 18.16
25-Aug-2020,672.0,679.45,661.65,673.75, 676.00,671.55,670.91,1823994,12237.41,29788, 358800, 19.67
26-Aug-2020,672.95,678.5,658.6,667.2, 666.90,673.75,666.3,2450241,16326.02,33648, 582125, 23.76
27-Aug-2020,670.15,688.0,667.0,685.05,684.0,667.2,679.28,3259380,22140.23,49690, 512165, 15.71
28-Aug-2020,689.95,717.5,684.0,701.15, 699.90,685.05,702.39,7387214,51886.77,95698, 2035413, 27.55
31-Aug-2020,703.0,710.8,670.65,674.85, 670.65,701.15,688.42,4456609,30680.17,65761, 1559880, 35.00
01-Sep-2020,676.95,704.8,651.05,684.55, 683.15,674.85,677.35,4727724,32023.18,70493, 900217, 19.04
02-Sep-2020,681.0,685.95,662.65,678.45, 679.00,684.55,672.13,3930979,26421.47,66320, 1203072, 30.60
03-Sep-2020,685.0,729.35,681.6,724.75, 726.10,678.45,705.46,7498392,52897.88,105692, 1044847, 13.93
04-Sep-2020,705.0,724.0,698.7,706.5,708.0,724.75,713.81,3605878,25739.07,88226, 825585, 22.90
07-Sep-2020,720.0,720.8,693.0,700.15, 701.00,706.5,703.54,4178265,29395.91,60353, 1189990, 28.48
