date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,735.0,735.15,730.0,730.2, 730.80,730.4,731.03,3193,23.34,603, 1971, 61.73
02-Jan-2020,734.95,749.25,729.35,735.25, 733.50,730.2,737.13,13059,96.26,1429, 5687, 43.55
03-Jan-2020,737.8,756.9,723.5,736.9, 735.40,735.25,732.55,138709,1016.12,5367, 109769, 79.14
06-Jan-2020,731.1,739.45,721.7,729.5, 732.50,736.9,730.75,11811,86.31,1419, 8600, 72.81
07-Jan-2020,725.2,739.45,725.0,734.9, 735.00,729.5,731.8,7999,58.54,1116, 4665, 58.32
08-Jan-2020,723.8,747.0,722.0,735.55, 735.00,734.9,736.12,7930,58.37,738, 5167, 65.16
09-Jan-2020,736.0,743.0,731.9,735.25, 735.00,735.55,736.51,8810,64.89,1040, 5198, 59.00
10-Jan-2020,731.8,749.1,731.8,736.45, 736.00,735.25,742.85,10266,76.26,1308, 4573, 44.55
13-Jan-2020,759.5,808.05,751.25,803.45, 804.00,736.45,791.83,204551,1619.69,17391, 47324, 23.14
14-Jan-2020,805.0,867.0,804.0,858.8, 856.30,803.45,852.2,288582,2459.3,17096, 68165, 23.62
15-Jan-2020,855.0,864.9,832.5,852.4, 858.00,858.8,849.52,95442,810.8,6116, 28073, 29.41
16-Jan-2020,856.6,867.25,841.1,844.45, 841.70,852.4,853.44,29203,249.23,2166, 10271, 35.17
17-Jan-2020,842.0,844.0,821.0,824.0, 824.90,844.45,831.23,16603,138.01,1971, 10020, 60.35
20-Jan-2020,810.15,825.0,800.95,805.7, 805.80,824.0,807.29,19804,159.88,1884, 12200, 61.60
21-Jan-2020,806.0,887.0,801.05,874.85, 868.30,805.7,859.88,181095,1557.2,11524, 34387, 18.99
22-Jan-2020,869.1,895.9,851.4,857.35, 853.50,874.85,876.15,81791,716.61,6101, 20499, 25.06
23-Jan-2020,861.0,877.3,847.6,853.85, 850.00,857.35,860.94,30634,263.74,2862, 11943, 38.99
24-Jan-2020,855.0,869.0,850.0,852.85,851.0,853.85,857.52,18491,158.56,1751, 7384, 39.93
27-Jan-2020,854.7,859.0,826.4,835.45, 834.10,852.85,846.35,17262,146.1,1752, 8264, 47.87
28-Jan-2020,837.25,872.7,830.0,832.15, 830.20,835.45,839.18,11537,96.82,1352, 5989, 51.91
29-Jan-2020,839.0,845.5,811.3,826.65, 820.60,832.15,834.82,13793,115.15,1660, 5534, 40.12
30-Jan-2020,832.0,839.9,786.25,814.9, 815.00,826.65,810.27,38913,315.3,3439, 8837, 22.71
31-Jan-2020,817.95,827.95,801.0,804.1, 803.00,814.9,812.5,12721,103.36,1548, 5786, 45.48
03-Feb-2020,760.0,792.55,755.3,780.05, 780.00,769.15,776.62,18316,142.25,3385, 7800, 42.59
04-Feb-2020,785.0,792.2,778.9,783.05, 781.55,780.05,785.82,11719,92.09,1381, 5125, 43.73
05-Feb-2020,800.0,819.05,788.1,812.15, 810.05,783.05,806.26,41393,333.73,3539, 11046, 26.69
06-Feb-2020,818.8,825.0,800.0,801.3, 801.10,812.15,812.46,29526,239.89,2215, 14119, 47.82
07-Feb-2020,807.75,809.85,772.85,777.05, 774.00,801.3,791.68,35334,279.73,4075, 17631, 49.90
10-Feb-2020,777.05,788.0,773.05,775.65, 773.05,777.05,780.83,16355,127.7,2533, 7484, 45.76
11-Feb-2020,778.0,795.0,765.0,769.55, 769.00,775.65,775.99,10673,82.82,1644, 5605, 52.52
12-Feb-2020,769.65,781.0,765.05,775.95, 774.30,769.55,772.56,10666,82.4,1543, 5421, 50.83
13-Feb-2020,777.0,794.0,757.7,761.8, 762.20,775.95,773.13,125286,968.62,6548, 20237, 16.15
14-Feb-2020,765.0,765.0,745.1,748.75, 750.00,761.8,754.76,15168,114.48,1431, 8348, 55.04
17-Feb-2020,783.0,784.95,707.0,724.3, 707.00,748.75,740.58,159329,1179.96,15161, 46710, 29.32
18-Feb-2020,709.0,723.7,698.75,704.85, 704.55,724.3,710.82,30844,219.25,3187, 16754, 54.32
19-Feb-2020,719.85,784.85,717.7,744.35, 744.95,704.85,761.61,255096,1942.85,17520, 51136, 20.05
20-Feb-2020,747.7,755.0,731.25,736.3, 738.00,744.35,745.05,47457,353.58,4182, 17734, 37.37
24-Feb-2020,737.9,744.7,705.0,712.95, 712.00,736.3,732.56,84937,622.21,5017, 24647, 29.02
25-Feb-2020,724.1,741.45,709.05,714.2, 714.00,712.95,731.0,213543,1561.01,11238, 33343, 15.61
26-Feb-2020,707.0,720.0,700.4,705.35, 701.20,714.2,709.78,49062,348.23,2969, 17428, 35.52
27-Feb-2020,704.0,740.0,703.0,726.85, 712.35,705.35,720.13,77480,557.95,5060, 19550, 25.23
28-Feb-2020,705.0,705.0,683.05,686.05, 690.00,726.85,695.57,35142,244.44,2924, 17536, 49.90
02-Mar-2020,696.0,708.0,653.0,664.05, 658.00,686.05,687.11,35013,240.58,2830, 18620, 53.18
03-Mar-2020,684.95,684.95,665.0,671.9, 675.00,664.05,675.6,22909,154.77,1858, 9662, 42.18
04-Mar-2020,672.0,672.0,638.0,647.25, 648.00,671.9,648.46,44306,287.3,3123, 16530, 37.31
05-Mar-2020,648.0,664.0,640.55,644.65, 643.25,647.25,652.06,28994,189.06,1593, 17069, 58.87
06-Mar-2020,637.0,637.0,620.0,621.6, 620.00,644.65,626.82,23411,146.75,2203, 13775, 58.84
09-Mar-2020,623.75,623.75,585.0,592.15, 590.00,621.6,598.85,37789,226.3,3381, 23184, 61.35
11-Mar-2020,592.0,605.0,586.05,588.95, 588.00,592.15,595.87,17175,102.34,2142, 10587, 61.64
12-Mar-2020,575.0,575.0,536.0,538.9, 539.00,588.95,547.87,33086,181.27,3192, 18114, 54.75
13-Mar-2020,513.5,543.0,472.0,534.2, 539.00,538.9,518.84,41077,213.12,3189, 18065, 43.98
16-Mar-2020,530.0,620.0,514.25,559.85, 572.00,534.2,550.8,61568,339.12,3995, 19234, 31.24
17-Mar-2020,572.0,580.0,545.0,553.3, 552.00,559.85,561.92,85476,480.31,8285, 45595, 53.34
18-Mar-2020,574.0,575.6,540.0,549.75, 550.00,553.3,555.9,46955,261.02,4671, 25445, 54.19
19-Mar-2020,540.0,581.0,522.0,556.4, 556.80,549.75,559.2,63255,353.72,4635, 32108, 50.76
20-Mar-2020,564.0,574.6,553.1,565.15, 570.00,556.4,564.67,50110,282.96,4182, 31458, 62.78
23-Mar-2020,470.0,539.0,470.0,500.75, 503.95,565.15,505.08,29659,149.8,3191, 17560, 59.21
24-Mar-2020,515.0,517.15,473.0,479.25, 480.00,500.75,485.51,25861,125.56,2312, 14035, 54.27
25-Mar-2020,470.0,492.55,470.0,479.5, 478.95,479.25,481.49,17543,84.47,1611, 9465, 53.95
26-Mar-2020,485.0,502.4,478.5,497.25, 499.00,479.5,495.5,15620,77.4,1681, 8185, 52.40
27-Mar-2020,505.0,595.0,500.1,525.15, 522.20,497.25,561.73,130558,733.38,8302, 27953, 21.41
30-Mar-2020,525.0,525.0,503.35,512.55, 515.00,525.15,512.93,12505,64.14,1460, 6207, 49.64
31-Mar-2020,514.0,527.75,514.0,520.3,520.45,512.55,519.58,11911,61.89,1404, 5887, 49.42
