date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,649.75,653.35,645.65,649.5, 649.50,647.15,649.11,492348,3195.9,18862, 97747, 19.85
02-Jan-2020,650.0,655.75,647.8,654.45, 654.00,649.5,653.16,435382,2843.72,9504, 101856, 23.39
03-Jan-2020,654.0,665.65,651.15,660.5, 661.55,654.45,661.67,1316546,8711.25,28173, 203670, 15.47
06-Jan-2020,660.0,660.0,642.5,647.15, 643.10,660.5,649.24,569453,3697.14,13540, 156784, 27.53
07-Jan-2020,648.25,656.9,639.0,640.4, 640.20,647.15,644.23,877010,5649.99,15362, 430833, 49.13
08-Jan-2020,636.5,638.0,624.5,629.45, 629.60,640.4,629.16,1865051,11734.07,40561, 551475, 29.57
09-Jan-2020,635.2,641.6,632.35,639.2, 639.75,629.45,636.34,1767768,11248.95,22236, 1095061, 61.95
10-Jan-2020,641.5,649.0,638.0,644.95, 644.00,639.2,644.88,1078909,6957.69,27479, 342559, 31.75
13-Jan-2020,646.05,654.8,646.05,651.2, 651.20,644.95,650.98,703391,4578.97,17104, 264421, 37.59
14-Jan-2020,652.95,654.3,643.2,650.75, 649.55,651.2,650.13,897474,5834.73,20357, 329793, 36.75
15-Jan-2020,650.3,650.3,637.1,642.35, 643.40,650.75,642.04,1638831,10521.89,26906, 677531, 41.34
16-Jan-2020,643.7,649.95,638.1,639.5, 639.45,642.35,641.12,1228864,7878.48,29140, 589303, 47.96
17-Jan-2020,639.5,651.6,637.7,638.7, 638.70,639.5,643.72,2587519,16656.49,44230, 1523409, 58.88
20-Jan-2020,640.1,643.45,622.35,625.3, 623.00,638.7,628.04,3540418,22235.06,68388, 1868970, 52.79
21-Jan-2020,623.0,632.65,612.85,616.95, 614.00,625.3,622.61,5330031,33185.31,91231, 1231672, 23.11
22-Jan-2020,604.5,618.6,588.3,600.5, 599.70,616.95,603.32,13896645,83841.14,171058, 3509524, 25.25
23-Jan-2020,600.5,621.0,600.5,619.85, 619.50,600.5,612.72,3365852,20623.21,56416, 1304858, 38.77
24-Jan-2020,620.0,627.9,614.05,622.9,624.8,619.85,623.35,1487093,9269.78,29822, 398823, 26.82
27-Jan-2020,622.0,626.6,616.8,622.15, 622.95,622.9,620.82,1382244,8581.24,23394, 671247, 48.56
28-Jan-2020,622.15,625.0,609.0,616.2, 616.90,622.15,615.45,1238644,7623.22,24272, 291413, 23.53
29-Jan-2020,618.0,621.05,611.45,616.0, 615.40,616.2,615.47,1668628,10269.9,31179, 819447, 49.11
30-Jan-2020,616.0,617.05,603.8,606.9, 607.80,616.0,612.12,912666,5586.62,19150, 403830, 44.25
31-Jan-2020,610.5,613.8,600.2,602.8, 603.80,606.9,607.09,1171667,7113.04,31662, 529428, 45.19
03-Feb-2020,594.85,605.0,586.05,594.35, 595.70,591.2,593.22,1615206,9581.69,35357, 812091, 50.28
04-Feb-2020,600.0,615.7,600.0,608.05, 609.90,594.35,609.01,6574159,40037.06,50271, 3821798, 58.13
05-Feb-2020,613.4,630.0,610.7,621.1, 619.10,608.05,619.88,2174566,13479.73,43622, 614243, 28.25
06-Feb-2020,626.8,633.85,623.7,631.65, 631.40,621.1,629.25,1828910,11508.5,34557, 774551, 42.35
07-Feb-2020,632.0,634.4,626.5,630.0, 628.40,631.65,629.64,729667,4594.25,18996, 207953, 28.50
10-Feb-2020,627.9,629.0,616.1,622.4, 620.95,630.0,621.67,601397,3738.69,16384, 230796, 38.38
11-Feb-2020,624.0,635.0,615.1,618.85, 618.10,622.4,625.1,975440,6097.47,27117, 252501, 25.89
12-Feb-2020,622.75,622.75,611.6,617.65, 617.90,618.85,616.15,1487002,9162.21,31664, 774128, 52.06
13-Feb-2020,617.65,621.95,612.15,617.55, 617.00,617.65,618.23,897770,5550.29,35317, 402526, 44.84
14-Feb-2020,618.1,623.5,608.85,611.65, 612.75,617.55,615.74,1009884,6218.22,23859, 325325, 32.21
17-Feb-2020,613.0,613.95,600.0,602.75, 603.00,611.65,607.01,1035220,6283.84,21929, 297961, 28.78
18-Feb-2020,602.5,603.45,589.0,600.5, 602.00,602.75,594.03,2800102,16633.42,54437, 1936710, 69.17
19-Feb-2020,606.8,621.0,604.6,618.55, 621.00,600.5,614.48,1864746,11458.45,39694, 953910, 51.15
20-Feb-2020,621.2,631.35,620.05,622.75, 623.10,618.55,626.15,1229373,7697.68,34811, 278679, 22.67
24-Feb-2020,619.95,633.95,614.0,626.65, 631.00,622.75,627.56,1965644,12335.51,44972, 1078284, 54.86
25-Feb-2020,634.0,647.65,631.0,643.6, 643.05,626.65,641.35,3491818,22394.85,75571, 1075416, 30.80
26-Feb-2020,640.55,652.7,636.0,646.8, 644.60,643.6,645.9,1824325,11783.29,44703, 518434, 28.42
27-Feb-2020,647.0,647.4,632.6,638.7, 638.00,646.8,638.98,984423,6290.29,26855, 234200, 23.79
28-Feb-2020,616.0,631.8,610.0,613.05, 613.00,638.7,618.69,1785458,11046.45,45244, 774985, 43.41
02-Mar-2020,620.05,647.8,620.05,627.6, 623.20,613.05,637.48,2333347,14874.71,61590, 771133, 33.05
03-Mar-2020,629.0,645.0,618.0,638.55, 639.00,627.6,633.33,1520126,9627.44,40605, 272370, 17.92
04-Mar-2020,641.0,642.75,619.25,632.95, 633.50,638.55,633.19,1304147,8257.76,31067, 389702, 29.88
05-Mar-2020,637.9,639.5,626.7,635.3, 632.85,632.95,634.13,913452,5792.43,25963, 272768, 29.86
06-Mar-2020,620.0,637.9,613.0,635.05, 632.55,635.3,624.05,1574882,9828.03,26574, 851439, 54.06
09-Mar-2020,620.0,626.85,593.3,610.2, 612.00,635.05,610.84,1919270,11723.69,37869, 757440, 39.47
11-Mar-2020,610.0,618.3,601.75,613.2, 612.95,610.2,611.72,1335433,8169.13,31608, 627554, 46.99
12-Mar-2020,590.0,596.95,514.65,578.7, 583.00,613.2,562.95,4202510,23658.22,89475, 1773143, 42.19
13-Mar-2020,532.5,623.45,531.95,600.5, 600.50,578.7,584.92,1997455,11683.51,63615, 716874, 35.89
16-Mar-2020,584.9,607.5,562.75,565.85, 566.70,600.5,584.38,1397941,8169.26,53668, 475216, 33.99
17-Mar-2020,565.9,585.45,561.0,569.85, 570.00,565.85,574.27,1352460,7766.76,50239, 517111, 38.23
18-Mar-2020,575.0,579.05,552.2,560.0, 558.60,569.85,566.17,2536297,14359.69,91156, 1362394, 53.72
19-Mar-2020,540.0,559.25,516.25,535.2, 540.00,560.0,535.75,2727642,14613.39,58796, 1087289, 39.86
20-Mar-2020,537.0,554.9,521.35,537.8, 537.80,535.2,540.68,1910422,10329.3,67512, 708811, 37.10
23-Mar-2020,499.9,527.9,484.1,498.5, 493.00,537.8,497.67,1711503,8517.56,33683, 1065278, 62.24
24-Mar-2020,494.0,508.65,481.0,489.95, 489.50,498.5,496.61,2024491,10053.86,72942, 892017, 44.06
25-Mar-2020,476.15,495.95,465.6,473.65, 473.40,489.95,478.34,1615671,7728.37,54223, 648606, 40.14
26-Mar-2020,475.25,507.4,474.1,493.45, 493.00,473.65,495.27,1484714,7353.41,57273, 504035, 33.95
27-Mar-2020,499.0,519.4,486.55,511.15, 511.00,493.45,501.96,3822048,19185.15,67745, 2599562, 68.01
30-Mar-2020,503.95,505.6,465.25,467.35, 470.00,511.15,482.9,1622137,7833.25,52625, 606386, 37.38
31-Mar-2020,474.0,488.0,458.05,480.45,476.0,467.35,475.79,1862236,8860.38,49567, 494405, 26.55
01-Apr-2020,480.0,489.0,466.5,484.6,481.0,480.45,477.16,1414588,6749.88,40245, 528078, 37.33
03-Apr-2020,498.0,498.0,469.55,471.5, 471.00,484.6,479.81,2044235,9808.38,101213, 736930, 36.05
07-Apr-2020,485.5,508.9,481.25,500.3, 499.85,471.5,496.8,1116157,5545.05,39542, 358048, 32.08
08-Apr-2020,499.85,535.8,492.1,531.6, 527.80,500.3,522.79,1811039,9467.89,52843, 405759, 22.40
09-Apr-2020,536.0,554.65,524.0,550.6, 550.65,531.6,539.63,2060336,11118.12,47275, 353196, 17.14
13-Apr-2020,552.0,553.2,524.45,536.35, 531.00,550.6,536.92,1516544,8142.61,34087,402998,30.81
15-Apr-2020,537.05,579.85,537.05,559.5, 561.00,536.35,560.99,3595791,20172.0,76442, 1771108, 49.26
16-Apr-2020,551.0,557.45,539.4,548.5, 545.00,559.5,549.91,1966417,10813.54,62054, 1017903, 51.76
17-Apr-2020,550.0,562.95,523.5,528.6, 531.65,548.5,533.47,3634673,19389.74,130854, 1152641, 31.71
20-Apr-2020,532.0,532.0,510.1,524.95, 524.80,528.6,522.37,3578236,18691.81,88873, 944828, 26.40
21-Apr-2020,513.0,519.9,500.0,503.8,501.25,524.95,506.77,2296205,11636.59,68692, 1006446, 43.83
22-Apr-2020,505.0,522.0,487.0,517.9,517.6,503.8,504.74,2874821,14510.3,56934, 332617, 11.57
23-Apr-2020,520.0,534.3,515.0,530.55,529.0,517.9,526.08,1438734,7568.94,34526, 392774, 27.30
24-Apr-2020,524.0,537.0,517.1,525.6,524.55,530.55,530.0,1707752,9051.04,30571, 546213, 31.98
27-Apr-2020,525.0,538.85,524.05,535.35, 535.00,525.6,533.84,1213123,6476.17,33967, 385841, 31.81
28-Apr-2020,540.8,542.3,525.0,532.95, 531.00,535.35,530.94,1209446,6421.47,49590, 437904, 36.21
29-Apr-2020,532.95,545.0,529.45,542.85,542.55,532.95,538.59,975128,5251.91,32152, 400535, 41.08
30-Apr-2020,552.25,565.75,544.7,563.5,563.0,542.85,555.67,2637280,14654.67,70688, 1064689, 40.37
04-May-2020,547.0,552.75,518.05,524.85, 525.25,563.5,525.43,1835906,9646.44,54937, 418515, 22.80
05-May-2020,534.8,534.9,501.05,506.6, 504.00,524.85,518.55,1137980,5901.03,37106, 254756, 22.39
06-May-2020,509.05,518.0,492.45,508.3, 510.95,506.6,509.13,2448671,12466.99,62027, 992699, 40.54
07-May-2020,510.3,512.25,485.0,486.85, 487.95,508.3,492.23,2606706,12831.04,66661, 659712, 25.31
08-May-2020,494.0,497.0,485.15,487.45, 485.90,486.85,490.9,3203182,15724.41,62798, 1172382, 36.60
11-May-2020,492.0,493.4,476.75,488.45, 488.50,487.45,485.95,2933221,14254.05,52994, 672236, 22.92
12-May-2020,484.35,485.8,471.2,480.55, 480.50,488.45,477.74,2708244,12938.46,61774, 766296, 28.29
13-May-2020,494.0,515.0,483.8,511.2,509.45,480.55,499.71,7183008,35894.24,121665, 1849465, 25.75
14-May-2020,510.0,510.0,493.0,500.95,500.75,511.2,499.09,2881880,14383.05,50087, 818221, 28.39
15-May-2020,500.75,501.95,485.5,486.85,486.8,500.95,490.3,1760654,8632.57,39167, 302768, 17.20
18-May-2020,489.0,491.85,472.6,475.75, 475.00,486.85,482.32,2258572,10893.62,55180, 592660, 26.24
19-May-2020,480.2,484.0,466.0,468.2,468.25,475.75,473.48,2188266,10361.03,53322, 562437, 25.70
20-May-2020,464.0,495.0,447.05,469.6, 475.00,468.2,457.51,6372637,29155.37,126707, 1557365, 24.44
21-May-2020,476.7,483.65,461.1,465.85,462.4,469.6,475.42,3993490,18985.92,75152, 872000, 21.84
22-May-2020,463.4,474.45,455.5,459.35,458.5,465.85,464.73,2993849,13913.24,45683, 941886, 31.46
