date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1276.1,1280.0,1270.6,1278.6, 1279.00,1272.1,1276.64,1836849,23450.01,46625, 809152, 44.05
02-Jan-2020,1279.0,1288.0,1279.0,1286.75, 1286.00,1278.6,1284.56,3068583,39417.92,104570, 1957617, 63.80
03-Jan-2020,1282.2,1285.0,1263.6,1268.4, 1268.50,1286.75,1270.48,5427775,68958.86,157066, 3459267, 63.73
06-Jan-2020,1260.0,1261.8,1236.0,1240.95, 1240.25,1268.4,1247.24,5445093,67913.48,155007, 3647637, 66.99
07-Jan-2020,1258.9,1271.45,1252.25,1260.6, 1261.00,1240.95,1261.48,7362247,92873.02,189026, 3790730, 51.49
08-Jan-2020,1246.95,1262.15,1240.05,1257.3, 1256.00,1260.6,1253.71,5666055,71036.12,141795, 3549321, 62.64
09-Jan-2020,1265.0,1275.8,1263.1,1271.4, 1271.80,1257.3,1271.27,4773158,60679.65,125829, 2650051, 55.52
10-Jan-2020,1284.1,1286.9,1275.1,1282.7, 1281.00,1271.4,1282.11,4607290,59070.37,123583, 2857227, 62.02
13-Jan-2020,1282.7,1296.5,1276.0,1286.0, 1287.00,1282.7,1289.33,3725784,48037.56,107121, 2215612, 59.47
14-Jan-2020,1289.0,1292.55,1277.5,1289.5, 1288.00,1286.0,1284.81,3943145,50662.04,91722, 2573348, 65.26
15-Jan-2020,1286.4,1287.95,1274.1,1284.25, 1285.05,1289.5,1280.62,5893724,75476.49,105548, 3970136, 67.36
16-Jan-2020,1282.05,1291.0,1279.35,1287.65, 1287.50,1284.25,1285.32,3575200,45952.67,93131, 2251808, 62.98
17-Jan-2020,1281.75,1284.9,1271.9,1278.15, 1277.40,1287.65,1277.38,8459407,108059.02,136379, 6692529, 79.11
20-Jan-2020,1304.85,1304.85,1252.5,1254.9, 1257.35,1278.15,1265.0,11089225,140278.28,245672, 5796841, 52.27
21-Jan-2020,1250.0,1250.0,1238.4,1244.35, 1244.90,1254.9,1244.14,7492402,93216.21,216589, 4587266, 61.23
22-Jan-2020,1248.05,1255.0,1234.4,1240.85, 1241.85,1244.35,1243.37,9184155,114192.77,146555, 6562205, 71.45
23-Jan-2020,1240.0,1246.85,1231.0,1244.85, 1245.35,1240.85,1240.93,5754460,71409.06,176401, 3535947, 61.45
24-Jan-2020,1246.0,1254.0,1239.1,1244.55,1245.8,1244.85,1247.28,5915878,73787.71,138884, 3935384, 66.52
27-Jan-2020,1235.0,1235.0,1211.75,1213.2, 1213.50,1244.55,1220.97,9444276,115311.93,268331, 6145074, 65.07
28-Jan-2020,1218.8,1227.8,1213.25,1223.2, 1223.10,1213.2,1221.37,6706079,81905.99,219199, 3712912, 55.37
29-Jan-2020,1225.3,1242.0,1222.25,1235.85, 1235.80,1223.2,1235.01,6894175,85143.72,155174, 4588335, 66.55
30-Jan-2020,1238.95,1238.95,1217.2,1226.05, 1227.90,1235.85,1224.75,6055992,74170.91,195593, 3937675, 65.02
31-Jan-2020,1231.45,1237.8,1220.25,1226.3, 1224.25,1226.05,1230.24,5589134,68760.01,169641, 3563738, 63.76
03-Feb-2020,1197.0,1197.95,1177.7,1192.8, 1194.00,1198.7,1188.67,6538505,77720.96,251382, 4024345, 61.55
04-Feb-2020,1198.0,1234.0,1198.0,1229.8, 1229.00,1192.8,1222.0,10448852,127685.29,173447, 6900844, 66.04
05-Feb-2020,1234.9,1248.0,1227.3,1244.65, 1246.00,1229.8,1237.42,9010341,111495.65,150882, 6955471, 77.19
06-Feb-2020,1244.65,1248.7,1237.2,1239.8, 1239.95,1244.65,1242.01,5913775,73449.82,126190, 3640808, 61.56
07-Feb-2020,1246.0,1247.0,1231.6,1242.2, 1240.00,1239.8,1238.21,3407724,42194.87,81299, 2193596, 64.37
10-Feb-2020,1242.95,1242.95,1226.05,1240.3, 1240.95,1242.2,1235.68,4609917,56963.88,105140, 3208623, 69.60
11-Feb-2020,1243.3,1255.0,1238.05,1240.6, 1239.90,1240.3,1246.8,5806760,72398.73,98063, 3770138, 64.93
12-Feb-2020,1245.2,1252.9,1244.05,1249.0, 1249.00,1240.6,1249.42,3148965,39343.83,87413, 2114375, 67.15
13-Feb-2020,1259.9,1259.9,1233.6,1241.4, 1239.50,1249.0,1241.95,4556070,56584.32,97099, 2850913, 62.57
14-Feb-2020,1243.2,1248.4,1215.0,1219.35, 1219.45,1241.4,1227.78,7344429,90173.59,167779, 4783189, 65.13
17-Feb-2020,1225.0,1233.0,1214.45,1217.15, 1218.00,1219.35,1221.46,5076345,62005.35,157333, 3075780, 60.59
18-Feb-2020,1216.9,1218.5,1203.5,1213.25, 1217.05,1217.15,1209.57,5264558,63678.73,119172, 3704300, 70.36
19-Feb-2020,1222.5,1230.0,1213.9,1227.2, 1227.20,1213.25,1221.68,5006134,61159.09,101692, 3444477, 68.81
20-Feb-2020,1230.0,1230.0,1214.1,1217.1, 1217.00,1227.2,1221.38,5561707,67929.7,146273, 3240543, 58.27
24-Feb-2020,1208.95,1214.75,1200.0,1209.95, 1210.25,1217.1,1205.66,8284042,99877.54,199969, 6242053, 75.35
25-Feb-2020,1204.0,1209.0,1198.0,1200.3, 1201.80,1209.95,1201.07,6943340,83394.58,193249, 5185085, 74.68
26-Feb-2020,1197.5,1204.7,1185.65,1199.25, 1201.10,1200.3,1195.09,6907393,82549.56,191519, 4691104, 67.91
27-Feb-2020,1195.0,1202.5,1181.0,1199.45, 1199.65,1199.25,1191.25,10327549,123026.66,241038, 6138007, 59.43
28-Feb-2020,1175.5,1185.0,1170.1,1177.65, 1178.80,1199.45,1176.25,12156528,142991.67,276737, 8662385, 71.26
02-Mar-2020,1200.2,1201.15,1166.15,1179.6, 1185.00,1177.65,1184.61,7332449,86860.77,197905, 4540186, 61.92
03-Mar-2020,1175.0,1185.35,1168.0,1181.8, 1182.50,1179.6,1178.14,11184775,131771.82,233028, 7497411, 67.03
04-Mar-2020,1178.35,1180.0,1133.1,1148.85, 1149.15,1181.8,1152.73,17144435,197628.47,503032, 11834147, 69.03
05-Mar-2020,1153.0,1165.0,1142.75,1151.35, 1149.00,1148.85,1155.77,9774854,112974.5,262470, 5681138, 58.12
06-Mar-2020,1125.0,1140.9,1101.0,1134.9, 1134.00,1151.35,1124.34,11526783,129599.99,272373, 6744175, 58.51
09-Mar-2020,1110.0,1118.4,1065.0,1107.3, 1112.00,1134.9,1094.8,17210297,188418.72,427518, 11111864, 64.57
11-Mar-2020,1105.0,1120.0,1092.0,1113.8, 1110.00,1107.3,1105.77,17769198,196486.4,344285, 12492811, 70.31
12-Mar-2020,1075.0,1080.0,1003.45,1021.3, 1032.00,1113.8,1036.26,29500406,305700.04,503472, 18695622, 63.37
13-Mar-2020,980.05,1081.45,919.2,1069.8, 1074.00,1021.3,1018.3,33171603,337786.14,541649, 18672328, 56.29
16-Mar-2020,1035.0,1037.0,995.0,999.5, 1001.25,1069.8,1013.09,15993174,162024.85,430742, 9357160, 58.51
17-Mar-2020,1008.0,1010.0,954.7,975.1, 976.20,999.5,982.62,21338641,209678.41,447922, 11352389, 53.20
