date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,623.0,626.0,616.35,621.45, 621.50,626.05,620.41,1749377,10853.34,69565, 554279, 31.68
02-Jan-2020,622.7,638.8,618.4,634.25, 633.00,621.45,631.51,1973981,12465.91,48203, 873147, 44.23
03-Jan-2020,631.0,637.45,626.4,630.7, 631.50,634.25,631.08,2401828,15157.53,40553, 1693746, 70.52
06-Jan-2020,627.4,627.4,611.5,619.55, 619.60,630.7,621.02,4175516,25930.94,63567, 3091310, 74.03
07-Jan-2020,623.6,643.7,623.6,629.95, 629.95,619.55,632.32,2827658,17879.71,46697, 1647299, 58.26
08-Jan-2020,622.0,631.8,618.5,628.85, 629.30,629.95,624.34,2248332,14037.14,36564, 1489395, 66.24
09-Jan-2020,635.0,636.5,627.8,631.5, 629.70,628.85,632.09,1338705,8461.78,41299, 718408, 53.66
10-Jan-2020,632.4,634.0,618.75,623.1, 621.60,631.5,625.21,2181852,13641.13,49891, 1305664, 59.84
13-Jan-2020,627.9,633.05,623.6,625.4, 624.70,623.1,626.88,1161466,7280.99,58017, 688078, 59.24
14-Jan-2020,626.5,627.0,612.75,614.25, 614.20,625.4,619.68,2109229,13070.54,63246, 1565705, 74.23
15-Jan-2020,614.0,620.5,612.75,616.55, 616.20,614.25,616.4,1621297,9993.64,55931, 894808, 55.19
16-Jan-2020,624.0,625.0,605.8,607.5, 608.90,616.55,612.36,3196222,19572.47,77222, 1899354, 59.42
17-Jan-2020,607.5,611.55,601.7,607.65, 606.35,607.5,607.17,2313300,14045.65,57721, 1264300, 54.65
20-Jan-2020,611.0,612.45,597.1,598.25, 598.80,607.65,602.23,1870028,11261.91,49916, 1132638, 60.57
21-Jan-2020,595.7,609.7,594.15,602.0, 602.50,598.25,604.17,1597879,9653.98,44659, 698180, 43.69
22-Jan-2020,604.9,616.5,602.65,612.75, 613.00,602.0,611.76,2066862,12644.18,52811, 929094, 44.95
23-Jan-2020,614.3,621.9,611.5,616.0, 616.95,612.75,617.75,1685313,10411.06,40823, 817191, 48.49
24-Jan-2020,607.9,611.25,602.8,607.25,607.1,616.0,606.56,2188192,13272.76,55472, 1150580, 52.58
27-Jan-2020,604.8,605.7,598.1,599.7, 598.65,607.25,601.59,1531808,9215.2,40945, 907140, 59.22
28-Jan-2020,601.0,611.9,599.0,603.75, 603.25,599.7,606.96,1651481,10023.84,44253, 729849, 44.19
29-Jan-2020,605.95,611.0,602.25,605.05, 604.90,603.75,606.46,1324538,8032.84,48342, 744498, 56.21
30-Jan-2020,605.9,608.55,597.15,600.45, 602.00,605.05,602.98,1060111,6392.28,44703, 676073, 63.77
31-Jan-2020,603.1,604.45,597.3,599.2, 600.00,600.45,600.63,1260667,7571.9,53041, 845114, 67.04
03-Feb-2020,553.0,573.0,527.5,565.3, 565.50,562.4,558.11,9688974,54075.3,173075, 4313515, 44.52
04-Feb-2020,568.0,578.45,555.55,573.1, 571.00,565.3,568.02,3116053,17699.69,85003, 1614266, 51.80
05-Feb-2020,574.4,586.35,565.0,583.45, 583.50,573.1,578.63,2739852,15853.63,65615, 1692917, 61.79
06-Feb-2020,587.0,598.7,587.0,593.65, 593.50,583.45,593.3,2299958,13645.7,47448, 1298291, 56.45
07-Feb-2020,593.5,600.0,589.0,595.7, 594.80,593.65,596.01,1185529,7065.81,62511, 637836, 53.80
10-Feb-2020,596.0,598.9,584.5,588.05, 585.00,595.7,591.29,1366499,8080.03,43003, 949507, 69.48
11-Feb-2020,589.75,594.5,575.8,583.5, 583.35,588.05,584.73,1545054,9034.41,43482, 914454, 59.19
12-Feb-2020,585.6,594.7,563.6,578.35, 578.90,583.5,577.0,3303107,19058.83,86165, 1862723, 56.39
13-Feb-2020,576.5,582.25,568.5,577.2, 576.15,578.35,574.63,2107487,12110.3,68550, 1425607, 67.64
14-Feb-2020,578.9,581.5,572.0,573.95, 572.10,577.2,577.95,2332181,13478.89,46702, 1905350, 81.70
17-Feb-2020,574.9,575.0,564.05,565.9, 566.05,573.95,570.19,918309,5236.11,28081, 501316, 54.59
18-Feb-2020,564.8,565.35,556.0,562.6, 562.00,565.9,561.12,1231246,6908.79,74693, 781411, 63.47
19-Feb-2020,565.9,581.85,563.0,579.1, 579.15,562.6,573.42,1752251,10047.77,50522, 849285, 48.47
20-Feb-2020,582.1,583.7,572.1,573.5, 573.00,579.1,577.19,3708209,21403.35,70643, 2719066, 73.33
24-Feb-2020,572.25,578.4,556.0,560.8, 561.50,573.5,566.82,1576359,8935.18,64998, 995603, 63.16
25-Feb-2020,570.0,582.5,566.0,569.5, 568.45,560.8,575.89,3582636,20632.05,112244, 2017614, 56.32
26-Feb-2020,565.3,571.45,555.0,557.05, 556.50,569.5,563.17,2313470,13028.79,53757, 1433996, 61.98
27-Feb-2020,559.0,569.3,544.25,566.7, 567.70,557.05,557.15,2985262,16632.3,68346, 1421215, 47.61
28-Feb-2020,554.0,565.0,541.25,544.1, 544.25,566.7,549.9,4380818,24089.91,83737, 2358946, 53.85
02-Mar-2020,555.0,564.25,550.95,554.5, 555.05,544.1,558.04,2299648,12833.05,56911, 1191480, 51.81
