date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,2454.9,2462.55,2427.35,2432.55, 2432.00,2443.05,2443.14,314519,7684.15,13924, 49844, 15.85
02-Jan-2020,2447.8,2452.0,2417.05,2429.45, 2428.20,2432.55,2435.16,546945,13319.01,25944, 237041, 43.34
03-Jan-2020,2420.0,2449.0,2415.0,2432.35, 2435.75,2429.45,2433.37,544720,13255.05,32567, 108997, 20.01
06-Jan-2020,2428.95,2428.95,2360.05,2368.15, 2366.00,2432.35,2378.32,624665,14856.51,34021, 223056, 35.71
07-Jan-2020,2378.0,2399.9,2337.0,2348.05, 2353.70,2368.15,2356.79,620687,14628.27,34218, 206103, 33.21
08-Jan-2020,2322.0,2345.05,2310.55,2317.55, 2318.90,2348.05,2322.24,595883,13837.82,32256, 196057, 32.90
09-Jan-2020,2341.0,2365.0,2326.1,2354.55, 2358.00,2317.55,2347.95,732115,17189.67,41779, 265800, 36.31
10-Jan-2020,2357.0,2387.7,2351.0,2363.45, 2365.00,2354.55,2372.67,578287,13720.83,25786, 133835, 23.14
13-Jan-2020,2382.9,2382.9,2352.35,2366.75, 2366.00,2363.45,2367.95,434063,10278.4,21550, 191951, 44.22
14-Jan-2020,2367.0,2418.8,2361.05,2411.4, 2415.50,2366.75,2395.48,787340,18860.54,36293, 325718, 41.37
15-Jan-2020,2419.95,2480.55,2414.0,2476.3, 2472.10,2411.4,2450.52,1051367,25763.96,40898, 479306, 45.59
16-Jan-2020,2474.95,2474.95,2427.0,2434.5, 2437.00,2476.3,2445.48,590255,14434.55,31702, 194049, 32.88
17-Jan-2020,2445.0,2474.9,2421.6,2454.0, 2445.00,2434.5,2459.23,457663,11255.0,26124, 84036, 18.36
20-Jan-2020,2454.0,2459.65,2410.1,2415.6, 2417.00,2454.0,2425.34,320280,7767.89,18965, 79247, 24.74
21-Jan-2020,2410.0,2412.65,2375.0,2398.7, 2398.00,2415.6,2389.59,568473,13584.15,29233, 290948, 51.18
22-Jan-2020,2408.7,2410.0,2379.0,2399.05, 2397.10,2398.7,2393.56,346888,8302.96,21915, 155779, 44.91
23-Jan-2020,2397.0,2434.85,2380.0,2429.75, 2431.00,2399.05,2411.56,315469,7607.74,23581, 84760, 26.87
24-Jan-2020,2440.0,2474.8,2427.1,2468.65,2465.0,2429.75,2460.02,519690,12784.46,29953, 220879, 42.50
27-Jan-2020,2456.0,2498.5,2425.05,2455.75, 2455.00,2468.65,2464.13,897656,22119.43,35113, 189248, 21.08
28-Jan-2020,2456.75,2508.95,2440.0,2468.85, 2462.50,2455.75,2484.38,904634,22474.53,51363, 312177, 34.51
29-Jan-2020,2484.0,2510.0,2470.0,2486.35, 2485.25,2468.85,2494.6,787135,19635.89,49150, 365792, 46.47
30-Jan-2020,2486.95,2522.0,2464.0,2482.3, 2484.00,2486.35,2493.8,797868,19897.22,43213, 192792, 24.16
31-Jan-2020,2508.0,2521.9,2492.05,2501.85, 2499.00,2482.3,2509.76,574957,14430.03,32535, 214338, 37.28
03-Feb-2020,2391.0,2469.0,2358.0,2376.15, 2392.00,2446.9,2401.98,1507692,36214.48,62279, 528774, 35.07
04-Feb-2020,2412.0,2484.6,2400.8,2462.05, 2465.00,2376.15,2455.26,1187298,29151.23,50993, 398785, 33.59
05-Feb-2020,2472.0,2478.9,2345.55,2373.25, 2374.00,2462.05,2377.41,2176980,51755.64,67347, 1184447, 54.41
06-Feb-2020,2395.0,2427.0,2355.0,2411.3, 2419.00,2373.25,2402.94,1632634,39231.21,65825, 612411, 37.51
07-Feb-2020,2480.0,2496.0,2421.35,2443.45, 2440.05,2411.3,2455.42,2709754,66535.94,140151, 635211, 23.44
10-Feb-2020,2449.5,2457.45,2375.15,2385.7, 2395.65,2443.45,2406.78,949025,22840.91,45162, 401324, 42.29
11-Feb-2020,2415.0,2443.35,2390.0,2396.45, 2399.00,2385.7,2417.29,680119,16440.42,40646, 216651, 31.85
12-Feb-2020,2410.0,2430.0,2400.0,2423.05, 2425.00,2396.45,2417.63,467714,11307.6,33002, 186409, 39.86
13-Feb-2020,2419.0,2441.3,2401.0,2408.95, 2411.25,2423.05,2421.05,514501,12456.31,26432, 241266, 46.89
14-Feb-2020,2424.0,2437.8,2351.1,2356.5, 2361.90,2408.95,2389.65,798770,19087.8,61296, 359831, 45.05
17-Feb-2020,2335.0,2335.0,2269.55,2283.35, 2283.50,2356.5,2292.44,818134,18755.21,59116, 239245, 29.24
18-Feb-2020,2283.2,2283.2,2225.0,2252.65, 2249.95,2283.35,2245.5,839607,18853.34,48876, 219472, 26.14
19-Feb-2020,2274.0,2278.0,2227.05,2251.6, 2251.00,2252.65,2251.43,729471,16423.5,46870, 206236, 28.27
20-Feb-2020,2267.0,2276.0,2235.45,2240.25, 2240.00,2251.6,2256.71,886179,19998.48,48464, 371745, 41.95
24-Feb-2020,2220.0,2220.0,2175.0,2184.2, 2181.95,2240.25,2196.46,808263,17753.2,48073, 336205, 41.60
25-Feb-2020,2190.2,2214.0,2164.05,2184.15, 2189.00,2184.2,2190.57,861921,18881.0,55124, 333709, 38.72
26-Feb-2020,2180.0,2195.0,2136.0,2142.55, 2149.00,2184.15,2162.58,972076,21021.96,54477, 426700, 43.90
27-Feb-2020,2147.9,2158.65,2101.0,2110.25, 2104.20,2142.55,2117.06,1093297,23145.79,66484, 603417, 55.19
28-Feb-2020,2080.0,2110.0,2033.95,2051.75, 2043.00,2110.25,2067.52,1879071,38850.1,86485, 1095208, 58.28
02-Mar-2020,2100.0,2110.0,1961.0,1975.45, 1975.00,2051.75,2031.64,1207967,24541.57,66163, 390080, 32.29
03-Mar-2020,1976.0,2063.85,1976.0,2054.85, 2057.40,1975.45,2027.91,1689926,34270.1,88001, 478024, 28.29
04-Mar-2020,2070.0,2073.35,2000.5,2046.35, 2055.00,2054.85,2042.63,976550,19947.26,61846, 283209, 29.00
05-Mar-2020,2061.7,2093.1,2052.3,2063.9, 2060.95,2046.35,2072.77,899516,18644.92,54656, 352870, 39.23
06-Mar-2020,1971.0,2053.45,1971.0,2038.3, 2031.95,2063.9,2016.95,606826,12239.37,40912, 171299, 28.23
09-Mar-2020,1995.0,2011.5,1915.3,1956.05, 1956.00,2038.3,1956.79,844134,16517.92,53417, 320010, 37.91
11-Mar-2020,1968.0,2049.8,1948.9,2036.05, 2037.05,1956.05,2022.43,1848135,37377.16,91288, 713489, 38.61
12-Mar-2020,1956.0,1978.95,1793.75,1907.2, 1922.00,2036.05,1878.5,2248848,42244.61,99521, 1068683, 47.52
