date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1389.3,1398.4,1381.6,1385.45, 1385.00,1386.8,1389.55,104012,1445.3,12396, 51144, 49.17
02-Jan-2020,1380.0,1389.95,1352.0,1360.7, 1362.00,1385.45,1363.47,310211,4229.63,22409, 213105, 68.70
03-Jan-2020,1364.0,1397.8,1360.7,1388.0, 1390.00,1360.7,1376.23,577617,7949.34,30019, 433417, 75.04
06-Jan-2020,1383.8,1392.0,1366.0,1385.6, 1382.00,1388.0,1378.99,269777,3720.2,25211, 174128, 64.55
07-Jan-2020,1385.0,1400.45,1380.0,1389.8, 1387.00,1385.6,1391.47,282751,3934.4,30096, 193101, 68.29
08-Jan-2020,1379.0,1396.0,1375.0,1391.55, 1387.75,1389.8,1387.05,215586,2990.28,22310, 124150, 57.59
09-Jan-2020,1396.0,1400.5,1373.0,1380.55, 1378.90,1391.55,1382.89,214666,2968.59,36417, 144897, 67.50
10-Jan-2020,1382.9,1396.1,1369.7,1374.8, 1373.05,1380.55,1379.71,246516,3401.21,18363, 146775, 59.54
13-Jan-2020,1378.3,1382.0,1352.0,1353.75, 1353.65,1374.8,1358.82,230062,3126.14,21640, 163932, 71.26
14-Jan-2020,1359.0,1378.0,1357.05,1369.45, 1370.00,1353.75,1365.68,425319,5808.52,52928, 339670, 79.86
15-Jan-2020,1374.0,1375.05,1347.65,1359.5, 1360.25,1369.45,1361.01,407094,5540.59,25711, 248991, 61.16
16-Jan-2020,1367.0,1424.75,1365.0,1414.6, 1412.00,1359.5,1399.64,982078,13745.57,38569, 613724, 62.49
17-Jan-2020,1415.0,1435.15,1396.0,1412.5, 1407.95,1414.6,1419.28,570066,8090.84,31666, 353553, 62.02
20-Jan-2020,1412.5,1427.5,1350.0,1354.75, 1357.00,1412.5,1375.62,508235,6991.38,33626, 284235, 55.93
21-Jan-2020,1357.65,1369.0,1323.0,1329.95, 1331.00,1354.75,1345.89,484563,6521.69,29795, 330267, 68.16
22-Jan-2020,1325.0,1342.9,1308.35,1313.6, 1313.90,1329.95,1321.03,528752,6985.0,31947, 408943, 77.34
23-Jan-2020,1320.0,1350.75,1304.05,1332.8, 1343.00,1313.6,1319.24,431309,5689.98,24530, 269631, 62.51
24-Jan-2020,1336.0,1356.0,1320.0,1350.35,1350.4,1332.8,1341.87,282051,3784.77,26486, 158650, 56.25
27-Jan-2020,1348.4,1362.95,1330.75,1338.8, 1336.60,1350.35,1350.05,235959,3185.58,8808, 168229, 71.30
28-Jan-2020,1343.95,1357.5,1324.0,1337.35, 1331.90,1338.8,1346.81,233417,3143.69,18278, 147536, 63.21
29-Jan-2020,1339.8,1348.45,1322.0,1323.85, 1323.00,1337.35,1335.08,261939,3497.09,13972, 181723, 69.38
30-Jan-2020,1327.9,1340.9,1308.2,1327.95, 1333.30,1323.85,1325.1,198507,2630.41,14381, 117786, 59.34
31-Jan-2020,1320.25,1340.0,1316.0,1318.4, 1321.80,1327.95,1323.96,201621,2669.39,21361, 143853, 71.35
03-Feb-2020,1285.0,1336.75,1275.3,1300.65, 1295.90,1297.5,1304.23,391873,5110.94,24593, 242073, 61.77
04-Feb-2020,1301.55,1327.5,1288.0,1314.3, 1327.50,1300.65,1297.12,543400,7048.53,34803, 433862, 79.84
05-Feb-2020,1326.0,1348.2,1311.0,1336.3, 1335.05,1314.3,1336.97,426619,5703.77,34926, 311382, 72.99
06-Feb-2020,1340.5,1380.0,1340.0,1377.65, 1375.00,1336.3,1367.63,442363,6049.89,29769, 309181, 69.89
07-Feb-2020,1381.0,1398.0,1365.0,1381.7, 1380.00,1377.65,1384.07,232059,3211.85,19743, 143484, 61.83
10-Feb-2020,1382.0,1390.0,1366.0,1377.25, 1380.20,1381.7,1378.81,129381,1783.92,9861, 81072, 62.66
11-Feb-2020,1384.9,1387.0,1355.2,1368.5, 1365.00,1377.25,1373.69,285909,3927.5,18263, 224490, 78.52
12-Feb-2020,1374.0,1374.0,1325.5,1351.25, 1353.05,1368.5,1344.91,378484,5090.26,30492, 204595, 54.06
13-Feb-2020,1325.0,1360.0,1325.0,1347.35, 1350.00,1351.25,1349.44,573718,7741.96,13800, 492723, 85.88
14-Feb-2020,1347.35,1356.0,1340.0,1353.6, 1354.00,1347.35,1350.45,155666,2102.19,13321, 103331, 66.38
17-Feb-2020,1353.6,1356.0,1331.25,1338.65, 1340.00,1353.6,1350.12,187423,2530.43,9267, 145186, 77.46
18-Feb-2020,1339.0,1345.0,1326.05,1339.4, 1338.00,1338.65,1340.26,202026,2707.67,13175, 160405, 79.40
19-Feb-2020,1340.0,1367.0,1340.0,1355.55, 1354.60,1339.4,1355.27,156721,2124.0,10786, 97647, 62.31
20-Feb-2020,1356.3,1366.65,1340.0,1345.45, 1344.70,1355.55,1352.96,138284,1870.93,11075, 82978, 60.01
24-Feb-2020,1346.0,1350.95,1282.85,1305.1, 1315.00,1345.45,1323.64,276331,3657.64,22690, 206300, 74.66
25-Feb-2020,1328.0,1328.0,1275.1,1286.9, 1280.00,1305.1,1293.4,636341,8230.43,26894, 534327, 83.97
26-Feb-2020,1281.8,1292.7,1214.0,1235.45, 1227.00,1286.9,1260.29,562415,7088.04,34874, 404958, 72.00
27-Feb-2020,1220.0,1277.0,1215.0,1250.75, 1258.00,1235.45,1248.97,574555,7176.04,37408, 411051, 71.54
28-Feb-2020,1235.0,1275.0,1192.35,1236.65, 1250.00,1250.75,1227.49,756201,9282.29,70535, 547152, 72.36
02-Mar-2020,1237.1,1271.95,1129.95,1199.1, 1180.00,1236.65,1238.71,436775,5410.38,36975, 310064, 70.99
03-Mar-2020,1199.0,1238.0,1198.0,1210.95, 1226.05,1199.1,1219.84,384410,4689.19,47518, 260962, 67.89
04-Mar-2020,1235.0,1239.7,1205.3,1214.5, 1213.20,1210.95,1226.14,599176,7346.76,42434, 422692, 70.55
05-Mar-2020,1222.0,1279.8,1212.05,1262.75, 1273.00,1214.5,1255.67,485211,6092.67,43808, 350225, 72.18
06-Mar-2020,1250.5,1268.0,1226.3,1264.4, 1265.00,1262.75,1255.18,718345,9016.49,34574, 545941, 76.00
09-Mar-2020,1261.0,1261.0,1190.0,1207.9, 1222.05,1264.4,1223.49,732840,8966.2,36177, 571640, 78.00
11-Mar-2020,1210.0,1225.1,1160.5,1190.05, 1186.90,1207.9,1186.45,642604,7624.15,68864, 464179, 72.23
12-Mar-2020,1135.65,1169.8,1072.0,1104.15, 1101.00,1190.05,1102.38,1468823,16191.94,84101, 1076036, 73.26
13-Mar-2020,1010.0,1150.0,883.35,1125.65, 1125.00,1104.15,1083.52,1166978,12644.5,41432, 881669, 75.55
16-Mar-2020,1099.8,1197.4,1042.05,1087.8, 1055.00,1125.65,1109.7,625791,6944.39,64524, 386699, 61.79
17-Mar-2020,1075.0,1123.2,1045.2,1075.25, 1066.00,1087.8,1088.1,407327,4432.12,55830, 267384, 65.64
18-Mar-2020,1066.55,1099.0,962.0,995.8, 1003.00,1075.25,1006.24,1302437,13105.64,76046, 997625, 76.60
19-Mar-2020,950.0,1121.0,805.0,1029.4, 1014.00,995.8,969.36,990239,9598.97,65714, 615248, 62.13
20-Mar-2020,1050.0,1074.25,950.0,1004.45, 1013.00,1029.4,1009.38,1765061,17816.17,129341, 1338405, 75.83
23-Mar-2020,910.0,949.95,820.0,826.3, 835.00,1004.45,867.95,596466,5177.0,58883, 431826, 72.40
24-Mar-2020,818.05,929.0,815.75,850.95, 825.00,826.3,870.64,907494,7901.04,60499, 671860, 74.03
25-Mar-2020,855.5,995.0,846.4,984.95, 989.00,850.95,934.61,1161295,10853.53,81940, 837553, 72.12
26-Mar-2020,1000.0,1181.9,997.05,1096.8, 1094.75,984.95,1119.41,1897600,21241.88,83736, 1447229, 76.27
27-Mar-2020,1080.0,1179.7,980.0,1022.75, 1022.75,1096.8,1076.36,756641,8144.2,85418, 407277, 53.83
30-Mar-2020,998.75,1088.0,998.75,1027.7, 1025.00,1022.75,1049.55,427414,4485.91,47535, 227150, 53.15
31-Mar-2020,1065.0,1102.95,1030.0,1081.65,1100.0,1027.7,1069.37,1302717,13930.93,57424, 999760, 76.74
01-Apr-2020,1084.0,1143.0,1051.1,1105.75,1105.0,1081.65,1103.55,538692,5944.72,56126, 303053, 56.26
03-Apr-2020,1100.0,1119.9,1013.0,1045.05, 1040.05,1105.75,1047.9,1099047,11516.88,78555, 838720, 76.31
07-Apr-2020,1072.0,1195.0,1072.0,1154.45, 1153.80,1045.05,1121.84,812060,9110.01,77084, 587074, 72.29
08-Apr-2020,1110.0,1179.9,1108.05,1150.95, 1118.95,1154.45,1152.75,575191,6630.53,68651, 322707, 56.10
09-Apr-2020,1130.0,1227.95,1125.0,1169.0, 1164.00,1150.95,1180.33,1307789,15436.25,39622, 1100791, 84.17
13-Apr-2020,1165.0,1178.8,1101.0,1146.7, 1159.90,1169.0,1142.28,542846,6200.82,49488,306176,64.03
15-Apr-2020,1169.45,1214.4,1139.1,1152.85, 1152.00,1146.7,1177.71,761158,8964.2,82887, 486110, 63.86
16-Apr-2020,1152.85,1223.7,1136.8,1157.25, 1150.00,1152.85,1169.33,809381,9464.36,66252, 508904, 62.88
17-Apr-2020,1174.85,1212.7,1173.35,1199.4, 1212.00,1157.25,1200.44,701251,8418.12,30930, 475989, 67.88
20-Apr-2020,1215.0,1233.5,1175.0,1190.3, 1190.45,1199.4,1201.76,734858,8831.25,44835, 475158, 64.66
21-Apr-2020,1175.0,1199.8,1130.2,1159.2,1155.0,1190.3,1146.24,611851,7013.27,29312, 423960, 69.29
22-Apr-2020,1159.15,1160.05,1126.0,1139.4,1134.8,1159.2,1140.74,348313,3973.36,32816, 208992, 60.00
23-Apr-2020,1149.8,1199.0,1140.0,1190.85,1193.95,1139.4,1183.1,348769,4126.28,32912, 207175, 59.40
24-Apr-2020,1160.0,1201.0,1126.0,1136.5,1127.9,1190.85,1167.63,682327,7967.09,44301, 494860, 72.53
27-Apr-2020,1140.0,1205.0,1137.1,1194.0, 1200.00,1136.5,1181.98,567752,6710.71,27679, 374388, 65.94
28-Apr-2020,1204.9,1206.9,1180.0,1195.45, 1192.70,1194.0,1195.0,983106,11748.13,18166, 866928, 88.18
29-Apr-2020,1190.0,1235.35,1182.7,1231.25,1229.15,1195.45,1225.21,586460,7185.34,58978, 427007, 72.81
