date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,145.0,145.85,143.6,144.2, 143.65,145.0,144.51,160775,232.34,1834, 64165, 39.91
02-Jan-2020,144.6,151.0,143.55,147.6, 145.50,144.2,148.24,1657880,2457.61,14333, 1229388, 74.15
03-Jan-2020,145.5,147.3,144.1,145.9, 145.90,147.6,145.78,410983,599.15,4992, 188237, 45.80
06-Jan-2020,145.0,145.8,140.35,141.05, 141.00,145.9,142.38,416160,592.52,7342, 302782, 72.76
07-Jan-2020,142.9,143.85,140.55,140.9, 140.90,141.05,141.83,1202154,1704.96,14374, 983665, 81.83
08-Jan-2020,140.0,140.25,137.4,139.2, 139.00,140.9,138.87,1191802,1655.05,13325, 769830, 64.59
09-Jan-2020,140.4,142.25,138.8,139.7, 139.75,139.2,140.02,989555,1385.55,9197, 718515, 72.61
10-Jan-2020,140.2,141.35,136.5,138.1, 137.80,139.7,139.59,946528,1321.27,14053, 618752, 65.37
13-Jan-2020,139.85,139.85,137.5,138.0, 138.40,138.1,138.45,608348,842.26,10843, 346311, 56.93
14-Jan-2020,138.45,140.65,136.7,140.0, 140.15,138.0,138.13,2068215,2856.8,7916, 1655120, 80.03
15-Jan-2020,140.0,141.5,136.85,137.85, 136.95,140.0,138.62,891068,1235.23,9517, 575889, 64.63
16-Jan-2020,138.45,141.85,137.3,141.25, 141.00,137.85,139.66,908345,1268.55,8668, 570256, 62.78
17-Jan-2020,141.0,146.0,139.3,145.5, 145.55,141.25,143.82,1142899,1643.77,26469, 748249, 65.47
20-Jan-2020,145.0,145.9,142.5,143.4, 143.25,145.5,143.38,1750451,2509.76,18322, 1526634, 87.21
21-Jan-2020,141.55,144.5,141.55,144.1, 144.00,143.4,143.19,1250565,1790.67,7641, 1095057, 87.56
22-Jan-2020,143.65,145.75,143.5,144.2, 143.90,144.1,144.36,251517,363.09,3037, 128184, 50.96
23-Jan-2020,144.45,146.1,141.8,144.2, 144.00,144.2,143.79,865884,1245.05,10395, 519825, 60.03
24-Jan-2020,144.0,145.5,143.8,145.1,145.05,144.2,145.05,358719,520.32,4402, 214221, 59.72
27-Jan-2020,145.0,147.75,142.8,143.25, 143.00,145.1,145.39,535829,779.02,7897, 282424, 52.71
28-Jan-2020,145.3,145.3,139.25,140.05, 139.50,143.25,140.44,1640073,2303.37,30235, 1237339, 75.44
