date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1512.0,1523.95,1480.8,1484.3, 1486.95,1510.0,1494.31,2135253,31907.33,55819, 429833, 20.13
02-Jan-2020,1491.75,1534.3,1486.1,1529.0, 1533.00,1484.3,1508.49,2365906,35689.37,76221, 512709, 21.67
03-Jan-2020,1524.0,1538.0,1512.1,1528.85, 1529.00,1529.0,1522.15,2622870,39923.92,65975, 1243139, 47.40
06-Jan-2020,1515.05,1517.75,1465.45,1469.4, 1470.90,1528.85,1490.4,3151046,46963.34,92915, 1241014, 39.38
07-Jan-2020,1488.45,1508.0,1442.2,1461.65, 1458.00,1469.4,1472.17,3572603,52594.82,82614, 360136, 10.08
08-Jan-2020,1441.0,1481.6,1439.05,1458.6, 1461.75,1461.65,1458.12,3363919,49050.12,103838, 465477, 13.84
09-Jan-2020,1490.0,1515.95,1483.2,1507.65, 1507.75,1458.6,1502.64,3496433,52538.71,84803, 893532, 25.56
10-Jan-2020,1510.85,1521.65,1484.2,1491.25, 1490.00,1507.65,1501.9,3189536,47903.63,66900, 488165, 15.31
13-Jan-2020,1499.8,1547.0,1487.35,1539.65, 1546.00,1491.25,1512.03,3732412,56435.24,74634, 681513, 18.26
14-Jan-2020,1546.0,1585.0,1470.25,1481.65, 1478.20,1539.65,1527.76,15123110,231045.55,308946, 2358333, 15.59
15-Jan-2020,1463.4,1463.4,1391.35,1400.5, 1399.00,1481.65,1416.67,13995235,198266.1,315523, 4731949, 33.81
16-Jan-2020,1405.0,1415.0,1377.1,1386.45, 1383.80,1400.5,1391.25,10544088,146694.3,259541, 2822514, 26.77
17-Jan-2020,1350.0,1377.0,1317.05,1352.25, 1350.50,1386.45,1351.92,10020063,135462.79,223096, 2698579, 26.93
20-Jan-2020,1367.9,1367.9,1323.0,1331.95, 1333.00,1352.25,1340.65,6047237,81072.2,167157, 1944125, 32.15
21-Jan-2020,1332.0,1350.0,1320.0,1336.35, 1334.05,1331.95,1338.01,4501887,60235.86,111945, 895613, 19.89
22-Jan-2020,1346.35,1348.0,1323.0,1327.4, 1326.05,1336.35,1333.69,3038713,40527.15,69447, 629892, 20.73
23-Jan-2020,1330.0,1339.8,1320.1,1331.8, 1330.20,1327.4,1329.92,4358219,57960.98,93278, 1059112, 24.30
24-Jan-2020,1334.0,1345.0,1307.65,1316.1,1317.7,1331.8,1330.89,4563516,60735.36,103366, 1648830, 36.13
