date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,125.95,126.75,125.75,125.95, 125.85,125.55,126.12,2127492,2683.16,13955, 493903, 23.22
02-Jan-2020,126.2,127.2,126.0,127.0, 127.00,125.95,126.71,2559180,3242.62,16315, 977380, 38.19
03-Jan-2020,126.5,127.5,126.15,126.85, 127.00,127.0,126.72,8852105,11217.36,45004, 4438644, 50.14
06-Jan-2020,126.5,126.5,124.5,124.9, 124.80,126.85,125.15,12631499,15808.53,50588, 7171769, 56.78
07-Jan-2020,125.3,127.45,124.1,124.55, 124.80,124.9,125.62,8451693,10617.0,45411, 3103256, 36.72
08-Jan-2020,123.05,123.9,121.5,121.85, 122.10,124.55,122.37,8885759,10873.29,51233, 3927894, 44.20
09-Jan-2020,124.9,125.5,122.85,124.5, 124.40,121.85,124.22,9218835,11451.31,78201, 3155963, 34.23
10-Jan-2020,125.0,125.75,124.05,125.45, 125.20,124.5,124.78,8377343,10453.02,35492, 4231952, 50.52
13-Jan-2020,125.9,127.6,125.3,126.95, 127.00,125.45,126.8,5747384,7287.54,30970, 2283613, 39.73
14-Jan-2020,127.6,128.2,126.65,126.9, 126.95,126.95,127.28,4488135,5712.34,25334, 2063994, 45.99
15-Jan-2020,126.95,127.0,125.0,125.7, 125.75,126.9,125.71,4768492,5994.66,30381, 2298004, 48.19
16-Jan-2020,126.05,126.5,124.0,124.15, 124.15,125.7,124.64,7051795,8789.47,52692, 3590996, 50.92
17-Jan-2020,124.15,124.25,122.3,122.65, 122.65,124.15,122.98,7715842,9489.04,44652, 3927090, 50.90
20-Jan-2020,117.95,119.7,113.7,117.5, 117.65,122.65,117.58,45262474,53217.41,145893, 22054065, 48.72
21-Jan-2020,118.0,118.45,114.25,114.8, 115.15,117.5,115.56,46511802,53747.85,151583, 28972528, 62.29
22-Jan-2020,116.65,116.9,111.95,113.65, 114.55,114.8,114.18,71728557,81901.73,158038, 35742265, 49.83
23-Jan-2020,115.1,120.9,115.05,118.35, 120.30,113.65,118.42,209929135,248599.87,235485, 139345365, 66.38
24-Jan-2020,121.5,121.65,119.1,119.65,119.6,118.35,120.25,26158995,31456.73,83739, 9117973, 34.86
27-Jan-2020,119.25,120.2,117.0,117.45, 117.30,119.65,118.39,13598855,16099.18,54180, 5471158, 40.23
28-Jan-2020,118.15,119.6,116.35,117.9, 117.95,117.45,118.15,21276548,25139.18,75584, 9488473, 44.60
29-Jan-2020,118.8,119.95,117.8,118.3, 118.45,117.9,119.06,21334647,25400.54,50737, 11320241, 53.06
30-Jan-2020,119.9,119.95,116.2,117.15, 116.85,118.3,117.99,28004675,33042.73,90420, 12203197, 43.58
31-Jan-2020,118.55,118.55,112.6,113.45, 113.45,117.15,113.87,36742641,41839.31,155640, 17169627, 46.73
03-Feb-2020,110.05,112.4,107.55,108.05, 108.50,108.9,109.85,25072213,27540.69,104534, 10917825, 43.55
