date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,941.9,953.85,934.8,944.35, 943.00,933.45,944.56,1718655,16233.76,42462, 248844, 14.48
02-Jan-2020,944.0,944.0,927.05,930.4, 928.50,944.35,934.73,657531,6146.12,20140, 186971, 28.44
03-Jan-2020,928.0,943.5,927.55,931.4, 930.00,930.4,934.26,868570,8114.73,24396, 165272, 19.03
06-Jan-2020,927.0,927.05,890.1,894.45, 892.95,931.4,904.07,784734,7094.54,30389, 287222, 36.60
07-Jan-2020,897.0,921.5,897.0,907.4, 906.25,894.45,911.6,697359,6357.12,22318, 137521, 19.72
08-Jan-2020,899.0,902.6,886.3,896.15, 895.90,907.4,895.01,554070,4958.96,16996, 114764, 20.71
09-Jan-2020,910.35,920.6,910.0,913.65, 912.10,896.15,915.18,599400,5485.61,19518, 142949, 23.85
10-Jan-2020,912.0,927.4,908.65,917.25, 918.05,913.65,918.09,508777,4671.04,16154, 109524, 21.53
13-Jan-2020,920.0,942.8,916.05,939.15, 942.00,917.25,932.38,782985,7300.41,22879, 230037, 29.38
14-Jan-2020,945.0,983.7,942.05,974.15, 976.95,939.15,970.16,2897447,28109.84,68895, 486529, 16.79
15-Jan-2020,978.0,996.0,973.85,985.4, 984.00,974.15,987.39,1712570,16909.83,40896, 304993, 17.81
16-Jan-2020,984.8,1008.35,984.75,1003.65, 1007.35,985.4,997.04,1521414,15169.08,39213, 336815, 22.14
17-Jan-2020,1010.0,1025.0,1010.0,1021.85, 1022.00,1003.65,1018.44,1099347,11196.24,29864, 269246, 24.49
20-Jan-2020,1027.2,1028.2,988.05,993.35, 996.00,1021.85,1000.5,887648,8880.95,29265, 312963, 35.26
21-Jan-2020,992.4,994.4,978.0,982.75, 982.55,993.35,986.01,576489,5684.22,20689, 149774, 25.98
22-Jan-2020,990.0,1006.0,987.0,996.85, 996.70,982.75,996.69,594103,5921.37,19521, 146799, 24.71
23-Jan-2020,998.6,1000.75,989.0,995.5, 995.50,996.85,995.13,326740,3251.49,11651, 91283, 27.94
24-Jan-2020,1000.0,1012.6,992.1,1002.7,1003.85,995.5,1004.37,486570,4886.99,15911, 132283, 27.19
27-Jan-2020,1001.9,1017.45,995.0,1007.6, 1004.00,1002.7,1007.58,552128,5563.13,18823, 135966, 24.63
28-Jan-2020,1013.6,1059.9,1010.15,1048.7, 1059.90,1007.6,1034.74,1302893,13481.6,43765, 302732, 23.24
29-Jan-2020,1072.5,1129.9,1063.5,1116.4, 1128.50,1048.7,1094.34,2878180,31497.02,80576, 491344, 17.07
30-Jan-2020,1132.8,1164.0,1116.05,1137.15, 1138.00,1116.4,1144.32,3814613,43651.31,112540, 718262, 18.83
31-Jan-2020,1152.1,1235.0,1146.05,1210.3, 1232.35,1137.15,1183.64,3326290,39371.17,93674, 451636, 13.58
03-Feb-2020,1194.35,1263.0,1186.05,1250.85, 1262.00,1190.35,1234.26,2852658,35209.33,103768, 458013, 16.06
04-Feb-2020,1290.0,1438.0,1286.0,1412.65, 1431.00,1250.85,1355.73,6594725,89406.71,201136, 868149, 13.16
