date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,69.55,70.1,68.65,69.05, 69.00,69.35,69.49,281629,195.69,1540, 164775, 58.51
02-Jan-2020,69.15,71.4,69.05,69.5, 69.45,69.05,70.11,1604845,1125.12,6792, 1011880, 63.05
03-Jan-2020,69.9,71.45,69.65,70.2, 70.30,69.5,70.48,1021494,719.96,4918, 332708, 32.57
06-Jan-2020,70.15,70.15,66.55,67.05, 66.80,70.2,67.7,719957,487.44,3789, 478500, 66.46
07-Jan-2020,67.5,70.5,67.3,70.1, 70.35,67.05,69.09,819939,566.46,4811, 482807, 58.88
08-Jan-2020,68.5,72.5,68.35,71.2, 71.35,70.1,70.27,935709,657.5,9501, 505904, 54.07
09-Jan-2020,72.1,72.25,69.2,69.4, 69.40,71.2,70.26,763997,536.79,7395, 438291, 57.37
10-Jan-2020,69.9,71.45,68.0,68.4, 68.35,69.4,69.57,894515,622.29,3871, 459611, 51.38
13-Jan-2020,68.75,69.6,67.8,68.2, 68.00,68.4,68.52,512208,350.96,4509, 273178, 53.33
14-Jan-2020,68.4,68.4,67.3,67.45, 67.30,68.2,67.77,560576,379.89,8498, 371892, 66.34
15-Jan-2020,67.1,68.1,67.1,67.45, 67.30,67.45,67.64,434853,294.13,4383, 246661, 56.72
16-Jan-2020,68.0,68.15,67.25,67.6, 67.55,67.45,67.71,430168,291.25,5301, 262206, 60.95
17-Jan-2020,67.35,68.25,67.0,67.45, 67.40,67.6,67.6,869257,587.65,5685, 453367, 52.16
20-Jan-2020,67.5,68.0,66.05,66.2, 66.35,67.45,66.9,397301,265.78,4576, 218113, 54.90
21-Jan-2020,66.4,67.2,66.05,66.3, 66.30,66.2,66.48,340244,226.2,2313, 166592, 48.96
22-Jan-2020,67.4,67.4,66.25,66.35, 66.25,66.3,66.54,234208,155.85,1518, 101917, 43.52
23-Jan-2020,66.55,67.5,66.35,66.85, 66.60,66.35,66.91,403235,269.8,3848, 241585, 59.91
24-Jan-2020,66.65,68.9,66.65,67.5,67.1,66.85,67.99,1256925,854.61,6984, 577708, 45.96
27-Jan-2020,66.7,67.6,66.4,67.0, 67.25,67.5,67.03,437083,292.98,3711, 254528, 58.23
28-Jan-2020,67.45,68.1,66.55,66.95, 66.75,67.0,67.49,506183,341.62,4679, 312632, 61.76
29-Jan-2020,67.15,67.9,65.7,66.1, 66.10,66.95,66.92,731551,489.55,2805, 514833, 70.38
30-Jan-2020,66.2,66.35,64.2,64.45, 64.60,66.1,65.01,296655,192.85,2716, 192103, 64.76
31-Jan-2020,64.8,64.8,62.8,63.05, 62.95,64.45,63.56,342262,217.53,2802, 226087, 66.06
03-Feb-2020,62.0,62.9,59.55,61.9, 61.45,62.05,61.95,319703,198.07,3125, 178585, 55.86
04-Feb-2020,62.35,66.8,61.55,63.2, 62.95,61.9,64.49,2101057,1355.03,12483, 611146, 29.09
05-Feb-2020,63.95,65.0,61.5,61.9, 62.00,63.2,63.27,912844,577.55,5996, 421435, 46.17
06-Feb-2020,62.25,63.8,61.75,62.9, 63.10,61.9,62.62,559858,350.58,5892, 294111, 52.53
07-Feb-2020,63.2,66.25,62.1,65.35, 65.25,62.9,64.76,975330,631.65,6014, 503134, 51.59
10-Feb-2020,65.4,65.8,64.15,65.0, 65.15,65.35,64.99,1315357,854.79,7471, 803572, 61.09
11-Feb-2020,65.45,65.8,63.7,63.95, 63.85,65.0,65.22,591840,386.02,4861, 443450, 74.93
12-Feb-2020,63.9,64.5,62.8,64.1, 64.00,63.95,63.48,869723,552.08,7180, 651550, 74.91
13-Feb-2020,64.0,64.1,62.8,63.6, 64.10,64.1,63.35,256836,162.71,3351, 165443, 64.42
14-Feb-2020,63.6,64.5,62.55,62.85, 62.75,63.6,63.38,207531,131.52,3218, 101911, 49.11
17-Feb-2020,62.8,63.9,62.55,63.15, 63.05,62.85,63.15,249796,157.75,2705, 115614, 46.28
18-Feb-2020,65.25,68.4,64.8,65.7, 65.75,63.15,66.57,5556529,3699.03,32875, 1743637, 31.38
19-Feb-2020,66.5,67.35,64.2,64.6, 64.60,65.7,65.41,712089,465.76,5731, 280509, 39.39
20-Feb-2020,64.6,65.45,62.8,63.15, 63.00,64.6,63.73,754557,480.91,6279, 461721, 61.19
24-Feb-2020,63.0,63.4,62.2,62.9, 63.30,63.15,62.81,393742,247.31,2424, 192213, 48.82
25-Feb-2020,63.1,63.5,61.0,61.45, 61.50,62.9,61.83,586239,362.5,2552, 428359, 73.07
26-Feb-2020,61.0,61.95,60.2,60.6, 60.60,61.45,60.81,1175307,714.71,9142, 893645, 76.04
27-Feb-2020,60.95,60.95,58.5,60.05, 60.50,60.6,59.8,434378,259.74,3224, 287398, 66.16
28-Feb-2020,58.1,59.2,55.9,57.3, 56.00,60.05,57.85,1506071,871.24,8251, 1140172, 75.71
02-Mar-2020,58.8,59.5,53.65,54.95, 53.70,57.3,57.46,664245,381.65,5442, 362894, 54.63
03-Mar-2020,54.5,58.05,54.5,57.35, 58.00,54.95,56.01,763293,427.53,4306, 434159, 56.88
04-Mar-2020,57.35,57.6,53.5,53.85, 54.20,57.35,54.94,867339,476.52,5516, 568466, 65.54
05-Mar-2020,54.15,55.2,53.15,54.85, 54.80,53.85,54.12,625078,338.32,5885, 325389, 52.06
06-Mar-2020,52.55,53.25,51.8,52.85, 52.55,54.85,52.63,540296,284.38,3599, 392983, 72.73
09-Mar-2020,51.1,52.0,46.4,47.3, 46.50,52.85,48.52,1213795,588.96,11043, 668311, 55.06
11-Mar-2020,47.1,49.9,45.85,48.5, 48.80,47.3,47.52,1113884,529.32,4921, 581868, 52.24
12-Mar-2020,46.05,46.95,43.8,46.15, 46.10,48.5,45.77,1295721,592.99,5650, 1022141, 78.89
13-Mar-2020,46.0,49.75,42.5,47.95, 47.65,46.15,46.15,1113576,513.89,3889, 688569, 61.83
16-Mar-2020,47.9,47.9,42.1,45.65, 45.30,47.95,45.46,1653889,751.9,5754, 1363649, 82.45
17-Mar-2020,45.7,45.7,41.4,42.5, 43.85,45.65,42.46,2737541,1162.45,9968, 2154896, 78.72
18-Mar-2020,44.0,46.7,34.75,42.0, 44.00,42.5,39.32,2102371,826.59,13359, 1264810, 60.16
19-Mar-2020,40.45,46.4,37.85,44.0, 45.90,42.0,42.47,3384662,1437.51,7040, 2486575, 73.47
20-Mar-2020,43.25,50.7,42.5,46.75, 47.05,44.0,47.04,1334768,627.91,5843, 755605, 56.61
23-Mar-2020,38.1,45.65,37.4,43.75, 45.00,46.75,41.23,1987108,819.22,6672, 1420118, 71.47
24-Mar-2020,45.0,47.3,41.7,46.4, 47.30,43.75,45.0,1208172,543.65,6686, 865453, 71.63
25-Mar-2020,44.1,49.0,44.1,47.25, 48.35,46.4,47.25,434704,205.42,2446, 262377, 60.36
26-Mar-2020,47.3,47.95,44.5,46.0, 45.90,47.25,45.95,872164,400.76,6022, 646096, 74.08
27-Mar-2020,47.0,47.2,41.1,44.4, 44.20,46.0,43.92,1567492,688.44,15297, 885851, 56.51
30-Mar-2020,42.4,44.6,41.95,43.9, 43.65,44.4,43.42,1726105,749.49,5139, 1379131, 79.90
31-Mar-2020,46.0,46.15,42.0,42.7,42.7,43.9,43.03,1081075,465.21,11074, 503099, 46.54
01-Apr-2020,42.6,43.95,42.4,43.15,43.0,42.7,42.89,444414,190.59,8882, 276863, 62.30
03-Apr-2020,43.15,44.5,41.75,42.4, 42.55,43.15,42.32,747695,316.45,3880, 537773, 71.92
07-Apr-2020,44.35,44.35,41.85,42.55, 42.60,42.4,42.65,1247429,531.99,14814, 795802, 63.80
08-Apr-2020,43.0,43.85,41.9,42.2, 42.10,42.55,42.49,1836431,780.35,14410, 1351012, 73.57
09-Apr-2020,43.0,43.0,41.5,42.0, 42.00,42.2,42.12,1544377,650.45,11046, 962764, 62.34
13-Apr-2020,42.0,42.35,39.85,41.2, 41.10,42.0,40.93,1907230,780.56,5875,763452,70.72
15-Apr-2020,41.8,41.85,39.85,40.6, 40.75,41.2,40.6,3159243,1282.57,11748, 1977393, 62.59
16-Apr-2020,41.2,42.0,40.85,41.5, 41.50,40.6,41.45,1331571,551.91,6991, 647982, 48.66
17-Apr-2020,42.6,43.3,41.7,42.8, 42.65,41.5,42.54,1054214,448.43,5469, 550036, 52.17
20-Apr-2020,43.0,46.5,42.2,43.35, 43.15,42.8,44.77,4870155,2180.53,24215, 1704056, 34.99
21-Apr-2020,42.0,42.4,40.7,41.2,41.2,43.35,41.4,740104,306.38,6837, 423212, 57.18
22-Apr-2020,41.0,41.2,39.9,40.05,40.1,41.2,40.25,1312632,528.4,24269, 859824, 65.50
23-Apr-2020,40.8,40.8,38.95,39.6,39.85,40.05,39.66,4206089,1667.99,16087, 3040647, 72.29
24-Apr-2020,39.8,40.75,39.4,39.9,39.9,39.6,39.99,1136324,454.37,6680, 470743, 41.43
27-Apr-2020,40.7,40.7,38.85,39.45, 39.50,39.9,39.36,1563680,615.51,7150, 756050, 48.35
28-Apr-2020,40.1,40.1,38.5,39.4, 40.00,39.45,39.27,1544978,606.69,7155, 703427, 45.53
29-Apr-2020,40.0,41.7,39.25,41.0,41.0,39.4,40.8,1421240,579.8,8857, 547744, 38.54
