date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,270.7,273.5,265.85,268.1, 268.30,270.05,269.49,6952048,18735.12,44999, 1052112, 15.13
02-Jan-2020,272.0,277.0,271.55,276.45, 276.90,268.1,274.93,10780926,29640.45,73900, 1139113, 10.57
03-Jan-2020,276.45,276.45,270.75,272.45, 272.20,276.45,273.17,5943349,16235.33,38332, 1042941, 17.55
06-Jan-2020,270.5,270.75,262.3,264.25, 264.30,272.45,265.68,4529599,12034.41,30673, 683423, 15.09
07-Jan-2020,266.15,270.15,263.1,265.25, 265.50,264.25,266.6,4465297,11904.58,31857, 454146, 10.17
08-Jan-2020,261.4,264.5,257.0,262.5, 262.70,265.25,260.9,8088132,21101.82,44788, 636169, 7.87
09-Jan-2020,267.7,279.2,267.7,278.1, 278.00,262.5,274.36,13317832,36538.51,82455, 1224673, 9.20
10-Jan-2020,278.0,280.0,275.0,277.9, 277.65,278.1,277.77,7625227,21180.87,51942, 593373, 7.78
13-Jan-2020,278.05,279.9,275.4,278.6, 278.40,277.9,277.7,4540953,12610.2,33966, 435391, 9.59
14-Jan-2020,278.0,284.0,278.0,280.9, 281.00,278.6,281.61,7428691,20920.22,53528, 739888, 9.96
15-Jan-2020,279.85,283.4,276.25,282.5, 282.60,280.9,280.41,5538475,15530.59,39954, 771724, 13.93
16-Jan-2020,282.5,282.85,276.15,277.45, 276.75,282.5,277.91,4791447,13315.86,40151, 1113614, 23.24
17-Jan-2020,276.8,279.55,272.85,273.35, 273.70,277.45,275.9,4733742,13060.39,29633, 1023258, 21.62
20-Jan-2020,273.5,275.0,268.65,271.35, 271.55,273.35,271.25,3823115,10370.14,25024, 237263, 6.21
21-Jan-2020,270.0,270.9,264.35,267.25, 266.80,271.35,267.53,4799667,12840.51,36482, 518723, 10.81
22-Jan-2020,268.3,269.3,264.75,265.85, 265.95,267.25,266.96,3334351,8901.48,25919, 442728, 13.28
23-Jan-2020,266.0,268.95,264.1,266.65, 266.20,265.85,266.77,3529142,9414.52,24104, 458827, 13.00
24-Jan-2020,266.7,273.9,265.3,271.9,271.25,266.65,270.87,5991335,16228.53,46243, 739228, 12.34
27-Jan-2020,265.45,265.9,258.3,262.8, 260.35,271.9,261.97,17151836,44931.83,91461, 3307188, 19.28
28-Jan-2020,260.8,261.75,251.6,255.25, 255.30,262.8,256.69,11168567,28668.23,69713, 3418650, 30.61
29-Jan-2020,259.0,264.6,258.3,261.25, 261.25,255.25,262.06,7832991,20527.38,50428, 1050979, 13.42
30-Jan-2020,261.3,262.1,255.25,256.95, 257.30,261.25,258.63,5511254,14253.7,43330, 574297, 10.42
31-Jan-2020,258.15,259.0,249.1,250.7, 250.50,256.95,254.04,6329214,16078.96,48505, 1886390, 29.80
03-Feb-2020,245.5,253.0,243.75,251.5, 252.30,244.75,248.6,7021154,17454.25,45678, 1108432, 15.79
04-Feb-2020,253.25,259.7,248.7,258.35, 257.85,251.5,256.07,5839343,14952.8,41556, 725178, 12.42
05-Feb-2020,259.5,271.65,256.35,269.25, 271.15,258.35,262.69,7218905,18963.12,45905, 987086, 13.67
06-Feb-2020,271.1,277.5,267.75,276.45, 275.35,269.25,274.21,8567243,23492.61,54010, 1451742, 16.95
07-Feb-2020,275.4,280.0,272.75,279.3, 279.00,276.45,277.76,5258442,14605.95,31277, 495180, 9.42
10-Feb-2020,276.0,279.8,273.2,277.9, 277.95,279.3,276.69,4972983,13759.55,32384, 457404, 9.20
11-Feb-2020,280.05,293.5,278.6,288.75, 288.65,277.9,288.32,10958494,31595.07,72217, 1464850, 13.37
12-Feb-2020,288.65,295.4,288.5,293.7, 293.70,288.75,292.87,9119052,26706.58,55371, 1653313, 18.13
13-Feb-2020,292.2,294.6,288.4,293.35, 291.60,293.7,292.09,6220243,18168.91,40577, 1297539, 20.86
14-Feb-2020,291.6,296.75,288.3,289.15, 288.50,293.35,292.79,6086218,17820.11,39261, 845511, 13.89
17-Feb-2020,289.15,290.9,285.3,288.15, 288.00,289.15,288.29,6084235,17540.5,36285, 734415, 12.07
18-Feb-2020,289.0,289.15,281.1,284.8, 285.00,288.15,284.43,5463097,15538.91,35213, 737423, 13.50
19-Feb-2020,287.2,290.0,279.9,280.85, 280.80,284.8,285.37,4952306,14132.49,28936, 950571, 19.19
20-Feb-2020,280.7,285.85,277.0,281.8, 281.80,280.85,281.62,6960354,19601.52,43280, 958725, 13.77
24-Feb-2020,277.95,277.95,256.0,258.95, 261.10,281.8,266.56,10565578,28163.1,64178, 2165454, 20.50
25-Feb-2020,264.0,266.8,258.4,262.6, 263.10,258.95,262.73,9928181,26083.88,66720, 1077156, 10.85
26-Feb-2020,256.0,263.7,255.55,260.8, 259.40,262.6,259.72,8111249,21066.83,57706, 1399153, 17.25
27-Feb-2020,259.0,259.0,248.3,252.1, 252.90,260.8,253.47,10258174,26001.66,87528, 1800322, 17.55
28-Feb-2020,245.5,245.5,232.65,235.7, 233.50,252.1,238.22,10723581,25545.74,82183, 2184196, 20.37
02-Mar-2020,242.2,246.5,230.85,235.0, 234.55,235.7,241.63,10865535,26254.74,79748, 2197199, 20.22
03-Mar-2020,239.25,249.1,238.65,246.45, 245.80,235.0,243.75,11580274,28226.66,69735, 1643878, 14.20
04-Mar-2020,246.55,248.8,236.85,245.6, 245.50,246.45,242.19,10790561,26134.0,60596, 1922396, 17.82
