date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
19-Apr-2021,436.0,478.0,422.6,465.25,457.95,486.0,464.16,11051365,51296.54,189323, 6643235, 60.11
20-Apr-2021,468.0,513.85,457.35,503.1,501.45,465.25,489.39,5852536,28641.56,108274, 2440878, 41.71
22-Apr-2021,498.0,542.75,491.6,523.75,519.15,503.1,521.06,2364148,12318.54,67555, 923883, 39.08
23-Apr-2021,522.8,536.9,517.7,530.7,531.25,523.75,528.24,1150419,6076.99,39106, 515415, 44.80
26-Apr-2021,532.0,586.0,532.0,580.1, 576.00,530.7,565.14,2069788,11697.29,59175, 718552, 34.72
27-Apr-2021,576.0,612.75,571.05,604.4,599.95,580.1,595.7,2186988,13027.87,45239, 748834, 34.24
28-Apr-2021,604.8,620.0,596.2,615.65, 612.05,604.4,610.67,985170,6016.14,27476, 194307, 19.72
29-Apr-2021,618.75,619.0,581.15,601.65, 605.00,615.65,600.07,1874805,11250.22,18880, 1203631, 64.20
30-Apr-2021,592.0,621.9,588.1,593.7,590.0,601.65,604.49,344790,2084.22,9923, 138297, 40.11
03-May-2021,590.0,605.0,570.2,599.3,605.0,593.7,588.2,424237,2495.36,9572, 198386, 46.76
04-May-2021,601.25,608.0,582.7,597.7, 590.00,599.3,597.47,293950,1756.28,6695, 157631, 53.63
05-May-2021,591.0,612.0,587.5,606.0, 605.00,597.7,600.13,291004,1746.39,7329, 133602, 45.91
06-May-2021,606.0,612.25,595.55,601.95, 597.15,606.0,603.92,140792,850.27,4732, 72173, 51.26
07-May-2021,603.0,638.0,603.0,631.75, 629.80,601.95,619.88,1348921,8361.68,19689, 684234, 50.72
10-May-2021,630.0,758.1,629.85,691.75, 688.80,631.75,690.74,1601276,11060.58,39174, 557307, 34.80
11-May-2021,684.8,702.7,675.15,691.7, 691.40,691.75,692.45,469298,3249.65,13440, 156503, 33.35
12-May-2021,700.0,710.25,634.95,646.65,653.9,691.7,666.88,704740,4699.75,18356, 272868, 38.72
14-May-2021,664.9,671.45,614.5,647.9, 647.75,646.65,643.99,645657,4157.99,17725, 273739, 42.40
17-May-2021,648.0,657.0,627.6,647.4,635.5,647.9,644.89,1086582,7007.27,12730, 730865, 67.26
18-May-2021,647.85,647.85,614.5,632.85, 635.00,647.4,627.1,665681,4174.48,12191, 280824, 42.19
19-May-2021,623.5,642.0,623.5,634.3, 636.00,632.85,633.27,338421,2143.11,7284, 169255, 50.01
20-May-2021,634.3,645.15,616.05,628.55, 627.95,634.3,634.47,207878,1318.92,5670, 121630, 58.51
21-May-2021,636.9,656.9,628.5,644.35, 645.05,628.55,643.32,657707,4231.18,13264, 370130, 56.28
24-May-2021,648.95,652.0,638.0,644.2, 647.00,644.35,645.9,300867,1943.29,4355, 180609, 60.03
25-May-2021,643.0,650.0,628.0,632.65, 628.70,644.2,638.07,436108,2782.68,10629, 361171, 82.82
26-May-2021,620.0,629.7,618.0,625.1, 628.00,632.65,625.07,240696,1504.52,5156, 178278, 74.07
27-May-2021,620.15,625.0,610.0,614.95, 612.00,625.1,617.67,103843,641.41,3800, 71804, 69.15
28-May-2021,616.0,643.0,615.0,635.15,630.0,614.95,634.39,416283,2640.87,17790, 264014, 63.42
31-May-2021,634.85,641.5,621.95,631.15, 632.00,635.15,629.97,235554,1483.92,4521, 134877, 57.26
01-Jun-2021,636.0,636.8,618.05,626.3, 618.40,631.15,624.45,163558,1021.34,3064, 135197, 82.66
02-Jun-2021,630.0,637.7,617.0,618.0, 618.00,626.3,624.66,139550,871.71,8283, 82064, 58.81
03-Jun-2021,620.55,635.95,619.3,622.7, 620.70,618.0,626.61,290436,1819.92,5280, 188271, 64.82
04-Jun-2021,628.0,634.0,621.0,627.7, 630.00,622.7,628.88,190382,1197.28,4701, 97779, 51.36
07-Jun-2021,633.7,689.0,631.55,670.05, 667.00,627.7,670.19,1147825,7692.59,27196, 644758, 56.17
08-Jun-2021,663.0,710.0,663.0,690.75, 686.00,670.05,694.37,1231336,8550.01,29724, 569672, 46.26
09-Jun-2021,696.0,702.65,651.55,666.2,662.5,690.75,681.81,824051,5618.42,24471, 363468, 44.11
10-Jun-2021,669.75,700.4,666.3,694.25, 689.00,666.2,686.21,562599,3860.63,16300, 247686, 44.03
11-Jun-2021,694.0,699.15,661.45,672.9, 672.00,694.25,678.51,499393,3388.44,13177, 219453, 43.94
14-Jun-2021,670.25,705.0,651.8,685.1, 685.85,672.9,682.26,601260,4102.16,15688, 248035, 41.25
15-Jun-2021,691.75,715.0,690.0,708.85, 705.70,685.1,699.59,872095,6101.06,15996, 448279, 51.40
16-Jun-2021,710.0,718.05,674.0,681.8, 679.00,708.85,701.88,487738,3423.36,20525, 234883, 48.16
17-Jun-2021,678.9,693.0,662.0,670.65, 670.00,681.8,678.25,266727,1809.07,18311, 117330, 43.99
18-Jun-2021,675.8,686.2,632.1,681.0, 684.00,670.65,664.85,549616,3654.11,21829, 235584, 42.86
21-Jun-2021,675.0,708.0,666.8,704.05, 700.00,681.0,692.55,328169,2272.74,9394, 175384, 53.44
22-Jun-2021,708.0,713.1,696.0,699.8, 700.20,704.05,702.35,345508,2426.68,7566, 160986, 46.59
23-Jun-2021,702.7,704.55,680.0,682.05, 680.10,699.8,690.22,201318,1389.54,6703, 91513, 45.46
24-Jun-2021,681.0,697.0,676.1,688.0, 680.00,682.05,683.81,157439,1076.59,6643, 45629, 28.98
25-Jun-2021,687.0,687.75,673.05,676.25, 674.00,688.0,680.82,113525,772.9,5647, 41589, 36.63
28-Jun-2021,674.0,693.0,672.05,687.25, 683.50,676.25,684.95,377923,2588.58,9602, 220414, 58.32
29-Jun-2021,688.0,689.5,673.0,675.65, 675.00,687.25,680.99,144194,981.94,5909, 49412, 34.27
30-Jun-2021,692.6,704.4,680.0,683.65, 682.50,675.65,692.69,591373,4096.37,25885, 236126, 39.93
01-Jul-2021,689.75,694.85,678.0,681.55, 681.85,683.65,686.09,139912,959.92,6104, 57586, 41.16
02-Jul-2021,687.75,687.75,668.5,676.2,675.0,681.55,681.22,144849,986.75,5187, 58217, 40.19
05-Jul-2021,684.9,688.0,665.35,670.95, 671.00,676.2,676.78,350043,2369.03,18045, 121100, 34.60
06-Jul-2021,673.0,676.75,645.0,650.85, 652.95,670.95,663.66,491435,3261.48,18806, 292438, 59.51
