date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,532.9,538.0,529.55,536.6, 536.95,531.55,533.95,2611808,13945.82,27497, 332332, 12.72
02-Jan-2020,537.0,541.0,533.5,539.85, 539.00,536.6,538.71,2776519,14957.3,43016, 738407, 26.59
03-Jan-2020,538.95,539.0,530.4,532.75, 533.00,539.85,533.82,1930883,10307.41,30030, 698561, 36.18
06-Jan-2020,529.9,530.0,520.5,524.5, 523.55,532.75,523.29,2059404,10776.75,34854, 931642, 45.24
07-Jan-2020,528.9,532.0,523.05,526.65, 526.65,524.5,527.55,2111349,11138.51,34387, 471935, 22.35
08-Jan-2020,520.9,526.45,519.0,524.65, 524.50,526.65,522.73,1612378,8428.37,33088, 509565, 31.60
09-Jan-2020,529.85,542.45,525.7,541.25, 541.50,524.65,537.33,2897598,15569.68,45977, 871775, 30.09
10-Jan-2020,544.1,547.6,539.25,546.6, 546.30,541.25,544.42,2355888,12825.87,35902, 716916, 30.43
13-Jan-2020,548.9,557.0,546.6,554.95, 556.00,546.6,552.89,3442869,19035.32,51510, 1437318, 41.75
14-Jan-2020,554.95,563.75,554.95,562.5, 562.40,554.95,559.84,2793249,15637.6,50589, 1332489, 47.70
15-Jan-2020,562.0,571.0,556.7,569.75, 569.30,562.5,565.24,2564513,14495.62,42204, 1234020, 48.12
16-Jan-2020,569.25,569.8,564.05,567.45, 566.60,569.75,567.11,2243200,12721.46,29664, 1134731, 50.59
17-Jan-2020,566.8,574.0,565.15,569.3, 568.50,567.45,570.16,2646260,15087.98,42403, 1078475, 40.75
20-Jan-2020,569.0,574.0,564.35,567.2, 567.30,569.3,569.44,1847978,10523.09,25034, 553170, 29.93
21-Jan-2020,564.0,564.9,550.1,552.8, 550.95,567.2,555.36,3101684,17225.53,46464, 1102829, 35.56
22-Jan-2020,553.5,556.5,549.0,553.6, 553.65,552.8,553.51,1862669,10310.06,29578, 265930, 14.28
23-Jan-2020,553.5,567.4,549.55,566.5, 566.20,553.6,561.67,2113303,11869.88,29380, 763220, 36.12
24-Jan-2020,566.1,572.0,564.1,567.75,569.5,566.5,569.13,2284717,13003.02,40082, 896886, 39.26
27-Jan-2020,565.0,582.5,563.0,578.3, 578.35,567.75,577.5,3654906,21106.93,50823, 1219761, 33.37
28-Jan-2020,581.25,589.75,568.5,572.5, 573.75,578.3,581.03,3689004,21434.39,66297, 1024287, 27.77
29-Jan-2020,577.5,580.7,572.15,577.75, 576.70,572.5,576.5,1934080,11149.97,44201, 595401, 30.78
30-Jan-2020,578.0,587.55,563.85,567.85, 566.50,577.75,573.84,2901951,16652.42,50548, 938753, 32.35
31-Jan-2020,570.8,577.0,565.3,567.15, 568.80,567.85,570.67,2352196,13423.23,48884, 915613, 38.93
03-Feb-2020,545.0,565.75,535.2,558.7, 559.75,545.2,552.73,3818209,21104.35,61630, 892859, 23.38
04-Feb-2020,562.0,578.8,558.8,576.9, 577.35,558.7,571.61,2793702,15969.06,49302, 1057850, 37.87
05-Feb-2020,580.25,589.85,577.4,584.35, 585.00,576.9,584.69,3320830,19416.64,54572, 1043994, 31.44
06-Feb-2020,585.0,589.15,576.05,580.15, 580.60,584.35,582.03,2207104,12845.9,41416, 778011, 35.25
07-Feb-2020,579.0,581.5,561.3,569.1, 569.00,580.15,570.38,4083215,23289.97,52666, 1626611, 39.84
10-Feb-2020,566.8,567.0,526.05,528.4, 528.40,569.1,539.02,9648880,52008.98,149883, 2540595, 26.33
11-Feb-2020,533.2,537.7,522.7,524.05, 523.90,528.4,529.57,5404802,28622.35,96880, 1419834, 26.27
12-Feb-2020,526.65,534.3,523.9,531.0, 531.90,524.05,529.25,3426829,18136.36,69539, 921023, 26.88
13-Feb-2020,530.45,538.0,528.3,533.6, 533.25,531.0,533.73,3392352,18106.14,43781, 918442, 27.07
14-Feb-2020,535.25,536.95,520.65,523.0, 524.10,533.6,528.1,3507540,18523.43,65333, 1296123, 36.95
17-Feb-2020,524.1,525.4,516.0,522.75, 524.50,523.0,520.97,2652464,13818.65,61444, 984511, 37.12
18-Feb-2020,520.5,524.9,514.1,523.2, 523.20,522.75,519.88,2868873,14914.77,54410, 1158867, 40.39
19-Feb-2020,528.15,529.65,521.8,526.4, 528.55,523.2,525.03,1952880,10253.15,36230, 532358, 27.26
20-Feb-2020,525.9,533.0,523.0,524.85, 524.30,526.4,528.45,2077458,10978.4,37210, 526667, 25.35
24-Feb-2020,522.0,522.0,511.1,513.2, 514.15,524.85,515.71,1911411,9857.26,44611, 845724, 44.25
25-Feb-2020,515.55,519.5,506.1,508.95, 510.00,513.2,512.9,2105613,10799.72,35509, 720678, 34.23
26-Feb-2020,507.7,512.45,500.0,503.0, 502.75,508.95,505.89,3058370,15471.84,47336, 1260428, 41.21
27-Feb-2020,504.0,504.0,487.55,493.5, 496.00,503.0,492.92,6039260,29768.49,142978, 2902900, 48.07
28-Feb-2020,485.0,485.0,453.6,457.05, 457.00,493.5,470.41,8613275,40517.83,153523, 3877985, 45.02
02-Mar-2020,453.55,472.45,444.35,458.3, 461.90,457.05,460.01,9225488,42437.93,119400, 2353793, 25.51
03-Mar-2020,462.0,471.0,455.25,466.25, 470.00,458.3,463.41,4582866,21237.65,60825, 1617456, 35.29
04-Mar-2020,466.05,477.0,457.5,474.65, 473.40,466.25,466.89,5912943,27606.95,92674, 2486422, 42.05
05-Mar-2020,472.7,482.5,469.0,479.3, 478.45,474.65,477.3,4081050,19478.66,44892, 1283787, 31.46
06-Mar-2020,458.85,473.75,456.5,471.0, 470.70,479.3,466.55,4502562,21006.53,59236, 1937003, 43.02
09-Mar-2020,453.55,465.7,441.0,463.2, 465.00,471.0,457.17,4540695,20758.51,94537, 1856405, 40.88
11-Mar-2020,462.85,469.65,449.7,451.6, 450.65,463.2,459.98,5104926,23481.58,97943, 1998327, 39.15
12-Mar-2020,427.9,435.95,399.65,423.35, 421.70,451.6,420.29,9408371,39542.69,127409, 4271311, 45.40
13-Mar-2020,400.5,449.75,345.65,428.85, 445.35,423.35,417.25,6230433,25996.2,123154, 2687488, 43.13
16-Mar-2020,421.0,428.6,388.8,391.8, 394.80,428.85,401.99,3156668,12689.51,61242, 1237004, 39.19
17-Mar-2020,392.0,408.0,369.95,373.4, 376.35,391.8,391.56,4526918,17725.62,84025, 1991426, 43.99
18-Mar-2020,379.0,383.7,339.1,346.4, 345.30,373.4,357.74,6596185,23597.11,148085, 3414073, 51.76
19-Mar-2020,331.75,331.8,302.0,314.2, 316.25,346.4,315.87,10486203,33123.01,144878, 5131262, 48.93
20-Mar-2020,316.0,328.2,308.25,322.6, 321.30,314.2,319.03,8819560,28136.69,117438, 4569984, 51.82
23-Mar-2020,299.0,303.9,280.6,293.4, 299.75,322.6,290.8,6001458,17451.96,98906, 3365118, 56.07
24-Mar-2020,300.0,309.9,264.4,269.0, 270.00,293.4,284.2,6695822,19029.66,94116, 3357303, 50.14
25-Mar-2020,263.4,288.35,245.4,277.85, 274.25,269.0,270.31,9393738,25391.91,139052, 4213121, 44.85
26-Mar-2020,277.85,294.0,273.1,285.5, 286.00,277.85,283.67,7557611,21439.02,100986, 3497981, 46.28
27-Mar-2020,297.0,305.0,280.8,294.5, 295.00,285.5,290.27,9505256,27591.26,124475, 4942531, 52.00
30-Mar-2020,281.7,284.85,270.0,274.4, 277.00,294.5,276.14,8942943,24695.4,129852, 4807530, 53.76
31-Mar-2020,283.85,287.2,277.8,284.95,284.45,274.4,283.89,6236769,17705.58,85138, 3650874, 58.54
01-Apr-2020,281.0,283.0,265.5,272.85,274.6,284.95,272.12,5980392,16273.87,92476, 2887951, 48.29
03-Apr-2020,274.0,290.0,271.35,280.7, 281.40,272.85,283.35,6961905,19726.71,111923, 2094060, 30.08
07-Apr-2020,295.5,323.8,292.75,321.0, 319.00,280.7,310.9,10795410,33562.98,152828, 4885131, 45.25
08-Apr-2020,315.0,350.4,312.8,326.4, 327.50,321.0,333.07,8451196,28148.13,195990, 2742216, 32.45
09-Apr-2020,335.75,391.65,332.4,381.4, 383.50,326.4,358.63,11027462,39548.05,199673, 3116278, 28.26
13-Apr-2020,380.0,380.0,355.0,362.85, 362.35,381.4,364.64,7717757,28142.39,129086,1287157,18.31
15-Apr-2020,373.05,379.9,349.3,353.15, 351.20,362.85,360.26,11300959,40712.52,181710, 3126966, 27.67
16-Apr-2020,343.1,360.45,343.0,356.7, 356.50,353.15,353.45,6155773,21757.75,99892, 2057726, 33.43
17-Apr-2020,370.75,370.75,355.55,363.2, 363.00,356.7,362.13,6178611,22374.34,80038, 1768406, 28.62
20-Apr-2020,367.0,367.45,354.0,355.85, 354.05,363.2,358.25,4834224,17318.43,76198, 2285946, 47.29
21-Apr-2020,349.05,349.05,323.5,332.05,330.0,355.85,332.69,8003782,26627.59,167070, 3850271, 48.11
22-Apr-2020,327.0,345.75,320.6,340.2,338.0,332.05,337.66,9073718,30638.27,170221, 3062988, 33.76
23-Apr-2020,338.0,349.65,331.55,347.5,345.9,340.2,341.11,6738333,22985.31,115896, 2030876, 30.14
24-Apr-2020,342.0,344.75,332.0,334.3,333.0,347.5,338.88,5755029,19502.8,119113, 2549916, 44.31
27-Apr-2020,337.55,343.35,328.15,330.3, 331.55,334.3,334.99,5770552,19330.59,102139, 2242071, 38.85
28-Apr-2020,334.45,338.0,328.5,335.95, 337.00,330.3,332.92,4244522,14130.77,56392, 1571305, 37.02
29-Apr-2020,337.0,351.8,336.25,348.0,349.0,335.95,346.33,7748498,26835.27,121151, 3227750, 41.66
30-Apr-2020,355.65,368.0,355.0,366.65,367.55,348.0,363.75,7422880,27000.9,124105, 2834196, 38.18
04-May-2020,350.05,362.4,341.1,357.05, 361.10,366.65,350.73,7125034,24989.7,145606, 3309544, 46.45
05-May-2020,363.75,381.8,361.45,368.15, 368.50,357.05,372.43,13401811,49912.02,182937, 3220905, 24.03
06-May-2020,371.5,393.0,358.25,387.15, 388.00,368.15,376.58,7015474,26418.94,148753, 1605985, 22.89
07-May-2020,387.5,403.45,385.1,400.65, 401.40,387.15,396.1,12971502,51380.17,190114, 4027332, 31.05
08-May-2020,405.0,407.9,380.7,386.7, 386.00,400.65,390.69,9445656,36903.07,127252, 2799880, 29.64
11-May-2020,388.5,402.0,384.35,390.1, 387.90,386.7,393.43,7658641,30131.25,161111, 1176423, 15.36
12-May-2020,388.9,395.2,380.2,393.05, 394.25,390.1,386.43,4686856,18111.44,88743, 891992, 19.03
13-May-2020,415.0,418.9,404.25,413.05,410.0,393.05,411.46,7362761,30295.07,137227, 2458479, 33.39
14-May-2020,401.5,407.5,396.0,400.45,402.5,413.05,400.92,4766174,19108.43,79776, 831961, 17.46
15-May-2020,402.75,403.95,373.2,381.3,381.85,400.45,382.93,14226558,54478.31,195610, 4758044, 33.44
18-May-2020,382.1,383.5,367.25,377.2, 375.00,381.3,375.42,7717690,28973.57,87264, 2057002, 26.65
19-May-2020,384.0,391.0,371.2,382.9,383.0,377.2,385.05,5950063,22910.99,74801, 1121463, 18.85
20-May-2020,382.9,413.7,379.7,405.05, 404.75,382.9,398.6,10608571,42285.46,139807, 2375430, 22.39
21-May-2020,400.15,412.2,397.8,408.3,406.6,405.05,406.56,6249310,25407.07,78139, 1077115, 17.24
22-May-2020,404.0,430.35,398.7,426.35,426.4,408.3,416.73,10016213,41740.83,110726, 2984328, 29.79
26-May-2020,427.0,435.2,421.65,429.15, 426.90,426.35,429.31,5895379,25309.7,86808, 1178133, 19.98
27-May-2020,426.5,434.95,415.0,432.5,430.95,429.15,424.82,7591378,32249.75,101268, 1572907, 20.72
28-May-2020,429.5,444.0,423.85,440.4,437.0,432.5,434.73,7451065,32391.96,100254, 1506094, 20.21
29-May-2020,434.0,450.0,431.1,436.35, 436.40,440.4,438.9,9539037,41866.52,105176, 3524317, 36.95
01-Jun-2020,441.85,470.5,441.5,461.1, 461.10,436.35,460.26,9668052,44498.23,128606, 2120579, 21.93
02-Jun-2020,465.1,478.85,460.85,462.85,462.9,461.1,467.87,8521141,39867.88,107017, 1431173, 16.80
03-Jun-2020,470.0,492.6,466.5,485.1,488.0,462.85,479.76,9873439,47369.16,114030, 2523350, 25.56
04-Jun-2020,485.3,486.25,469.4,478.45,477.1,485.1,476.92,5829515,27802.31,99539, 1080258, 18.53
05-Jun-2020,479.0,489.45,475.4,484.2, 484.30,478.45,482.43,6265849,30228.4,98856, 1496751, 23.89
08-Jun-2020,485.5,494.15,468.25,470.85, 471.25,484.2,482.67,5955229,28744.02,97007, 1299222, 21.82
09-Jun-2020,473.8,482.8,463.3,478.75, 475.65,470.85,472.24,7656758,36158.3,102350, 1549853, 20.24
10-Jun-2020,476.15,483.7,468.85,472.05, 474.90,478.75,475.95,4849036,23079.15,101470, 1281410, 26.43
11-Jun-2020,472.0,480.0,469.5,474.55, 473.50,472.05,475.92,4331785,20615.73,73370, 1104479, 25.50
12-Jun-2020,457.0,512.9,456.1,508.45, 510.45,474.55,484.85,18369324,89063.05,207214, 4600922, 25.05
15-Jun-2020,505.15,520.95,498.7,508.15,510.0,508.45,512.48,17605886,90226.39,214315, 4708895, 26.75
16-Jun-2020,517.1,519.0,501.3,506.75, 506.00,508.15,511.35,6712936,34326.74,99188, 2266547, 33.76
17-Jun-2020,504.9,504.9,492.5,497.6,497.0,506.75,497.59,9274056,46146.33,109803, 3279267, 35.36
18-Jun-2020,496.9,508.9,492.0,506.6,506.0,497.6,502.92,7114852,35782.02,108621, 2949105, 41.45
19-Jun-2020,506.6,506.6,496.4,500.05, 499.95,506.6,501.48,9811021,49200.14,104861, 4684484, 47.75
22-Jun-2020,501.75,502.25,494.1,498.75, 498.50,500.05,498.0,5149781,25646.12,96936, 2001147, 38.86
23-Jun-2020,500.0,519.9,497.6,516.4, 515.05,498.75,509.44,9132472,46524.14,132410, 3382757, 37.04
24-Jun-2020,520.0,527.65,512.55,515.35,515.0,516.4,519.85,7569986,39352.82,147317, 3061414, 40.44
25-Jun-2020,509.9,516.35,503.35,507.25, 506.70,515.35,508.87,5249631,26713.61,74896, 2084349, 39.70
26-Jun-2020,515.0,515.25,498.7,501.4, 500.00,507.25,506.47,4079405,20660.98,83611, 1733586, 42.50
29-Jun-2020,494.1,510.95,493.05,507.45, 505.10,501.4,503.55,4459962,22458.2,77159, 1216342, 27.27
30-Jun-2020,509.0,515.5,507.1,510.7, 510.65,507.45,510.71,5487685,28026.01,83132, 2514735, 45.83
01-Jul-2020,513.75,521.4,494.25,498.95, 502.30,510.7,508.38,8990865,45707.99,111670, 3104479, 34.53
02-Jul-2020,506.5,532.0,504.4,529.7, 531.00,498.95,521.24,16513525,86075.15,187316, 4282980, 25.94
03-Jul-2020,531.4,535.5,524.2,530.5, 532.30,529.7,529.59,7982336,42273.26,116954, 2609627, 32.69
06-Jul-2020,533.65,573.55,533.65,570.55, 569.70,530.5,558.33,16728409,93398.89,192165, 2807917, 16.79
07-Jul-2020,565.0,568.0,551.65,560.0, 560.30,570.55,559.0,9208254,51473.81,161209, 1831050, 19.88
08-Jul-2020,564.0,568.25,549.0,551.25,551.2,560.0,560.47,5173213,28994.22,77899, 1694957, 32.76
09-Jul-2020,554.0,564.3,548.05,560.3, 563.00,551.25,555.68,4123903,22915.76,97132, 1256869, 30.48
10-Jul-2020,555.3,568.95,552.0,554.85,554.8,560.3,559.12,5752463,32163.16,87823, 1284257, 22.33
13-Jul-2020,560.0,560.5,549.2,555.85, 553.50,554.85,555.15,3167393,17583.65,74671, 810945, 25.60
14-Jul-2020,553.0,553.95,538.0,545.2,543.75,555.85,546.65,3097320,16931.53,48728, 797335, 25.74
15-Jul-2020,550.0,559.7,542.75,550.15,552.8,545.2,550.15,5671830,31203.63,86619, 1436751, 25.33
16-Jul-2020,547.0,574.5,542.55,570.9, 568.95,550.15,565.8,11752682,66496.79,144479, 2957274, 25.16
17-Jul-2020,571.95,591.25,565.5,588.8, 587.55,570.9,580.02,9124229,52922.5,149055, 2883606, 31.60
20-Jul-2020,588.9,597.6,582.15,594.0, 588.55,588.8,589.74,5771917,34039.52,100916, 1667335, 28.89
21-Jul-2020,592.85,597.5,585.5,588.3, 588.00,594.0,591.97,3850519,22793.99,87640, 964308, 25.04
22-Jul-2020,588.6,612.0,582.0,592.0, 590.45,588.3,597.04,11559026,69011.46,134171, 2386103, 20.64
23-Jul-2020,590.95,609.0,584.5,603.35, 602.25,592.0,599.01,7606029,45561.03,103358, 1431316, 18.82
24-Jul-2020,594.1,600.95,590.1,598.7,599.0,603.35,595.66,3531712,21037.05,57125, 769020, 21.77
27-Jul-2020,598.15,600.0,588.0,594.4,588.55,598.7,593.76,3345207,19862.59,39897, 726555, 21.72
28-Jul-2020,591.6,625.8,588.75,620.35,620.5,594.4,612.39,10289451,63012.06,131791, 1597554, 15.53
29-Jul-2020,620.0,624.9,601.0,604.85, 603.75,620.35,611.18,5182955,31676.93,65494, 1318059, 25.43
30-Jul-2020,606.0,614.8,596.25,598.35, 599.00,604.85,602.85,4958327,29891.07,65486, 987398, 19.91
31-Jul-2020,599.9,610.85,592.15,606.45,610.0,598.35,602.28,3962668,23866.42,55046, 599582, 15.13
03-Aug-2020,610.0,620.5,594.2,597.15,597.0,606.45,606.65,5002825,30349.55,68054, 705416, 14.10
04-Aug-2020,597.15,609.6,597.15,602.6,602.0,597.15,603.63,4889759,29516.16,71901, 1012382, 20.70
05-Aug-2020,605.9,620.0,603.2,614.25,619.0,602.6,612.18,3834862,23476.22,62676, 1095044, 28.55
06-Aug-2020,618.0,618.0,605.55,609.65,610.75,614.25,609.79,3857563,23522.98,67305, 1035288, 26.84
07-Aug-2020,610.1,616.5,598.7,600.45,602.6,609.65,606.44,7679209,46569.61,101527, 1056342, 13.76
10-Aug-2020,605.0,640.8,605.0,628.9, 629.90,600.45,630.5,12341776,77814.75,158333, 1628437, 13.19
11-Aug-2020,630.0,640.6,622.4,629.55,630.2,628.9,629.3,5128839,32275.58,70505, 1577974, 30.77
12-Aug-2020,628.0,648.6,624.35,634.95,634.3,629.55,639.82,8891691,56890.9,143960, 1779453, 20.01
13-Aug-2020,635.15,645.3,628.4,631.45, 634.00,634.95,638.11,5773589,36842.03,81306, 1267647, 21.96
