date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
09-Jun-2022,123.0,124.7,122.5,124.4, 124.25,124.0,124.12,2901819,3601.75,23652, 2031805, 70.02
10-Jun-2022,123.0,124.6,122.1,122.7,122.55,124.4,123.5,1972170,2435.69,16864, 962350, 48.80
13-Jun-2022,121.4,122.75,119.0,120.65,121.0,122.7,120.92,5133159,6206.83,27650, 2909997, 56.69
14-Jun-2022,119.5,122.2,119.05,120.2, 120.40,120.65,120.76,3381203,4083.18,27792, 1397930, 41.34
15-Jun-2022,121.0,122.4,120.2,120.85, 120.25,120.2,121.48,1891106,2297.27,12439, 766349, 40.52
16-Jun-2022,122.7,123.3,117.0,117.35, 117.35,120.85,119.89,3778592,4529.99,37075, 1908442, 50.51
17-Jun-2022,117.3,118.15,114.8,116.2,116.0,117.35,116.65,4295883,5011.13,27586, 2376348, 55.32
20-Jun-2022,116.2,117.8,112.0,112.95,113.2,116.2,115.32,5149447,5938.22,30484, 2240962, 43.52
21-Jun-2022,114.0,120.2,113.8,118.75,119.15,112.95,118.09,4924946,5815.99,27449, 2364920, 48.02
22-Jun-2022,118.0,118.5,114.3,115.6,115.85,118.75,115.81,4529210,5245.36,26574, 1695906, 37.44
23-Jun-2022,115.9,119.8,115.9,119.45,119.3,115.6,118.37,4892190,5790.95,35723, 1777116, 36.33
24-Jun-2022,120.9,123.0,119.15,122.3, 122.95,119.45,121.63,5379023,6542.33,32238, 2072620, 38.53
27-Jun-2022,124.0,125.3,122.95,123.85,123.6,122.3,124.4,4438175,5521.11,28413, 2083877, 46.95
28-Jun-2022,123.2,124.95,121.55,124.45, 124.55,123.85,123.39,5646742,6967.48,29359, 2866797, 50.77
29-Jun-2022,122.05,123.85,120.05,122.1, 121.55,124.45,121.49,5274214,6407.68,27511, 1104038, 20.93
30-Jun-2022,122.05,123.35,117.25,118.15,117.8,122.1,119.66,8091221,9682.12,41154, 3977057, 49.15
01-Jul-2022,117.1,118.0,115.65,117.7,117.85,118.15,116.67,5660944,6604.78,25707, 2879705, 50.87
