date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,66199.0,66944.0,66100.0,66709.05, 66901.00,66330.3,66603.08,4235,2820.64,2684, 840, 19.83
02-Jan-2020,66709.05,67715.95,66266.0,67302.55, 67400.00,66709.05,67265.94,6603,4441.57,3895, 2130, 32.26
03-Jan-2020,67400.0,67466.65,66250.0,66583.45, 66625.10,67302.55,66609.83,5527,3681.53,3873, 1756, 31.77
06-Jan-2020,66012.3,66176.9,65120.15,65508.95, 65250.00,66583.45,65462.36,10446,6838.2,3627, 7016, 67.16
07-Jan-2020,65749.0,66515.05,65100.0,65334.1, 65110.00,65508.95,65492.42,10835,7096.1,3496, 6953, 64.17
08-Jan-2020,64800.0,65237.9,64300.0,64871.55, 65000.00,65334.1,64751.58,7222,4676.36,3041, 3528, 48.85
09-Jan-2020,65800.0,67150.0,65520.8,66917.7, 66724.45,64871.55,66405.17,9491,6302.51,5956, 3227, 34.00
10-Jan-2020,66725.0,68100.0,66329.55,67493.65, 67232.90,66917.7,67399.9,9439,6361.88,5452, 2454, 26.00
13-Jan-2020,67492.0,67900.0,66750.0,67016.7, 66820.45,67493.65,67111.65,5981,4013.95,2558, 2980, 49.82
14-Jan-2020,66701.0,67500.0,66452.0,66696.1, 66452.00,67016.7,66976.42,8147,5456.57,2972, 4941, 60.65
15-Jan-2020,66798.0,66918.6,65819.55,66271.7, 66135.00,66696.1,66110.13,7937,5247.16,3019, 4021, 50.66
16-Jan-2020,66499.0,67150.0,65897.0,67059.4, 67139.95,66271.7,66441.38,9044,6008.96,4539, 3133, 34.64
17-Jan-2020,67460.0,70000.0,67139.95,69312.9, 69213.00,67059.4,69231.56,22381,15494.72,11578, 5446, 24.33
20-Jan-2020,69060.0,70220.25,68244.0,68510.75, 68412.60,69312.9,69055.56,9587,6620.36,6057, 2396, 24.99
21-Jan-2020,68400.0,68550.0,67586.9,67930.15, 67994.00,68510.75,68066.26,3847,2618.51,2689, 703, 18.27
22-Jan-2020,68459.0,68800.0,67521.15,67851.15, 67700.00,67930.15,68175.13,4575,3119.01,3324, 1114, 24.35
23-Jan-2020,68500.0,70000.0,68140.0,69878.65, 69900.00,67851.15,69296.7,9651,6687.82,6823, 2031, 21.04
24-Jan-2020,69611.0,70825.65,69500.0,70407.35,70625.0,69878.65,70435.7,8680,6113.82,5849, 1554, 17.90
27-Jan-2020,70290.0,70600.0,69781.0,70309.35, 70521.00,70407.35,70270.92,7624,5357.45,5311, 2059, 27.01
28-Jan-2020,70585.0,70999.95,69342.05,69864.7, 69660.15,70309.35,70239.06,5883,4132.16,4002, 1186, 20.16
29-Jan-2020,70090.0,70600.0,70000.0,70372.55, 70469.00,69864.7,70289.14,4712,3312.02,3119, 1897, 40.26
30-Jan-2020,70539.0,70600.0,69501.0,69818.6, 69601.00,70372.55,69862.85,6362,4444.67,4160, 2127, 33.43
31-Jan-2020,69849.0,70600.0,69318.2,69674.75, 69620.00,69818.6,70033.9,4805,3365.13,3568, 1346, 28.01
01-Feb-2020,69789.0,70300.0,68412.25,68686.6,68898.35,69674.75,69566.36,3976,2765.96,2449, 1229, 30.91
03-Feb-2020,68690.0,69888.0,68000.0,69462.65, 69600.00,68686.6,69177.94,6669,4613.48,4599, 1654, 24.80
04-Feb-2020,69650.0,71899.0,69650.0,71680.15, 71720.00,69462.65,71184.94,12327,8774.97,7565, 3577, 29.02
05-Feb-2020,71680.15,73565.7,71680.15,72390.8, 72530.00,71680.15,72484.81,10788,7819.66,6770, 1726, 16.00
06-Feb-2020,72599.0,73100.0,71260.0,71636.35, 71875.00,72390.8,71852.99,5926,4258.01,4089, 1176, 19.84
07-Feb-2020,71899.0,71900.0,70371.25,70960.45, 70968.20,71636.35,71171.72,5974,4251.8,3683, 2552, 42.72
10-Feb-2020,71490.0,73500.0,69800.0,73247.9, 73300.00,70960.45,71719.21,29310,21020.9,18182, 2723, 9.29
