date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,2533.3,2590.0,2530.0,2565.6, 2553.00,2530.05,2566.07,60629,1555.78,4840, 19299, 31.83
02-Jan-2020,2550.0,2564.45,2521.15,2535.2, 2534.95,2565.6,2535.22,188017,4766.65,18162, 126690, 67.38
03-Jan-2020,2535.2,2580.0,2533.05,2567.45, 2565.00,2535.2,2567.6,125129,3212.82,12757, 48503, 38.76
06-Jan-2020,2567.45,2567.45,2501.1,2519.85, 2518.90,2567.45,2526.44,82905,2094.55,12714, 43782, 52.81
07-Jan-2020,2522.0,2578.0,2522.0,2539.6, 2536.15,2519.85,2554.42,115734,2956.33,16133, 62030, 53.60
08-Jan-2020,2525.0,2554.0,2523.8,2549.7, 2549.95,2539.6,2546.53,89006,2266.56,13109, 52702, 59.21
09-Jan-2020,2560.2,2570.0,2535.0,2558.8, 2563.00,2549.7,2556.56,82953,2120.74,13129, 52286, 63.03
10-Jan-2020,2552.0,2567.45,2521.0,2548.8, 2547.00,2558.8,2536.55,135834,3445.5,11853, 86633, 63.78
13-Jan-2020,2564.65,2568.0,2478.0,2529.35, 2495.05,2548.8,2532.05,795516,20142.89,16086, 81339, 10.22
14-Jan-2020,2509.0,2552.0,2505.6,2545.85, 2550.00,2529.35,2534.27,153823,3898.3,18786, 109809, 71.39
15-Jan-2020,2540.0,2558.0,2493.45,2521.9, 2530.00,2545.85,2531.75,147296,3729.16,17442, 88099, 59.81
16-Jan-2020,2536.8,2620.0,2470.0,2580.85, 2550.00,2521.9,2545.87,325358,8283.19,38891, 191094, 58.73
17-Jan-2020,2555.0,2615.0,2555.0,2600.45, 2595.10,2580.85,2592.21,155575,4032.83,24906, 82663, 53.13
20-Jan-2020,2605.0,2620.0,2569.15,2591.7, 2586.95,2600.45,2596.82,55731,1447.24,9581, 28954, 51.95
21-Jan-2020,2600.0,2675.0,2525.05,2567.9, 2545.00,2591.7,2614.05,272694,7128.36,29978, 105277, 38.61
22-Jan-2020,2569.8,2574.4,2504.7,2531.8, 2522.00,2567.9,2532.76,243217,6160.1,19347, 165661, 68.11
23-Jan-2020,2538.8,2604.0,2530.35,2591.5, 2587.15,2531.8,2569.24,159299,4092.78,17341, 85403, 53.61
24-Jan-2020,2603.95,2757.45,2597.6,2708.05,2696.0,2591.5,2689.65,811434,21824.74,44041, 579380, 71.40
27-Jan-2020,2708.0,2750.0,2671.1,2700.0, 2694.25,2708.05,2716.29,221109,6005.96,24745, 74085, 33.51
28-Jan-2020,2701.0,2805.1,2701.0,2765.35, 2762.50,2700.0,2761.93,456036,12595.37,34642, 248071, 54.40
29-Jan-2020,2780.0,2849.85,2780.0,2832.85, 2844.00,2765.35,2815.64,252841,7119.08,22486, 127088, 50.26
30-Jan-2020,2845.0,2880.0,2785.0,2824.55, 2850.00,2832.85,2817.89,198937,5605.82,24749, 111486, 56.04
31-Jan-2020,2842.15,2935.0,2825.05,2847.65, 2840.00,2824.55,2880.51,245742,7078.62,25608, 102482, 41.70
03-Feb-2020,2676.1,2924.25,2675.6,2811.1, 2775.50,2676.1,2837.8,492976,13989.65,47414, 220549, 44.74
04-Feb-2020,2799.8,2993.1,2799.8,2961.75, 2960.00,2811.1,2929.19,454397,13310.16,48613, 194720, 42.85
05-Feb-2020,2978.3,3024.0,2935.0,2987.3, 2981.95,2961.75,2988.69,279347,8348.82,27986, 84844, 30.37
