date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,14819.0,14849.35,14712.25,14779.05, 14766.05,14785.35,14774.53,23859,3525.05,5858, 6540, 27.41
02-Jan-2020,14848.9,14852.95,14687.15,14729.35, 14729.00,14779.05,14742.53,46116,6798.66,12734, 26831, 58.18
03-Jan-2020,14750.0,14795.0,14556.1,14593.6, 14586.20,14729.35,14624.11,40000,5849.64,12777, 19845, 49.61
06-Jan-2020,14542.0,14542.0,14275.0,14416.65, 14374.00,14593.6,14374.36,65136,9362.88,22616, 37126, 57.00
07-Jan-2020,14423.55,14546.75,14260.85,14290.75, 14319.00,14416.65,14363.53,72237,10375.78,17322, 43123, 59.70
08-Jan-2020,14191.6,14450.0,14120.35,14391.25, 14386.00,14290.75,14300.66,39488,5647.04,12492, 15245, 38.61
09-Jan-2020,14495.0,14675.0,14450.0,14643.45, 14654.95,14391.25,14607.71,55708,8137.66,18285, 36062, 64.73
10-Jan-2020,14643.45,14718.9,14570.25,14685.85, 14655.10,14643.45,14635.02,39274,5747.76,11367, 23823, 60.66
13-Jan-2020,14747.9,14747.9,14601.0,14658.25, 14665.00,14685.85,14666.1,26990,3958.38,9595, 14104, 52.26
14-Jan-2020,14657.9,14895.0,14607.0,14868.6, 14860.00,14658.25,14797.85,50378,7454.86,15477, 24962, 49.55
15-Jan-2020,14828.0,14950.0,14718.85,14860.2, 14822.80,14868.6,14837.54,41468,6152.83,12078, 19325, 46.60
16-Jan-2020,14851.0,15398.0,14848.1,15354.9, 15368.45,14860.2,15192.01,203208,30871.38,43878, 115380, 56.78
17-Jan-2020,15399.0,15600.0,15358.65,15439.45, 15428.20,15354.9,15465.34,96399,14908.44,25802, 41658, 43.21
20-Jan-2020,15230.15,15479.4,15230.15,15417.25, 15403.85,15439.45,15395.95,68770,10587.79,20790, 38833, 56.47
21-Jan-2020,15361.05,15501.6,15200.0,15280.75, 15270.25,15417.25,15337.86,63258,9702.42,18689, 35411, 55.98
22-Jan-2020,15369.0,15585.0,15301.0,15548.7, 15561.80,15280.75,15484.83,55627,8613.75,14173, 23027, 41.40
23-Jan-2020,15500.0,15625.0,15455.0,15548.85, 15550.00,15548.7,15545.99,42861,6663.17,12672, 20099, 46.89
24-Jan-2020,15600.0,15850.0,15500.15,15755.5,15763.0,15548.85,15716.07,50632,7957.36,12966, 20922, 41.32
27-Jan-2020,15700.0,15845.0,15559.95,15666.05, 15634.95,15755.5,15751.5,31362,4939.99,10128, 11863, 37.83
