date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,117.65,118.85,117.25,118.4, 118.30,117.9,118.16,4243195,5013.84,16263, 1069444, 25.20
02-Jan-2020,118.7,120.3,118.1,119.85, 119.65,118.4,119.24,2825976,3369.72,17065, 497395, 17.60
03-Jan-2020,119.55,121.25,118.1,118.75, 118.30,119.85,119.75,3218434,3854.15,12766, 617958, 19.20
06-Jan-2020,117.3,118.1,111.8,112.9, 113.00,118.75,113.73,4876125,5545.6,21727, 1763684, 36.17
07-Jan-2020,114.0,118.8,114.0,116.95, 117.00,112.9,116.31,5495135,6391.22,28598, 1390955, 25.31
08-Jan-2020,114.1,116.6,113.6,116.05, 115.70,116.95,115.01,3736437,4297.44,15124, 963434, 25.78
09-Jan-2020,117.2,119.9,116.65,119.5, 119.80,116.05,118.55,3356743,3979.58,20929, 1170299, 34.86
10-Jan-2020,120.0,122.8,119.6,121.65, 122.00,119.5,121.58,4727024,5747.35,23597, 1504558, 31.83
13-Jan-2020,122.35,125.4,121.85,125.0, 124.65,121.65,124.19,5983829,7431.61,36799, 2260838, 37.78
14-Jan-2020,124.95,124.95,122.25,122.75, 122.65,125.0,123.16,3338713,4111.87,23063, 1016905, 30.46
15-Jan-2020,122.9,125.5,121.2,124.65, 124.75,122.75,123.45,4457519,5502.73,19732, 1514941, 33.99
16-Jan-2020,124.65,125.05,122.2,123.35, 122.85,124.65,123.33,2021597,2493.17,10788, 465863, 23.04
17-Jan-2020,123.0,123.4,121.6,121.95, 122.10,123.35,122.32,1900992,2325.2,9141, 437322, 23.00
20-Jan-2020,116.95,117.3,111.7,112.35, 112.30,121.95,114.49,16284063,18643.59,53495, 5919000, 36.35
21-Jan-2020,112.1,112.65,106.2,106.65, 106.20,112.35,109.27,13825454,15106.89,49064, 5015500, 36.28
22-Jan-2020,106.85,111.9,103.85,108.85, 108.50,106.65,108.44,44317545,48058.37,99332, 21218338, 47.88
23-Jan-2020,109.0,116.15,108.1,113.1, 115.20,108.85,113.05,93638290,105855.5,147743, 63639158, 67.96
24-Jan-2020,115.55,118.35,114.2,116.35,116.7,113.1,116.83,13764798,16081.18,40431, 4986628, 36.23
27-Jan-2020,115.45,118.7,115.0,115.85, 115.95,116.35,117.22,6742629,7903.96,30985, 1782759, 26.44
28-Jan-2020,116.3,117.4,111.9,116.0, 116.30,115.85,115.38,11549591,13325.92,28930, 4014018, 34.75
29-Jan-2020,116.7,119.5,116.6,118.1, 118.10,116.0,118.36,11566055,13689.66,33690, 5796570, 50.12
30-Jan-2020,118.5,120.3,116.55,119.5, 119.10,118.1,118.8,10608180,12602.05,41018, 5284561, 49.82
31-Jan-2020,120.0,120.2,114.75,116.65, 116.55,119.5,116.71,9455973,11036.44,37776, 3953901, 41.81
03-Feb-2020,110.45,114.6,108.35,113.95, 113.80,110.2,112.23,6376289,7156.27,41527, 2343684, 36.76
04-Feb-2020,115.0,117.0,114.6,116.05, 116.70,113.95,116.0,4706293,5459.1,26419, 1553062, 33.00
05-Feb-2020,117.3,124.55,117.3,122.9, 122.30,116.05,121.76,14069624,17130.66,54354, 4554014, 32.37
06-Feb-2020,123.65,124.5,121.7,123.7, 123.05,122.9,123.3,7232172,8917.38,27431, 2527900, 34.95
07-Feb-2020,122.95,126.0,122.6,125.35, 125.15,123.7,124.85,6417744,8012.73,21216, 2187667, 34.09
