date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,11430.3,11472.0,11374.0,11408.6, 11374.00,11447.0,11423.21,4548,519.53,326, 3967, 87.23
02-Jan-2020,11360.0,11451.2,11290.1,11317.05, 11291.00,11408.6,11340.99,1411,160.02,906, 915, 64.85
03-Jan-2020,11375.0,11388.1,11290.05,11322.8, 11303.00,11317.05,11321.25,6039,683.69,483, 5496, 91.01
06-Jan-2020,11330.0,11334.9,11200.0,11217.0, 11201.00,11322.8,11228.22,11057,1241.5,1780, 9809, 88.71
07-Jan-2020,11360.0,11360.0,11018.55,11099.3, 11025.00,11217.0,11239.5,12747,1432.7,2953, 10084, 79.11
08-Jan-2020,11088.0,11088.0,10950.0,10978.45, 10975.00,11099.3,10986.55,4975,546.58,1402, 3887, 78.13
09-Jan-2020,10990.0,11149.0,10990.0,11110.0, 11110.00,10978.45,11065.92,1650,182.59,567, 1194, 72.36
10-Jan-2020,11113.65,11209.5,11000.0,11128.9, 11165.00,11110.0,11098.11,2957,328.17,1650, 2030, 68.65
13-Jan-2020,11030.05,11246.8,10980.45,11122.2, 11110.00,11128.9,11037.53,43121,4759.49,2446, 40964, 95.00
14-Jan-2020,11100.0,11320.0,11100.0,11206.75, 11200.00,11122.2,11208.8,2743,307.46,803, 2265, 82.57
15-Jan-2020,11276.8,11276.8,11121.65,11197.85, 11250.00,11206.75,11201.22,2137,239.37,609, 1692, 79.18
16-Jan-2020,11197.85,11490.0,11150.0,11194.9, 11176.00,11197.85,11253.74,5349,601.96,2278, 3983, 74.46
17-Jan-2020,11194.9,11339.95,11194.9,11237.2, 11260.00,11194.9,11238.89,1449,162.85,515, 865, 59.70
20-Jan-2020,11237.75,11375.0,11222.6,11308.5, 11326.00,11237.2,11312.08,3033,343.1,1234, 2254, 74.32
21-Jan-2020,11222.05,11300.0,11200.0,11250.1, 11210.20,11308.5,11248.94,7450,838.05,2043, 6630, 88.99
22-Jan-2020,11262.55,11330.0,11132.0,11246.25, 11200.00,11250.1,11254.98,6723,756.67,367, 6466, 96.18
23-Jan-2020,11156.0,11347.0,11110.0,11257.4, 11225.00,11246.25,11256.48,1960,220.63,689, 911, 46.48
24-Jan-2020,11320.0,11355.0,11200.0,11337.6,11260.65,11257.4,11301.31,2216,250.44,671, 1450, 65.43
27-Jan-2020,11399.8,11399.8,11111.9,11161.9, 11159.00,11337.6,11228.12,1666,187.06,709, 1102, 66.15
28-Jan-2020,11274.95,11274.95,11080.0,11112.55, 11080.00,11161.9,11152.46,1621,180.78,810, 862, 53.18
29-Jan-2020,11190.0,11250.5,10980.0,11160.05, 11197.00,11112.55,11014.88,17363,1912.51,1085, 16049, 92.43
30-Jan-2020,11160.05,11245.0,10739.4,10926.9, 10849.85,11160.05,11036.38,3590,396.21,1028, 2733, 76.13
31-Jan-2020,11035.0,11053.2,10850.0,10991.75, 11050.00,10926.9,10964.23,2985,327.28,842, 2238, 74.97
