date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1450.9,1459.2,1443.55,1451.2, 1451.00,1445.9,1452.68,23503,341.42,1903, 14143, 60.18
02-Jan-2020,1454.4,1457.7,1422.1,1440.65, 1438.00,1451.2,1439.98,70833,1019.98,12092, 36533, 51.58
03-Jan-2020,1441.9,1453.0,1430.0,1444.3, 1442.00,1440.65,1445.06,38530,556.78,4022, 22782, 59.13
06-Jan-2020,1444.0,1444.0,1386.05,1419.65, 1418.00,1444.3,1420.77,100586,1429.1,10771, 64646, 64.27
07-Jan-2020,1396.0,1419.6,1374.0,1410.25, 1416.10,1419.65,1405.21,324873,4565.16,17389, 235678, 72.54
08-Jan-2020,1405.9,1459.0,1391.05,1440.95, 1439.75,1410.25,1435.69,100206,1438.65,12046, 45291, 45.20
09-Jan-2020,1450.1,1464.0,1439.0,1445.15, 1448.95,1440.95,1450.23,96389,1397.86,8095, 69682, 72.29
10-Jan-2020,1445.0,1452.85,1421.2,1430.9, 1430.20,1445.15,1442.14,163623,2359.68,4366, 143050, 87.43
13-Jan-2020,1439.75,1464.0,1425.05,1459.1, 1464.00,1430.9,1452.74,36469,529.8,3642, 21739, 59.61
14-Jan-2020,1465.0,1484.2,1454.85,1471.0, 1470.00,1459.1,1470.21,142860,2100.34,8917, 122833, 85.98
15-Jan-2020,1479.5,1479.5,1436.05,1456.75, 1460.00,1471.0,1457.73,168579,2457.42,5452, 142354, 84.44
16-Jan-2020,1460.0,1475.0,1444.0,1465.95, 1468.00,1456.75,1463.28,112844,1651.23,8661, 95422, 84.56
17-Jan-2020,1465.95,1473.75,1430.2,1437.95, 1437.00,1465.95,1457.55,346969,5057.25,10098, 303074, 87.35
20-Jan-2020,1446.55,1454.0,1420.0,1428.45, 1422.00,1437.95,1442.63,250374,3611.97,5423, 227448, 90.84
21-Jan-2020,1422.0,1453.0,1417.9,1443.45, 1439.00,1428.45,1431.54,245541,3515.01,4388, 224847, 91.57
22-Jan-2020,1449.2,1454.65,1435.7,1444.5, 1441.50,1443.45,1447.5,27934,404.34,3573, 11784, 42.19
23-Jan-2020,1451.6,1486.0,1445.0,1476.85, 1475.00,1444.5,1477.88,147411,2178.55,12262, 75381, 51.14
24-Jan-2020,1471.1,1503.6,1471.1,1498.9,1498.0,1476.85,1492.88,171938,2566.84,12675, 139386, 81.07
27-Jan-2020,1498.0,1548.9,1485.0,1536.2, 1543.00,1498.9,1521.5,165444,2517.24,11543, 100965, 61.03
28-Jan-2020,1545.75,1579.0,1545.75,1572.2, 1574.00,1536.2,1567.85,206631,3239.66,13920, 110327, 53.39
29-Jan-2020,1582.0,1587.9,1522.05,1538.6, 1531.10,1572.2,1549.6,120181,1862.33,16230, 63744, 53.04
