date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,64.5,65.05,63.95,64.7, 65.00,64.35,64.47,8568946,5524.66,21453, 1022635, 11.93
02-Jan-2020,65.0,67.0,64.55,66.7, 66.80,64.7,66.16,26059066,17239.48,51834, 4549023, 17.46
03-Jan-2020,66.55,66.55,64.6,65.05, 65.10,66.7,65.46,14906983,9758.59,31813, 2386870, 16.01
06-Jan-2020,64.9,64.9,61.0,61.4, 61.55,65.05,61.96,24078755,14918.27,52853, 5172319, 21.48
07-Jan-2020,62.1,63.1,61.0,61.85, 61.85,61.4,61.99,20436567,12669.15,40468, 2440498, 11.94
08-Jan-2020,61.0,61.6,60.15,60.85, 60.85,61.85,60.81,22182671,13489.75,40889, 3008100, 13.56
09-Jan-2020,62.3,63.0,61.8,62.6, 62.60,60.85,62.42,18885640,11787.63,40649, 3829695, 20.28
10-Jan-2020,62.95,63.85,62.05,62.45, 62.45,62.6,62.92,17939103,11286.41,42075, 2805526, 15.64
13-Jan-2020,62.75,63.35,62.6,63.2, 63.20,62.45,63.02,13131132,8275.67,25960, 2723334, 20.74
14-Jan-2020,63.2,64.1,62.4,62.8, 62.85,63.2,63.19,13837799,8743.61,31878, 2142120, 15.48
15-Jan-2020,62.85,63.7,61.9,63.4, 63.35,62.8,62.89,13919689,8754.55,27662, 1865165, 13.40
16-Jan-2020,63.4,63.95,62.75,63.35, 63.40,63.4,63.38,12146474,7698.79,23445, 939544, 7.74
17-Jan-2020,62.9,63.9,61.3,63.25, 63.25,63.35,62.94,18351080,11550.15,30827, 1296868, 7.07
20-Jan-2020,64.1,64.1,61.35,61.6, 61.45,63.25,62.15,16226531,10085.57,34538, 4108869, 25.32
21-Jan-2020,61.55,62.3,61.25,61.45, 61.30,61.6,61.73,13678963,8444.48,26169, 2224531, 16.26
22-Jan-2020,62.1,62.2,60.65,61.0, 60.90,61.45,61.19,15241802,9325.85,28743, 2326502, 15.26
23-Jan-2020,61.05,62.35,61.0,61.8, 61.85,61.0,61.73,14136138,8725.66,25034, 1906435, 13.49
24-Jan-2020,61.75,62.8,61.65,62.35,62.3,61.8,62.32,10845058,6758.12,20725, 1932000, 17.81
27-Jan-2020,61.95,62.25,61.1,61.35, 61.15,62.35,61.74,11436816,7060.53,20346, 1981989, 17.33
28-Jan-2020,61.5,61.8,60.25,60.5, 60.60,61.35,61.16,12294470,7519.17,25800, 1891946, 15.39
29-Jan-2020,61.1,61.5,60.8,60.95, 61.05,60.5,61.14,11064733,6764.97,19326, 1028596, 9.30
30-Jan-2020,61.1,61.25,59.65,59.95, 59.90,60.95,60.24,13591961,8187.54,29591, 3137971, 23.09
31-Jan-2020,60.35,61.2,59.8,60.45, 60.50,59.95,60.49,15449355,9344.79,26621, 1828967, 11.84
03-Feb-2020,58.8,59.15,57.1,57.35, 57.30,59.0,57.87,18930405,10954.99,40897, 2874389, 15.18
04-Feb-2020,57.9,58.95,56.3,56.8, 56.80,57.35,57.74,48174279,27814.87,84745, 4354908, 9.04
05-Feb-2020,56.25,57.3,56.1,56.9, 56.90,56.8,56.71,23905101,13555.4,39439, 2256080, 9.44
06-Feb-2020,57.35,59.3,56.9,58.65, 58.60,56.9,58.16,26534154,15431.21,44369, 2730728, 10.29
07-Feb-2020,58.8,59.4,58.15,58.8, 58.75,58.65,58.89,14094876,8300.8,26479, 1246199, 8.84
10-Feb-2020,58.75,58.9,56.95,57.25, 57.30,58.8,57.66,12866342,7418.39,26197, 2140696, 16.64
11-Feb-2020,57.75,58.0,56.75,56.95, 56.95,57.25,57.33,10942526,6273.08,23311, 1504084, 13.75
12-Feb-2020,57.45,57.45,55.15,55.5, 55.50,56.95,55.91,16371273,9153.83,41796, 3464740, 21.16
13-Feb-2020,55.9,56.2,55.0,55.4, 55.50,55.5,55.54,12379436,6875.35,24110, 1293843, 10.45
14-Feb-2020,55.7,56.05,54.0,54.2, 54.20,55.4,54.86,15654307,8587.71,30913, 2641682, 16.88
