date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,190.55,195.9,190.25,195.5, 195.45,190.25,193.78,7661462,14846.13,27168, 3762688, 49.11
02-Jan-2020,195.55,196.7,194.35,195.1, 195.20,195.5,195.15,3191453,6227.97,26046, 1098914, 34.43
03-Jan-2020,194.25,194.8,191.25,193.0, 192.95,195.1,193.03,4139027,7989.38,38139, 2581533, 62.37
06-Jan-2020,192.0,193.95,188.0,193.1, 192.60,193.0,191.21,4137352,7911.03,59715, 1890738, 45.70
07-Jan-2020,193.15,194.5,191.15,191.7, 191.30,193.1,192.89,7888340,15216.03,36312, 5176365, 65.62
08-Jan-2020,190.3,190.95,188.85,190.55, 190.60,191.7,189.98,5316615,10100.57,29676, 3614753, 67.99
09-Jan-2020,191.95,193.4,191.15,192.95, 192.50,190.55,192.53,4339607,8355.04,43492, 2561083, 59.02
10-Jan-2020,193.7,193.7,191.0,192.15, 192.40,192.95,192.34,2316735,4456.03,22092, 1061714, 45.83
13-Jan-2020,192.4,195.0,191.8,194.8, 195.00,192.15,193.67,15571488,30157.06,31280, 13951418, 89.60
14-Jan-2020,194.8,196.35,194.25,195.25, 195.30,194.8,195.17,3371803,6580.91,35338, 2167894, 64.29
15-Jan-2020,195.4,195.8,192.9,194.25, 194.30,195.25,194.08,4001958,7767.02,28478, 2356838, 58.89
16-Jan-2020,194.1,197.7,194.1,196.45, 196.00,194.25,196.59,4810695,9457.11,31171, 2417208, 50.25
17-Jan-2020,195.95,197.85,193.65,197.4, 197.30,196.45,196.38,2642843,5189.93,29672, 1204134, 45.56
20-Jan-2020,204.4,211.0,203.25,204.65, 203.25,197.4,205.51,27752535,57033.8,162397, 15162237, 54.63
21-Jan-2020,203.65,204.3,199.0,200.6, 201.05,204.65,201.51,9722202,19590.73,96666, 6044830, 62.18
22-Jan-2020,200.5,202.35,193.05,200.05, 198.85,200.6,199.06,31942726,63585.1,125793, 17438108, 54.59
23-Jan-2020,196.75,207.4,193.9,201.95, 197.55,200.05,201.63,127158366,256388.71,166985, 89372584, 70.28
24-Jan-2020,196.45,198.15,194.25,196.95,197.0,201.95,196.58,9085322,17859.89,72650, 3236209, 35.62
27-Jan-2020,196.4,196.45,192.3,193.0, 192.45,196.95,194.24,4620331,8974.47,76355, 1941608, 42.02
28-Jan-2020,193.0,193.0,189.1,190.45, 190.20,193.0,190.6,5160700,9836.42,65371, 2402541, 46.55
29-Jan-2020,190.45,193.8,189.25,192.4, 193.60,190.45,191.88,9900054,18995.86,71608, 5846163, 59.05
30-Jan-2020,192.4,195.25,191.4,194.4, 194.00,192.4,194.01,14842148,28794.83,69866, 9538597, 64.27
31-Jan-2020,195.3,195.5,185.1,186.85, 187.30,194.4,187.47,35992338,67476.0,161904, 18392034, 51.10
03-Feb-2020,180.9,189.0,177.45,187.35, 187.70,182.4,184.34,9185232,16931.96,62147, 3240361, 35.28
04-Feb-2020,188.35,195.3,188.0,194.35, 192.70,187.35,191.59,7991654,15311.6,47585, 3742211, 46.83
05-Feb-2020,194.1,195.7,188.0,189.35, 189.90,194.35,192.56,8184571,15760.37,77848, 5023412, 61.38
06-Feb-2020,189.95,193.75,188.65,192.9, 192.45,189.35,192.03,5161300,9911.36,58008, 2472297, 47.90
07-Feb-2020,192.8,192.8,188.55,190.4, 190.50,192.9,190.01,10157885,19301.28,78987, 6187839, 60.92
10-Feb-2020,190.7,191.1,184.75,186.6, 188.10,190.4,187.86,17140398,32199.3,82901, 12422696, 72.48
11-Feb-2020,188.5,191.2,188.1,189.5, 189.60,186.6,189.74,18256826,34639.81,139891, 12309176, 67.42
12-Feb-2020,190.05,191.9,188.55,189.35, 189.05,189.5,189.9,9217663,17504.16,42903, 6382260, 69.24
13-Feb-2020,188.8,191.15,187.7,190.55, 190.15,189.35,189.91,10451879,19849.12,50545, 7404879, 70.85
14-Feb-2020,190.5,191.4,183.4,184.1, 184.90,190.55,187.03,13404733,25071.35,93433, 8924205, 66.58
17-Feb-2020,185.0,185.8,180.55,183.6, 182.90,184.1,183.2,9939542,18209.66,91130, 6243795, 62.82
18-Feb-2020,182.6,186.35,180.85,185.0, 185.20,183.6,183.07,17369937,31799.83,79557, 13897783, 80.01
19-Feb-2020,186.0,187.95,183.0,187.5, 187.70,185.0,185.46,12551481,23278.0,61429, 8720479, 69.48
20-Feb-2020,187.5,190.7,185.9,189.25, 189.85,187.5,187.7,14573061,27354.32,77993, 11316616, 77.65
24-Feb-2020,189.0,189.2,185.05,186.1, 185.70,189.25,186.19,8393319,15627.24,57387, 6011871, 71.63
25-Feb-2020,186.1,187.7,185.35,186.15, 186.25,186.1,186.25,10016681,18655.59,61854, 7010391, 69.99
26-Feb-2020,185.0,188.4,183.95,185.85, 185.75,186.15,186.34,9626434,17938.34,48232, 5539059, 57.54
27-Feb-2020,185.1,187.7,181.3,186.45, 186.80,185.85,184.32,16015530,29519.74,53137, 10303917, 64.34
28-Feb-2020,183.45,185.3,179.15,181.5, 181.85,186.45,182.1,15756175,28692.15,68419, 10218858, 64.86
02-Mar-2020,183.75,187.2,181.75,183.5, 183.25,181.5,184.89,10991263,20321.53,51460, 6624157, 60.27
03-Mar-2020,183.8,194.7,182.05,191.7, 191.20,183.5,188.1,9022112,16970.51,36781, 4677285, 51.84
04-Mar-2020,190.7,198.0,188.55,197.05, 196.35,191.7,194.52,9528328,18534.44,77004, 4230953, 44.40
05-Mar-2020,196.05,199.55,194.55,195.95, 197.00,197.05,197.2,5464838,10776.59,44139, 2227912, 40.77
06-Mar-2020,190.5,192.6,188.15,190.6, 191.65,195.95,191.05,8084242,15444.59,58682, 5258130, 65.04
09-Mar-2020,184.9,188.6,177.95,180.95, 180.60,190.6,181.64,39155287,71122.64,168813, 26188644, 66.88
