date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,143.3,144.3,141.55,143.95, 143.80,143.1,143.33,2167762,3107.01,8670, 606363, 27.97
02-Jan-2020,143.95,145.9,143.5,145.45, 145.70,143.95,144.86,2583542,3742.51,11728, 773087, 29.92
03-Jan-2020,145.0,145.95,142.3,143.0, 143.10,145.45,144.23,2935857,4234.5,15960, 874809, 29.80
06-Jan-2020,142.0,143.45,137.85,138.9, 138.70,143.0,139.85,2792187,3904.95,12937, 507776, 18.19
07-Jan-2020,140.1,143.9,138.7,140.75, 140.65,138.9,141.16,4001830,5649.07,17097, 691093, 17.27
08-Jan-2020,139.1,140.5,136.7,138.6, 138.70,140.75,138.36,2563520,3546.87,14637, 535151, 20.88
09-Jan-2020,139.85,143.05,139.85,142.45, 142.65,138.6,141.95,2482089,3523.23,18648, 808027, 32.55
10-Jan-2020,143.0,144.65,141.45,142.25, 142.80,142.45,143.35,3576906,5127.67,23095, 1142606, 31.94
13-Jan-2020,143.05,144.4,141.6,143.4, 143.50,142.25,143.42,4004187,5742.97,26692, 1353142, 33.79
14-Jan-2020,144.0,144.35,141.65,142.25, 142.00,143.4,142.54,3155584,4497.87,25306, 1334659, 42.30
15-Jan-2020,142.0,143.0,138.95,142.4, 142.30,142.25,141.03,4511802,6363.12,35684, 1286648, 28.52
16-Jan-2020,142.45,143.5,139.35,141.05, 141.10,142.4,140.95,3325574,4687.55,26063, 1294919, 38.94
17-Jan-2020,140.85,142.0,139.35,141.0, 140.30,141.05,140.7,2451173,3448.85,10455, 929433, 37.92
20-Jan-2020,140.8,140.8,136.7,137.2, 137.15,141.0,138.39,3292453,4556.42,18670, 708826, 21.53
21-Jan-2020,136.0,138.0,134.05,134.4, 134.30,137.2,135.57,3093908,4194.55,24692, 856611, 27.69
22-Jan-2020,135.4,136.2,129.7,135.6, 135.60,134.4,133.73,7072357,9458.06,34523, 2235458, 31.61
23-Jan-2020,135.8,139.8,135.0,138.9, 139.20,135.6,138.43,4489040,6214.05,38984, 1387046, 30.90
24-Jan-2020,139.0,142.5,138.1,141.45,142.0,138.9,140.72,4240695,5967.45,27888, 1712356, 40.38
27-Jan-2020,140.85,146.2,140.6,144.1, 143.75,141.45,144.37,5315986,7674.91,35730, 1406714, 26.46
28-Jan-2020,144.2,146.2,141.4,144.95, 144.60,144.1,144.52,5133891,7419.47,35077, 1601155, 31.19
29-Jan-2020,145.2,147.9,144.95,147.05, 147.60,144.95,146.83,5045914,7408.95,34480, 1525815, 30.24
30-Jan-2020,147.6,148.8,145.65,148.0, 148.00,147.05,147.49,5141952,7584.11,31201, 1582198, 30.77
31-Jan-2020,149.0,149.3,142.35,143.7, 143.50,148.0,144.47,7038131,10167.7,38528, 2926293, 41.58
03-Feb-2020,139.15,140.9,136.1,137.8, 138.05,139.45,137.88,4675718,6447.11,41920, 1547779, 33.10
04-Feb-2020,138.3,142.8,138.3,142.25, 142.35,137.8,140.49,4438540,6235.51,32813, 1495435, 33.69
05-Feb-2020,147.4,153.5,143.2,150.95, 151.00,142.25,148.61,21946001,32614.1,100219, 6308306, 28.74
06-Feb-2020,152.45,153.45,150.1,152.7, 152.45,150.95,151.94,10317632,15676.96,68703, 4966800, 48.14
07-Feb-2020,153.5,155.5,151.3,155.05, 155.35,152.7,154.15,6383289,9839.84,30612, 2200420, 34.47
10-Feb-2020,156.0,156.5,151.6,153.85, 154.90,155.05,154.19,11649905,17963.04,47763, 4881355, 41.90
11-Feb-2020,143.35,145.5,141.25,141.9, 141.85,153.85,142.84,10446716,14922.37,38386, 3107676, 29.75
12-Feb-2020,141.45,142.75,138.55,141.9, 141.75,141.9,140.7,8401358,11820.35,42750, 3759383, 44.75
13-Feb-2020,141.55,142.3,139.9,140.7, 140.75,141.9,140.9,2981828,4201.53,16740, 1125069, 37.73
14-Feb-2020,141.0,143.85,139.0,139.65, 139.10,140.7,141.7,4201941,5954.27,26078, 1104967, 26.30
17-Feb-2020,139.85,141.3,137.7,138.1, 137.90,139.65,139.39,2521778,3515.08,13123, 789647, 31.31
18-Feb-2020,137.7,137.7,134.1,136.95, 137.20,138.1,135.96,3213852,4369.7,17436, 931714, 28.99
19-Feb-2020,137.35,138.75,136.3,137.2, 137.10,136.95,137.5,2009183,2762.65,11020, 571901, 28.46
20-Feb-2020,136.9,141.4,136.25,139.95, 140.20,137.2,139.65,3709506,5180.38,23226, 1590438, 42.87
24-Feb-2020,138.35,141.05,135.9,136.2, 136.20,139.95,138.64,3343427,4635.28,17037, 1430744, 42.79
25-Feb-2020,136.5,137.0,133.3,133.85, 133.55,136.2,134.61,2649744,3566.7,14068, 664522, 25.08
26-Feb-2020,132.5,133.75,129.3,129.75, 129.30,133.85,131.51,3882682,5106.07,18776, 1612877, 41.54
27-Feb-2020,129.75,130.35,125.45,126.3, 126.10,129.75,127.64,4367685,5574.85,19396, 2067002, 47.32
28-Feb-2020,123.5,123.6,116.7,117.8, 118.00,126.3,119.16,9759707,11629.33,35935, 3730801, 38.23
02-Mar-2020,120.95,124.6,116.1,117.75, 117.80,117.8,121.53,7721326,9384.07,27938, 2797638, 36.23
03-Mar-2020,119.7,121.4,116.45,119.75, 120.50,117.75,119.24,7462420,8898.54,22007, 2222021, 29.78
04-Mar-2020,120.65,120.65,115.1,117.35, 117.00,119.75,117.35,6385935,7493.65,20571, 1786588, 27.98
05-Mar-2020,118.0,121.2,117.35,118.35, 118.50,117.35,119.03,7267568,8650.5,26193, 3082663, 42.42
06-Mar-2020,115.5,117.3,113.0,115.3, 115.20,118.35,115.38,6172027,7121.14,24146, 2947414, 47.75
09-Mar-2020,113.2,113.5,106.1,107.6, 107.45,115.3,109.24,4759561,5199.13,36568, 1762860, 37.04
11-Mar-2020,107.6,109.3,104.3,104.85, 104.55,107.6,106.69,5174471,5520.7,39384, 2216443, 42.83
12-Mar-2020,100.0,100.0,91.25,93.1, 93.60,104.85,93.69,14909257,13969.19,54272, 7188663, 48.22
13-Mar-2020,85.6,101.6,84.0,100.85, 100.85,93.1,95.27,11772993,11216.1,69716, 4615141, 39.20
16-Mar-2020,96.0,98.85,93.85,94.65, 94.65,100.85,95.98,5774507,5542.34,35356, 1908441, 33.05
17-Mar-2020,94.85,99.75,92.15,93.0, 93.50,94.65,95.87,6008597,5760.64,37306, 2281081, 37.96
18-Mar-2020,93.75,97.8,91.75,95.9, 96.00,93.0,94.99,9063674,8609.42,49378, 3267668, 36.05
19-Mar-2020,91.9,93.25,83.4,89.2, 88.70,95.9,89.19,12167458,10852.49,81941, 4378305, 35.98
20-Mar-2020,89.75,95.2,88.9,91.65, 92.25,89.2,92.1,12660932,11660.63,77987, 5061258, 39.98
23-Mar-2020,86.0,100.65,80.45,81.15, 81.45,91.65,83.18,5674403,4719.95,44223, 3448518, 60.77
24-Mar-2020,82.05,84.9,79.0,81.45, 81.00,81.15,81.55,7461068,6084.78,52689, 2420768, 32.45
25-Mar-2020,81.5,85.75,79.65,83.9, 84.70,81.45,83.03,6726192,5584.77,38419, 2403181, 35.73
26-Mar-2020,84.5,90.3,78.75,87.75, 87.75,83.9,84.64,12980491,10986.45,67157, 4254649, 32.78
27-Mar-2020,89.6,92.6,84.0,85.0, 85.00,87.75,87.28,7318439,6387.45,75460, 2484350, 33.95
30-Mar-2020,83.0,87.65,80.65,85.05, 85.10,85.0,85.03,5519052,4692.62,28701, 1529617, 27.72
31-Mar-2020,87.0,90.05,85.35,88.75,89.2,85.05,88.37,7419218,6556.57,40422, 3427834, 46.20
01-Apr-2020,88.5,91.2,86.1,86.95,87.2,88.75,88.3,4181588,3692.27,24179, 1465725, 35.05
03-Apr-2020,88.2,88.2,84.65,85.05, 85.00,86.95,85.95,3514917,3021.12,27682, 939541, 26.73
07-Apr-2020,88.0,88.4,84.5,87.0, 87.40,85.05,86.41,6607394,5709.13,38178, 2547332, 38.55
08-Apr-2020,87.0,91.65,86.05,87.6, 87.30,87.0,88.43,8505137,7521.24,37589, 2057808, 24.19
09-Apr-2020,88.8,90.2,87.05,89.0, 89.00,87.6,88.43,6519764,5765.25,33446, 1614563, 24.76
13-Apr-2020,89.0,90.2,85.6,87.9, 87.80,89.0,87.47,5007470,4379.91,17442,1053258,24.29
15-Apr-2020,89.2,93.45,87.7,90.35, 90.35,87.9,91.0,7956615,7240.18,46010, 2831228, 35.58
16-Apr-2020,89.25,92.1,88.15,91.0, 91.05,90.35,90.72,4769706,4327.09,25066, 1473813, 30.90
17-Apr-2020,93.5,99.0,92.5,95.5, 95.50,91.0,95.7,9916819,9490.79,45710, 2768266, 27.91
20-Apr-2020,96.9,98.15,93.6,94.5, 94.65,95.5,95.88,6325077,6064.77,35465, 1911602, 30.22
21-Apr-2020,92.5,92.85,89.55,91.45,90.8,94.5,90.97,4756372,4326.94,19790, 1663624, 34.98
22-Apr-2020,91.0,91.15,89.0,90.35,90.55,91.45,89.94,5305129,4771.3,21336, 1327075, 25.01
23-Apr-2020,91.0,93.65,90.5,91.85,92.0,90.35,92.37,4163394,3845.68,20206, 1462201, 35.12
24-Apr-2020,90.65,93.4,89.1,89.35,89.3,91.85,90.55,6035521,5464.98,27387, 1989698, 32.97
27-Apr-2020,90.35,91.05,88.35,88.8, 88.70,89.35,89.25,5469961,4882.06,23117, 1767945, 32.32
28-Apr-2020,89.9,90.3,88.8,89.1, 89.10,88.8,89.45,4255540,3806.66,21971, 1604303, 37.70
29-Apr-2020,91.0,94.3,90.25,93.25,93.6,89.1,93.06,9965088,9273.4,43622, 3218954, 32.30
30-Apr-2020,94.65,96.25,93.25,95.55,95.5,93.25,95.25,8638236,8227.97,52964, 3624096, 41.95
04-May-2020,92.95,92.95,89.0,90.05, 90.00,95.55,90.31,12501967,11290.86,46884, 3064271, 24.51
05-May-2020,90.95,92.35,89.75,90.15, 90.20,90.05,90.75,4627874,4199.79,19247, 1668567, 36.05
06-May-2020,90.3,91.75,88.5,91.5, 91.70,90.15,90.49,7115819,6439.41,31335, 1449913, 20.38
07-May-2020,90.6,92.85,90.15,91.6, 91.20,91.5,91.8,5730943,5260.97,25905, 2458002, 42.89
08-May-2020,92.8,92.8,86.9,87.55, 87.60,91.6,89.08,5690612,5069.25,31143, 2820814, 49.57
11-May-2020,88.9,91.6,88.05,89.15, 89.15,87.55,89.92,6265514,5633.92,26842, 1591541, 25.40
12-May-2020,88.5,90.55,87.25,89.45, 89.30,89.15,88.84,7238441,6430.8,42996, 3557428, 49.15
13-May-2020,93.5,102.5,91.9,100.6,101.0,89.45,98.77,27687572,27346.76,104359, 5844819, 21.11
14-May-2020,101.0,104.8,98.05,99.85,99.65,100.6,100.27,28165688,28241.78,114106, 6021427, 21.38
15-May-2020,99.65,102.35,97.3,97.9,97.4,99.85,99.53,10401039,10352.67,44779, 1628139, 15.65
18-May-2020,98.0,98.55,90.0,90.55, 90.45,97.9,92.53,10856572,10045.46,64998, 2734558, 25.19
19-May-2020,92.35,92.95,86.9,87.35,87.7,90.55,88.93,9640895,8573.56,40521, 2254929, 23.39
20-May-2020,87.75,88.8,86.7,87.6, 87.85,87.35,87.89,4667708,4102.64,24913, 1988822, 42.61
21-May-2020,88.0,89.15,87.4,88.75,88.95,87.6,88.46,5156147,4561.05,23668, 2167690, 42.04
22-May-2020,88.7,89.3,85.5,85.9,86.1,88.75,86.98,7375680,6415.0,31288, 2626159, 35.61
26-May-2020,85.05,86.35,83.65,84.2, 84.30,85.9,84.51,6193573,5234.29,30684, 2630751, 42.48
27-May-2020,85.0,86.6,84.15,86.25,86.2,84.2,85.54,6261881,5356.4,29391, 2598842, 41.50
28-May-2020,86.85,88.95,85.5,87.9,87.95,86.25,87.93,6795100,5974.83,26544, 2843647, 41.85
29-May-2020,87.0,91.6,86.35,88.55, 88.80,87.9,89.04,15130918,13473.29,41274, 8816538, 58.27
01-Jun-2020,90.5,95.15,89.8,93.85, 93.80,88.55,93.38,8554668,7988.05,40632, 2143079, 25.05
02-Jun-2020,93.8,96.15,93.1,94.3,94.3,93.85,94.56,4887903,4622.22,26453, 1590225, 32.53
03-Jun-2020,95.4,97.5,93.0,93.4,93.6,94.3,95.36,7486166,7139.16,50297, 3224095, 43.07
04-Jun-2020,94.0,95.75,92.45,93.5,93.85,93.4,94.18,5281419,4973.84,31488, 2037425, 38.58
05-Jun-2020,94.05,102.0,94.05,99.8, 100.00,93.5,99.34,16205495,16098.69,79974, 3796900, 23.43
08-Jun-2020,101.45,104.4,99.4,101.35, 101.60,99.8,101.72,11178605,11370.82,47199, 4135394, 36.99
09-Jun-2020,101.95,102.65,96.1,96.8, 96.60,101.35,100.95,26992337,27249.49,43314, 17658982, 65.42
10-Jun-2020,98.8,101.5,97.6,100.9, 100.90,96.8,99.52,15089058,15016.37,64337, 4844428, 32.11
11-Jun-2020,101.0,106.2,99.7,101.8, 101.90,100.9,103.12,15414298,15895.69,74390, 4063983, 26.37
12-Jun-2020,96.15,107.0,96.0,106.05, 105.95,101.8,103.08,17032691,17557.95,62537, 3187154, 18.71
15-Jun-2020,105.9,107.6,103.7,104.7,104.6,106.05,105.1,9470133,9953.53,41076, 2474067, 26.12
16-Jun-2020,106.4,110.45,105.8,107.45, 107.15,104.7,108.08,19734264,21327.87,82274, 6430112, 32.58
17-Jun-2020,107.4,109.75,105.5,106.05,106.15,107.45,107.63,15811054,17017.24,75963, 6075815, 38.43
18-Jun-2020,104.0,107.9,102.15,107.2,107.1,106.05,104.71,15667389,16404.63,66311, 4407331, 28.13
19-Jun-2020,107.2,108.7,103.8,106.6, 106.75,107.2,105.93,16150656,17108.51,43572, 8713076, 53.95
22-Jun-2020,107.5,115.9,107.35,114.4, 114.50,106.6,112.33,20498067,23025.08,79047, 6547156, 31.94
23-Jun-2020,116.6,116.6,111.9,112.5, 112.65,114.4,113.87,8947414,10188.53,41964, 2603940, 29.10
24-Jun-2020,112.9,115.5,111.0,112.9,113.6,112.5,113.25,6768585,7665.24,31819, 1616351, 23.88
25-Jun-2020,112.75,117.4,112.25,114.55, 114.60,112.9,115.14,8955935,10312.09,38655, 1493654, 16.68
26-Jun-2020,115.4,116.0,112.1,112.65, 112.50,114.55,114.16,5213901,5951.96,21764, 795470, 15.26
29-Jun-2020,112.65,112.85,108.0,109.7, 110.10,112.65,109.51,7217990,7904.6,31165, 1138287, 15.77
30-Jun-2020,110.85,112.05,107.55,108.1, 108.05,109.7,109.73,5647398,6197.02,26229, 2027174, 35.90
01-Jul-2020,108.0,109.75,106.6,108.6, 108.70,108.1,108.2,7352264,7955.08,38168, 2358920, 32.08
02-Jul-2020,109.55,109.95,107.7,108.55, 108.45,108.6,108.54,5529597,6001.97,38170, 1926235, 34.83
03-Jul-2020,109.1,110.15,107.5,108.3, 108.15,108.55,108.32,4514898,4890.62,20903, 785269, 17.39
06-Jul-2020,108.95,112.4,108.7,111.6, 111.60,108.3,110.71,5835248,6460.24,23118, 912815, 15.64
07-Jul-2020,112.05,112.35,108.0,108.45, 108.40,111.6,109.21,6360512,6946.51,37650, 1924265, 30.25
08-Jul-2020,109.2,110.75,107.2,107.75,107.4,108.45,108.6,6885386,7477.63,27203, 1768301, 25.68
09-Jul-2020,108.8,108.8,105.8,106.7, 106.30,107.75,107.0,4571841,4891.66,20509, 868998, 19.01
10-Jul-2020,107.1,107.5,104.1,104.75,104.5,106.7,105.23,4497891,4733.04,19923, 975588, 21.69
13-Jul-2020,105.25,105.6,103.0,104.5, 104.75,104.75,103.98,4253805,4423.31,21074, 1031586, 24.25
14-Jul-2020,104.0,104.8,102.3,103.3,103.05,104.5,103.26,4686997,4840.02,19584, 646700, 13.80
15-Jul-2020,103.7,105.1,101.05,101.55,101.75,103.3,103.28,3848634,3974.83,16827, 781686, 20.31
16-Jul-2020,102.6,103.75,99.8,103.1, 102.90,101.55,102.15,4256609,4348.34,24778, 910788, 21.40
17-Jul-2020,103.2,104.9,102.4,104.6, 104.60,103.1,103.73,3734332,3873.73,17369, 970735, 25.99
20-Jul-2020,105.0,107.6,104.65,105.85, 105.55,104.6,106.47,4742605,5049.63,21962, 778792, 16.42
21-Jul-2020,106.0,109.0,104.35,108.3, 108.60,105.85,106.79,8156213,8710.07,37739, 2128788, 26.10
22-Jul-2020,109.05,110.25,106.55,107.65, 107.50,108.3,108.61,8700523,9449.48,38803, 1670943, 19.21
23-Jul-2020,108.0,108.9,106.75,107.65, 107.65,107.65,107.67,3959738,4263.3,20267, 1255126, 31.70
24-Jul-2020,107.5,107.9,104.3,106.45,106.1,107.65,105.9,5434296,5754.76,29077, 1193064, 21.95
27-Jul-2020,106.0,106.65,100.45,100.85,101.0,106.45,103.04,9863362,10163.05,35719, 2313327, 23.45
28-Jul-2020,101.0,102.4,99.8,100.3,100.3,100.85,100.63,6068166,6106.4,32482, 2207112, 36.37
29-Jul-2020,100.0,105.2,98.5,102.55, 102.50,100.3,102.6,13171168,13514.17,49877, 1288719, 9.78
30-Jul-2020,103.1,103.9,100.4,100.9, 100.85,102.55,101.79,5544295,5643.57,25627, 1638705, 29.56
31-Jul-2020,101.55,102.35,99.65,100.15,100.45,100.9,100.48,4753220,4776.19,20034, 989550, 20.82
03-Aug-2020,100.65,102.65,99.35,100.45,100.4,100.15,101.14,5229285,5289.04,17321, 1377795, 26.35
04-Aug-2020,101.0,101.65,99.95,100.2,100.3,100.45,100.59,3889049,3912.04,14307, 1186866, 30.52
05-Aug-2020,101.45,102.85,100.6,101.45,101.45,100.2,101.72,6741553,6857.57,31728, 1026282, 15.22
06-Aug-2020,102.25,107.8,101.5,106.7,106.55,101.45,105.61,17200085,18164.19,53892, 4049386, 23.54
07-Aug-2020,107.35,108.7,103.4,105.75,105.75,106.7,106.22,11870721,12609.65,46194, 2291743, 19.31
10-Aug-2020,111.9,111.9,107.0,108.0, 107.65,105.75,108.2,12944097,14005.49,44922, 2677660, 20.69
11-Aug-2020,108.9,109.0,105.5,105.75,105.7,108.0,106.69,7428387,7925.71,23938, 3010122, 40.52
12-Aug-2020,105.05,109.5,104.6,108.45,108.75,105.75,108.09,11619647,12559.34,53564, 2550574, 21.95
13-Aug-2020,108.5,111.0,107.15,110.45, 110.35,108.45,109.35,9962681,10894.57,43095, 2406902, 24.16
14-Aug-2020,110.45,111.4,107.55,108.0, 107.95,110.45,109.82,7891473,8666.25,38576, 1482719, 18.79
17-Aug-2020,109.45,111.5,107.8,110.5, 110.65,108.0,109.78,8144026,8940.13,37436, 1867891, 22.94
18-Aug-2020,110.55,111.3,109.4,110.7,110.8,110.5,110.39,5873081,6483.19,29517, 1647594, 28.05
19-Aug-2020,111.2,115.0,111.2,113.6,114.6,110.7,113.44,16227700,18408.25,76279, 2779554, 17.13
20-Aug-2020,112.7,116.5,111.45,114.6,114.35,113.6,114.5,16714892,19138.16,79239, 2543684, 15.22
21-Aug-2020,115.2,115.9,112.35,112.7, 112.70,114.6,114.1,6041545,6893.35,35066, 1619238, 26.80
24-Aug-2020,113.0,113.75,110.8,111.2,111.05,112.7,111.83,4119913,4607.22,21119, 973311, 23.62
25-Aug-2020,111.5,113.95,111.1,112.8, 112.95,111.2,112.76,8606461,9704.5,51188, 1453026, 16.88
26-Aug-2020,113.0,114.7,111.65,112.35, 112.10,112.8,113.14,6649526,7523.08,33846, 1302198, 19.58
27-Aug-2020,112.55,113.3,110.5,110.75,110.8,112.35,111.53,4929521,5498.09,29706, 1550716, 31.46
28-Aug-2020,110.3,113.65,109.3,111.55, 111.70,110.75,112.08,8963965,10046.71,32862, 1870438, 20.87
31-Aug-2020,112.9,114.1,105.5,106.15, 106.50,111.55,108.75,15269401,16605.8,56713, 6914607, 45.28
