date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,23.05,23.3,22.95,23.0, 23.05,22.95,23.07,3128543,721.61,8389, 1912927, 61.14
02-Jan-2020,23.05,23.9,22.9,23.75, 23.70,23.0,23.34,7744461,1807.76,12477, 3622879, 46.78
03-Jan-2020,23.6,25.3,23.6,25.05, 25.05,23.75,24.68,17976269,4437.22,21604, 7067819, 39.32
06-Jan-2020,24.65,24.8,23.65,23.85, 23.90,25.05,24.12,7947042,1916.86,43047, 3016952, 37.96
07-Jan-2020,24.15,25.05,24.0,24.55, 24.50,23.85,24.55,8533366,2094.53,15990, 3029031, 35.50
08-Jan-2020,24.0,25.6,24.0,25.2, 25.05,24.55,24.94,11722066,2922.95,23583, 4038466, 34.45
09-Jan-2020,25.4,26.1,25.25,25.7, 25.60,25.2,25.72,11073581,2847.66,24433, 3997756, 36.10
10-Jan-2020,25.7,25.9,25.0,25.15, 25.10,25.7,25.43,4860518,1235.98,15655, 1931692, 39.74
13-Jan-2020,25.2,26.0,25.15,25.4, 25.40,25.15,25.53,5131600,1310.33,15378, 2357092, 45.93
14-Jan-2020,25.5,25.8,25.1,25.2, 25.20,25.4,25.37,3928384,996.58,14003, 1592878, 40.55
15-Jan-2020,25.25,25.45,24.75,25.25, 25.35,25.2,25.05,4155222,1041.02,14090, 1727971, 41.59
16-Jan-2020,25.4,25.8,25.25,25.55, 25.50,25.25,25.56,3815379,975.22,13642, 1532821, 40.17
17-Jan-2020,25.45,25.75,25.15,25.25, 25.25,25.55,25.41,2151335,546.61,9788, 1027462, 47.76
20-Jan-2020,25.3,25.7,25.0,25.05, 25.15,25.25,25.35,2491306,631.49,8696, 1139765, 45.75
21-Jan-2020,25.0,25.2,24.4,24.65, 24.60,25.05,24.71,3180114,785.74,11967, 1551004, 48.77
22-Jan-2020,24.75,25.15,24.45,24.85, 24.90,24.65,24.86,1924584,478.37,6352, 888384, 46.16
23-Jan-2020,24.7,26.75,24.65,26.65, 26.70,24.85,26.13,11935052,3119.18,22070, 6480940, 54.30
24-Jan-2020,26.8,27.0,26.15,26.35,26.3,26.65,26.53,7161131,1899.78,24112, 2706374, 37.79
27-Jan-2020,26.2,26.85,25.9,26.2, 26.35,26.35,26.41,4842561,1279.04,19717, 1706630, 35.24
28-Jan-2020,26.4,27.5,26.1,27.1, 27.10,26.2,26.97,14421129,3889.58,31983, 4620247, 32.04
29-Jan-2020,27.5,29.2,27.25,28.9, 28.80,27.1,28.22,31156514,8791.14,56295, 9227154, 29.62
30-Jan-2020,28.8,29.3,27.3,27.55, 27.50,28.9,28.33,17407115,4930.89,36651, 5529528, 31.77
31-Jan-2020,28.0,28.05,26.8,27.35, 27.40,27.55,27.44,7518586,2063.2,21560, 2124272, 28.25
03-Feb-2020,24.95,25.25,23.85,24.0, 24.15,24.9,24.3,8842216,2148.68,23453, 4348534, 49.18
04-Feb-2020,24.4,24.75,24.25,24.6, 24.75,24.0,24.51,4282295,1049.54,14357, 1803517, 42.12
05-Feb-2020,24.9,25.6,24.7,25.25, 25.25,24.6,25.26,4220226,1066.15,14039, 1779337, 42.16
06-Feb-2020,25.35,25.75,25.15,25.2, 25.20,25.25,25.4,3176136,806.6,13991, 1472021, 46.35
07-Feb-2020,25.2,25.35,24.9,25.1, 25.05,25.2,25.1,1873970,470.39,12619, 940832, 50.21
10-Feb-2020,25.1,25.3,24.6,24.7, 24.75,25.1,24.92,2429681,605.43,13167, 1507609, 62.05
11-Feb-2020,24.95,25.15,24.6,24.65, 24.70,24.7,24.81,2179747,540.77,11777, 1271560, 58.34
12-Feb-2020,24.95,25.1,23.25,23.9, 23.35,24.65,24.18,7029501,1700.05,21327, 3530875, 50.23
13-Feb-2020,23.2,24.15,22.8,23.15, 23.25,23.9,23.28,13161671,3063.39,49495, 6114467, 46.46
14-Feb-2020,23.4,23.7,22.9,22.95, 23.00,23.15,23.2,5603644,1300.25,22326, 3081398, 54.99
17-Feb-2020,23.05,23.25,22.25,22.35, 22.40,22.95,22.65,3797942,860.08,20764, 2304789, 60.69
18-Feb-2020,22.35,22.95,21.9,22.5, 22.50,22.35,22.34,5523476,1233.94,33942, 2493984, 45.15
19-Feb-2020,22.55,23.65,22.1,23.35, 23.40,22.5,22.94,11473042,2631.59,36938, 5212197, 45.43
20-Feb-2020,23.6,24.4,23.4,23.6, 23.65,23.35,23.89,9653258,2305.87,37933, 4426016, 45.85
24-Feb-2020,23.55,23.8,22.75,22.95, 22.75,23.6,23.24,4677013,1087.14,19645, 2314409, 49.48
25-Feb-2020,22.85,23.25,22.45,22.6, 22.55,22.95,22.84,3921926,895.81,24427, 2140944, 54.59
26-Feb-2020,22.55,22.8,22.3,22.45, 22.40,22.6,22.52,2658612,598.79,44930, 1080426, 40.64
27-Feb-2020,22.45,22.45,21.9,21.95, 21.95,22.45,22.09,5259383,1161.55,26014, 3117800, 59.28
28-Feb-2020,21.4,21.5,20.7,21.0, 21.15,21.95,21.02,5855450,1231.02,39708, 2876607, 49.13
02-Mar-2020,21.75,21.85,19.7,20.25, 19.75,21.0,20.94,6582003,1378.31,24297, 3199367, 48.61
03-Mar-2020,20.25,20.45,19.6,20.1, 20.15,20.25,20.04,6739498,1350.31,38304, 3304623, 49.03
04-Mar-2020,20.25,20.4,19.35,19.95, 20.00,20.1,19.83,3499500,694.08,18339, 1620664, 46.31
05-Mar-2020,20.1,20.55,19.75,20.0, 19.95,19.95,20.09,3229172,648.79,19459, 1032353, 31.97
06-Mar-2020,19.1,19.5,18.7,18.95, 18.95,20.0,19.05,5867345,1117.95,21811, 3618852, 61.68
09-Mar-2020,18.8,18.8,17.7,17.95, 18.00,18.95,18.01,6160718,1109.73,27581, 3372710, 54.75
11-Mar-2020,18.1,18.45,17.8,17.9, 17.90,17.95,18.09,3406645,616.31,37800, 1644150, 48.26
12-Mar-2020,15.9,16.4,15.6,15.9, 15.95,17.9,16.04,6059064,971.75,40117, 3070965, 50.68
13-Mar-2020,14.0,17.65,12.75,17.0, 17.10,15.9,15.73,7225815,1136.83,22976, 3142298, 43.49
16-Mar-2020,16.7,16.9,15.65,16.25, 16.20,17.0,16.43,2622898,431.03,19405, 1038809, 39.61
17-Mar-2020,16.45,16.85,15.7,15.95, 15.95,16.25,16.23,2822504,458.01,21061, 1133149, 40.15
18-Mar-2020,16.25,16.25,14.2,14.4, 14.40,15.95,15.07,5147438,775.49,31249, 2823161, 54.85
19-Mar-2020,14.0,14.25,13.6,13.9, 13.80,14.4,13.96,4453195,621.46,20624, 2022317, 45.41
20-Mar-2020,14.0,14.8,13.5,13.85, 13.90,13.9,14.12,6705132,946.66,25297, 2966974, 44.25
23-Mar-2020,12.75,13.25,11.1,11.1, 11.10,13.85,12.03,7943671,955.9,30618, 4991493, 62.84
24-Mar-2020,11.7,11.95,10.0,11.0, 11.10,11.1,11.09,4680660,518.88,20858, 2746276, 58.67
25-Mar-2020,10.65,11.75,10.5,11.65, 11.70,11.0,11.19,3136686,350.88,12990, 1535249, 48.94
26-Mar-2020,11.95,12.8,11.55,12.8, 12.80,11.65,12.61,5289293,666.94,15391, 3088049, 58.38
27-Mar-2020,13.25,13.85,12.65,12.75, 12.95,12.8,13.37,7236214,967.47,20594, 3864240, 53.40
30-Mar-2020,12.5,12.95,11.75,12.45, 12.60,12.75,12.41,3425805,424.98,9805, 1518808, 44.33
31-Mar-2020,12.7,13.25,12.7,12.8,12.8,12.45,12.84,4045256,519.44,18655, 2218299, 54.84
01-Apr-2020,12.7,14.05,12.6,13.85,14.05,12.8,13.53,6632915,897.14,27438, 3014661, 45.45
03-Apr-2020,14.3,15.2,13.8,15.2, 15.20,13.85,14.87,10237541,1522.11,24619, 4082160, 39.87
07-Apr-2020,16.6,16.7,15.75,16.7, 16.70,15.2,16.53,6364157,1051.72,16424, 4009347, 63.00
08-Apr-2020,17.4,17.5,17.1,17.5, 17.50,16.7,17.43,2258328,393.58,4684, 1644574, 72.82
09-Apr-2020,18.35,18.35,18.35,18.35, 18.35,17.5,18.35,737112,135.26,1367, 737112, 100.00
13-Apr-2020,19.25,19.25,17.45,17.55, 17.65,18.35,17.89,14743346,2637.65,40126,6434082,46.4
15-Apr-2020,17.05,17.55,16.7,16.8, 16.90,17.55,17.01,8163900,1388.73,36355, 3612087, 44.24
16-Apr-2020,16.75,17.6,16.55,17.6, 17.60,16.8,17.49,6841223,1196.25,11520, 2895131, 42.32
17-Apr-2020,18.25,18.45,17.3,18.45, 18.45,17.6,18.17,7166862,1301.93,18326, 3459560, 48.27
20-Apr-2020,18.9,18.9,17.85,18.45, 18.55,18.45,18.46,6369807,1175.88,31543, 3201790, 50.27
