date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
16-Mar-2020,661.0,755.0,656.0,681.4, 678.00,755.0,709.41,60893377,431983.82,1341563, 35341400, 58.04
17-Mar-2020,691.0,747.95,689.0,730.9, 736.10,681.4,725.27,15147702,109862.21,601347, 5690604, 37.57
18-Mar-2020,752.1,769.0,680.0,689.2, 687.00,730.9,717.14,8950986,64190.95,394939, 3197852, 35.73
19-Mar-2020,660.0,717.0,650.0,692.05, 690.35,689.2,687.86,6432291,44245.09,335234, 2613207, 40.63
20-Mar-2020,706.25,730.0,690.25,724.5, 725.00,692.05,709.06,6492749,46037.24,325953, 3486281, 53.69
23-Mar-2020,659.0,698.0,580.0,582.4, 584.50,724.5,624.81,6260568,39116.58,365510, 3683243, 58.83
24-Mar-2020,620.0,623.95,575.05,613.7, 620.00,582.4,600.74,4019346,24145.64,317311, 1709102, 42.52
25-Mar-2020,601.0,648.9,591.4,624.95, 620.00,613.7,618.46,3488027,21572.15,202662, 1063676, 30.50
26-Mar-2020,634.0,693.8,621.45,650.95, 652.50,624.95,658.19,4360649,28701.28,281979, 1666009, 38.21
27-Mar-2020,675.0,690.0,650.0,655.9, 655.30,650.95,668.0,3114721,20806.26,192953, 1252444, 40.21
30-Mar-2020,640.0,642.7,607.0,615.35, 617.50,655.9,627.04,1791951,11236.25,147201, 746302, 41.65
31-Mar-2020,635.0,638.0,608.55,618.65,618.4,615.35,619.7,2334681,14467.97,125201, 870041, 37.27
01-Apr-2020,624.0,624.0,601.25,608.05,608.2,618.65,612.24,1501066,9190.15,100175, 574619, 38.28
03-Apr-2020,613.8,614.7,588.0,590.25, 591.80,608.05,596.99,1693653,10110.94,117158, 846813, 50.00
07-Apr-2020,605.0,611.0,582.0,586.05, 585.80,590.25,590.0,3137486,18511.21,170841, 1534187, 48.90
08-Apr-2020,584.8,598.4,576.0,579.5, 578.70,586.05,583.72,3091087,18043.19,185800, 1237877, 40.05
09-Apr-2020,585.05,614.25,575.0,595.2, 593.15,579.5,592.81,6139709,36396.85,242099, 2240767, 36.50
13-Apr-2020,580.0,581.5,501.1,505.5, 505.00,595.2,522.05,22874756,119417.91,805086,11324451,54.52
15-Apr-2020,510.0,524.45,502.0,504.65, 505.50,505.5,512.07,8436966,43203.04,317750, 3494756, 41.42
16-Apr-2020,505.0,537.2,501.0,532.1, 533.50,504.65,522.22,8012609,41843.68,232090, 2749976, 34.32
17-Apr-2020,546.0,548.8,523.0,530.5, 532.00,532.1,531.65,6750064,35886.7,221403, 3139518, 46.51
20-Apr-2020,534.75,548.9,528.5,540.1, 540.90,530.5,539.34,5766967,31103.82,168330, 2204541, 38.23
21-Apr-2020,528.9,534.9,518.0,525.9,525.5,540.1,526.92,3249487,17122.31,142284, 1398001, 43.02
22-Apr-2020,527.0,535.7,520.1,532.4,534.9,525.9,527.91,2719280,14355.42,106947, 1009506, 37.12
23-Apr-2020,539.0,574.0,535.0,560.95,565.55,532.4,549.67,4983406,27392.04,172886, 2256816, 45.29
24-Apr-2020,557.7,596.45,552.1,557.85,555.8,560.95,569.64,7824080,44569.39,247889, 2356712, 30.12
27-Apr-2020,563.7,575.0,542.85,552.7, 552.00,557.85,554.93,3306453,18348.36,121085, 880833, 26.64
28-Apr-2020,556.0,562.45,547.45,550.9, 551.10,552.7,552.09,1975826,10908.43,80059, 752022, 38.06
29-Apr-2020,555.4,584.0,548.4,577.5,581.0,550.9,569.39,6121364,34854.15,229023, 2533040, 41.38
30-Apr-2020,591.0,604.9,585.0,599.15,597.0,577.5,595.47,6038342,35956.35,229623, 1929006, 31.95
04-May-2020,566.2,578.0,566.2,568.45, 568.35,599.15,571.12,2066389,11801.57,94870, 848928, 41.08
05-May-2020,577.75,584.3,550.6,553.0, 552.90,568.45,562.99,2247828,12655.05,92171, 832230, 37.02
06-May-2020,557.0,569.0,542.0,565.65, 567.15,553.0,557.67,2356415,13141.06,100442, 612329, 25.99
07-May-2020,563.0,579.0,558.9,574.45, 574.00,565.65,572.48,2201886,12605.26,69729, 891501, 40.49
08-May-2020,585.0,586.0,548.6,561.95, 552.80,574.45,565.68,5125026,28991.25,176980, 1119592, 21.85
11-May-2020,552.0,561.0,543.0,548.5, 548.45,561.95,551.23,2746769,15140.89,120372, 1022230, 37.22
12-May-2020,542.0,548.35,530.2,543.1, 542.00,548.5,537.46,2115701,11371.0,111780, 639023, 30.20
13-May-2020,570.0,570.55,545.25,548.3,548.0,543.1,550.64,2376132,13083.93,86766, 1204372, 50.69
14-May-2020,543.0,545.75,537.1,538.65,539.2,548.3,541.37,1456710,7886.13,66567, 804978, 55.26
15-May-2020,542.0,544.0,535.25,539.45,539.0,538.65,539.87,1044907,5641.19,50279, 405542, 38.81
18-May-2020,540.0,540.0,526.0,528.9, 531.65,539.45,531.15,1212873,6442.18,72083, 598702, 49.36
19-May-2020,535.0,540.0,529.15,537.65,539.0,528.9,535.99,1329780,7127.54,62440, 614533, 46.21
20-May-2020,537.0,548.0,534.6,536.75, 536.95,537.65,540.84,1142416,6178.68,69950, 526535, 46.09
21-May-2020,539.4,546.8,536.15,542.35,544.4,536.75,541.72,1181475,6400.26,44881, 596986, 50.53
22-May-2020,541.4,546.3,495.0,509.55,510.0,542.35,511.83,5257015,26906.93,208994, 2421122, 46.06
26-May-2020,515.0,518.0,496.5,498.75, 500.40,509.55,502.78,4518856,22719.86,179949, 2157325, 47.74
