date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,334.7,335.95,332.15,334.45, 335.00,333.75,334.03,17379320,58051.3,99108, 1850790, 10.65
02-Jan-2020,334.5,339.85,333.35,339.3, 338.80,334.45,336.81,20324236,68453.41,123189, 4239894, 20.86
03-Jan-2020,337.95,337.95,332.0,333.7, 334.00,339.3,335.08,21853208,73226.0,139793, 6309081, 28.87
06-Jan-2020,331.7,331.7,317.7,319.0, 318.40,333.7,322.03,35645325,114788.24,280646, 8731362, 24.50
07-Jan-2020,324.45,327.0,315.4,318.4, 317.90,319.0,320.38,50966826,163286.77,310782, 9993754, 19.61
08-Jan-2020,312.1,321.5,311.0,319.8, 319.35,318.4,315.88,44527485,140652.53,259968, 5957208, 13.38
09-Jan-2020,326.9,331.4,325.0,330.2, 330.10,319.8,328.58,40348407,132576.2,255624, 10231744, 25.36
10-Jan-2020,331.0,337.95,328.1,332.25, 332.45,330.2,333.63,42377838,141386.2,247022, 6229098, 14.70
13-Jan-2020,334.0,335.45,329.05,330.75, 330.60,332.25,331.73,23615129,78338.51,156310, 4383811, 18.56
14-Jan-2020,329.8,331.7,326.5,328.0, 328.10,330.75,328.53,26296117,86390.35,170473, 7985361, 30.37
15-Jan-2020,329.0,329.2,322.35,324.25, 324.00,328.0,324.3,32625740,105805.38,243663, 13009985, 39.88
16-Jan-2020,324.0,326.9,322.35,323.3, 323.10,324.25,324.48,26653623,86486.58,182806, 7131955, 26.76
17-Jan-2020,313.0,323.5,310.1,318.0, 318.00,323.3,317.9,58396326,185639.73,290272, 21611847, 37.01
20-Jan-2020,321.0,321.45,313.4,314.0, 314.00,318.0,315.92,30682902,96932.33,194552, 9480868, 30.90
21-Jan-2020,313.8,316.95,312.0,313.7, 313.90,314.0,314.33,30591772,96158.57,195704, 8007764, 26.18
22-Jan-2020,317.0,317.0,313.7,316.15, 315.65,313.7,315.3,24994911,78809.72,154068, 6323683, 25.30
23-Jan-2020,316.0,324.8,314.15,323.2, 323.15,316.15,320.25,33293610,106621.8,227748, 7297640, 21.92
24-Jan-2020,323.5,327.3,321.15,324.05,324.3,323.2,325.15,22706879,73832.47,146667, 3659434, 16.12
27-Jan-2020,320.9,322.0,315.8,316.2, 316.40,324.05,318.82,23309355,74315.58,148768, 4320370, 18.53
28-Jan-2020,317.95,320.0,311.05,315.1, 316.40,316.2,316.67,26488426,83880.15,173879, 3621852, 13.67
29-Jan-2020,317.85,319.7,315.55,316.45, 316.95,315.1,317.75,23914114,75987.04,143297, 3732713, 15.61
30-Jan-2020,316.75,316.75,305.65,310.7, 310.00,316.45,311.18,35802330,111410.18,227687, 10298428, 28.76
31-Jan-2020,313.7,321.7,308.6,318.45, 318.10,310.7,316.25,92656638,293026.66,457787, 16448194, 17.75
