date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,3431.5,3453.0,3425.3,3439.55, 3441.00,3436.1,3439.71,106572,3665.77,4662, 15352, 14.41
02-Jan-2020,3441.0,3469.5,3435.0,3463.3, 3458.20,3439.55,3456.5,152503,5271.26,7288, 26664, 17.48
03-Jan-2020,3458.2,3475.85,3435.3,3452.65, 3470.00,3463.3,3448.8,121856,4202.57,5751, 12306, 10.10
06-Jan-2020,3450.0,3450.0,3384.05,3408.7, 3404.15,3452.65,3411.9,149865,5113.24,7576, 10899, 7.27
07-Jan-2020,3415.5,3449.0,3388.1,3417.7, 3412.00,3408.7,3415.8,153859,5255.51,9188, 30994, 20.14
08-Jan-2020,3388.0,3492.55,3381.0,3465.55, 3465.45,3417.7,3436.14,199106,6841.55,14381, 39029, 19.60
09-Jan-2020,3474.9,3516.0,3458.2,3496.15, 3500.00,3465.55,3494.85,265052,9263.17,13175, 26788, 10.11
10-Jan-2020,3518.0,3518.0,3480.0,3495.2, 3500.00,3496.15,3495.93,190271,6651.74,11048, 45092, 23.70
13-Jan-2020,3502.0,3543.6,3501.25,3540.1, 3540.00,3495.2,3533.4,219847,7768.07,10771, 51337, 23.35
14-Jan-2020,3521.2,3562.45,3521.2,3541.5, 3539.20,3540.1,3543.21,141070,4998.41,6703, 34783, 24.66
15-Jan-2020,3520.0,3580.5,3520.0,3571.65, 3570.50,3541.5,3553.37,133263,4735.33,7701, 28951, 21.72
16-Jan-2020,3562.0,3596.8,3560.05,3574.9, 3579.00,3571.65,3580.54,104381,3737.4,6106, 16393, 15.70
17-Jan-2020,3578.9,3655.0,3571.0,3622.7, 3636.80,3574.9,3620.82,194926,7057.92,12721, 31996, 16.41
20-Jan-2020,3635.0,3644.85,3602.0,3616.15, 3615.00,3622.7,3620.08,84046,3042.54,6760, 13347, 15.88
21-Jan-2020,3615.0,3647.0,3602.1,3609.6, 3613.00,3616.15,3621.86,94049,3406.32,6886, 13903, 14.78
22-Jan-2020,3629.0,3638.6,3600.9,3610.4, 3606.15,3609.6,3622.2,91319,3307.76,9687, 19816, 21.70
23-Jan-2020,3611.0,3663.0,3607.4,3636.8, 3641.10,3610.4,3642.61,164428,5989.47,15206, 28440, 17.30
24-Jan-2020,3625.2,3726.75,3625.2,3660.35,3664.15,3636.8,3686.26,292983,10800.12,19519, 47171, 16.10
27-Jan-2020,3650.0,3712.55,3645.85,3673.6, 3686.85,3660.35,3684.04,152848,5630.99,10000, 22288, 14.58
28-Jan-2020,3689.7,3785.0,3683.3,3764.85, 3780.95,3673.6,3737.37,307537,11493.79,20129, 58253, 18.94
29-Jan-2020,3780.95,3803.85,3751.0,3766.3, 3751.00,3764.85,3777.93,283928,10726.59,24568, 75414, 26.56
30-Jan-2020,3769.5,3824.0,3741.75,3802.25, 3816.00,3766.3,3774.86,153634,5799.46,8404, 26118, 17.00
31-Jan-2020,3816.0,3861.0,3772.0,3784.05, 3776.00,3802.25,3821.44,314532,12019.66,21987, 54388, 17.29
03-Feb-2020,3688.15,3814.05,3688.15,3789.4, 3800.00,3688.15,3753.67,237855,8928.29,17865, 29617, 12.45
04-Feb-2020,3849.95,3900.0,3641.3,3740.9, 3768.00,3789.4,3737.82,1067773,39911.39,62364, 209769, 19.65
05-Feb-2020,3800.0,3997.75,3775.0,3987.05, 3980.55,3740.9,3919.48,1029851,40364.84,69190, 211764, 20.56
06-Feb-2020,3990.0,4055.0,3977.05,4008.6, 4011.10,3987.05,4018.52,630944,25354.64,43983, 191557, 30.36
07-Feb-2020,3999.1,4124.0,3984.65,4109.9, 4122.00,4008.6,4076.74,421283,17174.61,31417, 69740, 16.55
10-Feb-2020,4122.0,4173.5,4090.0,4134.3, 4128.75,4109.9,4137.06,508442,21034.53,30990, 93815, 18.45
