date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
27-Feb-2020,364.1,365.65,360.25,363.3, 363.00,365.65,362.83,1827751,6631.72,25087, 956756, 52.35
28-Feb-2020,357.95,357.95,341.55,346.15, 348.80,363.3,346.51,4494646,15574.23,36885, 3022910, 67.26
02-Mar-2020,351.05,355.25,333.6,338.8, 338.00,346.15,348.01,3837169,13353.81,48165, 2115419, 55.13
03-Mar-2020,340.6,357.7,340.6,355.3, 357.65,338.8,351.15,4204156,14762.7,76287, 2077781, 49.42
04-Mar-2020,356.2,357.6,339.0,349.2, 348.80,355.3,346.99,2331888,8091.52,49946, 1102198, 47.27
05-Mar-2020,353.75,357.1,347.0,348.5, 347.15,349.2,351.97,1890082,6652.53,52394, 911685, 48.24
06-Mar-2020,340.0,346.9,334.15,344.5, 342.40,348.5,343.0,4469801,15331.55,63442, 2999896, 67.11
09-Mar-2020,338.0,340.85,319.15,330.1, 325.95,344.5,331.66,5653412,18749.85,47319, 2380543, 42.11
11-Mar-2020,326.85,337.75,325.0,327.85, 327.15,330.1,331.09,3475868,11508.13,28129, 2377438, 68.40
12-Mar-2020,320.0,320.0,297.2,303.45, 305.85,327.85,305.13,5405030,16492.2,76325, 2952471, 54.62
13-Mar-2020,273.55,327.8,258.0,324.25, 326.05,303.45,307.89,7428604,22871.97,67999, 4591456, 61.81
16-Mar-2020,305.3,314.3,296.6,300.3, 305.00,324.25,304.79,3695163,11262.65,98388, 1816079, 49.15
17-Mar-2020,305.0,308.7,282.0,283.85, 285.00,300.3,291.94,3307865,9657.04,86334, 1817649, 54.95
18-Mar-2020,285.0,288.6,262.0,267.45, 268.20,283.85,270.24,4038726,10914.22,80378, 2273910, 56.30
19-Mar-2020,258.0,265.5,232.25,250.75, 248.05,267.45,249.1,6319923,15743.22,115205, 2800328, 44.31
20-Mar-2020,247.0,273.4,244.5,264.2, 265.00,250.75,260.04,3907691,10161.71,52348, 1434751, 36.72
23-Mar-2020,240.0,247.9,225.0,226.5, 225.05,264.2,236.48,2922955,6912.08,55578, 1641482, 56.16
24-Mar-2020,249.15,256.1,213.7,249.05, 254.45,226.5,239.63,6054692,14508.9,73889, 3219188, 53.17
25-Mar-2020,248.1,282.45,246.9,277.15, 279.50,249.05,269.68,3964419,10691.33,84168, 1916967, 48.35
26-Mar-2020,279.5,293.55,263.45,279.05, 283.00,277.15,282.0,3335026,9404.72,55305, 1494452, 44.81
27-Mar-2020,290.0,294.95,279.25,284.75, 290.00,279.05,287.47,2980927,8569.34,67462, 1675248, 56.20
30-Mar-2020,282.5,284.0,272.65,281.4, 281.85,284.75,278.88,2901726,8092.26,85070, 1706064, 58.79
31-Mar-2020,291.5,297.0,284.85,294.85,294.95,281.4,291.93,3270034,9546.19,87485, 2039399, 62.37
01-Apr-2020,292.85,304.0,277.35,280.0,279.25,294.85,284.01,5532600,15713.39,105227, 3774106, 68.22
03-Apr-2020,286.0,286.0,264.0,267.15, 267.00,280.0,269.05,5990376,16117.28,118890, 2914165, 48.65
07-Apr-2020,280.0,286.75,271.0,284.55, 283.65,267.15,279.55,6492026,18148.6,114263, 4327140, 66.65
08-Apr-2020,282.7,296.0,276.7,294.4, 296.00,284.55,291.43,5331494,15537.41,78114, 3106881, 58.27
09-Apr-2020,301.4,319.0,300.2,309.05, 307.80,294.4,308.35,7699408,23741.34,151296, 3749218, 48.69
13-Apr-2020,315.0,315.0,301.1,305.05, 303.70,309.05,307.64,3699875,11382.33,127468,1722903,56.85
15-Apr-2020,311.1,322.75,305.0,315.65, 317.90,305.05,314.42,5721837,17990.36,181704, 2879980, 50.33
16-Apr-2020,317.85,333.7,315.65,324.05, 323.90,315.65,323.34,8211111,26549.81,212380, 4465717, 54.39
17-Apr-2020,334.95,336.4,316.85,324.5, 325.00,324.05,326.0,4845929,15797.6,154935, 2713019, 55.99
20-Apr-2020,324.6,332.85,321.15,324.7, 324.20,324.5,326.25,3621444,11815.03,126402, 1688059, 46.61
21-Apr-2020,318.0,320.0,311.0,312.4,312.05,324.7,315.09,3462477,10910.05,104334, 2232224, 64.47
22-Apr-2020,314.65,335.45,310.0,330.15,334.95,312.4,321.29,4645157,14924.31,112395, 2668189, 57.44
23-Apr-2020,338.0,339.8,325.3,329.95,329.65,330.15,333.46,3747888,12497.74,65023, 1390526, 37.10
24-Apr-2020,323.0,336.85,323.0,326.1,328.0,329.95,329.68,5438859,17930.9,145139, 3163741, 58.17
27-Apr-2020,331.95,351.35,331.25,349.35, 349.55,326.1,343.34,7426428,25498.1,139971, 4307308, 58.00
