date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,827.9,831.4,821.0,827.85, 827.70,825.95,826.45,263807,2180.23,9919, 42403, 16.07
02-Jan-2020,829.8,835.8,823.3,828.25, 828.25,827.85,829.18,294367,2440.83,11572, 62978, 21.39
03-Jan-2020,828.0,842.0,821.55,838.1, 837.95,828.25,836.53,666116,5572.25,22708, 112351, 16.87
06-Jan-2020,835.0,835.0,816.55,823.4, 823.00,838.1,825.11,301418,2487.04,16637, 66233, 21.97
07-Jan-2020,830.0,832.8,821.75,826.85, 825.00,823.4,827.41,224550,1857.94,10177, 39589, 17.63
08-Jan-2020,820.0,826.05,812.6,821.35, 822.00,826.85,819.89,222281,1822.47,9912, 72896, 32.79
09-Jan-2020,826.9,851.7,825.0,843.15, 844.10,821.35,838.64,469880,3940.58,16477, 99884, 21.26
10-Jan-2020,845.0,859.0,841.0,848.55, 842.00,843.15,850.36,519361,4416.42,21659, 102100, 19.66
13-Jan-2020,854.0,899.9,852.3,891.05, 891.90,848.55,886.18,4036332,35769.31,95630, 444341, 11.01
14-Jan-2020,892.0,920.0,892.0,907.9, 906.95,891.05,911.67,2044123,18635.69,61631, 320976, 15.70
15-Jan-2020,909.0,962.8,907.0,948.05, 958.10,907.9,931.9,1557991,14518.88,49723, 328647, 21.09
16-Jan-2020,960.0,969.5,951.1,958.75, 957.45,948.05,959.26,936150,8980.15,30917, 132638, 14.17
17-Jan-2020,963.0,964.0,940.25,947.15, 948.05,958.75,946.53,407274,3854.96,17072, 85280, 20.94
20-Jan-2020,950.0,957.25,930.2,936.75, 938.00,947.15,941.36,266941,2512.88,14008, 68528, 25.67
21-Jan-2020,935.0,964.0,925.0,954.7, 951.25,936.75,947.74,474265,4494.8,23215, 82279, 17.35
22-Jan-2020,956.5,979.0,954.5,960.85, 957.00,954.7,968.88,898739,8707.69,36685, 148434, 16.52
23-Jan-2020,963.0,978.0,961.0,968.3, 964.95,960.85,968.05,284158,2750.79,14979, 54558, 19.20
24-Jan-2020,968.9,973.0,958.1,963.25,962.0,968.3,964.3,220015,2121.61,10403, 56479, 25.67
27-Jan-2020,960.0,968.0,929.1,942.75, 941.40,963.25,952.92,213047,2030.18,13149, 57316, 26.90
28-Jan-2020,942.75,956.9,927.55,947.2, 949.95,942.75,937.82,321398,3014.13,19787, 62417, 19.42
29-Jan-2020,950.0,961.9,925.0,932.6, 928.15,947.2,940.32,305850,2875.95,18476, 76357, 24.97
30-Jan-2020,938.0,962.0,935.0,957.55, 956.00,932.6,949.23,695800,6604.73,43751, 207019, 29.75
31-Jan-2020,957.95,966.5,941.8,949.2, 950.40,957.55,954.22,318313,3037.42,17961, 52659, 16.54
03-Feb-2020,950.0,979.9,926.4,957.1, 956.00,949.75,965.01,565209,5454.33,30741, 108119, 19.13
04-Feb-2020,961.9,1037.3,960.0,1030.35, 1033.00,957.1,1012.51,2222832,22506.43,67256, 478165, 21.51
05-Feb-2020,1031.3,1058.0,1014.3,1027.5, 1025.00,1030.35,1035.42,796454,8246.64,44681, 205512, 25.80
06-Feb-2020,1030.0,1048.0,1013.35,1035.45, 1037.90,1027.5,1033.02,521590,5388.14,31844, 163127, 31.27
07-Feb-2020,1036.0,1057.0,1021.0,1030.5, 1030.15,1035.45,1042.06,636650,6634.28,32710, 127408, 20.01
10-Feb-2020,1036.9,1070.8,1021.1,1058.5, 1069.10,1030.5,1046.58,576348,6031.92,37540, 171002, 29.67
11-Feb-2020,1064.0,1088.0,1059.3,1082.4, 1086.00,1058.5,1076.53,638604,6874.77,38826, 171398, 26.84
12-Feb-2020,1086.0,1098.4,1054.5,1060.9, 1055.40,1082.4,1075.25,531180,5711.52,44551, 189573, 35.69
13-Feb-2020,1067.8,1096.55,1058.5,1089.1, 1090.55,1060.9,1078.53,487395,5256.69,28448, 133712, 27.43
14-Feb-2020,1088.0,1096.45,1025.1,1035.0, 1030.55,1089.1,1066.93,451945,4821.95,35885, 145127, 32.11
17-Feb-2020,1041.0,1043.35,975.95,987.55, 985.50,1035.0,999.27,866201,8655.7,35551, 308193, 35.58
18-Feb-2020,980.0,992.0,934.8,970.05, 972.00,987.55,952.13,912440,8687.62,36463, 277376, 30.40
19-Feb-2020,980.1,1014.0,978.05,1005.7, 1006.00,970.05,1001.48,627745,6286.73,34217, 110247, 17.56
20-Feb-2020,1005.7,1021.0,986.0,996.4, 995.00,1005.7,1001.1,633182,6338.77,41920, 158741, 25.07
24-Feb-2020,991.5,1013.0,971.45,1004.85, 1006.00,996.4,1003.79,585972,5881.9,35661, 291438, 49.74
25-Feb-2020,1012.8,1012.8,985.1,989.25, 994.70,1004.85,995.33,256244,2550.48,20902, 48760, 19.03
26-Feb-2020,993.0,993.0,952.1,961.6, 957.00,989.25,971.19,277812,2698.09,21067, 73799, 26.56
27-Feb-2020,955.0,955.0,915.0,930.4, 930.05,961.6,931.12,559388,5208.57,33017, 161998, 28.96
28-Feb-2020,910.0,919.05,855.1,882.75, 883.00,930.4,884.56,629146,5565.17,23268, 280995, 44.66
02-Mar-2020,887.0,965.0,887.0,941.25, 949.95,882.75,933.37,865946,8082.45,34278, 279570, 32.28
03-Mar-2020,962.25,1071.25,940.45,1037.85, 1066.00,941.25,1000.84,1462319,14635.51,65680, 337763, 23.10
04-Mar-2020,1042.0,1057.0,947.0,983.95, 992.10,1037.85,997.84,1291087,12883.02,43381, 174547, 13.52
05-Mar-2020,994.5,1025.0,972.55,989.25, 984.00,983.95,1000.8,666066,6665.98,20637, 55167, 8.28
06-Mar-2020,945.0,999.0,925.25,985.75, 978.65,989.25,972.07,478233,4648.76,38041, 92339, 19.31
09-Mar-2020,945.0,969.85,903.5,932.4, 925.40,985.75,931.09,452272,4211.04,20651, 118462, 26.19
11-Mar-2020,924.0,988.95,915.3,972.55, 970.00,932.4,957.9,849768,8139.9,37970, 130532, 15.36
12-Mar-2020,935.0,935.0,868.0,878.25, 883.00,972.55,900.94,564875,5089.17,23892, 222455, 39.38
13-Mar-2020,800.0,889.2,702.6,846.9, 838.00,878.25,830.41,622543,5169.65,30160, 159072, 25.55
16-Mar-2020,801.0,824.8,761.0,770.7, 761.20,846.9,789.19,434866,3431.93,23279, 136623, 31.42
17-Mar-2020,770.55,784.95,706.1,723.05, 715.00,770.7,748.5,384382,2877.12,22634, 98276, 25.57
18-Mar-2020,754.0,754.0,670.0,677.55, 687.10,723.05,694.16,393149,2729.09,19052, 119451, 30.38
19-Mar-2020,650.0,650.0,567.2,575.85, 568.00,677.55,592.63,993667,5888.74,58374, 392713, 39.52
20-Mar-2020,585.0,633.4,572.5,598.6, 596.65,575.85,606.94,861237,5227.15,41374, 222382, 25.82
23-Mar-2020,540.0,569.0,539.0,544.4, 544.90,598.6,549.83,266156,1463.4,12801, 132726, 49.87
24-Mar-2020,569.0,581.0,530.0,550.2, 555.00,544.4,550.71,287848,1585.2,14489, 102665, 35.67
25-Mar-2020,550.0,592.0,499.95,586.0, 589.00,550.2,569.34,398547,2269.09,18987, 132369, 33.21
26-Mar-2020,595.0,640.0,595.0,620.55, 620.00,586.0,620.2,330218,2048.02,18996, 108571, 32.88
27-Mar-2020,640.0,674.0,622.8,639.1, 638.00,620.55,652.46,490352,3199.34,28599, 200252, 40.84
30-Mar-2020,607.35,621.3,595.0,603.15, 601.05,639.1,605.6,322832,1955.07,16972, 115184, 35.68
31-Mar-2020,615.05,639.0,610.15,629.1,629.15,603.15,618.81,298967,1850.05,20511, 132130, 44.20
01-Apr-2020,636.0,653.1,601.0,607.2,606.8,629.1,622.89,269956,1681.53,15259, 96930, 35.91
03-Apr-2020,617.0,617.0,590.05,593.6, 592.00,607.2,599.66,214168,1284.27,11449, 86186, 40.24
07-Apr-2020,621.0,652.95,603.0,638.75, 638.00,593.6,628.73,361001,2269.71,13398, 107147, 29.68
08-Apr-2020,636.0,658.0,625.7,637.55, 635.50,638.75,640.16,312310,1999.27,14197, 83659, 26.79
09-Apr-2020,659.0,712.0,650.05,699.6, 697.00,637.55,681.45,594041,4048.08,28237, 161628, 27.21
13-Apr-2020,702.0,705.0,660.0,673.7, 672.00,699.6,679.89,311547,2118.18,13360,93852,32.84
15-Apr-2020,686.0,743.9,682.8,734.0, 734.00,673.7,721.8,911879,6581.9,39914, 178877, 19.62
16-Apr-2020,730.0,730.0,701.0,713.9, 715.30,734.0,711.65,435709,3100.74,19557, 97285, 22.33
17-Apr-2020,748.0,748.0,696.55,713.2, 712.00,713.9,715.9,416692,2983.1,23232, 144585, 34.70
20-Apr-2020,727.65,738.0,715.0,729.4, 729.45,713.2,729.17,381161,2779.31,14779, 98238, 25.77
21-Apr-2020,735.0,759.4,717.5,725.1,719.55,729.4,740.94,974282,7218.84,32226, 187106, 19.20
22-Apr-2020,730.0,734.0,709.0,719.65,717.8,725.1,721.26,346761,2501.06,13569, 75076, 21.65
23-Apr-2020,720.0,737.65,720.0,724.05,722.5,719.65,727.56,309756,2253.66,11899, 63165, 20.39
