date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,185.15,186.7,183.6,184.45, 184.25,185.15,185.11,25968357,48069.46,99072, 1878537, 7.23
02-Jan-2020,185.0,194.7,184.6,193.75, 193.85,184.45,190.57,57289863,109175.49,251258, 9368491, 16.35
03-Jan-2020,192.9,195.65,189.25,191.1, 191.25,193.75,192.0,47572728,91341.4,185614, 4181757, 8.79
06-Jan-2020,191.0,191.0,185.05,185.65, 185.40,191.1,187.3,28621212,53608.01,138113, 3848110, 13.44
07-Jan-2020,187.0,189.4,182.3,184.7, 184.35,185.65,185.41,34995035,64883.09,133404, 3453069, 9.87
08-Jan-2020,180.2,184.2,180.2,182.55, 182.75,184.7,182.39,21862695,39875.43,96592, 2366695, 10.83
09-Jan-2020,184.85,192.75,184.25,192.0, 192.40,182.55,189.24,40803142,77215.17,169349, 4419385, 10.83
10-Jan-2020,192.0,199.0,190.0,196.35, 194.25,192.0,193.86,60252338,116804.58,233758, 6153112, 10.21
13-Jan-2020,194.75,197.75,191.4,196.25, 195.90,196.35,194.56,40535961,78868.57,153824, 7702853, 19.00
14-Jan-2020,195.7,198.25,193.6,195.85, 195.20,196.25,196.42,29867542,58666.92,121231, 2349518, 7.87
15-Jan-2020,195.0,201.7,194.0,200.35, 199.70,195.85,198.74,38485962,76486.02,164803, 3118661, 8.10
16-Jan-2020,199.5,200.6,196.9,197.55, 197.25,200.35,198.68,28118140,55864.88,143016, 3114624, 11.08
17-Jan-2020,197.25,199.45,195.7,197.3, 196.70,197.55,198.1,18204088,36061.76,90448, 1075718, 5.91
20-Jan-2020,198.0,201.45,194.3,195.0, 195.55,197.3,197.2,28976013,57140.78,124160, 2721775, 9.39
21-Jan-2020,195.5,196.4,190.2,191.4, 190.25,195.0,193.54,20859400,40370.92,101560, 2045869, 9.81
22-Jan-2020,191.95,192.5,184.25,185.6, 185.60,191.4,186.78,32952072,61549.46,147905, 4602385, 13.97
23-Jan-2020,186.75,190.4,183.8,188.4, 188.10,185.6,187.77,33032086,62024.33,141362, 2724024, 8.25
24-Jan-2020,188.0,191.0,185.0,186.5,186.9,188.4,188.92,21791825,41168.94,103503, 3178972, 14.59
27-Jan-2020,185.7,186.9,180.85,182.2, 182.35,186.5,183.6,30132428,55322.77,135488, 5101016, 16.93
28-Jan-2020,183.9,184.3,174.9,176.1, 176.40,182.2,179.62,38283588,68764.01,189737, 8739649, 22.83
29-Jan-2020,178.8,188.9,178.55,188.05, 188.10,176.1,184.96,61585660,113910.13,283929, 6663303, 10.82
30-Jan-2020,190.95,192.55,184.25,186.2, 186.30,188.05,188.16,70900581,133406.38,291552, 7218067, 10.18
31-Jan-2020,186.3,188.35,175.95,176.6, 176.90,186.2,180.14,75621897,136225.84,308408, 9868706, 13.05
03-Feb-2020,163.5,168.3,159.55,163.85, 164.40,165.6,163.79,66616190,109113.02,311155, 6577664, 9.87
04-Feb-2020,166.55,168.6,161.2,165.7, 166.35,163.85,165.32,49034642,81065.26,224465, 5286416, 10.78
05-Feb-2020,167.4,184.95,166.6,183.75, 183.40,165.7,177.48,92982265,165023.92,357445, 9596603, 10.32
06-Feb-2020,182.0,183.4,175.75,178.85, 178.50,183.75,179.03,61821140,110677.57,256544, 6854219, 11.09
07-Feb-2020,177.4,178.15,173.0,173.6, 173.50,178.85,175.19,45195760,79180.67,180734, 4124684, 9.13
10-Feb-2020,173.2,173.2,168.0,168.9, 169.00,173.6,169.44,33279372,56390.13,155885, 2887898, 8.68
11-Feb-2020,171.85,175.15,168.4,169.75, 170.05,168.9,172.5,42868276,73948.06,170810, 2296531, 5.36
12-Feb-2020,173.0,173.3,169.0,170.95, 171.10,169.75,170.83,34621395,59142.63,136834, 3698571, 10.68
13-Feb-2020,171.35,172.35,168.1,169.5, 169.65,170.95,169.7,25049848,42508.82,99951, 2886807, 11.52
14-Feb-2020,172.0,176.2,168.3,169.1, 169.65,169.5,172.52,56676430,97776.18,233526, 4898144, 8.64
17-Feb-2020,170.4,171.35,166.35,169.1, 170.00,169.1,168.83,32893274,55534.81,142023, 1753432, 5.33
18-Feb-2020,168.0,168.0,158.6,161.6, 162.55,169.1,162.25,52744122,85577.86,208214, 6956555, 13.19
19-Feb-2020,162.85,164.6,153.05,158.05, 158.10,161.6,157.33,78914233,124154.31,321799, 6092001, 7.72
20-Feb-2020,157.95,162.3,156.0,158.5, 158.75,158.05,159.44,54328194,86621.57,205410, 4426122, 8.15
24-Feb-2020,154.0,155.9,149.6,150.65, 150.60,158.5,153.41,39706007,60914.47,191095, 5113467, 12.88
25-Feb-2020,152.2,153.4,147.45,149.9, 150.45,150.65,149.93,52719851,79040.55,199104, 2731271, 5.18
26-Feb-2020,146.9,147.9,143.7,144.55, 144.50,149.9,145.64,47605927,69331.04,218833, 4704279, 9.88
27-Feb-2020,144.15,146.75,141.1,145.25, 145.30,144.55,143.41,51328153,73612.02,180842, 6470073, 12.61
