date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,473.0,476.5,464.8,467.75, 467.80,472.05,469.79,12100530,56847.09,80242, 545190, 4.51
02-Jan-2020,472.0,487.8,472.0,484.85, 487.80,467.75,480.88,21674961,104230.6,188842, 3261715, 15.05
03-Jan-2020,483.0,486.2,479.45,483.7, 483.75,484.85,482.61,12956863,62530.74,124603, 1647867, 12.72
06-Jan-2020,480.0,480.0,470.55,473.25, 473.30,483.7,474.95,9601608,45602.45,93838, 934226, 9.73
07-Jan-2020,475.5,484.6,473.55,476.1, 475.20,473.25,479.39,13195788,63258.95,116893, 1341699, 10.17
08-Jan-2020,471.65,478.15,467.0,475.25, 476.50,476.1,472.2,13304841,62825.34,122527, 1465911, 11.02
09-Jan-2020,485.0,486.0,479.1,483.15, 481.40,475.25,482.84,10131152,48917.67,104492, 2144585, 21.17
10-Jan-2020,485.5,493.85,480.0,486.2, 487.35,483.15,487.68,15927634,77676.27,171547, 2563481, 16.09
13-Jan-2020,491.1,497.0,487.75,495.75, 495.25,486.2,492.65,10942750,53909.19,98957, 1399986, 12.79
14-Jan-2020,496.45,506.0,495.75,498.6, 498.55,495.75,500.71,15660822,78415.41,139782, 2659967, 16.98
15-Jan-2020,491.9,503.55,489.15,502.1, 501.45,498.6,497.68,12117948,60308.0,99986, 1114270, 9.20
16-Jan-2020,502.0,504.05,492.1,494.4, 493.80,502.1,494.96,10438369,51666.07,92004, 2174070, 20.83
17-Jan-2020,493.3,498.9,491.9,495.25, 494.40,494.4,495.76,5682460,28171.22,57841, 522158, 9.19
20-Jan-2020,497.0,499.8,489.15,490.65, 490.90,495.25,492.91,7291878,35942.31,83357, 1828516, 25.08
21-Jan-2020,487.8,487.8,473.5,476.15, 474.50,490.65,481.02,11315803,54431.6,123037, 2759455, 24.39
22-Jan-2020,478.65,479.85,473.2,475.05, 474.15,476.15,476.56,7662171,36515.2,87905, 2088645, 27.26
23-Jan-2020,475.9,481.85,473.15,480.25, 479.95,475.05,478.99,7200020,34487.6,90210, 1600590, 22.23
24-Jan-2020,480.3,485.1,476.45,483.4,484.65,480.25,482.42,7481130,36090.61,98666, 2703368, 36.14
27-Jan-2020,477.75,477.75,460.1,462.45, 460.55,483.4,466.71,12963119,60500.4,135612, 3353039, 25.87
28-Jan-2020,460.0,462.0,442.0,446.25, 448.90,462.45,451.55,18015283,81348.4,174202, 5369192, 29.80
