date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,766.0,766.8,760.35,762.1, 761.90,762.3,763.39,746371,5697.75,17126, 147395, 19.75
02-Jan-2020,762.1,769.15,761.0,766.05, 766.00,762.1,766.33,1133488,8686.3,50776, 518229, 45.72
03-Jan-2020,766.0,779.9,763.55,775.1, 775.00,766.05,775.14,2121704,16446.08,54537, 881327, 41.54
06-Jan-2020,774.85,778.8,768.15,770.4, 769.00,775.1,773.7,1734439,13419.37,52469, 840496, 48.46
07-Jan-2020,770.0,778.5,760.6,777.1, 776.65,770.4,770.9,1937143,14933.39,36396, 725429, 37.45
08-Jan-2020,770.1,784.9,767.1,769.8, 768.10,777.1,776.33,2596664,20158.74,56014, 981759, 37.81
09-Jan-2020,770.5,776.45,762.2,773.65, 774.00,769.8,770.18,1678891,12930.41,49933, 626300, 37.30
10-Jan-2020,779.0,781.9,772.45,776.25, 778.95,773.65,776.7,1105725,8588.12,35828, 502460, 45.44
13-Jan-2020,779.9,788.7,775.05,785.85, 786.00,776.25,784.79,1393509,10936.15,26980, 523121, 37.54
14-Jan-2020,785.85,797.8,783.7,796.25, 796.30,785.85,790.88,1628535,12879.72,53736, 830392, 50.99
15-Jan-2020,796.15,803.65,788.5,795.15, 791.60,796.25,796.05,1759644,14007.64,44354, 705203, 40.08
16-Jan-2020,793.0,795.7,781.1,782.85, 784.00,795.15,785.33,1110008,8717.17,53657, 442760, 39.89
17-Jan-2020,783.5,786.75,775.5,778.45, 778.05,782.85,780.14,989312,7718.05,49622, 490715, 49.60
20-Jan-2020,778.5,785.45,774.55,778.2, 780.00,778.45,779.94,1620105,12635.89,52213, 975138, 60.19
21-Jan-2020,777.25,783.4,775.0,778.9, 779.50,778.2,779.2,976954,7612.44,54605, 433814, 44.40
22-Jan-2020,780.0,790.45,776.2,778.75, 778.55,778.9,781.75,1192201,9320.07,42351, 512037, 42.95
23-Jan-2020,777.25,780.45,766.9,768.95, 769.50,778.75,771.39,2018777,15572.61,82067, 1289079, 63.85
24-Jan-2020,765.1,788.75,763.3,787.3,786.9,768.95,777.05,2364265,18371.62,76417, 1348773, 57.05
27-Jan-2020,786.0,796.25,779.65,791.5, 792.10,787.3,790.45,1175606,9292.52,26671, 397423, 33.81
28-Jan-2020,792.5,795.75,784.6,794.25, 794.70,791.5,791.36,1506685,11923.32,61577, 738077, 48.99
29-Jan-2020,796.9,807.2,793.55,804.15, 803.75,794.25,802.33,2565136,20580.92,122141, 1158240, 45.15
30-Jan-2020,805.6,807.95,784.0,791.35, 794.50,804.15,792.84,2493688,19770.92,70718, 1391962, 55.82
31-Jan-2020,796.85,802.5,783.0,796.6, 800.00,791.35,794.8,3081521,24492.07,62114, 1077760, 34.97
03-Feb-2020,808.0,818.7,790.5,793.15, 793.20,807.55,807.99,3383074,27334.87,87563, 1386323, 40.98
04-Feb-2020,794.3,813.0,794.3,811.1, 811.00,793.15,807.49,1779834,14371.97,54008, 868911, 48.82
05-Feb-2020,810.0,816.0,807.0,814.05, 811.95,811.1,811.94,1613898,13103.86,56554, 809231, 50.14
06-Feb-2020,812.7,825.95,810.05,817.7, 817.00,814.05,819.05,1553656,12725.24,50057, 652671, 42.01
07-Feb-2020,817.7,825.45,814.25,824.45, 822.65,817.7,820.73,1397438,11469.21,47565, 826809, 59.17
10-Feb-2020,827.0,827.1,811.5,813.65, 812.50,824.45,815.58,1098971,8962.98,36704, 603430, 54.91
11-Feb-2020,813.0,821.85,811.05,819.95, 821.00,813.65,816.48,1143705,9338.18,39211, 542696, 47.45
12-Feb-2020,820.0,826.45,816.8,821.5, 821.10,819.95,822.35,1394424,11467.01,45526, 632198, 45.34
13-Feb-2020,822.8,830.0,814.35,828.0, 828.00,821.5,820.38,1737974,14258.08,60849, 1046146, 60.19
14-Feb-2020,827.0,838.0,825.05,834.15, 833.00,828.0,833.86,2143044,17869.93,61957, 1068602, 49.86
17-Feb-2020,835.95,837.0,827.45,833.25, 834.20,834.15,832.46,793328,6604.17,23477, 275998, 34.79
18-Feb-2020,825.35,840.0,825.35,838.8, 838.55,833.25,835.87,1507814,12603.31,47108, 522022, 34.62
19-Feb-2020,839.0,844.85,836.05,840.9, 842.00,838.8,840.39,881874,7411.17,46482, 266928, 30.27
20-Feb-2020,840.15,845.9,826.95,829.6, 827.45,840.9,836.04,1066232,8914.14,52260, 679688, 63.75
24-Feb-2020,828.95,843.9,815.75,820.1, 822.00,829.6,832.88,2917544,24299.6,70947, 1278624, 43.83
25-Feb-2020,822.0,826.8,809.05,822.1, 824.95,820.1,817.14,2479975,20264.89,67477, 1383377, 55.78
26-Feb-2020,820.0,825.5,808.2,811.45, 811.00,822.1,817.38,2212784,18086.87,73034, 1000060, 45.19
27-Feb-2020,807.0,819.7,800.2,809.15, 808.35,811.45,807.52,1907768,15405.59,68391, 1006626, 52.76
28-Feb-2020,789.8,808.0,732.05,744.4, 746.25,809.15,754.08,5959364,44938.4,129459, 3274668, 54.95
02-Mar-2020,742.0,754.45,734.4,744.55, 744.40,744.4,745.05,3784522,28196.53,99512, 2009190, 53.09
03-Mar-2020,750.0,757.65,742.1,752.3, 755.20,744.55,749.25,2168900,16250.39,53848, 1050811, 48.45
04-Mar-2020,754.0,774.85,748.0,771.3, 770.00,752.3,760.28,2685540,20417.53,87743, 1221656, 45.49
05-Mar-2020,769.95,784.0,752.35,756.1, 758.15,771.3,770.61,2126955,16390.63,94840, 922198, 43.36
06-Mar-2020,746.1,749.75,731.4,740.4, 741.20,756.1,742.6,2004893,14888.34,65797, 1144174, 57.07
09-Mar-2020,715.0,730.0,696.55,704.8, 703.75,740.4,708.12,3429034,24281.57,122068, 2006302, 58.51
11-Mar-2020,681.0,713.9,666.0,708.55, 710.80,704.8,700.07,4626235,32386.94,104365, 2344817, 50.69
12-Mar-2020,676.0,690.0,637.1,649.85, 650.00,708.55,657.02,3796969,24946.94,91235, 1926295, 50.73
13-Mar-2020,603.25,670.0,525.9,655.95, 663.25,649.85,628.93,4553639,28639.25,115937, 1939223, 42.59
16-Mar-2020,634.8,634.8,591.0,603.4, 609.90,655.95,608.99,6499358,39580.57,123457, 3924913, 60.39
17-Mar-2020,600.0,617.95,583.3,595.45, 600.00,603.4,605.24,3333751,20177.29,91710, 1814804, 54.44
18-Mar-2020,600.0,611.25,570.65,579.65, 581.00,595.45,591.47,3548532,20988.34,85476, 1620301, 45.66
19-Mar-2020,549.65,577.65,523.0,530.0, 538.80,579.65,546.39,4932164,26948.62,108237, 2456525, 49.81
20-Mar-2020,525.1,595.45,525.1,576.35, 567.00,530.0,568.65,6316078,35916.14,117417, 3179016, 50.33
23-Mar-2020,540.0,542.0,471.4,487.2, 494.90,576.35,516.26,2912769,15037.33,82821, 1685882, 57.88
24-Mar-2020,487.0,533.95,487.0,503.5, 498.00,487.2,508.37,4082147,20752.55,129792, 1995269, 48.88
25-Mar-2020,509.0,542.85,507.05,526.7, 525.00,503.5,523.91,3664272,19197.33,94678, 2078178, 56.71
26-Mar-2020,539.35,564.9,513.0,515.2, 519.90,526.7,526.81,5979874,31502.75,115495, 2851224, 47.68
27-Mar-2020,525.0,538.8,498.0,504.1, 500.50,515.2,515.34,4672189,24077.68,84744, 2186121, 46.79
30-Mar-2020,494.0,532.35,485.65,526.8, 528.00,504.1,522.26,4138338,21612.96,98545, 1755252, 42.41
31-Mar-2020,537.0,575.25,527.85,565.5,562.0,526.8,549.27,3652957,20064.45,77375, 1780536, 48.74
01-Apr-2020,560.0,560.3,510.0,511.2,512.35,565.5,526.83,4114437,21676.0,98040, 2046528, 49.74
03-Apr-2020,513.75,533.15,510.1,520.9, 524.00,511.2,521.07,5826215,30358.72,126608, 2443907, 41.95
07-Apr-2020,536.5,557.65,535.75,549.85, 547.00,520.9,545.87,3532484,19282.67,87997, 1553610, 43.98
08-Apr-2020,539.95,569.8,537.0,558.9, 555.30,549.85,560.61,4113059,23058.16,91104, 2261575, 54.99
09-Apr-2020,570.0,582.7,537.55,545.25, 547.00,558.9,548.36,5917546,32449.61,100004, 2369472, 40.04
13-Apr-2020,551.0,551.0,521.75,526.85, 528.00,545.25,528.94,3822647,20219.61,77923,1697478,48.51
15-Apr-2020,528.0,548.6,528.0,538.65, 536.75,526.85,539.17,6316300,34055.59,119521, 4025426, 63.73
16-Apr-2020,527.0,530.0,508.35,517.65, 518.25,538.65,515.94,7001494,36123.54,220623, 3025456, 43.21
17-Apr-2020,529.1,532.0,500.0,509.85, 511.00,517.65,508.08,10839905,55075.06,220131, 5804693, 53.55
20-Apr-2020,517.95,531.9,512.0,524.85, 524.10,509.85,523.98,4549099,23836.34,95346, 1887194, 41.49
21-Apr-2020,511.0,520.0,505.9,512.95,512.15,524.85,513.04,2950307,15136.39,76480, 1467362, 49.74
22-Apr-2020,512.0,521.9,507.05,518.3,520.5,512.95,517.41,2268503,11737.48,61020, 1018198, 44.88
23-Apr-2020,519.0,527.85,509.3,523.7,522.0,518.3,517.69,6096448,31560.9,109439, 2428985, 39.84
24-Apr-2020,522.0,532.6,502.1,503.45,505.0,523.7,515.87,4817932,24854.03,105289, 2100283, 43.59
27-Apr-2020,511.7,519.0,506.5,511.7, 511.00,503.45,513.07,4032708,20690.43,91918, 2055422, 50.97
28-Apr-2020,518.0,528.5,515.55,520.4, 521.00,511.7,523.28,4972775,26021.32,92473, 2171980, 43.68
29-Apr-2020,525.95,536.9,522.1,528.7,531.5,520.4,530.04,6362006,33721.22,113270, 2833324, 44.54
30-Apr-2020,541.0,552.9,532.35,546.25,545.95,528.7,542.75,8932244,48479.56,149585, 3995286, 44.73
04-May-2020,515.0,519.75,498.0,502.45, 504.70,546.25,506.41,14814583,75021.96,398757, 7681477, 51.85
05-May-2020,506.0,514.0,498.2,499.95, 500.50,502.45,506.1,5717728,28937.52,118256, 3241820, 56.70
06-May-2020,503.75,509.1,490.0,506.85, 508.00,499.95,503.84,3781586,19053.14,109705, 1844539, 48.78
07-May-2020,508.0,525.85,506.35,516.35, 517.00,506.85,516.81,6799899,35142.77,107606, 3498356, 51.45
08-May-2020,526.9,538.6,519.2,536.2, 535.25,516.35,531.66,6016245,31985.7,107189, 2460828, 40.90
11-May-2020,541.5,543.8,527.2,530.2, 531.00,536.2,534.21,4272574,22824.57,118636, 2214203, 51.82
12-May-2020,525.0,539.5,525.0,533.25, 532.00,530.2,535.4,5692069,30475.46,188777, 2952754, 51.87
13-May-2020,542.0,549.75,531.4,544.75,543.0,533.25,543.48,3296409,17915.34,79004, 1393855, 42.28
14-May-2020,532.4,535.0,513.95,515.7,515.75,544.75,521.6,6148509,32070.35,142393, 3423592, 55.68
15-May-2020,520.0,520.0,507.4,510.55,511.5,515.7,511.76,3628560,18569.43,93418, 1845922, 50.87
18-May-2020,511.5,515.0,501.5,504.05, 503.20,510.55,508.39,3283983,16695.51,86465, 1139597, 34.70
19-May-2020,510.0,519.7,503.3,512.6,512.5,504.05,514.34,3041594,15644.27,65682, 1356537, 44.60
20-May-2020,515.0,524.8,510.7,519.2, 520.00,512.6,518.13,2772990,14367.76,60159, 1163899, 41.97
21-May-2020,519.95,521.5,510.05,520.05,520.05,519.2,516.84,2540109,13128.41,59289, 908039, 35.75
22-May-2020,517.1,531.0,515.1,529.65,529.35,520.05,525.98,4254552,22378.11,66566, 2127756, 50.01
26-May-2020,533.0,540.75,518.85,520.45, 521.60,529.65,528.93,2719798,14385.71,70404, 674455, 24.80
27-May-2020,521.65,526.0,512.05,523.75,523.55,520.45,520.85,2265985,11802.46,54889, 802059, 35.40
28-May-2020,528.0,531.85,517.15,529.7,529.8,523.75,525.21,3387687,17792.53,53348, 1370730, 40.46
29-May-2020,529.9,535.65,524.45,530.45, 530.55,529.7,530.59,4081553,21656.11,86157, 2008890, 49.22
01-Jun-2020,538.5,554.8,537.05,543.55, 541.75,530.45,545.13,4914055,26788.17,104254, 1992408, 40.55
02-Jun-2020,543.6,548.35,538.0,547.5,547.7,543.55,544.23,3879118,21111.25,98237, 1711894, 44.13
03-Jun-2020,554.0,565.5,550.0,553.25,552.0,547.5,559.06,4942025,27628.65,124020, 2312459, 46.79
04-Jun-2020,557.0,585.0,555.65,582.1,582.0,553.25,575.71,10915377,62841.42,198642, 3314002, 30.36
05-Jun-2020,588.0,593.55,575.0,579.85, 580.00,582.1,583.86,6207097,36240.6,160061, 2131217, 34.34
08-Jun-2020,585.8,599.45,580.1,590.0, 588.40,579.85,591.98,4791171,28362.68,147046, 1645460, 34.34
09-Jun-2020,594.0,605.35,585.0,586.2, 585.80,590.0,592.92,5665593,33592.24,109549, 2116110, 37.35
10-Jun-2020,591.5,596.9,582.5,590.5, 590.30,586.2,588.66,3439145,20244.95,76378, 1294447, 37.64
11-Jun-2020,591.0,591.0,564.75,571.85, 573.20,590.5,575.28,3378491,19435.92,110443, 1226303, 36.30
12-Jun-2020,550.0,561.9,550.0,554.7, 554.30,571.85,554.86,3603893,19996.62,67300, 1424633, 39.53
15-Jun-2020,557.0,560.5,543.4,548.8,547.0,554.7,550.53,3944764,21717.05,79524, 1618819, 41.04
16-Jun-2020,556.95,556.95,531.15,533.3, 533.90,548.8,541.76,4262601,23092.96,105363, 1428269, 33.51
17-Jun-2020,531.0,545.0,528.4,535.55,535.05,533.3,538.64,6139354,33068.86,129045, 2877909, 46.88
18-Jun-2020,535.05,540.0,531.0,535.9,536.0,535.55,535.09,2658699,14226.32,98683, 1286697, 48.40
19-Jun-2020,538.5,542.95,531.9,538.85, 539.00,535.9,537.32,5570402,29931.08,136878, 3680935, 66.08
22-Jun-2020,541.9,553.25,538.3,548.5, 547.80,538.85,547.48,4352631,23829.63,168535, 2014495, 46.28
23-Jun-2020,548.0,560.1,544.55,558.8, 557.50,548.5,555.09,4438916,24640.12,111062, 2498588, 56.29
24-Jun-2020,558.8,566.0,554.4,560.95,561.0,558.8,561.07,3500487,19640.16,86027, 1669572, 47.70
25-Jun-2020,558.0,565.6,552.05,554.15, 554.05,560.95,558.9,2386985,13340.81,72275, 1088918, 45.62
26-Jun-2020,555.5,574.95,552.6,560.85, 559.00,554.15,566.2,5289122,29947.15,105569, 2156273, 40.77
29-Jun-2020,558.9,558.9,539.2,541.55, 543.00,560.85,545.73,3304988,18036.41,85338, 1561053, 47.23
30-Jun-2020,547.0,548.9,541.55,543.4, 543.60,541.55,545.1,2357985,12853.32,64777, 904338, 38.35
01-Jul-2020,544.0,547.35,536.05,545.9, 546.75,543.4,542.17,3662565,19857.5,106942, 2051485, 56.01
02-Jul-2020,549.9,562.5,542.5,560.85, 562.50,545.9,554.33,5966758,33075.67,156600, 2951288, 49.46
03-Jul-2020,565.9,572.25,561.05,567.2, 565.35,560.85,565.93,4007492,22679.63,112355, 1926059, 48.06
06-Jul-2020,574.95,588.0,573.05,581.55, 580.70,567.2,581.54,4909648,28551.78,103858, 1580506, 32.19
07-Jul-2020,583.85,592.5,577.1,586.85, 586.00,581.55,586.65,5126702,30076.04,104555, 2130318, 41.55
08-Jul-2020,589.95,593.9,576.1,583.45,581.7,586.85,584.86,3391025,19832.89,75095, 1703551, 50.24
09-Jul-2020,583.45,587.7,572.05,577.3, 576.45,583.45,578.65,2498149,14455.57,47349, 914181, 36.59
10-Jul-2020,572.0,572.0,561.35,569.0,566.8,577.3,567.43,3959576,22467.71,70328, 1277662, 32.27
13-Jul-2020,571.95,601.8,570.5,600.05, 600.50,569.0,592.89,11008262,65267.17,139715, 2672961, 24.28
14-Jul-2020,594.95,603.8,592.55,598.3,598.5,600.05,597.88,5525648,33036.78,100616, 1929572, 34.92
15-Jul-2020,604.0,630.0,602.0,615.3,615.0,598.3,620.56,11907668,73894.28,163399, 3543213, 29.76
16-Jul-2020,627.0,638.95,588.1,599.4, 598.95,615.3,611.88,13010078,79606.12,219173, 3222275, 24.77
17-Jul-2020,604.35,604.35,590.2,599.7, 600.00,599.4,597.66,3307397,19766.92,60615, 773213, 23.38
