date,open_price,high_price,low_price,close_price,last_price,prev_close,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
01-Jan-2020,1194.45,1199.0,1152.2,1154.75, 1155.10,1187.95,1168.61,3137636,36666.82,91203, 985291, 31.40
02-Jan-2020,1157.0,1159.9,1140.0,1155.6, 1156.00,1154.75,1150.75,3286436,37818.8,120035, 847441, 25.79
03-Jan-2020,1156.0,1156.0,1132.0,1139.7, 1139.70,1155.6,1142.4,2695237,30790.27,105909, 1017731, 37.76
06-Jan-2020,1162.0,1171.4,1150.1,1158.6, 1157.00,1139.7,1159.86,4494752,52132.82,175806, 1115391, 24.82
07-Jan-2020,1170.95,1173.85,1152.05,1159.95, 1159.35,1158.6,1159.63,2363578,27408.86,92867, 841123, 35.59
08-Jan-2020,1145.0,1156.3,1138.0,1143.3, 1143.10,1159.95,1143.92,2370166,27112.84,78303, 1058645, 44.67
09-Jan-2020,1155.0,1168.0,1148.5,1163.45, 1163.50,1143.3,1159.02,1764131,20446.69,75574, 648276, 36.75
10-Jan-2020,1167.0,1170.7,1150.75,1154.05, 1153.90,1163.45,1158.59,1517311,17579.49,61571, 737793, 48.63
13-Jan-2020,1155.0,1162.45,1148.5,1158.95, 1160.00,1154.05,1156.43,1135936,13136.32,65561, 398638, 35.09
14-Jan-2020,1162.0,1168.65,1157.15,1167.1, 1167.10,1158.95,1163.52,1324743,15413.66,54792, 646068, 48.77
15-Jan-2020,1173.5,1191.5,1170.6,1184.85, 1182.60,1167.1,1182.19,2665214,31508.0,84788, 726899, 27.27
16-Jan-2020,1184.85,1195.5,1174.1,1192.9, 1192.25,1184.85,1184.75,1644541,19483.77,65751, 688227, 41.85
17-Jan-2020,1194.8,1196.85,1184.0,1188.75, 1186.20,1192.9,1189.96,1034774,12313.39,54577, 353715, 34.18
20-Jan-2020,1190.0,1195.0,1179.1,1187.85, 1186.75,1188.75,1188.71,1139858,13549.63,69133, 376652, 33.04
21-Jan-2020,1183.45,1183.9,1161.0,1176.2, 1179.15,1187.85,1173.88,925998,10870.15,54553, 294599, 31.81
22-Jan-2020,1181.8,1185.95,1172.0,1177.65, 1178.00,1176.2,1177.76,902471,10628.98,47890, 311189, 34.48
23-Jan-2020,1176.0,1206.65,1175.0,1204.1, 1203.00,1177.65,1196.89,2101116,25148.1,69730, 656557, 31.25
24-Jan-2020,1208.9,1230.0,1206.05,1227.85,1228.45,1204.1,1219.58,2841654,34656.29,83003, 1064376, 37.46
27-Jan-2020,1228.0,1240.35,1208.85,1213.8, 1210.00,1227.85,1224.94,2332864,28576.1,85733, 761365, 32.64
28-Jan-2020,1215.0,1223.5,1188.3,1195.0, 1198.50,1213.8,1208.46,1703068,20580.86,72839, 630543, 37.02
29-Jan-2020,1198.5,1207.9,1181.6,1186.2, 1185.00,1195.0,1192.08,1380266,16453.89,70904, 480494, 34.81
30-Jan-2020,1191.0,1191.5,1176.2,1179.25, 1182.00,1186.2,1181.36,1859283,21964.84,87927, 995097, 53.52
31-Jan-2020,1185.5,1194.8,1180.0,1187.75, 1189.55,1179.25,1188.22,1809101,21496.03,93386, 929688, 51.39
03-Feb-2020,1170.0,1192.3,1162.55,1186.4, 1184.00,1173.25,1176.13,3595537,42288.07,107255, 2511104, 69.84
04-Feb-2020,1195.0,1287.8,1185.0,1275.8, 1273.00,1186.4,1245.9,7875930,98126.1,212243, 1826803, 23.19
05-Feb-2020,1284.75,1297.7,1255.0,1279.85, 1276.75,1275.8,1278.35,5459816,69795.74,239396, 1835557, 33.62
06-Feb-2020,1284.95,1294.2,1252.05,1259.3, 1259.30,1279.85,1266.66,2463971,31210.03,96125, 1006872, 40.86
07-Feb-2020,1264.05,1279.5,1258.4,1275.0, 1271.85,1259.3,1271.49,2277867,28962.87,102527, 796028, 34.95
10-Feb-2020,1270.9,1275.0,1253.35,1257.2, 1257.20,1275.0,1258.62,1021943,12862.36,80696, 406359, 39.76
11-Feb-2020,1263.0,1278.9,1258.55,1270.7, 1269.80,1257.2,1271.2,1351413,17179.18,68623, 490717, 36.31
12-Feb-2020,1276.95,1288.95,1265.85,1269.0, 1268.10,1270.7,1271.57,1195516,15201.88,47039, 494690, 41.38
13-Feb-2020,1270.0,1308.0,1270.0,1298.1, 1297.55,1269.0,1297.81,4458645,57864.81,102681, 1399446, 31.39
14-Feb-2020,1306.95,1310.7,1290.0,1293.45, 1291.00,1298.1,1300.22,1416212,18413.91,38783, 387834, 27.39
17-Feb-2020,1293.05,1321.6,1288.35,1316.05, 1315.80,1293.45,1314.28,2347399,30851.43,70254, 682492, 29.07
18-Feb-2020,1314.0,1318.9,1301.25,1311.0, 1311.00,1316.05,1310.65,1761012,23080.77,45020, 553065, 31.41
19-Feb-2020,1317.0,1332.9,1312.05,1329.6, 1330.20,1311.0,1322.69,1445826,19123.85,44803, 387140, 26.78
20-Feb-2020,1330.0,1341.05,1320.0,1322.85, 1322.70,1329.6,1329.48,1513648,20123.65,62941, 709696, 46.89
